date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,108.2,108.2,106.0,106.5,45.227,131900.0,0.0,1.0
1998-01-05,53.25,54.0,52.5,52.75,44.8024,107650.0,0.0,2.0
1998-01-06,52.63,52.63,51.56,51.75,43.953,251600.0,0.0,1.0
1998-01-07,51.63,51.63,51.06,51.5,43.7407,371900.0,0.0,1.0
1998-01-08,51.5,52.19,51.31,52.06,44.2163,181300.0,0.0,1.0
1998-01-09,52.06,52.06,50.5,50.63,43.0018,213800.0,0.0,1.0
1998-01-12,49.5,51.13,49.38,49.94,42.4158,208400.0,0.0,1.0
1998-01-13,50.19,50.81,49.19,50.69,43.0528,127900.0,0.0,1.0
1998-01-14,50.88,52.06,50.69,52.06,44.2163,198900.0,0.0,1.0
1998-01-15,52.0,52.81,51.56,52.81,44.8533,538800.0,0.0,1.0
1998-01-16,53.0,53.5,51.5,51.75,43.953,302700.0,0.0,1.0
1998-01-20,51.63,51.88,50.56,51.25,43.5284,522900.0,0.0,1.0
1998-01-21,51.5,51.63,50.63,51.25,43.5284,342600.0,0.0,1.0
1998-01-22,51.38,52.25,51.0,52.06,44.2163,258500.0,0.0,1.0
1998-01-23,52.06,52.06,49.44,50.38,42.7895,254300.0,0.0,1.0
1998-01-26,50.5,50.5,49.88,50.31,42.73,239300.0,0.0,1.0
1998-01-27,50.75,50.75,49.06,49.63,42.1525,560800.0,0.0,1.0
1998-01-28,49.63,50.44,49.63,50.38,42.7895,417600.0,0.0,1.0
1998-01-29,48.5,50.0,48.5,49.19,41.7788,655100.0,0.0,1.0
1998-01-30,49.31,49.38,47.88,47.88,40.6661,441100.0,0.0,1.0
1998-02-02,48.5,51.88,48.44,51.75,43.953,553100.0,0.0,1.0
1998-02-03,51.56,52.0,51.0,51.63,43.8511,482100.0,0.0,1.0
1998-02-04,51.88,51.88,50.38,50.44,42.8404,293900.0,0.0,1.0
1998-02-05,50.44,51.88,50.44,51.69,43.9021,406200.0,0.0,1.0
1998-02-06,51.88,53.0,51.5,53.0,45.0147,383300.0,0.0,1.0
1998-02-09,53.0,53.44,53.0,53.31,45.278,607500.0,0.0,1.0
1998-02-10,53.31,53.94,53.25,53.56,45.4903,307400.0,0.0,1.0
1998-02-11,53.56,54.88,53.56,54.31,46.1273,217900.0,0.0,1.0
1998-02-12,54.31,55.31,53.75,55.31,46.9767,312700.0,0.0,1.0
1998-02-13,55.19,55.88,54.5,55.63,47.2485,285200.0,0.0,1.0
1998-02-17,55.69,56.13,55.19,55.25,46.9257,230600.0,0.0,1.0
1998-02-18,55.5,55.63,55.31,55.44,47.0871,205200.0,0.0,1.0
1998-02-19,55.69,56.81,55.56,56.69,48.1488,214400.0,0.0,1.0
1998-02-20,56.69,56.69,54.5,54.75,46.501,374600.0,0.0,1.0
1998-02-23,55.19,55.94,54.94,55.94,47.5118,409900.0,0.0,1.0
1998-02-24,55.63,55.63,53.19,53.19,45.1761,534200.0,0.0,1.0
1998-02-25,53.25,53.69,52.88,53.25,45.227,459300.0,0.0,1.0
1998-02-26,53.19,53.19,51.81,52.0,44.2715,960100.0,0.125,1.0
1998-02-27,52.25,52.31,51.81,52.13,44.3822,488300.0,0.0,1.0
1998-03-02,52.25,52.44,51.75,52.0,44.2715,154100.0,0.0,1.0
1998-03-03,52.06,53.25,51.56,53.25,45.3358,591700.0,0.0,1.0
1998-03-04,52.5,54.5,52.25,54.0,45.9743,1755300.0,0.0,1.0
1998-03-05,53.88,54.94,53.0,54.94,46.7746,530900.0,0.0,1.0
1998-03-06,54.94,56.13,54.38,55.75,47.4642,226400.0,0.0,1.0
1998-03-09,55.5,56.44,55.5,55.94,47.626,172500.0,0.0,1.0
1998-03-10,57.25,58.5,57.25,58.31,49.6437,426500.0,0.0,1.0
1998-03-11,58.31,59.13,58.13,58.38,49.7033,265200.0,0.0,1.0
1998-03-12,58.19,59.94,58.13,59.75,50.8697,329300.0,0.0,1.0
1998-03-13,59.63,61.63,59.56,61.63,52.4703,309600.0,0.0,1.0
1998-03-16,61.5,61.5,60.5,60.88,51.8318,198700.0,0.0,1.0
1998-03-17,60.0,60.06,58.81,59.06,50.2823,195800.0,0.0,1.0
1998-03-18,59.25,60.19,59.19,59.25,50.444,76100.0,0.0,1.0
1998-03-19,59.75,60.0,59.38,59.56,50.7079,145400.0,0.0,1.0
1998-03-20,59.44,59.63,58.94,59.63,50.7675,122200.0,0.0,1.0
1998-03-23,59.69,60.0,59.63,59.63,50.7675,91300.0,0.0,1.0
1998-03-24,59.63,60.38,59.25,59.31,50.4951,179700.0,0.0,1.0
1998-03-25,59.56,59.88,58.44,59.06,50.2823,326400.0,0.0,1.0
1998-03-26,59.13,59.13,58.44,58.5,49.8055,136800.0,0.0,1.0
1998-03-27,58.31,58.63,57.75,57.75,49.167,326400.0,0.0,1.0
1998-03-30,57.5,57.5,56.94,57.06,48.5795,127100.0,0.0,1.0
1998-03-31,56.94,59.06,56.94,57.75,49.167,245700.0,0.0,1.0
1998-04-01,57.81,63.13,57.81,63.0,53.6367,537000.0,0.0,1.0
1998-04-02,63.5,63.63,62.13,63.0,53.6367,752600.0,0.0,1.0
1998-04-03,63.0,63.75,62.5,62.5,53.211,302800.0,0.0,1.0
1998-04-06,62.5,63.25,61.69,61.94,52.7342,84100.0,0.0,1.0
1998-04-07,62.19,64.5,62.19,63.0,53.6367,209300.0,0.0,1.0
1998-04-08,62.94,62.94,61.56,61.69,52.5214,145900.0,0.0,1.0
1998-04-09,61.5,61.88,60.88,61.25,52.1468,278100.0,0.0,1.0
1998-04-13,61.0,61.25,60.56,60.63,51.6189,166200.0,0.0,1.0
1998-04-14,59.94,60.88,57.63,57.75,49.167,564600.0,0.0,1.0
1998-04-15,58.0,60.13,58.0,59.44,50.6058,689900.0,0.0,1.0
1998-04-16,59.44,60.0,59.0,59.88,50.9804,234100.0,0.0,1.0
1998-04-17,59.88,60.63,59.38,59.38,50.5547,70000.0,0.0,1.0
1998-04-20,59.5,63.5,59.5,63.13,53.7474,251600.0,0.0,1.0
1998-04-21,62.94,62.94,60.63,61.88,52.6831,336700.0,0.0,1.0
1998-04-22,61.75,62.5,60.88,62.5,53.211,398100.0,0.0,1.0
1998-04-23,62.38,62.63,61.59,62.56,53.2621,1208700.0,0.0,1.0
1998-04-24,62.56,63.75,62.5,63.56,54.1135,333900.0,0.0,1.0
1998-04-27,63.0,63.06,61.88,62.38,53.1088,452700.0,0.0,1.0
1998-04-28,64.0,64.5,63.5,64.0,54.4881,669000.0,0.0,1.0
1998-04-29,64.0,68.5,63.81,67.94,57.8425,618900.0,0.0,1.0
1998-04-30,68.13,71.06,68.13,70.69,60.1838,669000.0,0.0,1.0
1998-05-01,70.44,71.38,69.19,69.88,59.4941,326000.0,0.0,1.0
1998-05-04,69.63,70.56,67.25,68.06,57.9446,308500.0,0.0,1.0
1998-05-05,68.06,68.06,66.0,67.06,57.0933,276700.0,0.0,1.0
1998-05-06,67.06,67.06,65.88,65.88,56.0886,137500.0,0.0,1.0
1998-05-07,65.88,66.13,65.63,65.69,55.9269,162500.0,0.0,1.0
1998-05-08,65.88,69.0,65.75,68.75,58.5321,296000.0,0.0,1.0
1998-05-11,68.81,70.25,68.0,69.75,59.3835,247600.0,0.0,1.0
