date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,23.25,23.25,22.88,23.25,6.5572,461600.0,0.0,1.0
1998-01-05,1,23.25,23.25,23.0,23.12,6.5206,359000.0,0.0,1.0
1998-01-06,2,23.12,23.38,23.0,23.25,6.5572,800600.0,0.0,1.0
1998-01-07,3,23.25,24.5,23.0,24.5,6.9098,934700.0,0.0,1.0
1998-01-08,4,24.5,24.5,24.0,24.5,6.9098,966900.0,0.0,1.0
1998-01-09,5,24.5,24.75,24.12,24.12,6.8026,466200.0,0.0,1.0
1998-01-12,6,24.0,24.0,23.25,23.75,6.6982,818800.0,0.0,1.0
1998-01-13,7,23.62,23.62,23.12,23.38,6.5939,542800.0,0.0,1.0
1998-01-14,8,24.12,24.12,24.12,24.12,6.8026,0.0,0.0,1.0
1998-01-15,9,24.12,24.38,23.88,24.0,6.7688,1000700.0,0.0,1.0
1998-01-16,10,24.0,24.12,23.75,23.88,6.7349,750800.0,0.0,1.0
1998-01-20,11,23.88,24.0,23.62,24.0,6.7688,704300.0,0.0,1.0
1998-01-21,12,24.0,24.0,23.5,23.62,6.6616,894600.0,0.0,1.0
1998-01-22,13,23.62,23.62,23.25,23.5,6.6277,964500.0,0.0,1.0
1998-01-23,14,23.5,23.62,23.25,23.38,6.5939,327800.0,0.0,1.0
1998-01-26,15,23.38,23.75,23.0,23.75,6.6982,366500.0,0.0,1.0
1998-01-27,16,23.75,24.0,23.62,23.75,6.6982,550100.0,0.0,1.0
1998-01-28,17,23.75,24.12,23.75,24.0,6.7688,927000.0,0.0,1.0
1998-01-29,18,24.0,24.12,23.75,24.0,6.7688,443800.0,0.0,1.0
1998-01-30,19,24.0,24.0,23.38,24.0,6.7688,556600.0,0.0,1.0
1998-02-02,20,24.0,24.5,24.0,24.12,6.8026,874400.0,0.0,1.0
1998-02-03,21,24.12,24.38,24.12,24.38,6.8759,221700.0,0.0,1.0
1998-02-04,22,24.38,24.38,24.0,24.0,6.7688,405000.0,0.0,1.0
1998-02-05,23,24.0,24.12,23.88,24.0,6.7688,437800.0,0.0,1.0
1998-02-06,24,24.0,24.38,23.88,24.0,6.7688,556600.0,0.0,1.0
1998-02-09,25,24.0,24.12,23.75,24.0,6.7688,666700.0,0.0,1.0
1998-02-10,26,24.0,24.38,24.0,24.0,6.7688,365300.0,0.0,1.0
1998-02-11,27,24.12,24.38,24.12,24.12,6.8026,308400.0,0.0,1.0
1998-02-12,28,24.12,24.5,24.0,24.38,6.8759,573500.0,0.0,1.0
1998-02-13,29,24.38,24.38,24.12,24.12,6.8026,319600.0,0.0,1.0
1998-02-17,30,24.12,24.38,23.75,23.75,6.6982,393200.0,0.0,1.0
1998-02-18,31,23.75,24.25,23.62,24.25,6.9013,407400.0,0.22,1.0
1998-02-19,32,24.25,24.38,24.0,24.38,6.9383,397300.0,0.0,1.0
1998-02-20,33,24.38,24.75,24.38,24.75,7.0436,267500.0,0.0,1.0
1998-02-23,34,24.75,25.0,24.5,24.62,7.0066,380200.0,0.0,1.0
1998-02-24,35,24.62,25.0,24.25,24.38,6.9383,249100.0,0.0,1.0
1998-02-25,36,24.38,24.88,24.38,24.75,7.0436,460400.0,0.0,1.0
1998-02-26,37,24.75,25.0,24.62,25.0,7.1148,328400.0,0.0,1.0
1998-02-27,38,25.0,25.12,24.75,25.12,7.1489,565100.0,0.0,1.0
1998-03-02,39,25.12,25.5,25.0,25.12,7.1489,461400.0,0.0,1.0
1998-03-03,40,25.12,25.5,25.0,25.5,7.2570000000000014,588000.0,0.0,1.0
1998-03-04,41,25.5,25.5,25.25,25.38,7.2229,408700.0,0.0,1.0
1998-03-05,42,25.38,25.5,25.12,25.12,7.1489,278800.0,0.0,1.0
1998-03-06,43,25.25,25.88,25.25,25.88,7.3652,278700.0,0.0,1.0
1998-03-09,44,25.88,26.25,25.62,26.12,7.4335,352100.0,0.0,1.0
1998-03-10,45,26.12,26.5,26.12,26.25,7.4705,249100.0,0.0,1.0
1998-03-11,46,26.25,26.38,26.0,26.38,7.5075,303100.0,0.0,1.0
1998-03-12,47,26.38,26.5,26.0,26.12,7.4335,124100.0,0.0,1.0
1998-03-13,48,26.12,26.25,25.62,26.12,7.4335,247000.0,0.0,1.0
1998-03-16,49,26.12,26.25,25.12,25.62,7.2912,827200.0,0.0,1.0
1998-03-17,50,25.62,25.62,25.25,25.62,7.2912,307000.0,0.0,1.0
1998-03-18,51,25.62,26.0,25.12,25.75,7.3282,232700.0,0.0,1.0
1998-03-19,52,25.75,26.12,25.62,26.12,7.4335,283500.0,0.0,1.0
1998-03-20,53,26.12,26.12,25.75,25.88,7.3652,352000.0,0.0,1.0
1998-03-23,54,25.62,25.62,25.12,25.38,7.2229,974600.0,0.0,1.0
1998-03-24,55,25.38,25.5,25.12,25.25,7.1859,658600.0,0.0,1.0
1998-03-25,56,25.25,25.62,24.75,25.12,7.1489,1074400.0,0.0,1.0
1998-03-26,57,25.12,25.25,25.12,25.12,7.1489,592400.0,0.0,1.0
1998-03-27,58,25.12,25.25,24.75,25.0,7.1148,1120400.0,0.0,1.0
1998-03-30,59,25.0,25.25,24.62,24.88,7.0806,1144800.0,0.0,1.0
1998-03-31,60,24.88,25.75,24.88,25.62,7.2912,495400.0,0.0,1.0
1998-04-01,61,25.62,27.88,25.62,27.12,7.7181,1023700.0,0.0,1.0
1998-04-02,62,27.0,27.0,26.62,27.0,7.6839,234600.0,0.0,1.0
1998-04-03,63,27.0,27.62,26.62,27.0,7.6839,691400.0,0.0,1.0
1998-04-06,64,27.0,27.12,26.38,26.62,7.5758,478400.0,0.0,1.0
1998-04-07,65,26.62,26.62,25.88,26.25,7.4705,427700.0,0.0,1.0
1998-04-08,66,26.12,26.12,25.88,25.88,7.3652,183200.0,0.0,1.0
1998-04-09,67,25.88,26.25,25.88,26.0,7.3993,714500.0,0.0,1.0
1998-04-13,68,26.0,26.0,25.38,25.75,7.3282,643100.0,0.0,1.0
1998-04-14,69,25.75,25.88,25.0,25.12,7.1489,1304400.0,0.0,1.0
1998-04-15,70,25.12,25.75,25.0,25.38,7.2229,2363400.0,0.0,1.0
1998-04-16,71,25.38,25.62,25.0,25.38,7.2229,3189900.0,0.0,1.0
1998-04-17,72,25.38,25.88,25.0,25.75,7.3282,1004800.0,0.0,1.0
1998-04-20,73,26.25,26.5,26.25,26.38,7.5075,2022100.0,0.0,1.0
1998-04-21,74,26.62,27.12,26.62,27.12,7.7181,800600.0,0.0,1.0
1998-04-22,75,27.0,27.0,26.25,26.88,7.6498,511900.0,0.0,1.0
1998-04-23,76,26.88,27.12,26.62,26.62,7.5758,460100.0,0.0,1.0
1998-04-24,77,26.62,26.88,26.12,26.25,7.4705,673500.0,0.0,1.0
1998-04-27,78,26.25,26.25,25.25,25.5,7.2570000000000014,309000.0,0.0,1.0
1998-04-28,79,25.5,25.88,25.5,25.62,7.2912,368700.0,0.0,1.0
1998-04-29,80,25.62,26.5,25.62,26.25,7.4705,436700.0,0.0,1.0
1998-04-30,81,26.25,26.88,26.25,26.62,7.5758,261300.0,0.0,1.0
1998-05-01,82,26.62,26.75,26.0,26.62,7.5758,392200.0,0.0,1.0
1998-05-04,83,26.88,27.5,26.88,27.12,7.7181,457000.0,0.0,1.0
1998-05-05,84,27.12,27.25,27.0,27.25,7.7551,504600.0,0.0,1.0
1998-05-06,85,27.0,27.0,26.25,26.25,7.4705,208400.0,0.0,1.0
1998-05-07,86,26.12,26.12,25.62,25.62,7.2912,598600.0,0.0,1.0
1998-05-08,87,25.62,26.0,25.5,25.5,7.2570000000000014,378700.0,0.0,1.0
1998-05-11,88,25.5,26.0,25.25,25.5,7.2570000000000014,291700.0,0.0,1.0
1998-05-12,89,25.5,25.62,25.25,25.5,7.2570000000000014,394500.0,0.0,1.0
1998-05-13,90,25.5,26.0,25.5,26.0,7.3993,497300.0,0.0,1.0
1998-05-14,91,26.0,26.12,25.88,25.88,7.3652,307600.0,0.0,1.0
1998-05-15,92,25.88,26.12,25.5,25.5,7.2570000000000014,629300.0,0.0,1.0
1998-05-18,93,25.5,25.5,24.5,24.88,7.1432,597700.0,0.22,1.0
1998-05-19,94,24.88,25.0,24.38,24.62,7.0686,803800.0,0.0,1.0
1998-05-20,95,24.62,25.25,24.62,25.12,7.2121,550100.0,0.0,1.0
1998-05-21,96,25.12,25.5,24.75,25.0,7.1777,492400.0,0.0,1.0
1998-05-22,97,25.0,25.12,24.38,24.62,7.0686,230500.0,0.0,1.0
1998-05-26,98,24.75,25.38,24.75,25.12,7.2121,435500.0,0.0,1.0
1998-05-27,99,25.12,25.25,24.88,25.25,7.2494,528900.0,0.0,1.0
1998-05-28,100,25.25,25.62,25.12,25.25,7.2494,203800.0,0.0,1.0
1998-05-29,101,25.25,25.75,25.25,25.38,7.2868,443900.0,0.0,1.0
1998-06-01,102,25.38,25.62,25.25,25.5,7.3212,380400.0,0.0,1.0
1998-06-02,103,25.5,25.62,25.25,25.38,7.2868,347900.0,0.0,1.0
1998-06-03,104,25.38,25.5,25.0,25.12,7.2121,225200.0,0.0,1.0
1998-06-04,105,25.12,25.5,25.0,25.5,7.3212,309600.0,0.0,1.0
1998-06-05,106,25.5,26.25,25.38,26.0,7.4648,298200.0,0.0,1.0
1998-06-08,107,26.0,26.25,25.88,26.0,7.4648,199500.0,0.0,1.0
1998-06-09,108,26.0,26.12,25.62,26.0,7.4648,282400.0,0.0,1.0
1998-06-10,109,26.0,26.25,25.62,26.0,7.4648,551300.0,0.0,1.0
1998-06-11,110,26.0,26.12,25.62,26.0,7.4648,553100.0,0.0,1.0
1998-06-12,111,26.0,26.0,25.62,25.88,7.4303,277100.0,0.0,1.0
1998-06-15,112,25.88,26.25,25.62,25.62,7.3557,865500.0,0.0,1.0
1998-06-16,113,25.88,26.5,25.88,26.25,7.5365,1019500.0,0.0,1.0
1998-06-17,114,26.25,26.5,26.25,26.5,7.6083,427600.0,0.0,1.0
1998-06-18,115,26.5,26.5,26.12,26.12,7.4992,552700.0,0.0,1.0
1998-06-19,116,26.12,26.12,25.88,26.12,7.4992,504200.0,0.0,1.0
1998-06-22,117,26.12,26.5,26.0,26.25,7.5365,243900.0,0.0,1.0
1998-06-23,118,26.25,26.5,26.12,26.5,7.6083,402600.0,0.0,1.0
1998-06-24,119,26.5,27.0,26.5,27.0,7.7519,310400.0,0.0,1.0
1998-06-25,120,27.0,27.0,26.75,27.0,7.7519,184800.0,0.0,1.0
1998-06-26,121,27.0,27.0,26.5,26.62,7.6428,265200.0,0.0,1.0
1998-06-29,122,26.62,26.88,26.38,26.5,7.6083,293700.0,0.0,1.0
1998-06-30,123,26.5,27.38,26.5,27.0,7.7519,696000.0,0.0,1.0
1998-07-01,124,25.88,25.88,25.5,25.88,7.4303,666700.0,0.0,1.0
1998-07-02,125,25.75,25.75,25.25,25.5,7.3212,615600.0,0.0,1.0
1998-07-06,126,25.5,25.5,25.12,25.12,7.2121,246000.0,0.0,1.0
1998-07-07,127,25.12,25.12,24.75,24.75,7.1059,213500.0,0.0,1.0
1998-07-08,128,24.75,25.25,24.5,25.25,7.2494,289100.0,0.0,1.0
1998-07-09,129,25.25,25.38,23.88,24.12,6.925,591200.0,0.0,1.0
1998-07-10,130,24.12,24.12,23.62,23.88,6.8561,567400.0,0.0,1.0
1998-07-13,131,23.88,24.0,23.12,23.12,6.6379,494000.0,0.0,1.0
1998-07-14,132,23.12,23.62,23.12,23.62,6.7815,271400.0,0.0,1.0
1998-07-15,133,23.62,24.0,23.62,23.75,6.8188,484900.0,0.0,1.0
1998-07-16,134,23.75,24.0,23.12,23.25,6.6752,319600.0,0.0,1.0
1998-07-17,135,23.25,23.25,22.88,23.12,6.6379,377200.0,0.0,1.0
1998-07-20,136,23.12,23.12,22.88,23.12,6.6379,564700.0,0.0,1.0
1998-07-21,137,23.12,23.88,22.88,22.88,6.569,645400.0,0.0,1.0
1998-07-22,138,22.88,22.88,22.38,22.5,6.4599,944000.0,0.0,1.0
1998-07-23,139,22.5,22.5,21.38,21.75,6.2446,2409100.0,0.0,1.0
1998-07-24,140,21.75,21.75,21.25,21.25,6.101,1040600.0,0.0,1.0
1998-07-27,141,21.0,21.0,20.38,20.5,5.8857,1209800.0,0.0,1.0
1998-07-28,142,20.5,20.75,20.38,20.75,5.9575,644000.0,0.0,1.0
1998-07-29,143,20.75,20.88,20.62,20.75,5.9575,404100.0,0.0,1.0
1998-07-30,144,20.75,20.75,20.5,20.75,5.9575,1063800.0,0.0,1.0
1998-07-31,145,20.62,20.62,20.5,20.62,5.9201,1018300.0,0.0,1.0
1998-08-03,146,20.62,20.88,20.25,20.75,5.9575,499300.0,0.0,1.0
1998-08-04,147,20.75,20.75,19.25,19.5,5.5986,1227000.0,0.0,1.0
1998-08-05,148,19.5,20.0,19.38,20.0,5.7421,1694600.0,0.0,1.0
