date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2001-06-13,0,31.5,32.0,31.09,31.25,13.0429,69567200.0,0.0,1.0
2001-06-14,1,30.5,31.0,29.5,30.15,12.5838,31979800.0,0.0,1.0
2001-06-15,2,30.0,30.75,29.95,30.6,12.7716,14369300.0,0.0,1.0
2001-06-18,3,30.5,30.6,30.06,30.32,12.6548,4019800.0,0.0,1.0
2001-06-19,4,30.6,30.71,30.21,30.4,12.6881,5690300.0,0.0,1.0
2001-06-20,5,30.4,30.59,30.18,30.3,12.6464,3791600.0,0.0,1.0
2001-06-21,6,30.35,30.35,30.0,30.0,12.5212,6027200.0,0.0,1.0
2001-06-22,7,30.0,30.02,29.76,30.0,12.5212,4847700.0,0.0,1.0
2001-06-25,8,30.0,30.15,29.85,30.15,12.5838,2420300.0,0.0,1.0
2001-06-26,9,30.0,30.08,29.81,30.04,12.5379,3333300.0,0.0,1.0
2001-06-27,10,29.95,30.0,29.81,29.94,12.4962,3182300.0,0.0,1.0
2001-06-28,11,29.98,30.44,29.97,30.41,12.6923,2778100.0,0.0,1.0
2001-06-29,12,30.5,31.0,30.33,31.0,12.9386,5777800.0,0.0,1.0
2001-07-02,13,30.7,30.7,30.42,30.47,12.7174,3167600.0,0.0,1.0
2001-07-03,14,30.46,30.64,30.42,30.56,12.7549,608700.0,0.0,1.0
2001-07-05,15,30.75,31.03,30.63,30.93,12.9094,2085500.0,0.0,1.0
2001-07-06,16,30.98,30.98,30.5,30.65,12.7925,945300.0,0.0,1.0
2001-07-09,17,30.6,30.74,30.25,30.38,12.6798,2295300.0,0.0,1.0
2001-07-10,18,30.45,30.85,30.28,30.35,12.6673,3301300.0,0.0,1.0
2001-07-11,19,30.36,30.36,30.0,30.3,12.6464,2023000.0,0.0,1.0
2001-07-12,20,30.65,30.9,30.2,30.9,12.8968,1912500.0,0.0,1.0
2001-07-13,21,30.9,30.98,30.46,30.73,12.8259,995400.0,0.0,1.0
2001-07-16,22,30.73,31.01,30.65,30.71,12.8175,1198100.0,0.0,1.0
2001-07-17,23,30.89,31.45,30.85,31.45,13.1264,3792700.0,0.0,1.0
2001-07-18,24,31.45,31.5,30.8,31.49,13.1431,5645100.0,0.0,1.0
2001-07-19,25,31.74,31.74,30.19,31.32,13.0721,3326000.0,0.0,1.0
2001-07-20,26,31.25,31.34,31.01,31.2,13.022,1390900.0,0.0,1.0
2001-07-23,27,31.1,31.19,30.92,31.0,12.9386,1756000.0,0.0,1.0
2001-07-24,28,31.18,31.19,30.9,31.07,12.9678,1146500.0,0.0,1.0
2001-07-25,29,31.0,31.0,30.51,30.7,12.8134,860600.0,0.0,1.0
2001-07-26,30,30.95,31.19,30.62,31.12,12.9887,1901900.0,0.0,1.0
2001-07-27,31,31.2,31.2,30.81,30.91,12.901,1541800.0,0.0,1.0
2001-07-30,32,31.09,31.1,30.5,30.6,12.7716,1233900.0,0.0,1.0
2001-07-31,33,30.5,31.16,30.5,30.95,12.9177,2020200.0,0.0,1.0
2001-08-01,34,30.9,31.01,30.58,30.78,12.8468,2302200.0,0.0,1.0
2001-08-02,35,30.7,31.17,30.65,30.95,12.9177,2700000.0,0.0,1.0
2001-08-03,36,30.86,30.98,30.5,30.7,12.8134,456800.0,0.0,1.0
2001-08-06,37,30.71,30.84,30.25,30.35,12.6673,847600.0,0.0,1.0
2001-08-07,38,30.45,30.54,30.28,30.5,12.7299,991400.0,0.0,1.0
2001-08-08,39,30.7,30.7,30.0,30.01,12.5254,1517200.0,0.0,1.0
2001-08-09,40,30.05,30.37,30.0,30.37,12.6756,752900.0,0.0,1.0
2001-08-10,41,30.25,31.12,30.15,30.8,12.8551,1119700.0,0.0,1.0
2001-08-13,42,30.96,31.19,30.92,31.1,12.9803,1749200.0,0.0,1.0
2001-08-14,43,31.2,31.25,31.0,31.1,12.9803,1365300.0,0.0,1.0
2001-08-15,44,31.1,31.2,30.97,30.98,12.9302,2106500.0,0.0,1.0
2001-08-16,45,30.98,31.27,30.95,31.15,13.0012,1351200.0,0.0,1.0
2001-08-17,46,31.15,31.35,30.91,31.35,13.0847,1164200.0,0.0,1.0
2001-08-20,47,31.35,31.35,31.35,31.35,13.0847,2020900.0,0.0,1.0
2001-08-21,48,31.95,32.1,31.75,32.08,13.3893,2699600.0,0.0,1.0
2001-08-22,49,32.8,33.01,32.42,32.9,13.7316,3184700.0,0.0,1.0
2001-08-23,50,32.89,32.94,32.57,32.89,13.7274,2358900.0,0.0,1.0
2001-08-24,51,32.89,32.89,32.35,32.35,13.502,1173700.0,0.0,1.0
2001-08-27,52,32.0,32.47,32.0,32.3,13.4812,866500.0,0.0,1.0
2001-08-28,53,32.5,32.58,31.75,31.9,13.3142,965300.0,0.0,1.0
