date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,36.56,37.25,36.25,37.0,27.551,30900.0,0.0,1.0
1998-01-05,37.0,37.38,36.44,37.13,27.6478,128300.0,0.0,1.0
1998-01-06,37.0,37.25,36.75,37.25,27.7371,94700.0,0.0,1.0
1998-01-07,37.19,37.31,37.0,37.06,27.5957,60400.0,0.0,1.0
1998-01-08,37.13,37.75,37.13,37.31,27.7818,259700.0,0.0,1.0
1998-01-09,37.5,37.5,36.25,36.31,27.0372,119900.0,0.0,1.0
1998-01-12,36.13,36.5,35.88,36.31,27.0372,89400.0,0.0,1.0
1998-01-13,36.31,37.06,36.31,36.88,27.4616,68900.0,0.0,1.0
1998-01-14,37.06,37.06,36.63,36.63,27.2755,54200.0,0.0,1.0
1998-01-15,36.63,36.63,36.25,36.25,26.9925,45900.0,0.0,1.0
1998-01-16,36.38,37.13,36.38,36.5,27.1787,59200.0,0.0,1.0
1998-01-20,36.63,36.63,36.31,36.5,27.1787,291600.0,0.0,1.0
1998-01-21,36.63,36.75,35.88,36.0,26.8064,405000.0,0.0,1.0
1998-01-22,35.88,36.63,35.81,36.19,26.9478,141400.0,0.0,1.0
1998-01-23,36.44,36.75,36.31,36.31,27.0372,88700.0,0.0,1.0
1998-01-26,36.31,36.81,36.25,36.31,27.0372,159300.0,0.0,1.0
1998-01-27,36.19,36.56,36.13,36.25,26.9925,44500.0,0.0,1.0
1998-01-28,36.38,37.13,36.38,37.0,27.551,555800.0,0.0,1.0
1998-01-29,37.0,38.44,37.0,37.81,28.1541,205700.0,0.0,1.0
1998-01-30,37.94,38.5,37.94,38.0,28.2956,156200.0,0.0,1.0
1998-02-02,38.25,38.88,38.25,38.88,28.9509,255100.0,0.0,1.0
1998-02-03,38.94,38.94,38.0,38.0,28.2956,175400.0,0.0,1.0
1998-02-04,38.0,38.0,36.38,37.81,28.1541,172700.0,0.0,1.0
1998-02-05,37.94,38.0,37.69,38.0,28.2956,112700.0,0.0,1.0
1998-02-06,38.0,38.75,38.0,38.31,28.5264,203500.0,0.0,1.0
1998-02-09,38.38,38.94,38.38,38.75,28.8541,86200.0,0.0,1.0
1998-02-10,38.81,39.44,38.81,39.13,29.137,41100.0,0.0,1.0
1998-02-11,39.25,39.31,38.75,39.0,29.0402,63100.0,0.0,1.0
1998-02-12,39.0,39.13,38.38,38.5,28.6679,53500.0,0.0,1.0
1998-02-13,38.5,38.88,38.25,38.38,28.5786,36700.0,0.0,1.0
1998-02-17,38.38,38.38,37.5,37.5,27.9233,182900.0,0.0,1.0
1998-02-18,37.5,37.94,37.44,37.81,28.1541,269500.0,0.0,1.0
1998-02-19,37.94,38.0,37.44,37.81,28.1541,221600.0,0.0,1.0
1998-02-20,37.81,37.81,37.25,37.56,27.968,54000.0,0.0,1.0
1998-02-23,37.63,37.63,37.19,37.31,27.7818,41000.0,0.0,1.0
1998-02-24,37.44,37.5,37.06,37.25,27.7371,56200.0,0.0,1.0
1998-02-25,37.13,37.38,36.88,37.38,27.9233,568100.0,0.12,1.0
1998-02-26,37.44,38.19,37.31,38.13,28.4836,354300.0,0.0,1.0
1998-02-27,38.19,38.38,38.0,38.06,28.4313,128000.0,0.0,1.0
1998-03-02,38.13,38.5,38.0,38.19,28.5284,367900.0,0.0,1.0
1998-03-03,38.13,38.5,38.06,38.13,28.4836,52500.0,0.0,1.0
1998-03-04,38.13,38.13,37.5,37.81,28.2445,461300.0,0.0,1.0
1998-03-05,37.88,39.13,37.88,38.63,28.8571,144900.0,0.0,1.0
1998-03-06,39.38,40.13,39.13,39.63,29.6041,87300.0,0.0,1.0
1998-03-09,39.5,40.0,39.5,39.88,29.7908,69700.0,0.0,1.0
1998-03-10,39.81,41.5,39.81,40.94,30.5827,235300.0,0.0,1.0
1998-03-11,41.19,43.75,41.19,43.13,32.2186,335600.0,0.0,1.0
1998-03-12,43.13,43.19,42.69,43.0,32.1215,123100.0,0.0,1.0
1998-03-13,43.25,44.0,43.25,43.63,32.5921,104000.0,0.0,1.0
1998-03-16,43.69,44.94,43.69,44.56,33.2868,174200.0,0.0,1.0
1998-03-17,45.13,47.25,45.13,46.69,34.878,174600.0,0.0,1.0
1998-03-18,46.5,47.75,46.19,46.94,35.0647,114700.0,0.0,1.0
1998-03-19,46.94,47.19,46.0,47.06,35.1544,179900.0,0.0,1.0
1998-03-20,46.94,47.63,46.13,46.13,34.4597,90500.0,0.0,1.0
1998-03-23,46.19,46.19,44.69,44.69,33.384,284000.0,0.0,1.0
1998-03-24,44.69,45.13,44.5,44.63,33.3391,231100.0,0.0,1.0
1998-03-25,44.75,44.75,42.75,43.31,32.3531,248300.0,0.0,1.0
1998-03-26,43.31,43.31,41.63,43.19,32.2634,212600.0,0.0,1.0
1998-03-27,43.19,44.56,43.13,44.5,33.242,103300.0,0.0,1.0
1998-03-30,44.5,44.75,43.31,43.44,32.4502,76100.0,0.0,1.0
1998-03-31,43.13,43.5,43.0,43.19,32.2634,53400.0,0.0,1.0
1998-04-01,43.19,44.5,42.19,43.75,32.6818,247400.0,0.0,1.0
1998-04-02,46.0,46.81,45.44,45.81,34.2206,194500.0,0.0,1.0
1998-04-03,46.0,47.0,46.0,47.0,35.1096,129400.0,0.0,1.0
1998-04-06,46.94,47.44,46.44,46.88,35.0199,111900.0,0.0,1.0
1998-04-07,46.63,47.31,46.5,46.88,35.0199,127200.0,0.0,1.0
1998-04-08,46.88,47.31,46.56,46.81,34.9676,97000.0,0.0,1.0
1998-04-09,46.69,47.75,46.56,47.13,35.2067,87600.0,0.0,1.0
1998-04-13,47.0,47.25,46.63,47.25,35.2963,63900.0,0.0,1.0
1998-04-14,47.25,48.25,47.0,48.0,35.8566,57000.0,0.0,1.0
1998-04-15,48.06,48.63,47.25,47.88,35.7669,117000.0,0.0,1.0
1998-04-16,47.88,47.94,47.38,47.63,35.5802,67900.0,0.0,1.0
1998-04-17,47.75,49.31,47.75,48.75,36.4168,78000.0,0.0,1.0
1998-04-20,48.5,48.69,47.69,47.94,35.8117,212300.0,0.0,1.0
1998-04-21,47.75,49.06,46.0,48.75,36.4168,143500.0,0.0,1.0
1998-04-22,48.75,48.75,47.97,48.38,36.1404,85700.0,0.0,1.0
1998-04-23,48.44,48.56,48.28,48.31,36.0881,41300.0,0.0,1.0
1998-04-24,48.25,48.56,48.25,48.25,36.0433,68300.0,0.0,1.0
1998-04-27,47.75,47.75,44.94,45.63,34.0861,95800.0,0.0,1.0
1998-04-28,45.88,47.19,45.88,47.19,35.2515,263700.0,0.0,1.0
1998-04-29,47.44,47.44,46.5,46.63,34.8332,247100.0,0.0,1.0
1998-04-30,46.63,47.38,46.31,46.94,35.0647,83400.0,0.0,1.0
1998-05-01,46.81,48.0,46.81,48.0,35.8566,251200.0,0.0,1.0
1998-05-04,47.88,48.75,47.88,48.5,36.2301,129000.0,0.0,1.0
1998-05-05,48.5,48.69,48.13,48.13,35.9537,75900.0,0.0,1.0
1998-05-06,48.38,48.38,46.5,47.0,35.1096,106800.0,0.0,1.0
1998-05-07,46.88,46.88,46.31,46.44,34.6912,35600.0,0.0,1.0
1998-05-08,46.63,48.06,46.63,47.75,35.6698,73100.0,0.0,1.0
1998-05-11,47.75,48.38,47.25,47.25,35.2963,71300.0,0.0,1.0
1998-05-12,47.5,47.5,46.13,46.69,34.878,83800.0,0.0,1.0
1998-05-13,46.81,46.81,46.25,46.5,34.736,128400.0,0.0,1.0
1998-05-14,46.5,48.0,46.5,47.81,35.7146,29500.0,0.0,1.0
1998-05-15,47.88,48.06,45.75,46.0,34.3625,56500.0,0.0,1.0
1998-05-18,46.0,46.94,46.0,46.06,34.4074,73300.0,0.0,1.0
1998-05-19,46.5,46.94,46.25,46.44,34.6912,160400.0,0.0,1.0
1998-05-20,46.5,46.5,46.06,46.06,34.4074,88200.0,0.0,1.0
1998-05-21,46.06,46.44,46.06,46.38,34.6464,66800.0,0.0,1.0
1998-05-22,46.38,46.38,45.75,45.75,34.1758,72700.0,0.0,1.0
1998-05-26,45.81,47.5,45.81,47.0,35.1096,179100.0,0.0,1.0
1998-05-27,46.75,46.75,45.88,46.19,34.5045,31100.0,0.0,1.0
1998-05-28,46.63,46.81,45.81,46.63,34.9228,58000.0,0.12,1.0
1998-05-29,46.69,46.88,45.81,46.0,34.451,38400.0,0.0,1.0
1998-06-01,46.06,46.06,45.63,45.88,34.3611,126600.0,0.0,1.0
1998-06-02,45.88,47.38,45.88,47.0,35.1999,62000.0,0.0,1.0
1998-06-03,46.94,47.0,45.63,45.69,34.2188,108800.0,0.0,1.0
1998-06-04,45.69,45.75,45.56,45.75,34.2637,25200.0,0.0,1.0
1998-06-05,45.75,46.13,45.63,45.81,34.3087,171400.0,0.0,1.0
1998-06-08,45.81,46.5,45.63,45.94,34.406,203600.0,0.0,1.0
1998-06-09,45.94,46.06,45.63,45.81,34.3087,136800.0,0.0,1.0
1998-06-10,45.81,45.81,45.81,45.81,34.3087,94000.0,0.0,1.0
1998-06-11,45.63,45.88,44.0,44.25,33.1403,156200.0,0.0,1.0
1998-06-12,44.0,44.0,43.13,43.69,32.7209,279600.0,0.0,1.0
1998-06-15,43.69,43.69,43.0,43.25,32.3914,257900.0,0.0,1.0
1998-06-16,43.31,44.69,43.13,44.5,33.3276,98100.0,0.0,1.0
1998-06-17,44.5,46.0,44.38,45.44,34.0316,57400.0,0.0,1.0
1998-06-18,45.19,45.25,44.44,44.63,33.4249,40700.0,0.0,1.0
1998-06-19,44.0,44.5,43.25,43.44,32.5337,67900.0,0.0,1.0
1998-06-22,43.44,44.06,43.13,43.38,32.4888,126100.0,0.0,1.0
1998-06-23,44.13,45.13,44.13,44.25,33.1403,155100.0,0.0,1.0
1998-06-24,44.0,44.0,43.25,43.63,32.676,167200.0,0.0,1.0
