date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,74.5,74.63,74.06,74.56,14.5694,178267.0,0.0,1.0
1998-01-05,1,74.69,75.88,74.56,75.06,14.6671,256267.0,0.0,1.0
1998-01-06,2,74.88,76.69,74.5,76.38,14.925,433467.0,0.0,1.0
1998-01-07,3,75.75,75.75,73.94,74.5,14.6554,172067.0,0.5,1.0
1998-01-08,4,74.69,74.94,73.25,73.38,14.435,179800.0,0.0,1.0
1998-01-09,5,73.0,73.0,70.5,70.94,13.9551,280467.0,0.0,1.0
1998-01-12,6,70.0,71.94,69.56,71.81,14.1262,316667.0,0.0,1.0
1998-01-13,7,72.5,72.94,72.0,72.38,14.2383,174600.0,0.0,1.0
1998-01-14,8,72.75,73.13,72.63,72.94,14.3485,209200.0,0.0,1.0
1998-01-15,9,72.94,72.94,71.0,71.69,14.1026,156467.0,0.0,1.0
1998-01-16,10,72.5,73.31,72.38,73.25,14.4095,244400.0,0.0,1.0
1998-01-20,11,73.06,74.88,72.75,74.81,14.7163,206267.0,0.0,1.0
1998-01-21,12,74.44,74.94,72.69,73.63,14.4842,222667.0,0.0,1.0
1998-01-22,13,73.25,73.25,72.38,72.56,14.2737,104867.0,0.0,1.0
1998-01-23,14,72.5,72.5,71.06,72.38,14.2383,193800.0,0.0,1.0
1998-01-26,15,72.31,72.75,71.19,71.94,14.1518,279067.0,0.0,1.0
1998-01-27,16,72.31,72.88,72.0,72.38,14.2383,457667.0,0.0,1.0
1998-01-28,17,72.44,73.5,72.44,72.81,14.3229,451867.0,0.0,1.0
1998-01-29,18,72.81,74.94,72.75,74.44,14.6436,302800.0,0.0,1.0
1998-01-30,19,74.5,74.75,73.88,73.88,14.5334,206600.0,0.0,1.0
1998-02-02,20,73.88,75.94,73.63,75.25,14.8029,449067.0,0.0,1.0
1998-02-03,21,75.0,75.31,74.81,75.31,14.8147,165000.0,0.0,1.0
1998-02-04,22,74.75,75.38,74.75,75.31,14.8147,264467.0,0.0,1.0
1998-02-05,23,75.06,75.75,74.44,75.06,14.7655,155800.0,0.0,1.0
1998-02-06,24,75.25,75.5,74.88,75.13,14.7793,126067.0,0.0,1.0
1998-02-09,25,75.06,75.69,74.94,75.44,14.8403,168000.0,0.0,1.0
1998-02-10,26,75.56,77.06,75.56,75.75,14.9013,342400.0,0.0,1.0
1998-02-11,27,75.56,79.0,75.25,79.0,15.5406,799267.0,0.0,1.0
1998-02-12,28,78.75,81.0,78.75,80.88,15.9104,730667.0,0.0,1.0
1998-02-13,29,80.25,80.56,78.81,79.75,15.6881,327467.0,0.0,1.0
1998-02-17,30,80.5,81.75,80.0,81.19,15.9714,435867.0,0.0,1.0
1998-02-18,31,81.0,83.13,80.94,82.31,16.1917,344067.0,0.0,1.0
1998-02-19,32,82.13,83.38,81.88,83.25,16.3766,495600.0,0.0,1.0
1998-02-20,33,83.44,84.69,82.69,84.69,16.6599,464267.0,0.0,1.0
1998-02-23,34,84.69,86.5,84.0,85.88,16.894000000000002,519267.0,0.0,1.0
1998-02-24,35,85.88,86.25,84.88,84.94,16.7091,562600.0,0.0,1.0
1998-02-25,36,85.0,85.44,84.97,85.25,16.7701,318200.0,0.0,1.0
1998-02-26,37,85.0,86.94,84.69,86.31,16.9786,303200.0,0.0,1.0
1998-02-27,38,85.88,87.5,85.88,86.69,17.0533,339400.0,0.0,1.0
1998-03-02,39,86.56,87.25,85.88,86.31,16.9786,215600.0,0.0,1.0
1998-03-03,40,86.06,87.13,86.06,86.69,17.0533,183667.0,0.0,1.0
1998-03-04,41,86.56,86.63,85.75,85.81,16.8802,229000.0,0.0,1.0
1998-03-05,42,85.38,85.44,83.25,84.38,16.5989,402200.0,0.0,1.0
1998-03-06,43,84.0,87.38,84.0,86.44,17.0042,275000.0,0.0,1.0
1998-03-09,44,86.5,88.5,86.5,87.56,17.2245,385200.0,0.0,1.0
1998-03-10,45,87.63,88.88,87.25,88.88,17.4841,398867.0,0.0,1.0
1998-03-11,46,88.81,90.31,88.75,90.31,17.7654,356867.0,0.0,1.0
1998-03-12,47,89.94,92.5,89.25,91.44,17.9877,420000.0,0.0,1.0
1998-03-13,48,91.06,92.25,90.75,91.25,17.9504,288867.0,0.0,1.0
1998-03-16,49,91.0,92.13,90.81,91.94,18.0861,253600.0,0.0,1.0
1998-03-17,50,91.0,91.25,89.94,90.69,17.8402,385867.0,0.0,1.0
1998-03-18,51,90.0,90.94,89.81,90.25,17.7536,182667.0,0.0,1.0
1998-03-19,52,90.75,91.44,90.63,90.94,17.8894,306600.0,0.0,1.0
1998-03-20,53,91.19,91.19,89.88,90.75,17.852,329000.0,0.0,1.0
1998-03-23,54,90.88,91.25,89.0,89.0,17.5077,268267.0,0.0,1.0
1998-03-24,55,89.0,89.75,88.38,89.31,17.5687,479867.0,0.0,1.0
1998-03-25,56,90.0,90.94,89.25,89.56,17.6179,292267.0,0.0,1.0
1998-03-26,57,89.38,89.38,87.94,87.94,17.2992,327800.0,0.0,1.0
1998-03-27,58,87.94,88.25,85.94,87.56,17.2245,756067.0,0.0,1.0
1998-03-30,59,87.0,87.0,85.88,86.25,16.9668,1020067.0,0.0,1.0
1998-03-31,60,86.13,88.5,86.13,87.31,17.1753,623267.0,0.0,1.0
1998-04-01,61,87.56,88.0,87.13,87.44,17.2009,291800.0,0.0,1.0
1998-04-02,62,87.63,88.44,87.25,88.31,17.372,418200.0,0.0,1.0
1998-04-03,63,88.5,90.75,88.5,90.63,17.8284,635267.0,0.0,1.0
1998-04-06,64,90.38,91.63,90.38,91.13,17.9268,422867.0,0.0,1.0
1998-04-07,65,90.5,91.38,88.38,88.81,17.5687,423000.0,0.5,1.0
1998-04-08,66,89.25,90.25,87.94,88.5,17.5074,270800.0,0.0,1.0
1998-04-09,67,88.44,89.94,88.25,89.31,17.6676,321400.0,0.0,1.0
1998-04-13,68,89.56,90.25,89.06,90.0,17.8041,295000.0,0.0,1.0
1998-04-14,69,90.06,91.13,90.06,91.13,18.0277,313600.0,0.0,1.0
1998-04-15,70,91.13,92.13,90.31,91.88,18.176,353600.0,0.0,1.0
1998-04-16,71,91.75,92.06,91.0,91.56,18.1127,333867.0,0.0,1.0
1998-04-17,72,91.56,93.0,91.5,92.56,18.3106,352067.0,0.0,1.0
1998-04-20,73,92.56,93.63,92.56,93.44,18.4847,321267.0,0.0,1.0
1998-04-21,74,93.44,94.44,92.75,93.94,18.5836,456200.0,0.0,1.0
1998-04-22,75,94.0,94.88,93.38,93.5,18.4965,335267.0,0.0,1.0
1998-04-23,76,93.25,93.44,91.56,91.88,18.176,312267.0,0.0,1.0
1998-04-24,77,91.25,91.88,89.75,90.13,17.8299,259600.0,0.0,1.0
1998-04-27,78,89.63,89.63,87.0,87.5,17.3096,340267.0,0.0,1.0
1998-04-28,79,87.94,89.13,87.38,87.81,17.3709,253267.0,0.0,1.0
1998-04-29,80,87.75,89.13,86.63,88.56,17.5193,293000.0,0.0,1.0
1998-04-30,81,88.88,93.13,88.81,91.13,18.0277,428400.0,0.0,1.0
1998-05-01,82,91.0,91.81,90.88,91.81,18.1622,187800.0,0.0,1.0
1998-05-04,83,91.75,91.94,89.75,90.06,17.816,421867.0,0.0,1.0
1998-05-05,84,89.0,90.5,88.75,90.44,17.8912,257600.0,0.0,1.0
1998-05-06,85,90.88,90.88,87.88,88.38,17.4837,345267.0,0.0,1.0
1998-05-07,86,88.56,88.56,86.56,87.0,17.2107,332467.0,0.0,1.0
1998-05-08,87,86.75,87.75,86.75,87.56,17.3215,495200.0,0.0,1.0
1998-05-11,88,87.81,88.69,87.38,87.88,17.3848,164600.0,0.0,1.0
1998-05-12,89,87.5,88.5,86.63,88.5,17.5074,427400.0,0.0,1.0
1998-05-13,90,88.25,89.0,88.19,88.5,17.5074,161600.0,0.0,1.0
1998-05-14,91,88.25,88.38,86.75,87.31,17.272000000000002,128467.0,0.0,1.0
1998-05-15,92,86.88,88.24,86.25,88.0,17.4085,280000.0,0.0,1.0
1998-05-18,93,88.0,88.25,85.88,86.69,17.1493,185067.0,0.0,1.0
1998-05-19,94,86.94,87.75,85.56,87.44,17.2977,309667.0,0.0,1.0
1998-05-20,95,87.69,91.13,87.31,91.13,18.0277,623267.0,0.0,1.0
1998-05-21,96,90.75,90.88,89.0,90.69,17.9406,414067.0,0.0,1.0
1998-05-22,97,90.69,90.75,88.31,88.31,17.4698,179200.0,0.0,1.0
1998-05-26,98,88.5,89.38,87.75,87.81,17.3709,193467.0,0.0,1.0
1998-05-27,99,86.5,87.06,85.25,85.81,16.9753,386467.0,0.0,1.0
1998-05-28,100,86.0,87.5,84.5,86.88,17.1869,239400.0,0.0,1.0
1998-05-29,101,88.5,89.5,87.56,87.56,17.3215,261867.0,0.0,1.0
1998-06-01,102,87.81,89.25,87.31,88.0,17.4085,192667.0,0.0,1.0
1998-06-02,103,88.63,88.75,85.88,86.19,17.0504,410267.0,0.0,1.0
1998-06-03,104,86.06,86.31,84.81,84.94,16.8032,347800.0,0.0,1.0
1998-06-04,105,84.94,87.13,84.38,86.63,17.1375,266467.0,0.0,1.0
1998-06-05,106,87.25,88.25,86.38,88.13,17.4342,186000.0,0.0,1.0
1998-06-08,107,87.88,89.19,87.5,88.63,17.5331,191000.0,0.0,1.0
1998-06-09,108,88.81,89.31,88.38,89.06,17.6182,144800.0,0.0,1.0
1998-06-10,109,89.31,89.38,87.5,87.5,17.3096,176800.0,0.0,1.0
1998-06-11,110,87.75,87.81,84.63,85.69,16.9515,201400.0,0.0,1.0
1998-06-12,111,85.69,85.75,83.88,85.56,16.9258,217200.0,0.0,1.0
1998-06-15,112,83.5,84.25,82.88,83.13,16.4451,355000.0,0.0,1.0
1998-06-16,113,83.0,84.38,82.25,83.0,16.4194,402467.0,0.0,1.0
1998-06-17,114,83.75,86.44,83.69,84.69,16.7537,386667.0,0.0,1.0
1998-06-18,115,85.25,85.44,83.94,84.38,16.6924,331267.0,0.0,1.0
1998-06-19,116,84.13,84.69,84.13,84.44,16.7042,318600.0,0.0,1.0
1998-06-22,117,84.56,86.13,84.25,85.5,16.9139,285600.0,0.0,1.0
1998-06-23,118,85.63,87.94,85.63,87.63,17.3353,483400.0,0.0,1.0
1998-06-24,119,87.63,89.94,87.31,89.94,17.7923,249467.0,0.0,1.0
1998-06-25,120,90.5,90.94,89.69,89.94,17.7923,243067.0,0.0,1.0
1998-06-26,121,90.13,90.75,89.38,89.94,17.7923,202000.0,0.0,1.0
1998-06-29,122,59.94,60.19,59.63,59.63,17.6943,127200.0,0.0,1.5
1998-06-30,123,60.5,61.19,60.0,60.44,17.9347,568500.0,0.0,1.0
1998-07-01,124,60.5,60.5,59.44,60.19,17.8605,581800.0,0.0,1.0
1998-07-02,125,59.25,60.25,59.0,60.19,17.8605,505700.0,0.0,1.0
1998-07-06,126,60.44,61.94,60.38,61.63,18.2878,445300.0,0.0,1.0
1998-07-07,127,61.63,61.69,59.75,60.13,17.8427,634000.0,0.0,1.0
1998-07-08,128,59.69,61.88,59.56,61.75,18.4421,876900.0,0.4,1.0
1998-07-09,129,61.75,62.31,61.13,61.25,18.2928,406500.0,0.0,1.0
1998-07-10,130,60.63,62.56,60.5,62.06,18.5347,325000.0,0.0,1.0
1998-07-13,131,61.81,62.94,61.75,62.5,18.6661,492800.0,0.0,1.0
1998-07-14,132,62.56,64.31,62.56,63.69,19.0215,440000.0,0.0,1.0
1998-07-15,133,63.44,63.63,63.0,63.13,18.8543,460000.0,0.0,1.0
1998-07-16,134,63.0,64.0,62.88,64.0,19.1141,394100.0,0.0,1.0
1998-07-17,135,63.56,63.75,63.25,63.63,19.0036,368200.0,0.0,1.0
1998-07-20,136,63.38,63.88,62.75,63.38,18.9289,385600.0,0.0,1.0
1998-07-21,137,63.13,63.44,61.56,62.0,18.5168,335800.0,0.0,1.0
1998-07-22,138,62.0,62.69,61.5,62.0,18.5168,265700.0,0.0,1.0
1998-07-23,139,63.13,63.19,59.88,59.88,17.8836,425500.0,0.0,1.0
1998-07-24,140,60.13,61.06,58.13,59.63,17.809,507000.0,0.0,1.0
1998-07-27,141,58.75,59.38,58.19,59.0,17.6208,632800.0,0.0,1.0
1998-07-28,142,58.81,59.88,58.56,59.75,17.8448,803300.0,0.0,1.0
1998-07-29,143,59.88,61.5,59.38,60.38,18.033,917000.0,0.0,1.0
1998-07-30,144,60.38,62.06,60.38,61.56,18.3854,557600.0,0.0,1.0
1998-07-31,145,61.56,62.63,60.63,61.06,18.236,493100.0,0.0,1.0
1998-08-03,146,60.81,61.63,60.81,61.31,18.3107,503600.0,0.0,1.0
1998-08-04,147,61.31,61.75,58.38,58.63,17.5103,980300.0,0.0,1.0
1998-08-05,148,59.13,60.19,58.5,59.25,17.6955,1174000.0,0.0,1.0
1998-08-06,149,59.31,59.81,59.0,59.69,17.8269,707500.0,0.0,1.0
1998-08-07,150,59.56,61.19,59.5,60.69,18.1255,666900.0,0.0,1.0
1998-08-10,151,60.5,61.88,60.5,60.94,18.2002,862200.0,0.0,1.0
1998-08-11,152,60.25,60.44,57.88,58.31,17.4147,725100.0,0.0,1.0
1998-08-12,153,60.25,60.44,57.81,58.13,17.361,756900.0,0.0,1.0
1998-08-13,154,58.31,58.63,57.25,57.63,17.2117,595000.0,0.0,1.0
1998-08-14,155,57.5,58.19,56.38,56.88,16.9877,288200.0,0.0,1.0
1998-08-17,156,57.0,58.0,56.88,58.0,17.3222,247200.0,0.0,1.0
1998-08-18,157,57.81,59.0,57.69,58.31,17.4147,299000.0,0.0,1.0
