date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,82.19,83.63,81.75,83.5,24.7637,1286500.0,0.0,1.0
1998-01-05,1,83.0,85.25,82.69,83.38,24.7281,1252800.0,0.0,1.0
1998-01-06,2,83.25,85.75,83.0,83.63,24.8023,1810100.0,0.0,1.0
1998-01-07,3,83.81,84.63,82.75,84.31,25.004,1247400.0,0.0,1.0
1998-01-08,4,84.0,84.0,82.25,83.31,24.7074,975700.0,0.0,1.0
1998-01-09,5,83.38,83.63,82.0,82.63,24.5057,3991500.0,0.0,1.0
1998-01-12,6,81.0,84.06,81.0,82.81,24.5591,1268700.0,0.0,1.0
1998-01-13,7,83.0,84.13,82.69,84.13,24.9506,820000.0,0.0,1.0
1998-01-14,8,83.75,84.25,82.94,84.06,24.9298,907400.0,0.0,1.0
1998-01-15,9,83.81,83.88,82.38,82.5,24.4672,655000.0,0.0,1.0
1998-01-16,10,82.75,83.94,82.5,83.25,24.8527,1263500.0,0.55,1.0
1998-01-20,11,83.25,83.5,82.94,83.25,24.8527,1040800.0,0.0,1.0
1998-01-21,12,83.0,83.13,81.56,82.38,24.593000000000004,1114900.0,0.0,1.0
1998-01-22,13,81.75,81.94,80.06,80.75,24.1064,956900.0,0.0,1.0
1998-01-23,14,80.75,82.38,80.69,81.56,24.3482,1004900.0,0.0,1.0
1998-01-26,15,82.0,82.19,80.56,82.0,24.4795,831900.0,0.0,1.0
1998-01-27,16,82.0,82.06,80.56,80.56,24.0497,1174700.0,0.0,1.0
1998-01-28,17,80.75,84.5,80.75,84.5,25.2259,1719300.0,0.0,1.0
1998-01-29,18,84.5,85.75,83.88,85.31,25.4677,1310800.0,0.0,1.0
1998-01-30,19,84.5,85.94,83.31,83.5,24.9273,1544900.0,0.0,1.0
1998-02-02,20,84.38,87.44,84.38,86.88,25.9364,1423500.0,0.0,1.0
1998-02-03,21,86.63,88.75,86.5,88.38,26.3842,1279200.0,0.0,1.0
1998-02-04,22,88.38,88.38,86.88,87.81,26.214,746000.0,0.0,1.0
1998-02-05,23,88.06,88.25,86.63,87.5,26.1215,770200.0,0.0,1.0
1998-02-06,24,88.0,88.75,87.13,87.56,26.1394,752100.0,0.0,1.0
1998-02-09,25,87.69,87.69,87.0,87.13,26.011,638200.0,0.0,1.0
1998-02-10,26,87.25,87.81,85.94,86.0,25.6737,1256800.0,0.0,1.0
1998-02-11,27,86.31,88.25,86.31,87.88,26.2349,686700.0,0.0,1.0
1998-02-12,28,88.25,89.38,87.38,88.69,26.4767,1037800.0,0.0,1.0
1998-02-13,29,87.5,88.13,86.81,88.0,26.2707,960300.0,0.0,1.0
1998-02-17,30,88.25,89.19,87.63,88.13,26.3095,704900.0,0.0,1.0
1998-02-18,31,87.38,88.44,87.19,87.88,26.3991,802600.0,0.55,1.0
1998-02-19,32,87.25,87.88,87.13,87.5,26.2849,656400.0,0.0,1.0
1998-02-20,33,88.13,88.13,86.63,87.94,26.4171,786700.0,0.0,1.0
1998-02-23,34,88.19,88.31,85.56,86.0,25.8343,803200.0,0.0,1.0
1998-02-24,35,86.0,86.0,84.31,84.75,25.4589,1063400.0,0.0,1.0
1998-02-25,36,85.38,85.63,84.69,85.25,25.6091,1018400.0,0.0,1.0
1998-02-26,37,85.0,86.63,84.75,86.25,25.9094,966600.0,0.0,1.0
1998-02-27,38,86.38,86.56,85.0,85.31,25.6271,1091200.0,0.0,1.0
1998-03-02,39,85.31,89.5,85.31,89.0,26.7355,1754700.0,0.0,1.0
1998-03-03,40,89.0,89.0,87.88,88.75,26.6604,1328900.0,0.0,1.0
1998-03-04,41,88.38,89.88,88.06,89.88,26.9999,1064500.0,0.0,1.0
1998-03-05,42,88.5,89.13,88.5,88.94,26.7175,802000.0,0.0,1.0
1998-03-06,43,89.5,89.63,88.06,89.56,26.9038,845000.0,0.0,1.0
1998-03-09,44,89.69,90.38,89.0,89.88,26.9999,1306200.0,0.0,1.0
1998-03-10,45,90.25,90.5,89.88,90.13,27.075,802100.0,0.0,1.0
1998-03-11,46,90.13,90.81,89.75,90.56,27.2042,705700.0,0.0,1.0
1998-03-12,47,90.0,90.69,90.0,90.19,27.093000000000004,947900.0,0.0,1.0
1998-03-13,48,90.63,90.81,89.63,89.75,26.9608,1255700.0,0.0,1.0
1998-03-16,49,90.5,92.25,90.31,91.5,27.4865,1944700.0,0.0,1.0
1998-03-17,50,91.75,93.5,90.75,93.31,28.0303,1153100.0,0.0,1.0
1998-03-18,51,93.0,94.06,92.81,93.75,28.1624,1259300.0,0.0,1.0
1998-03-19,52,94.13,94.25,93.44,94.19,28.2946,474900.0,0.0,1.0
1998-03-20,53,94.5,94.63,93.19,93.69,28.1444,1050700.0,0.0,1.0
1998-03-23,54,93.69,94.38,92.44,94.06,28.2556,700200.0,0.0,1.0
1998-03-24,55,94.81,95.56,94.69,94.94,28.5199,656800.0,0.0,1.0
1998-03-25,56,94.94,95.88,94.94,95.5,28.6881,799700.0,0.0,1.0
1998-03-26,57,95.38,95.56,94.31,95.56,28.7062,614800.0,0.0,1.0
1998-03-27,58,96.0,96.13,94.25,94.63,28.4268,854000.0,0.0,1.0
1998-03-30,59,94.38,94.63,93.25,93.75,28.1624,924200.0,0.0,1.0
1998-03-31,60,93.75,94.69,90.5,91.0,27.3363,1639800.0,0.0,1.0
1998-04-01,61,92.63,92.94,91.75,92.13,27.6758,1389600.0,0.0,1.0
1998-04-02,62,92.44,92.88,91.75,92.5,27.7869,1147200.0,0.0,1.0
1998-04-03,63,92.25,92.31,91.25,92.13,27.6758,703400.0,0.0,1.0
1998-04-06,64,92.25,92.38,91.75,91.81,27.5797,775700.0,0.0,1.0
1998-04-07,65,91.88,92.69,91.44,92.5,27.7869,1050800.0,0.0,1.0
