date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,1.81,1.81,1.81,1.81,0.0377,0.0,0.0,1.0
1998-01-05,1,1.813,1.813,1.75,1.781,0.0371,47600.0,0.0,1.0
1998-01-06,2,1.75,1.75,1.75,1.75,0.0365,2000.0,0.0,1.0
1998-01-07,3,1.75,1.75,1.719,1.719,0.0358,21500.0,0.0,1.0
1998-01-08,4,1.719,1.813,1.719,1.813,0.0378,4800.0,0.0,1.0
1998-01-09,5,1.6880000000000002,1.75,1.625,1.625,0.0339,19600.0,0.0,1.0
1998-01-12,6,1.5630000000000002,1.5630000000000002,1.5,1.5,0.0312,19500.0,0.0,1.0
1998-01-13,7,1.5,1.5,1.5,1.5,0.0312,800.0,0.0,1.0
1998-01-14,8,1.469,1.469,1.469,1.469,0.0306,4000.0,0.0,1.0
1998-01-15,9,1.625,1.625,1.625,1.625,0.0339,3900.0,0.0,1.0
1998-01-16,10,1.5,1.6880000000000002,1.5,1.6880000000000002,0.0352,7000.0,0.0,1.0
1998-01-20,11,1.75,1.75,1.656,1.656,0.0345,3200.0,0.0,1.0
1998-01-21,12,1.75,1.75,1.75,1.75,0.0365,100.0,0.0,1.0
1998-01-22,13,1.75,1.75,1.5630000000000002,1.5630000000000002,0.0326,8000.0,0.0,1.0
1998-01-23,14,1.5630000000000002,1.719,1.5630000000000002,1.5630000000000002,0.0326,5500.0,0.0,1.0
1998-01-26,15,1.625,1.719,1.625,1.719,0.0358,16800.0,0.0,1.0
1998-01-27,16,1.656,1.656,1.656,1.656,0.0345,6300.0,0.0,1.0
1998-01-28,17,1.594,1.656,1.594,1.656,0.0345,1600.0,0.0,1.0
1998-01-29,18,1.6880000000000002,1.6880000000000002,1.625,1.625,0.0339,15200.0,0.0,1.0
1998-01-30,19,1.625,1.625,1.531,1.594,0.0332,16500.0,0.0,1.0
1998-02-02,20,1.625,1.719,1.594,1.656,0.0345,33900.0,0.0,1.0
1998-02-03,21,1.625,1.625,1.625,1.625,0.0339,200.0,0.0,1.0
1998-02-04,22,1.625,1.625,1.625,1.625,0.0339,1100.0,0.0,1.0
1998-02-05,23,1.719,1.719,1.656,1.719,0.0358,8200.0,0.0,1.0
1998-02-06,24,1.6880000000000002,1.719,1.656,1.656,0.0345,7200.0,0.0,1.0
1998-02-09,25,1.656,1.719,1.656,1.656,0.0345,700.0,0.0,1.0
1998-02-10,26,1.6880000000000002,1.875,1.6880000000000002,1.75,0.0365,30400.0,0.0,1.0
1998-02-11,27,1.875,1.875,1.75,1.781,0.0371,6000.0,0.0,1.0
1998-02-12,28,1.813,1.813,1.813,1.813,0.0378,2800.0,0.0,1.0
1998-02-13,29,1.844,1.875,1.844,1.875,0.0391,34500.0,0.0,1.0
1998-02-17,30,1.906,1.938,1.813,1.938,0.0404,14300.0,0.0,1.0
1998-02-18,31,1.875,2.031,1.875,2.031,0.0423,42700.0,0.0,1.0
1998-02-19,32,2.063,2.094,2.0,2.063,0.043,86300.0,0.0,1.0
1998-02-20,33,2.031,2.031,1.969,2.0,0.0417,23400.0,0.0,1.0
1998-02-23,34,1.938,2.0,1.875,1.906,0.0397,17200.0,0.0,1.0
1998-02-24,35,2.0,2.0,1.906,1.938,0.0404,11300.0,0.0,1.0
1998-02-25,36,1.938,2.094,1.938,2.094,0.0436,94100.0,0.0,1.0
1998-02-26,37,2.094,2.125,2.063,2.094,0.0436,22200.0,0.0,1.0
1998-02-27,38,2.063,2.313,1.969,2.25,0.0469,164400.0,0.0,1.0
1998-03-02,39,2.188,2.25,2.0,2.219,0.0462,118700.0,0.0,1.0
1998-03-03,40,2.188,2.188,2.125,2.125,0.0443,20300.0,0.0,1.0
1998-03-04,41,2.063,2.063,2.0,2.031,0.0423,103300.0,0.0,1.0
1998-03-05,42,2.0,2.0,2.0,2.0,0.0417,700.0,0.0,1.0
1998-03-06,43,2.094,2.125,2.0,2.125,0.0443,39500.0,0.0,1.0
1998-03-09,44,2.031,2.188,2.031,2.188,0.0456,45900.0,0.0,1.0
1998-03-10,45,2.125,2.125,2.0,2.0,0.0417,11600.0,0.0,1.0
1998-03-11,46,2.094,2.125,2.031,2.125,0.0443,39200.0,0.0,1.0
1998-03-12,47,2.063,2.156,2.063,2.094,0.0436,20700.0,0.0,1.0
1998-03-13,48,2.125,2.281,2.125,2.219,0.0462,100900.0,0.0,1.0
1998-03-16,49,2.313,2.406,2.25,2.375,0.0495,69200.0,0.0,1.0
1998-03-17,50,2.469,2.5,2.375,2.469,0.0514,71900.0,0.0,1.0
1998-03-18,51,2.5,2.5,2.281,2.281,0.0475,112100.0,0.0,1.0
1998-03-19,52,2.375,2.406,2.281,2.281,0.0475,54600.0,0.0,1.0
1998-03-20,53,2.313,2.5,2.25,2.375,0.0495,130000.0,0.0,1.0
1998-03-23,54,2.375,2.5,2.375,2.5,0.0521,66000.0,0.0,1.0
1998-03-24,55,2.5,2.5,2.406,2.438,0.0508,11300.0,0.0,1.0
1998-03-25,56,2.469,2.5,2.406,2.406,0.0501,26200.0,0.0,1.0
1998-03-26,57,2.469,2.5,2.406,2.438,0.0508,36500.0,0.0,1.0
1998-03-27,58,2.531,2.531,2.438,2.469,0.0514,19500.0,0.0,1.0
1998-03-30,59,2.469,2.469,2.438,2.469,0.0514,9000.0,0.0,1.0
1998-03-31,60,2.5,2.563,2.469,2.531,0.0527,56100.0,0.0,1.0
1998-04-01,61,2.469,2.563,2.469,2.563,0.0534,49700.0,0.0,1.0
1998-04-02,62,2.531,2.531,2.5,2.5,0.0521,9400.0,0.0,1.0
1998-04-03,63,2.5,2.563,2.5,2.531,0.0527,23700.0,0.0,1.0
1998-04-06,64,2.531,2.531,2.5,2.5,0.0521,1200.0,0.0,1.0
1998-04-07,65,2.5,2.5,2.469,2.5,0.0521,34100.0,0.0,1.0
1998-04-08,66,2.531,2.531,2.5,2.5,0.0521,500.0,0.0,1.0
1998-04-09,67,2.5,2.531,2.438,2.5,0.0521,13000.0,0.0,1.0
1998-04-13,68,2.563,2.563,2.5,2.5,0.0521,30000.0,0.0,1.0
1998-04-14,69,2.563,2.563,2.5,2.5,0.0521,9700.0,0.0,1.0
1998-04-15,70,2.5,2.563,2.5,2.5,0.0521,3700.0,0.0,1.0
1998-04-16,71,2.5,2.5,2.469,2.469,0.0514,23000.0,0.0,1.0
1998-04-17,72,2.531,2.531,2.375,2.375,0.0495,3500.0,0.0,1.0
1998-04-20,73,2.375,2.5,2.375,2.438,0.0508,28300.0,0.0,1.0
1998-04-21,74,2.563,2.563,2.438,2.563,0.0534,25100.0,0.0,1.0
1998-04-22,75,2.563,2.563,2.5,2.563,0.0534,62300.0,0.0,1.0
1998-04-23,76,2.531,2.563,2.5,2.5,0.0521,56400.0,0.0,1.0
1998-04-24,77,2.563,2.563,2.438,2.438,0.0508,24200.0,0.0,1.0
1998-04-27,78,2.563,2.688,2.5,2.625,0.0547,101700.0,0.0,1.0
1998-04-28,79,2.688,2.75,2.563,2.688,0.056,88000.0,0.0,1.0
1998-04-29,80,2.781,3.063,2.75,3.031,0.0631,125100.0,0.0,1.0
1998-04-30,81,3.0,3.5,3.0,3.375,0.0703,303700.0,0.0,1.0
1998-05-01,82,3.375,3.438,3.188,3.313,0.069,118600.0,0.0,1.0
1998-05-04,83,3.313,3.313,3.125,3.125,0.0651,54000.0,0.0,1.0
1998-05-05,84,3.25,3.25,3.0,3.031,0.0631,52600.0,0.0,1.0
1998-05-06,85,3.063,3.25,3.0,3.156,0.0657,52200.0,0.0,1.0
1998-05-07,86,3.156,3.156,3.0,3.063,0.0638,34300.0,0.0,1.0
1998-05-08,87,3.0,3.063,3.0,3.063,0.0638,24300.0,0.0,1.0
1998-05-11,88,3.063,3.063,2.938,3.063,0.0638,38700.0,0.0,1.0
1998-05-12,89,3.063,3.125,3.0,3.031,0.0631,99600.0,0.0,1.0
1998-05-13,90,3.031,3.188,2.938,3.188,0.0664,84000.0,0.0,1.0
1998-05-14,91,3.5,4.063,3.406,4.0,0.0833,600900.0,0.0,1.0
1998-05-15,92,4.063,4.25,3.875,4.063,0.0846,111700.0,0.0,1.0
1998-05-18,93,3.938,4.063,3.875,4.0,0.0833,86100.0,0.0,1.0
1998-05-19,94,3.938,4.0,3.875,3.969,0.0827,87000.0,0.0,1.0
1998-05-20,95,3.875,4.0,3.875,3.938,0.08199999999999999,39600.0,0.0,1.0
1998-05-21,96,3.969,4.0,3.875,4.0,0.0833,96400.0,0.0,1.0
1998-05-22,97,4.0,4.0310000000000015,3.938,4.0,0.0833,40300.0,0.0,1.0
1998-05-26,98,4.0,4.0310000000000015,3.875,4.0,0.0833,43300.0,0.0,1.0
1998-05-27,99,3.969,4.063,3.875,4.0,0.0833,229700.0,0.0,1.0
1998-05-28,100,4.063,4.063,3.938,3.938,0.08199999999999999,12500.0,0.0,1.0
1998-05-29,101,4.0,4.063,3.938,4.063,0.0846,12400.0,0.0,1.0
1998-06-01,102,4.125,4.125,3.938,4.0310000000000015,0.084,79600.0,0.0,1.0
1998-06-02,103,3.875,4.0310000000000015,3.875,3.938,0.08199999999999999,18200.0,0.0,1.0
1998-06-03,104,4.0,4.0,3.906,3.906,0.0814,24600.0,0.0,1.0
1998-06-04,105,3.969,4.0310000000000015,3.875,4.0,0.0833,45400.0,0.0,1.0
1998-06-05,106,4.0,4.0310000000000015,3.938,4.0,0.0833,72000.0,0.0,1.0
1998-06-08,107,4.0,4.0310000000000015,3.938,3.938,0.08199999999999999,82600.0,0.0,1.0
1998-06-09,108,4.0,4.0,3.938,4.0,0.0833,12500.0,0.0,1.0
1998-06-10,109,3.97,4.0,3.91,3.97,0.0827,10000.0,0.0,1.0
1998-06-11,110,4.0,4.0,3.938,3.969,0.0827,33900.0,0.0,1.0
1998-06-12,111,3.969,3.969,3.781,3.813,0.0794,29500.0,0.0,1.0
1998-06-15,112,3.781,3.938,3.75,3.75,0.0781,26700.0,0.0,1.0
1998-06-16,113,3.813,3.813,3.75,3.75,0.0781,61600.0,0.0,1.0
1998-06-17,114,3.656,3.813,3.625,3.688,0.0768,89200.0,0.0,1.0
1998-06-18,115,3.75,3.906,3.688,3.719,0.0775,37400.0,0.0,1.0
1998-06-19,116,3.813,3.813,3.625,3.625,0.0755,58100.0,0.0,1.0
1998-06-22,117,3.719,3.875,3.656,3.75,0.0781,24700.0,0.0,1.0
1998-06-23,118,3.844,4.063,3.844,4.0,0.0833,28100.0,0.0,1.0
1998-06-24,119,4.0939999999999985,4.125,4.0,4.0939999999999985,0.0853,56000.0,0.0,1.0
1998-06-25,120,4.0939999999999985,4.188,4.0310000000000015,4.125,0.0859,89500.0,0.0,1.0
1998-06-26,121,4.125,4.25,4.063,4.125,0.0859,23900.0,0.0,1.0
1998-06-29,122,4.2189999999999985,4.563,4.2189999999999985,4.5,0.0937,91100.0,0.0,1.0
1998-06-30,123,4.563,4.75,4.5,4.625,0.0964,37600.0,0.0,1.0
1998-07-01,124,4.75,5.438,4.6560000000000015,5.375,0.112,158200.0,0.0,1.0
1998-07-02,125,5.375,5.438,4.875,5.063,0.1055,117100.0,0.0,1.0
1998-07-06,126,5.25,5.25,4.938,4.938,0.1029,80900.0,0.0,1.0
1998-07-07,127,4.875,5.0310000000000015,4.75,4.938,0.1029,39500.0,0.0,1.0
1998-07-08,128,4.938,5.0,4.75,4.938,0.1029,22000.0,0.0,1.0
1998-07-09,129,4.938,5.0,4.75,4.7810000000000015,0.0996,15900.0,0.0,1.0
1998-07-10,130,4.938,4.938,4.75,4.875,0.1016,14000.0,0.0,1.0
1998-07-13,131,4.688,4.938,4.688,4.7810000000000015,0.0996,14800.0,0.0,1.0
1998-07-14,132,4.75,5.0,4.75,4.9060000000000015,0.1022,36800.0,0.0,1.0
1998-07-15,133,5.0,5.0,4.75,4.75,0.099,26200.0,0.0,1.0
1998-07-16,134,4.7810000000000015,5.0,4.7810000000000015,4.938,0.1029,47600.0,0.0,1.0
1998-07-17,135,5.0,5.0310000000000015,4.938,5.0310000000000015,0.1048,54700.0,0.0,1.0
1998-07-20,136,5.0310000000000015,5.0939999999999985,4.9689999999999985,5.0,0.1042,153700.0,0.0,1.0
1998-07-21,137,5.063,5.75,5.0310000000000015,5.563,0.1159,138700.0,0.0,1.0
1998-07-22,138,5.563,5.688,5.375,5.5310000000000015,0.1152,108200.0,0.0,1.0
1998-07-23,139,5.625,5.625,5.5,5.5,0.1146,28400.0,0.0,1.0
1998-07-24,140,5.75,5.75,5.5,5.688,0.1185,29300.0,0.0,1.0
1998-07-27,141,5.75,5.75,5.5,5.5,0.1146,192300.0,0.0,1.0
1998-07-28,142,5.375,5.5,5.0,5.2810000000000015,0.11,72300.0,0.0,1.0
1998-07-29,143,5.125,5.313,5.125,5.2810000000000015,0.11,20700.0,0.0,1.0
1998-07-30,144,5.2810000000000015,5.75,5.2810000000000015,5.75,0.1198,120900.0,0.0,1.0
1998-07-31,145,5.75,5.9689999999999985,5.688,5.875,0.1224,48200.0,0.0,1.0
1998-08-03,146,6.0,6.813,5.9060000000000015,6.5,0.1354,318800.0,0.0,1.0
1998-08-04,147,6.563,6.75,6.0,6.0310000000000015,0.1256,188400.0,0.0,1.0
1998-08-05,148,5.875,5.9689999999999985,5.75,5.875,0.1224,135000.0,0.0,1.0
1998-08-06,149,5.813,6.063,5.313,5.938,0.1237,143200.0,0.0,1.0
1998-08-07,150,6.063,6.063,5.5,5.813,0.1211,84900.0,0.0,1.0
1998-08-10,151,5.75,6.438,5.75,6.25,0.1302,160400.0,0.0,1.0
1998-08-11,152,6.188,6.188,5.938,6.063,0.1263,64700.0,0.0,1.0
1998-08-12,153,6.188,6.75,5.938,6.75,0.1406,165500.0,0.0,1.0
1998-08-13,154,6.75,6.75,6.375,6.375,0.1328,114100.0,0.0,1.0
1998-08-14,155,6.625,6.6560000000000015,5.875,6.0,0.125,143900.0,0.0,1.0
1998-08-17,156,6.313,6.5939999999999985,6.125,6.5,0.1354,149300.0,0.0,1.0
1998-08-18,157,6.438,6.5939999999999985,6.3439999999999985,6.5,0.1354,56400.0,0.0,1.0
1998-08-19,158,6.5,6.625,6.375,6.5,0.1354,50600.0,0.0,1.0
1998-08-20,159,6.438,6.438,6.313,6.4060000000000015,0.1335,21600.0,0.0,1.0
1998-08-21,160,6.375,6.375,5.375,6.375,0.1328,141800.0,0.0,1.0
1998-08-24,161,6.5,6.5,5.938,6.0310000000000015,0.1256,57000.0,0.0,1.0
1998-08-25,162,6.188,6.188,5.813,5.938,0.1237,79400.0,0.0,1.0
1998-08-26,163,5.938,5.938,5.25,5.2810000000000015,0.11,113900.0,0.0,1.0
1998-08-27,164,5.125,5.188,4.375,4.75,0.099,202100.0,0.0,1.0
1998-08-28,165,4.75,5.0,4.375,4.563,0.0951,98200.0,0.0,1.0
1998-08-31,166,4.75,4.75,4.0,4.063,0.0846,77200.0,0.0,1.0
1998-09-01,167,4.0,4.25,3.75,4.188,0.0872,104100.0,0.0,1.0
1998-09-02,168,4.188,4.875,4.188,4.625,0.0964,65900.0,0.0,1.0
1998-09-03,169,4.75,4.75,4.563,4.75,0.099,11600.0,0.0,1.0
1998-09-04,170,4.75,4.75,4.5,4.625,0.0964,15100.0,0.0,1.0
1998-09-08,171,4.75,4.875,4.688,4.75,0.099,29400.0,0.0,1.0
1998-09-09,172,4.875,4.938,4.5,4.563,0.0951,21900.0,0.0,1.0
1998-09-10,173,4.5,4.5,4.25,4.438,0.0925,9000.0,0.0,1.0
1998-09-11,174,4.313,4.5,4.313,4.438,0.0925,10600.0,0.0,1.0
1998-09-14,175,4.4689999999999985,4.5,4.25,4.375,0.0911,34800.0,0.0,1.0
1998-09-15,176,4.375,4.438,4.063,4.438,0.0925,33800.0,0.0,1.0
1998-09-16,177,4.375,4.375,4.25,4.25,0.0885,13100.0,0.0,1.0
1998-09-17,178,4.125,4.375,4.0,4.375,0.0911,17100.0,0.0,1.0
1998-09-18,179,4.188,4.375,4.125,4.313,0.0899,16300.0,0.0,1.0
1998-09-21,180,4.2810000000000015,4.313,4.125,4.313,0.0899,6300.0,0.0,1.0
1998-09-22,181,4.313,4.313,4.0,4.25,0.0885,21400.0,0.0,1.0
1998-09-23,182,4.188,4.375,4.0,4.25,0.0885,16700.0,0.0,1.0
1998-09-24,183,4.0310000000000015,4.3439999999999985,4.0310000000000015,4.25,0.0885,9000.0,0.0,1.0
1998-09-25,184,4.0,4.2810000000000015,3.813,4.063,0.0846,45900.0,0.0,1.0
1998-09-28,185,4.063,4.063,3.875,4.0,0.0833,23900.0,0.0,1.0
1998-09-29,186,4.0,4.0310000000000015,3.875,3.938,0.08199999999999999,45900.0,0.0,1.0
1998-09-30,187,3.75,4.0,3.75,3.969,0.0827,34200.0,0.0,1.0
1998-10-01,188,3.88,3.97,3.38,3.69,0.0769,83800.0,0.0,1.0
1998-10-02,189,3.688,3.75,3.188,3.75,0.0781,46500.0,0.0,1.0
1998-10-05,190,3.75,3.75,3.375,3.438,0.0716,19100.0,0.0,1.0
1998-10-06,191,3.625,3.75,3.25,3.313,0.069,51700.0,0.0,1.0
1998-10-07,192,3.438,3.5,3.25,3.25,0.0677,11300.0,0.0,1.0
1998-10-08,193,3.25,3.313,3.0,3.063,0.0638,36400.0,0.0,1.0
1998-10-09,194,3.188,3.188,2.969,3.031,0.0631,39600.0,0.0,1.0
1998-10-12,195,3.031,3.188,2.938,3.094,0.0645,50900.0,0.0,1.0
1998-10-13,196,3.156,3.156,3.0,3.0,0.0625,8200.0,0.0,1.0
1998-10-14,197,3.094,3.875,3.094,3.75,0.0781,78200.0,0.0,1.0
1998-10-15,198,3.875,4.0,3.625,4.0,0.0833,78300.0,0.0,1.0
1998-10-16,199,3.875,4.3439999999999985,3.875,4.25,0.0885,183500.0,0.0,1.0
1998-10-19,200,4.375,4.4689999999999985,4.25,4.313,0.0899,40700.0,0.0,1.0
1998-10-20,201,4.4689999999999985,4.4689999999999985,4.25,4.2810000000000015,0.0892,22000.0,0.0,1.0
1998-10-21,202,4.25,4.25,4.0,4.125,0.0859,27500.0,0.0,1.0
1998-10-22,203,4.0,4.2189999999999985,4.0,4.2189999999999985,0.0879,35200.0,0.0,1.0
1998-10-23,204,4.188,4.375,4.125,4.375,0.0911,17400.0,0.0,1.0
1998-10-26,205,4.25,5.0,4.25,4.875,0.1016,112200.0,0.0,1.0
1998-10-27,206,5.0,5.5,4.938,5.375,0.112,179700.0,0.0,1.0
1998-10-28,207,5.375,5.375,5.063,5.125,0.1068,58200.0,0.0,1.0
1998-10-29,208,5.25,5.313,5.125,5.125,0.1068,64800.0,0.0,1.0
1998-10-30,209,5.188,5.375,5.125,5.2810000000000015,0.11,37400.0,0.0,1.0
1998-11-02,210,5.3439999999999985,5.4689999999999985,5.063,5.25,0.1094,88600.0,0.0,1.0
1998-11-03,211,5.188,5.2189999999999985,5.0,5.188,0.1081,92300.0,0.0,1.0
1998-11-04,212,5.0939999999999985,5.5,4.813,5.2810000000000015,0.11,179100.0,0.0,1.0
1998-11-05,213,5.375,5.375,5.25,5.375,0.112,20100.0,0.0,1.0
1998-11-06,214,5.25,5.375,5.188,5.375,0.112,35100.0,0.0,1.0
1998-11-09,215,5.375,5.4060000000000015,5.25,5.313,0.1107,29600.0,0.0,1.0
1998-11-10,216,5.313,5.5,5.25,5.5,0.1146,185100.0,0.0,1.0
1998-11-11,217,5.5,6.125,5.438,5.75,0.1198,192400.0,0.0,1.0
1998-11-12,218,5.75,5.875,5.5,5.75,0.1198,89900.0,0.0,1.0
1998-11-13,219,5.5,6.25,5.5,6.0,0.125,274800.0,0.0,1.0
1998-11-16,220,6.125,6.125,5.875,5.938,0.1237,141900.0,0.0,1.0
1998-11-17,221,6.0,6.5,5.813,6.313,0.1315,150700.0,0.0,1.0
1998-11-18,222,6.313,6.5310000000000015,6.188,6.25,0.1302,108600.0,0.0,1.0
1998-11-19,223,6.25,6.375,5.938,6.0939999999999985,0.127,40900.0,0.0,1.0
1998-11-20,224,6.0939999999999985,6.0939999999999985,5.5,5.563,0.1159,70100.0,0.0,1.0
1998-11-23,225,5.688,5.688,4.8439999999999985,5.125,0.1068,145800.0,0.0,1.0
1998-11-24,226,5.188,5.25,4.938,5.125,0.1068,99800.0,0.0,1.0
1998-11-25,227,5.31,5.56,5.12,5.38,0.1121,38600.0,0.0,1.0
1998-11-27,228,5.5310000000000015,5.625,5.313,5.375,0.112,14000.0,0.0,1.0
