date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,45.38,45.75,45.19,45.31,3.4782,4126200.0,0.0,1.0
1998-01-05,45.69,45.88,45.31,45.88,3.522,6031900.0,0.0,1.0
1998-01-06,45.69,45.94,45.31,45.75,3.512,4350300.0,0.0,1.0
1998-01-07,45.94,46.88,45.44,46.88,3.5988,6877300.0,0.0,1.0
1998-01-08,46.63,47.06,45.75,46.56,3.5742,5498800.0,0.0,1.0
1998-01-09,46.5,47.38,44.5,45.0,3.4544,7341600.0,0.0,1.0
1998-01-12,44.56,46.69,44.44,46.38,3.5604,6456800.0,0.0,1.0
1998-01-13,46.88,47.88,46.75,47.88,3.6755,6849200.0,0.0,1.0
1998-01-14,47.19,47.44,46.63,47.0,3.608,5373100.0,0.0,1.0
1998-01-15,46.56,46.63,44.69,45.0,3.4544,5315000.0,0.0,1.0
1998-01-16,45.5,46.19,45.19,45.31,3.4782,6699800.0,0.0,1.0
1998-01-20,45.06,45.13,42.88,43.63,3.3493,8169300.0,0.0,1.0
1998-01-21,43.19,44.25,43.19,44.25,3.3969,5090800.0,0.0,1.0
1998-01-22,43.25,43.63,41.63,41.94,3.2195,11409400.0,0.0,1.0
1998-01-23,42.25,42.81,41.56,42.69,3.2771,6363800.0,0.0,1.0
1998-01-26,42.5,42.75,41.56,42.13,3.2341,4471700.0,0.0,1.0
1998-01-27,42.0,42.31,41.69,42.19,3.2387,4723200.0,0.0,1.0
1998-01-28,42.25,42.63,40.94,40.94,3.1428,6527200.0,0.0,1.0
1998-01-29,39.75,41.75,39.06,41.63,3.1957,15805400.0,0.0,1.0
1998-01-30,41.81,42.31,41.06,41.5,3.1858,6621500.0,0.0,1.0
1998-02-02,42.25,42.81,42.13,42.56,3.2671,5786400.0,0.0,1.0
1998-02-03,42.56,43.06,42.06,43.06,3.3055,4386000.0,0.0,1.0
1998-02-04,42.63,42.94,42.06,42.38,3.2533,4416300.0,0.0,1.0
