date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,33.06,33.5,32.88,33.5,27.6065,239200.0,0.0,1.0
1998-01-05,1,33.0,33.0,31.94,32.06,26.4199,1079900.0,0.0,1.0
1998-01-06,2,32.06,32.25,31.69,31.75,26.1644,677300.0,0.0,1.0
1998-01-07,3,31.5,31.75,31.38,31.38,25.8595,473600.0,0.0,1.0
1998-01-08,4,31.25,31.88,31.19,31.25,25.7524,250000.0,0.0,1.0
1998-01-09,5,31.06,31.19,29.62,29.69,24.4668,844500.0,0.0,1.0
1998-01-12,6,29.06,30.38,28.56,30.31,24.9777,589400.0,0.0,1.0
1998-01-13,7,30.31,30.5,30.12,30.5,25.1343,381600.0,0.0,1.0
1998-01-14,8,30.75,30.81,30.59,30.75,25.3403,336300.0,0.0,1.0
1998-01-15,9,30.62,31.0,30.62,30.88,25.4475,464300.0,0.0,1.0
1998-01-16,10,30.94,31.12,30.94,31.06,25.5958,627000.0,0.0,1.0
1998-01-20,11,31.12,31.62,31.12,31.56,26.0078,452400.0,0.0,1.0
1998-01-21,12,31.62,31.62,31.31,31.62,26.0573,265600.0,0.0,1.0
1998-01-22,13,31.31,31.31,31.0,31.19,25.7029,300300.0,0.0,1.0
1998-01-23,14,31.25,31.38,30.25,30.56,25.1838,94100.0,0.0,1.0
1998-01-26,15,30.75,31.44,30.75,31.0,25.5464,439600.0,0.0,1.0
1998-01-27,16,31.0,31.12,30.88,30.94,25.4969,444700.0,0.0,1.0
1998-01-28,17,31.0,31.62,30.94,31.5,25.9584,699800.0,0.0,1.0
1998-01-29,18,31.88,32.56,31.88,32.25,26.5764,569600.0,0.0,1.0
1998-01-30,19,32.25,32.75,32.0,32.25,26.5764,498800.0,0.0,1.0
1998-02-02,20,32.31,34.12,32.25,33.94,27.9691,449300.0,0.0,1.0
1998-02-03,21,33.69,34.44,33.5,34.38,28.3317,406000.0,0.0,1.0
1998-02-04,22,34.19,35.0,33.81,34.44,28.3812,921300.0,0.0,1.0
1998-02-05,23,34.5,34.75,34.0,34.75,28.6366,1007900.0,0.0,1.0
1998-02-06,24,34.75,34.75,33.75,33.81,27.862,496900.0,0.0,1.0
1998-02-09,25,33.69,34.25,32.81,33.25,27.4005,494700.0,0.0,1.0
1998-02-10,26,33.31,34.0,33.31,33.94,27.9691,329100.0,0.0,1.0
1998-02-11,27,33.88,34.06,33.69,34.0,28.0186,522500.0,0.0,1.0
