date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,34.94,35.0,33.0,33.63,10.4773,786700.0,0.0,1.0
1998-01-05,34.0,35.13,33.69,34.25,10.6704,988800.0,0.0,1.0
1998-01-06,34.5,34.63,32.38,33.44,10.4181,615300.0,0.0,1.0
1998-01-07,32.75,33.75,31.25,32.13,10.01,833800.0,0.0,1.0
1998-01-08,31.38,33.5,31.0,32.0,9.9694,793000.0,0.0,1.0
1998-01-09,32.25,33.0,29.75,30.06,9.3651,2110900.0,0.0,1.0
1998-01-12,29.25,30.0,28.5,29.69,9.2498,1889800.0,0.0,1.0
1998-01-13,30.25,30.56,29.75,30.56,9.5208,1553600.0,0.0,1.0
1998-01-14,31.38,33.75,30.5,32.5,10.1252,1822900.0,0.0,1.0
1998-01-15,32.38,34.0,31.63,33.0,10.281,1063800.0,0.0,1.0
1998-01-16,33.63,35.5,33.38,35.25,10.982,2374600.0,0.0,1.0
1998-01-20,35.88,37.19,35.38,36.5,11.3714,2077400.0,0.0,1.0
1998-01-21,36.5,37.75,35.25,37.75,11.7608,1851000.0,0.0,1.0
1998-01-22,36.63,37.5,36.5,37.31,11.6238,1913800.0,0.0,1.0
1998-01-23,37.25,37.75,36.0,37.13,11.5677,2223600.0,0.0,1.0
1998-01-26,37.13,37.13,34.0,34.31,10.6891,3820300.0,0.0,1.0
1998-01-27,34.5,35.5,32.75,34.81,10.8449,2088700.0,0.0,1.0
1998-01-28,35.38,37.69,34.13,36.88,11.4898,2400700.0,0.0,1.0
1998-01-29,36.75,37.75,36.19,36.5,11.3714,2402100.0,0.0,1.0
1998-01-30,37.0,37.0,34.25,34.63,10.7888,1242300.0,0.0,1.0
1998-02-02,35.13,37.63,34.25,37.5,11.6829,2394300.0,0.0,1.0
1998-02-03,37.56,38.06,36.75,37.94,11.82,2048100.0,0.0,1.0
1998-02-04,37.06,38.75,37.06,38.5,11.9945,2124300.0,0.0,1.0
1998-02-05,38.44,39.5,37.31,37.69,11.7421,1539800.0,0.0,1.0
1998-02-06,37.38,38.13,36.5,38.0,11.8387,1685600.0,0.0,1.0
1998-02-09,38.13,38.5,36.88,37.63,11.7234,1083900.0,0.0,1.0
1998-02-10,37.75,38.38,37.5,37.69,11.7421,949200.0,0.0,1.0
1998-02-11,38.0,39.75,37.63,39.69,12.3652,1880700.0,0.0,1.0
1998-02-12,39.0,40.88,39.0,40.06,12.4805,2354800.0,0.0,1.0
1998-02-13,39.5,40.06,39.25,39.44,12.2873,1093200.0,0.0,1.0
1998-02-17,40.0,40.0,37.38,37.56,11.7016,915300.0,0.0,1.0
1998-02-18,38.0,39.25,37.44,39.25,12.2282,780700.0,0.0,1.0
1998-02-19,39.38,40.06,38.63,39.63,12.3465,1162300.0,0.0,1.0
1998-02-20,39.94,40.06,38.5,39.19,12.2095,555400.0,0.0,1.0
1998-02-23,40.0,40.13,38.63,40.0,12.4618,1033300.0,0.0,1.0
1998-02-24,40.0,40.0,38.38,38.5,11.9945,804800.0,0.0,1.0
1998-02-25,38.5,40.06,38.0,40.06,12.4805,1584200.0,0.0,1.0
1998-02-26,40.0,42.0,40.0,41.63,12.9696,1877400.0,0.0,1.0
1998-02-27,41.25,41.38,40.0,40.38,12.5802,909800.0,0.0,1.0
1998-03-02,40.5,40.75,37.44,38.38,11.9571,1428800.0,0.0,1.0
1998-03-03,38.13,38.25,36.75,37.13,11.5677,1800100.0,0.0,1.0
1998-03-04,36.88,37.75,36.88,37.75,11.7608,1351500.0,0.0,1.0
1998-03-05,35.75,36.75,35.38,36.0,11.2156,2014300.0,0.0,1.0
1998-03-06,36.25,37.25,35.38,35.88,11.1782,1680300.0,0.0,1.0
1998-03-09,35.25,36.0,34.63,34.94,10.8854,2425400.0,0.0,1.0
1998-03-10,35.63,36.63,34.69,36.63,11.4119,3179100.0,0.0,1.0
1998-03-11,37.63,38.88,37.38,38.25,11.9166,2921400.0,0.0,1.0
1998-03-12,38.19,40.0,37.38,39.63,12.3465,1959500.0,0.0,1.0
1998-03-13,39.56,39.75,37.88,37.94,11.82,1358000.0,0.0,1.0
1998-03-16,38.0,39.56,38.0,39.19,12.2095,527900.0,0.0,1.0
1998-03-17,38.63,39.25,37.38,38.56,12.0132,1114500.0,0.0,1.0
1998-03-18,38.44,38.75,37.5,38.0,11.8387,866500.0,0.0,1.0
1998-03-19,37.88,38.44,37.75,38.0,11.8387,1067300.0,0.0,1.0
1998-03-20,38.19,38.44,35.13,36.0,11.2156,2708100.0,0.0,1.0
1998-03-23,36.38,37.38,35.75,37.0,11.5272,1035100.0,0.0,1.0
1998-03-24,36.63,36.75,34.75,35.13,10.9446,757700.0,0.0,1.0
1998-03-25,36.88,37.0,35.63,35.81,11.1564,2913100.0,0.0,1.0
1998-03-26,35.81,37.0,35.5,36.75,11.4493,849400.0,0.0,1.0
1998-03-27,37.25,37.25,35.88,35.94,11.1969,836200.0,0.0,1.0
1998-03-30,35.88,36.13,35.13,35.5,11.0599,962900.0,0.0,1.0
1998-03-31,35.75,37.0,35.63,36.44,11.3527,1165100.0,0.0,1.0
1998-04-01,36.5,37.25,34.75,36.88,11.4898,1812700.0,0.0,1.0
1998-04-02,37.0,37.69,36.5,37.44,11.6643,1149300.0,0.0,1.0
1998-04-03,37.13,37.88,36.69,36.69,11.4306,638000.0,0.0,1.0
1998-04-06,36.88,37.25,35.25,35.38,11.0225,947200.0,0.0,1.0
1998-04-07,34.88,35.0,32.69,33.88,10.5552,2662300.0,0.0,1.0
1998-04-08,34.25,34.25,33.31,34.06,10.6112,1242300.0,0.0,1.0
1998-04-09,34.25,34.5,34.06,34.31,10.6891,772500.0,0.0,1.0
1998-04-13,34.5,34.75,33.31,33.31,10.3776,1318800.0,0.0,1.0
1998-04-14,33.5,34.44,32.5,33.88,10.5552,2481100.0,0.0,1.0
1998-04-15,35.06,39.5,35.0,38.31,11.9353,4611200.0,0.0,1.0
1998-04-16,38.25,38.94,37.63,37.81,11.7795,1131700.0,0.0,1.0
1998-04-17,37.0,38.38,36.75,38.25,11.9166,635300.0,0.0,1.0
1998-04-20,38.5,40.13,38.13,39.5,12.306,1104900.0,0.0,1.0
1998-04-21,39.63,40.13,39.06,39.63,12.3465,622800.0,0.0,1.0
1998-04-22,39.25,39.75,38.5,39.25,12.2282,799300.0,0.0,1.0
1998-04-23,39.0,39.0,36.75,37.56,11.7016,1033200.0,0.0,1.0
1998-04-24,37.5,39.44,37.38,38.44,11.9758,1982500.0,0.0,1.0
1998-04-27,38.0,38.13,36.25,37.25,11.6051,1450600.0,0.0,1.0
1998-04-28,38.13,38.38,36.69,37.63,11.7234,2233100.0,0.0,1.0
1998-04-29,37.69,38.75,36.97,38.56,12.0132,1187100.0,0.0,1.0
1998-04-30,39.06,40.63,38.69,40.38,12.5802,2096300.0,0.0,1.0
