date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,20.88,21.0,20.0,20.06,8.3046,621378.0,0.0,1.0
1998-01-05,1,19.81,20.38,19.81,20.06,8.3046,684000.0,0.0,1.0
1998-01-06,2,20.06,20.06,19.31,19.81,8.2011,650178.0,0.0,1.0
1998-01-07,3,19.81,20.19,19.56,20.19,8.3584,605378.0,0.0,1.0
1998-01-08,4,20.06,20.44,19.88,20.44,8.4619,512000.0,0.0,1.0
1998-01-09,5,20.19,20.44,19.88,20.0,8.2798,1496444.0,0.0,1.0
1998-01-12,6,19.06,19.81,19.0,19.44,8.0479,455467.0,0.0,1.0
1998-01-13,7,19.69,19.94,19.63,19.69,8.1514,298267.0,0.0,1.0
1998-01-14,8,19.44,20.44,19.44,20.44,8.4619,391200.0,0.0,1.0
1998-01-15,9,20.31,21.13,20.25,20.38,8.4371,655467.0,0.0,1.0
1998-01-16,10,20.38,20.44,19.38,19.5,8.0728,1131644.0,0.0,1.0
1998-01-20,11,19.5,19.5,19.13,19.38,8.0231,1127244.0,0.0,1.0
1998-01-21,12,19.38,19.38,18.94,19.0,7.8658,595244.0,0.0,1.0
1998-01-22,13,19.19,19.69,18.75,19.38,8.0231,591644.0,0.0,1.0
1998-01-23,14,19.31,19.31,18.13,18.25,7.5553,1208400.0,0.0,1.0
1998-01-26,15,18.38,18.56,17.88,17.94,7.4269,709378.0,0.0,1.0
1998-01-27,16,17.56,17.88,17.13,17.81,7.3731,2631467.0,0.0,1.0
1998-01-28,17,17.94,18.13,17.81,17.88,7.4021,565778.0,0.0,1.0
1998-01-29,18,17.25,18.44,17.25,17.75,7.3483,1348000.0,0.0,1.0
1998-01-30,19,17.81,18.25,17.69,18.0,7.4518,820444.0,0.0,1.0
1998-02-02,20,18.25,18.75,17.94,18.0,7.4518,2391200.0,0.0,1.0
1998-02-03,21,17.38,18.5,17.06,18.44,7.6339,2419067.0,0.0,1.0
1998-02-04,22,18.31,18.75,18.06,18.63,7.7126,1738667.0,0.0,1.0
1998-02-05,23,18.88,19.0,18.63,18.81,7.7871,1057244.0,0.0,1.0
1998-02-06,24,18.81,19.88,18.75,19.81,8.2011,1626044.0,0.0,1.0
1998-02-09,25,20.0,20.0,19.0,19.06,7.8906,755467.0,0.0,1.0
1998-02-10,26,18.69,19.25,18.69,19.06,7.8906,832444.0,0.0,1.0
1998-02-11,27,19.13,19.44,18.5,18.81,7.7871,759067.0,0.0,1.0
1998-02-12,28,18.56,18.75,18.31,18.69,7.7374,490578.0,0.0,1.0
1998-02-13,29,18.44,18.63,18.31,18.5,7.6588,491467.0,0.0,1.0
1998-02-17,30,18.88,19.0,18.56,18.75,7.7623,600044.0,0.0,1.0
1998-02-18,31,18.88,19.5,18.69,19.38,8.0231,1190178.0,0.0,1.0
1998-02-19,32,19.19,20.06,19.19,20.06,8.3046,1094578.0,0.0,1.0
1998-02-20,33,20.25,20.81,20.0,20.5,8.4868,1044667.0,0.0,1.0
1998-02-23,34,20.5,20.56,19.88,20.0,8.2798,616000.0,0.0,1.0
1998-02-24,35,20.0,20.38,20.0,20.19,8.3584,550800.0,0.0,1.0
1998-02-25,36,20.19,20.19,19.94,20.06,8.3046,582978.0,0.0,1.0
1998-02-26,37,20.31,20.69,20.06,20.38,8.4371,441378.0,0.0,1.0
1998-02-27,38,20.44,20.63,20.25,20.38,8.4371,1217644.0,0.0,1.0
1998-03-02,39,20.63,21.19,20.63,21.13,8.7476,1029244.0,0.0,1.0
1998-03-03,40,21.13,21.19,20.81,20.88,8.6441,539200.0,0.0,1.0
1998-03-04,41,20.75,21.0,20.06,20.19,8.3584,720844.0,0.0,1.0
1998-03-05,42,20.0,20.38,19.75,20.38,8.4371,574444.0,0.0,1.0
1998-03-06,43,20.13,21.31,20.13,21.19,8.7724,770044.0,0.0,1.0
1998-03-09,44,21.19,21.88,20.88,21.13,8.7476,521467.0,0.0,1.0
1998-03-10,45,21.88,21.88,21.25,21.44,8.8759,465067.0,0.0,1.0
1998-03-11,46,21.19,21.88,21.13,21.69,8.9794,539200.0,0.0,1.0
1998-03-12,47,21.69,21.94,20.88,20.88,8.6441,506044.0,0.0,1.0
1998-03-13,48,20.94,21.44,20.25,20.5,8.4868,823644.0,0.0,1.0
1998-03-16,49,20.75,21.56,20.63,21.44,8.8759,731467.0,0.0,1.0
1998-03-17,50,21.5,21.5,21.06,21.06,8.7186,341644.0,0.0,1.0
1998-03-18,51,21.06,21.56,21.06,21.5,8.9007,361867.0,0.0,1.0
1998-03-19,52,21.69,22.5,21.63,22.31,9.2361,902178.0,0.0,1.0
1998-03-20,53,22.63,23.13,22.38,22.44,9.2899,906000.0,0.0,1.0
1998-03-23,54,22.31,23.44,22.0,23.0,9.5217,1517067.0,0.0,1.0
1998-03-24,55,23.69,24.31,23.44,23.75,9.8322,2078000.0,0.0,1.0
1998-03-25,56,24.0,24.06,23.06,23.13,9.5755,999378.0,0.0,1.0
1998-03-26,57,23.25,23.81,22.81,23.81,9.8571,689600.0,0.0,1.0
1998-03-27,58,24.0,24.13,23.63,23.88,9.886,667378.0,0.0,1.0
1998-03-30,59,23.81,23.88,23.5,23.69,9.8239,479244.0,0.04,1.0
1998-03-31,60,23.56,23.88,22.88,23.0,9.5378,610267.0,0.0,1.0
1998-04-01,61,23.0,23.63,22.81,23.56,9.77,493067.0,0.0,1.0
1998-04-02,62,23.5,23.56,22.81,22.81,9.459,508444.0,0.0,1.0
1998-04-03,63,22.69,23.0,22.06,22.88,9.488,585467.0,0.0,1.0
1998-04-06,64,22.88,23.56,22.88,23.5,9.7451,501600.0,0.0,1.0
1998-04-07,65,23.5,23.5,22.63,23.25,9.6415,408978.0,0.0,1.0
1998-04-08,66,23.31,23.44,23.0,23.25,9.6415,341778.0,0.0,1.0
1998-04-09,67,24.0,25.25,23.88,24.88,10.3174,2724667.0,0.0,1.0
1998-04-13,68,25.0,25.38,24.5,25.19,10.446,1180267.0,0.0,1.0
1998-04-14,69,25.13,25.56,25.0,25.31,10.4957,1066444.0,0.0,1.0
1998-04-15,70,25.25,26.06,25.19,26.0,10.7819,1078667.0,0.0,1.0
1998-04-16,71,25.81,26.19,25.44,25.81,10.7031,573244.0,0.0,1.0
1998-04-17,72,25.63,26.0,25.56,25.88,10.7321,246000.0,0.0,1.0
1998-04-20,73,26.0,26.69,25.75,26.56,11.0141,1113644.0,0.0,1.0
1998-04-21,74,27.0,27.0,26.31,26.69,11.068,695200.0,0.0,1.0
1998-04-22,75,26.38,26.81,25.75,26.13,10.8358,1409644.0,0.0,1.0
1998-04-23,76,25.88,27.19,25.81,27.06,11.2214,1295200.0,0.0,1.0
