date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,35.5,35.63,35.25,35.38,7.3719,348200.0,0.0,1.0
1998-01-05,1,35.19,35.63,35.19,35.38,7.3719,1260800.0,0.0,1.0
1998-01-06,2,35.19,35.19,33.5,34.25,7.1365,512700.0,0.0,1.0
1998-01-07,3,34.44,34.44,34.0,34.38,7.1636,230900.0,0.0,1.0
1998-01-08,4,34.38,34.63,33.88,34.31,7.149,288300.0,0.0,1.0
1998-01-09,5,34.38,34.56,32.94,32.94,6.8635,486200.0,0.0,1.0
1998-01-12,6,32.75,33.44,32.75,32.88,6.851,912500.0,0.0,1.0
1998-01-13,7,32.94,33.88,32.94,33.81,7.0448,601100.0,0.0,1.0
1998-01-14,8,34.06,34.81,34.0,34.81,7.2532,99600.0,0.0,1.0
1998-01-15,9,35.0,35.25,35.0,35.06,7.3053,199500.0,0.0,1.0
1998-01-16,10,35.19,37.0,35.19,36.81,7.6699,243600.0,0.0,1.0
1998-01-20,11,37.06,37.81,36.75,37.06,7.722,158100.0,0.0,1.0
1998-01-21,12,36.81,36.88,35.19,35.75,7.449,342800.0,0.0,1.0
1998-01-22,13,35.5,35.5,34.0,34.0,7.0844,339700.0,0.0,1.0
1998-01-23,14,34.06,34.13,33.56,34.13,7.1115,168000.0,0.0,1.0
1998-01-26,15,34.25,35.06,34.25,34.75,7.2407,115600.0,0.0,1.0
1998-01-27,16,34.75,35.56,34.63,35.13,7.3198,231300.0,0.0,1.0
1998-01-28,17,35.25,35.69,35.25,35.56,7.4094,73600.0,0.0,1.0
1998-01-29,18,36.13,38.0,36.13,37.88,7.8928,431700.0,0.0,1.0
1998-01-30,19,38.0,38.38,36.25,36.38,7.5803,379300.0,0.0,1.0
1998-02-02,20,36.13,36.69,35.88,35.94,7.4886,136200.0,0.0,1.0
1998-02-03,21,35.88,36.13,35.5,36.06,7.5136,278000.0,0.0,1.0
1998-02-04,22,35.88,37.0,35.75,36.63,7.6324,125300.0,0.0,1.0
1998-02-05,23,37.0,37.75,37.0,37.31,7.7741,190900.0,0.0,1.0
1998-02-06,24,37.31,37.94,37.31,37.69,7.8533,149000.0,0.0,1.0
1998-02-09,25,37.56,37.75,36.0,36.69,7.6449,352800.0,0.0,1.0
1998-02-10,26,36.63,38.25,36.63,37.75,7.8658,286300.0,0.0,1.0
