date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,59.25,59.5,59.0,59.19,14.2431,242700.0,0.0,1.0
1998-01-05,59.31,59.31,57.88,58.25,14.0169,351000.0,0.0,1.0
1998-01-06,57.75,57.94,57.13,57.69,13.8821,367400.0,0.0,1.0
1998-01-07,57.44,57.44,56.38,56.63,13.627,1273200.0,0.0,1.0
1998-01-08,56.44,57.25,56.38,57.06,13.7305,692800.0,0.0,1.0
1998-01-09,57.13,57.75,56.75,57.0,13.7161,751600.0,0.0,1.0
1998-01-12,56.25,57.44,56.06,57.44,13.822,481600.0,0.0,1.0
1998-01-13,57.19,57.44,56.75,57.06,13.7305,289200.0,0.0,1.0
1998-01-14,57.31,57.63,56.69,57.38,13.8075,448200.0,0.0,1.0
1998-01-15,57.44,57.44,56.5,56.75,13.6559,713800.0,0.0,1.0
1998-01-16,57.13,57.25,56.5,56.5,13.5958,1358400.0,0.0,1.0
1998-01-20,56.5,56.63,56.25,56.44,13.5813,606900.0,0.0,1.0
1998-01-21,56.63,56.75,56.13,56.5,13.5958,744400.0,0.0,1.0
1998-01-22,56.88,57.63,56.56,57.5,13.8364,1128900.0,0.0,1.0
1998-01-23,57.63,57.69,56.88,57.19,13.7618,306600.0,0.0,1.0
1998-01-26,57.19,58.0,57.06,57.69,13.8821,488900.0,0.0,1.0
1998-01-27,57.94,58.75,57.81,58.38,14.0482,633600.0,0.0,1.0
1998-01-28,58.5,58.75,58.38,58.63,14.1083,901600.0,0.0,1.0
1998-01-29,58.63,58.81,58.0,58.06,13.9711,357300.0,0.0,1.0
1998-01-30,57.75,57.81,57.25,57.38,13.8075,288900.0,0.0,1.0
1998-02-02,56.88,57.81,56.88,57.63,13.8677,592400.0,0.0,1.0
1998-02-03,57.56,58.06,57.5,58.06,13.9711,586300.0,0.0,1.0
1998-02-04,57.94,58.25,57.69,58.0,13.9567,448900.0,0.0,1.0
1998-02-05,58.5,58.75,57.88,57.88,13.9278,825100.0,0.0,1.0
1998-02-06,58.0,58.81,58.0,58.5,14.077,274100.0,0.0,1.0
1998-02-09,58.75,58.81,58.31,58.5,14.077,406300.0,0.0,1.0
1998-02-10,58.5,59.19,58.44,58.94,14.1829,509300.0,0.0,1.0
1998-02-11,59.06,59.06,58.72,59.0,14.1973,363300.0,0.0,1.0
1998-02-12,59.0,59.5,58.63,59.31,14.2719,617000.0,0.0,1.0
1998-02-13,59.31,59.44,58.88,59.0,14.1973,283000.0,0.0,1.0
1998-02-17,59.31,59.5,59.25,59.5,14.3177,315300.0,0.0,1.0
1998-02-18,59.25,59.75,59.19,59.62,14.3465,194200.0,0.0,1.0
1998-02-19,59.25,59.5,58.75,58.94,14.1829,199300.0,0.0,1.0
1998-02-20,59.06,59.25,58.63,59.06,14.2118,334500.0,0.0,1.0
1998-02-23,59.25,59.25,58.75,59.0,14.1973,289200.0,0.0,1.0
1998-02-24,58.63,58.88,58.25,58.69,14.1227,752700.0,0.0,1.0
1998-02-25,58.44,58.94,58.25,58.56,14.2118,754200.0,0.5,1.0
1998-02-26,58.69,58.69,58.13,58.25,14.1365,397200.0,0.0,1.0
1998-02-27,58.25,58.25,57.81,58.06,14.0904,642400.0,0.0,1.0
1998-03-02,57.88,58.19,57.75,57.94,14.0613,218900.0,0.0,1.0
1998-03-03,57.69,58.75,57.63,58.5,14.1972,270900.0,0.0,1.0
1998-03-04,58.5,59.38,58.38,59.13,14.3501,672300.0,0.0,1.0
1998-03-05,59.0,59.13,58.81,58.81,14.2725,387700.0,0.0,1.0
1998-03-06,59.25,59.75,59.0,59.19,14.3647,341200.0,0.0,1.0
1998-03-09,59.13,59.69,59.0,59.63,14.4715,373400.0,0.0,1.0
1998-03-10,59.75,60.44,59.5,60.31,14.6365,332600.0,0.0,1.0
1998-03-11,60.06,60.5,60.0,60.5,14.6826,356100.0,0.0,1.0
1998-03-12,60.5,60.69,60.13,60.44,14.668,215600.0,0.0,1.0
1998-03-13,60.5,61.0,60.25,60.88,14.7748,237300.0,0.0,1.0
1998-03-16,60.75,61.75,60.75,61.63,14.9568,148800.0,0.0,1.0
1998-03-17,62.0,62.25,61.44,62.25,15.1073,429600.0,0.0,1.0
1998-03-18,62.25,63.25,62.25,63.25,15.35,306200.0,0.0,1.0
