date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,49.31,49.63,49.31,49.5,3.8178,136000.0,0.0,1.0
1998-01-05,1,50.06,50.38,49.38,49.69,3.8324,250700.0,0.0,1.0
1998-01-06,2,49.88,49.88,49.5,49.56,3.8224,285500.0,0.0,1.0
1998-01-07,3,49.56,49.63,49.44,49.5,3.8178,301000.0,0.0,1.0
1998-01-08,4,49.56,50.06,49.5,49.94,3.8517,322100.0,0.0,1.0
1998-01-09,5,50.13,50.38,49.69,49.88,3.8471,158000.0,0.0,1.0
1998-01-12,6,49.88,50.5,49.88,50.5,3.8949,347400.0,0.0,1.0
1998-01-13,7,50.56,50.69,50.13,50.31,3.8802,104600.0,0.0,1.0
1998-01-14,8,50.44,50.56,50.31,50.56,3.8995,100500.0,0.0,1.0
1998-01-15,9,50.44,50.69,50.44,50.56,3.8995,169700.0,0.0,1.0
1998-01-16,10,50.69,51.19,50.63,51.06,3.9381,147700.0,0.0,1.0
1998-01-20,11,51.06,51.44,51.06,51.38,3.9628,263100.0,0.0,1.0
1998-01-21,12,51.38,52.0,51.38,51.88,4.0013,267100.0,0.0,1.0
1998-01-22,13,51.63,52.31,51.63,51.81,3.9959,158200.0,0.0,1.0
1998-01-23,14,52.0,52.13,51.75,51.88,4.0013,152000.0,0.0,1.0
1998-01-26,15,51.88,52.0,51.81,51.94,4.006,179700.0,0.0,1.0
1998-01-27,16,51.88,52.19,51.81,52.0,4.0106,132900.0,0.0,1.0
1998-01-28,17,51.25,51.69,51.0,51.0,3.9705,266500.0,0.48,1.0
1998-01-29,18,51.06,51.44,51.06,51.13,3.9806,93800.0,0.0,1.0
1998-01-30,19,51.19,51.5,51.06,51.06,3.9752,117800.0,0.0,1.0
1998-02-02,20,51.25,51.56,51.25,51.31,3.9946,66800.0,0.0,1.0
1998-02-03,21,51.25,51.44,51.0,51.06,3.9752,120300.0,0.0,1.0
1998-02-04,22,51.0,51.13,50.88,50.88,3.9611,163700.0,0.0,1.0
1998-02-05,23,51.0,51.25,50.81,50.94,3.9658,94000.0,0.0,1.0
1998-02-06,24,51.0,51.31,51.0,51.13,3.9806,79000.0,0.0,1.0
1998-02-09,25,51.13,51.38,51.06,51.13,3.9806,111800.0,0.0,1.0
1998-02-10,26,51.19,51.38,51.0,51.25,3.99,430800.0,0.0,1.0
1998-02-11,27,51.25,51.5,51.25,51.38,4.0001,118800.0,0.0,1.0
1998-02-12,28,51.25,51.56,51.19,51.44,4.0047,119800.0,0.0,1.0
1998-02-13,29,51.38,51.38,50.81,50.81,3.9557,53400.0,0.0,1.0
1998-02-17,30,50.94,51.94,50.94,51.69,4.0242,213200.0,0.0,1.0
1998-02-18,31,51.75,52.06,51.69,51.75,4.0289,62700.0,0.0,1.0
1998-02-19,32,51.75,51.81,51.44,51.63,4.0195,70100.0,0.0,1.0
1998-02-20,33,51.5,51.88,51.19,51.56,4.0141,345500.0,0.0,1.0
1998-02-23,34,25.94,26.0,25.5,25.63,3.9907,113250.0,0.0,2.0
1998-02-24,35,25.69,25.75,25.5,25.75,4.0094,268100.0,0.0,1.0
1998-02-25,36,25.88,25.94,25.69,25.94,4.039,135200.0,0.0,1.0
1998-02-26,37,25.81,25.94,25.75,25.75,4.0094,128200.0,0.0,1.0
1998-02-27,38,25.75,25.94,25.69,25.69,4.0001,186800.0,0.0,1.0
1998-03-02,39,26.0,26.13,25.94,26.06,4.0577,251000.0,0.0,1.0
1998-03-03,40,26.0,26.19,25.75,26.19,4.0779,197300.0,0.0,1.0
1998-03-04,41,26.06,26.19,25.81,26.19,4.0779,118300.0,0.0,1.0
1998-03-05,42,26.0,26.19,25.88,25.94,4.039,97500.0,0.0,1.0
1998-03-06,43,26.13,26.44,26.06,26.44,4.1169,149600.0,0.0,1.0
1998-03-09,44,26.5,26.75,26.25,26.56,4.1355,167100.0,0.0,1.0
1998-03-10,45,26.5,27.25,26.5,27.19,4.2336,256200.0,0.0,1.0
1998-03-11,46,27.31,27.81,27.31,27.44,4.2726,487200.0,0.0,1.0
