date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,26.0,26.0,25.25,25.69,12.845,78500.0,0.0,1.0
1998-01-05,1,25.5,28.12,25.25,27.88,13.94,66700.0,0.0,1.0
1998-01-06,2,29.62,32.0,29.0,31.38,15.69,416000.0,0.0,1.0
1998-01-07,3,31.75,32.19,30.0,31.0,15.5,73900.0,0.0,1.0
1998-01-08,4,31.25,32.75,30.75,32.0,16.0,116100.0,0.0,1.0
1998-01-09,5,31.88,32.62,29.75,30.81,15.405,145500.0,0.0,1.0
1998-01-12,6,31.0,31.0,29.25,29.25,14.625,38900.0,0.0,1.0
1998-01-13,7,29.75,31.25,29.75,30.69,15.345,96300.0,0.0,1.0
1998-01-14,8,30.88,30.88,29.5,29.75,14.875,44200.0,0.0,1.0
1998-01-15,9,30.0,30.12,29.25,29.94,14.97,27600.0,0.0,1.0
1998-01-16,10,30.0,31.25,29.62,30.88,15.44,83300.0,0.0,1.0
1998-01-20,11,31.5,32.0,30.75,30.75,15.375,44100.0,0.0,1.0
1998-01-21,12,30.75,31.12,29.25,29.25,14.625,45600.0,0.0,1.0
1998-01-22,13,29.0,29.75,28.75,29.31,14.655,75800.0,0.0,1.0
1998-01-23,14,29.5,30.5,29.12,29.81,14.905,64000.0,0.0,1.0
1998-01-26,15,29.62,30.5,29.25,29.69,14.845,51400.0,0.0,1.0
1998-01-27,16,29.62,30.88,29.62,30.75,15.375,59800.0,0.0,1.0
1998-01-28,17,30.38,32.88,30.38,32.75,16.375,172300.0,0.0,1.0
1998-01-29,18,32.38,34.38,32.25,33.75,16.875,227800.0,0.0,1.0
1998-01-30,19,34.0,34.0,32.0,32.38,16.19,133400.0,0.0,1.0
1998-02-02,20,33.25,34.38,32.5,32.88,16.44,111800.0,0.0,1.0
1998-02-03,21,33.0,33.0,32.0,32.25,16.125,18700.0,0.0,1.0
1998-02-04,22,32.5,32.5,31.12,32.0,16.0,58400.0,0.0,1.0
1998-02-05,23,31.88,32.5,31.88,32.0,16.0,16800.0,0.0,1.0
1998-02-06,24,32.5,34.0,32.38,33.88,16.94,91100.0,0.0,1.0
1998-02-09,25,34.25,34.25,33.5,34.25,17.125,58300.0,0.0,1.0
1998-02-10,26,34.38,34.75,33.38,33.94,16.97,95400.0,0.0,1.0
1998-02-11,27,34.0,34.0,32.5,32.62,16.31,90500.0,0.0,1.0
