date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,115.5,116.0,114.0,114.9,32.848,135000.0,0.0,1.0
1998-01-05,1,114.7,116.4,114.7,116.0,33.1625,91400.0,0.0,1.0
1998-01-06,2,116.0,116.5,115.5,116.2,33.2196,277350.0,0.0,1.0
1998-01-07,3,116.0,122.5,115.6,122.5,35.0207,335000.0,0.0,1.0
1998-01-08,4,122.3,122.3,119.3,120.0,34.306,487850.0,0.0,1.0
1998-01-09,5,119.9,120.0,116.8,117.4,33.5627,224100.0,0.0,1.0
1998-01-12,6,116.0,118.1,116.0,117.4,33.5627,412600.0,0.0,1.0
1998-01-13,7,117.4,117.8,116.8,117.6,33.6199,646700.0,0.0,1.0
1998-01-14,8,117.9,117.9,117.1,117.6,33.6199,134650.0,0.0,1.0
1998-01-15,9,117.6,117.9,117.0,117.0,33.4483,282100.0,0.0,1.0
1998-01-16,10,117.5,117.7,116.9,117.3,33.5341,319750.0,0.0,1.0
1998-01-20,11,117.5,117.9,117.0,117.9,33.7056,199550.0,0.0,1.0
1998-01-21,12,117.9,119.9,117.8,119.9,34.2774,389350.0,0.0,1.0
1998-01-22,13,119.7,123.5,119.3,122.0,34.8778,476800.0,0.0,1.0
1998-01-23,14,122.0,122.8,121.5,122.0,34.8778,466250.0,0.0,1.0
1998-01-26,15,122.0,123.8,122.0,123.3,35.2494,464700.0,0.0,1.0
1998-01-27,16,123.3,125.2,122.8,123.8,35.3923,392650.0,0.0,1.0
1998-01-28,17,124.0,124.9,123.8,124.6,35.6211,338750.0,0.0,1.0
1998-01-29,18,123.6,125.4,123.6,123.8,35.3923,181800.0,0.0,1.0
1998-01-30,19,123.8,123.8,122.3,122.6,35.0493,142750.0,0.0,1.0
1998-02-02,20,124.5,126.1,124.3,126.1,36.0499,316750.0,0.0,1.0
1998-02-03,21,125.9,126.9,125.6,126.7,36.2214,153600.0,0.0,1.0
1998-02-04,22,126.8,130.3,126.5,129.8,37.1076,216900.0,0.0,1.0
1998-02-05,23,129.8,129.9,127.7,128.7,36.7932,451900.0,0.0,1.0
1998-02-06,24,128.7,130.7,128.7,129.9,37.1362,171100.0,0.0,1.0
