date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,34.44,34.44,33.31,33.75,13.0206,105000.0,0.0,1.0
1998-01-05,1,33.94,33.94,32.69,33.0,12.7313,142300.0,0.0,1.0
1998-01-06,2,31.13,31.19,28.5,30.25,11.6703,329350.0,0.0,1.0
1998-01-07,3,30.5,32.94,29.56,32.94,12.7081,301650.0,0.0,1.0
1998-01-08,4,31.38,31.5,30.94,31.0,11.9597,219450.0,0.0,1.0
1998-01-09,5,30.0,30.0,28.0,29.88,11.5276,386150.0,0.0,1.0
1998-01-12,6,28.5,29.75,27.06,27.38,10.5631,278600.0,0.0,1.0
1998-01-13,7,27.63,28.38,26.75,27.0,10.4165,399350.0,0.0,1.0
1998-01-14,8,27.06,27.75,26.13,27.0,10.4165,395150.0,0.0,1.0
1998-01-15,9,26.5,27.69,26.5,26.69,10.2969,246950.0,0.0,1.0
1998-01-16,10,27.5,28.13,27.0,28.0,10.8023,309850.0,0.0,1.0
1998-01-20,11,28.5,29.44,28.13,29.44,11.3578,342350.0,0.0,1.0
1998-01-21,12,28.5,29.06,28.06,29.0,11.1881,243300.0,0.0,1.0
1998-01-22,13,27.5,27.5,24.5,24.81,9.5716,377150.0,0.0,1.0
1998-01-23,14,25.0,25.5,23.25,23.88,9.2128,403700.0,0.0,1.0
1998-01-26,15,24.13,25.0,22.75,25.0,9.6449,462900.0,0.0,1.0
1998-01-27,16,25.0,26.0,24.88,25.75,9.9343,435150.0,0.0,1.0
1998-01-28,17,25.88,26.0,25.13,25.94,10.0076,295550.0,0.0,1.0
1998-01-29,18,26.25,28.19,26.25,27.81,10.729,540300.0,0.0,1.0
1998-01-30,19,27.31,27.44,26.13,26.5,10.2236,110450.0,0.0,1.0
1998-02-02,20,28.0,28.06,26.88,27.19,10.4898,426850.0,0.0,1.0
1998-02-03,21,27.19,28.19,27.19,28.19,10.8756,365650.0,0.0,1.0
1998-02-04,22,28.25,29.75,28.25,29.69,11.4543,383700.0,0.0,1.0
1998-02-05,23,30.0,32.0,30.0,31.38,12.1063,495500.0,0.0,1.0
1998-02-06,24,31.44,32.25,31.44,32.0,12.3455,304400.0,0.0,1.0
1998-02-09,25,32.0,32.06,30.75,31.38,12.1063,186550.0,0.0,1.0
1998-02-10,26,31.25,31.44,30.0,30.25,11.6703,151600.0,0.0,1.0
1998-02-11,27,30.44,30.44,29.5,29.5,11.380999999999998,104150.0,0.0,1.0
1998-02-12,28,29.56,29.75,28.31,28.38,10.9489,393350.0,0.0,1.0
1998-02-13,29,28.38,29.44,28.25,29.44,11.3578,299650.0,0.0,1.0
1998-02-17,30,29.69,29.69,27.5,27.75,10.7059,370500.0,0.0,1.0
1998-02-18,31,27.88,28.25,27.69,28.25,10.8988,477100.0,0.0,1.0
1998-02-19,32,28.44,29.19,27.69,28.81,11.1148,202150.0,0.0,1.0
1998-02-20,33,28.69,29.0,28.25,28.38,10.9489,217600.0,0.0,1.0
1998-02-23,34,27.88,27.88,25.94,26.19,10.104,182200.0,0.0,1.0
1998-02-24,35,26.0,27.0,26.0,26.31,10.1503,213350.0,0.0,1.0
1998-02-25,36,26.5,27.13,26.0,26.25,10.1272,272150.0,0.0,1.0
1998-02-26,37,26.5,27.69,26.5,27.0,10.4165,578000.0,0.0,1.0
1998-02-27,38,27.19,28.0,27.06,28.0,10.8023,337450.0,0.0,1.0
1998-03-02,39,27.75,28.88,27.63,28.63,11.0454,255600.0,0.0,1.0
1998-03-03,40,28.63,32.0,28.63,31.06,11.9828,753100.0,0.0,1.0
1998-03-04,41,31.0,32.63,30.0,31.44,12.1294,771400.0,0.0,1.0
1998-03-05,42,31.19,32.25,30.69,31.31,12.0793,124100.0,0.0,1.0
1998-03-06,43,31.5,32.31,30.0,30.44,11.7436,200950.0,0.0,1.0
1998-03-09,44,30.0,30.0,28.63,28.81,11.1148,209950.0,0.0,1.0
1998-03-10,45,28.63,29.63,28.56,29.38,11.3347,143150.0,0.0,1.0
1998-03-11,46,29.44,30.81,29.44,30.38,11.7205,224800.0,0.0,1.0
1998-03-12,47,30.13,30.44,29.75,30.25,11.6703,237100.0,0.0,1.0
1998-03-13,48,30.0,30.25,29.25,29.31,11.3077,55100.0,0.0,1.0
1998-03-16,49,29.44,29.56,28.25,28.88,11.1418,64000.0,0.0,1.0
1998-03-17,50,28.63,28.75,25.88,27.0,10.4165,338800.0,0.0,1.0
1998-03-18,51,27.0,27.63,26.25,27.44,10.5863,901050.0,0.0,1.0
1998-03-19,52,28.0,28.13,26.75,27.44,10.5863,535300.0,0.0,1.0
1998-03-20,53,27.94,29.13,27.63,29.06,11.2112,321400.0,0.0,1.0
1998-03-23,54,32.0,32.0,30.75,31.63,12.2027,463250.0,0.0,1.0
1998-03-24,55,31.5,31.56,31.0,31.38,12.1063,152950.0,0.0,1.0
1998-03-25,56,31.63,31.94,30.94,31.5,12.1526,212700.0,0.0,1.0
1998-03-26,57,31.75,34.25,31.31,34.0,13.1171,257050.0,0.0,1.0
1998-03-27,58,34.25,34.25,32.38,33.56,12.9473,324250.0,0.0,1.0
1998-03-30,59,32.0,33.19,32.0,32.81,12.658,146400.0,0.0,1.0
1998-03-31,60,32.5,32.94,31.81,32.94,12.7081,256300.0,0.0,1.0
1998-04-01,61,33.0,34.94,33.0,34.38,13.2637,216700.0,0.0,1.0
1998-04-02,62,34.31,34.75,34.31,34.31,13.2367,113450.0,0.0,1.0
1998-04-03,63,34.5,34.56,33.69,33.94,13.0939,57800.0,0.0,1.0
1998-04-06,64,33.75,34.0,33.31,33.56,12.9473,119100.0,0.0,1.0
1998-04-07,65,33.31,33.75,33.19,33.56,12.9473,357000.0,0.0,1.0
1998-04-08,66,33.5,34.0,33.5,34.0,13.1171,86950.0,0.0,1.0
1998-04-09,67,34.19,35.0,34.19,35.0,13.5029,130950.0,0.0,1.0
1998-04-13,68,35.0,35.69,34.88,35.44,13.6726,213800.0,0.0,1.0
1998-04-14,69,35.5,37.0,35.19,36.94,14.2513,184450.0,0.0,1.0
1998-04-15,70,36.94,38.94,36.94,38.94,15.0229,303200.0,0.0,1.0
1998-04-16,71,38.19,38.5,37.88,37.88,14.614,284700.0,0.0,1.0
1998-04-17,72,37.88,39.25,36.38,39.25,15.1425,416450.0,0.0,1.0
1998-04-20,73,39.0,39.63,38.75,39.19,15.1194,161600.0,0.0,1.0
1998-04-21,74,39.38,40.44,39.13,39.63,15.2891,233200.0,0.0,1.0
1998-04-22,75,39.63,40.13,39.13,39.19,15.1194,209250.0,0.0,1.0
1998-04-23,76,39.19,39.56,38.31,38.56,14.8763,138500.0,0.0,1.0
1998-04-24,77,38.44,38.63,37.0,37.31,14.3941,109700.0,0.0,1.0
1998-04-27,78,36.5,36.69,35.5,36.0,13.8887,104600.0,0.0,1.0
1998-04-28,79,36.88,37.31,36.69,37.25,14.3709,130100.0,0.0,1.0
1998-04-29,80,37.06,38.13,37.0,38.13,14.7104,157700.0,0.0,1.0
1998-04-30,81,39.13,39.13,37.56,37.94,14.6371,148600.0,0.0,1.0
1998-05-01,82,37.94,39.25,37.56,39.13,15.0962,222000.0,0.0,1.0
