date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,69.75,70.25,68.38,69.69,23.8873,378400.0,0.0,1.0
1998-01-05,1,69.75,70.06,69.38,70.06,24.0141,403400.0,0.0,1.0
1998-01-06,2,69.63,69.75,68.5,68.63,23.524,369100.0,0.0,1.0
1998-01-07,3,68.88,68.88,65.88,66.5,22.7939,495200.0,0.0,1.0
1998-01-08,4,66.25,66.63,64.88,65.5,22.4511,382400.0,0.0,1.0
1998-01-09,5,65.5,65.63,62.5,63.19,21.6593,774300.0,0.0,1.0
1998-01-12,6,62.5,63.88,62.0,63.25,21.6799,329600.0,0.0,1.0
1998-01-13,7,64.0,66.13,63.75,65.13,22.3243,316300.0,0.0,1.0
1998-01-14,8,65.63,66.25,62.5,63.5,21.7656,758900.0,0.0,1.0
1998-01-15,9,63.88,64.0,63.0,63.38,21.7245,441100.0,0.0,1.0
1998-01-16,10,63.5,64.5,62.88,63.75,21.8513,443600.0,0.0,1.0
1998-01-20,11,64.25,65.25,63.75,65.0,22.2797,363200.0,0.0,1.0
1998-01-21,12,65.06,65.38,63.63,63.94,21.9164,351000.0,0.0,1.0
1998-01-22,13,63.5,64.0,61.5,62.38,21.3817,435700.0,0.0,1.0
1998-01-23,14,63.13,63.75,60.38,61.5,21.0801,574700.0,0.0,1.0
1998-01-26,15,64.19,66.25,64.06,64.38,22.0672,2483600.0,0.0,1.0
1998-01-27,16,64.5,65.0,63.88,64.88,22.2386,1617800.0,0.0,1.0
1998-01-28,17,65.13,70.0,65.0,70.0,23.9936,1739500.0,0.0,1.0
1998-01-29,18,69.88,71.13,68.5,69.69,23.8873,8447800.0,0.0,1.0
1998-01-30,19,68.0,68.38,67.0,67.38,23.0955,2118000.0,0.0,1.0
1998-02-02,20,67.75,69.63,67.63,69.63,23.8667,1164300.0,0.0,1.0
1998-02-03,21,69.0,71.63,68.88,71.5,24.5077,932300.0,0.0,1.0
1998-02-04,22,70.75,71.13,69.75,70.44,24.1444,764900.0,0.0,1.0
1998-02-05,23,70.44,70.63,69.5,69.75,23.9079,382400.0,0.0,1.0
1998-02-06,24,69.88,71.63,69.75,70.13,24.0381,542800.0,0.0,1.0
1998-02-09,25,70.5,70.63,69.75,70.44,24.1444,279400.0,0.0,1.0
1998-02-10,26,70.25,72.5,70.0,71.94,24.6585,906600.0,0.0,1.0
1998-02-11,27,71.88,72.0,70.63,71.38,24.4666,491200.0,0.0,1.0
1998-02-12,28,70.75,72.75,70.63,72.38,24.8093,597200.0,0.0,1.0
1998-02-13,29,72.0,72.13,71.06,71.59,24.5386,359500.0,0.0,1.0
1998-02-17,30,71.63,72.75,71.25,71.56,24.5283,324400.0,0.0,1.0
1998-02-18,31,71.31,72.13,71.25,71.94,24.6585,293500.0,0.0,1.0
1998-02-19,32,71.69,72.25,71.63,72.0,24.6791,223900.0,0.0,1.0
1998-02-20,33,72.5,73.63,71.88,73.44,25.1727,639100.0,0.0,1.0
1998-02-23,34,73.75,74.38,73.38,74.0,25.3646,445200.0,0.0,1.0
1998-02-24,35,73.75,74.0,72.38,73.38,25.1521,460500.0,0.0,1.0
1998-02-25,36,73.63,74.38,73.5,73.81,25.2995,595900.0,0.0,1.0
1998-02-26,37,73.94,76.25,73.38,76.19,26.1153,408700.0,0.0,1.0
1998-02-27,38,75.75,76.38,75.38,76.06,26.0707,319200.0,0.0,1.0
1998-03-02,39,75.75,76.38,75.31,75.84,25.9953,286600.0,0.0,1.0
1998-03-03,40,75.38,76.94,75.25,76.0,26.0501,579600.0,0.0,1.0
1998-03-04,41,75.5,76.13,74.56,74.63,25.5806,356900.0,0.0,1.0
1998-03-05,42,74.25,74.5,71.88,72.75,24.9362,570000.0,0.0,1.0
1998-03-06,43,73.13,73.88,72.13,73.25,25.1795,467700.0,0.21,1.0
