date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,42.38,43.13,41.94,42.63,23.9192,170900.0,0.0,1.0
1998-01-05,42.63,42.81,42.19,42.75,23.9865,359700.0,0.0,1.0
1998-01-06,42.38,42.69,41.75,41.88,23.4984,362700.0,0.0,1.0
1998-01-07,41.75,41.94,41.0,41.63,23.3581,703100.0,0.0,1.0
1998-01-08,41.63,42.88,41.44,42.63,23.9192,335000.0,0.0,1.0
1998-01-09,42.38,42.5,40.94,41.0,23.0046,440000.0,0.0,1.0
1998-01-12,40.25,41.19,39.88,41.19,23.1112,490200.0,0.0,1.0
1998-01-13,42.69,42.69,41.81,42.06,23.5993,412000.0,0.0,1.0
1998-01-14,42.0,42.0,41.0,41.5,23.2851,478500.0,0.0,1.0
1998-01-15,41.38,41.44,40.38,41.06,23.0383,279000.0,0.0,1.0
1998-01-16,41.0,41.56,40.94,41.38,23.2178,392400.0,0.0,1.0
1998-01-20,41.63,42.0,41.19,42.0,23.5657,282100.0,0.0,1.0
1998-01-21,41.75,41.94,40.75,41.0,23.0046,456700.0,0.0,1.0
1998-01-22,41.19,41.44,40.88,41.06,23.0383,238400.0,0.0,1.0
1998-01-23,41.0,41.56,41.0,41.0,23.0046,240100.0,0.0,1.0
1998-01-26,41.25,41.56,41.0,41.13,23.0775,130500.0,0.0,1.0
1998-01-27,41.06,42.0,41.06,41.63,23.3581,211500.0,0.0,1.0
1998-01-28,41.94,41.94,41.25,41.38,23.2178,610900.0,0.0,1.0
1998-01-29,41.25,41.44,40.5,40.88,22.9373,742100.0,0.0,1.0
1998-01-30,40.63,41.38,40.25,41.06,23.0383,569800.0,0.0,1.0
1998-02-02,41.69,42.38,41.69,41.81,23.4591,391200.0,0.0,1.0
1998-02-03,41.75,42.75,41.75,42.63,23.9192,341700.0,0.0,1.0
1998-02-04,42.63,42.63,42.0,42.06,23.5993,128900.0,0.0,1.0
1998-02-05,42.31,42.75,42.06,42.63,23.9192,236500.0,0.0,1.0
1998-02-06,43.13,43.13,42.44,42.75,23.9865,307700.0,0.0,1.0
1998-02-09,42.38,43.63,42.38,43.56,24.441,310100.0,0.0,1.0
1998-02-10,43.81,43.81,43.5,43.56,24.441,314200.0,0.0,1.0
1998-02-11,43.69,43.75,43.38,43.75,24.5476,194000.0,0.0,1.0
1998-02-12,43.75,44.69,43.25,44.13,24.7608,262100.0,0.0,1.0
1998-02-13,44.13,44.56,43.5,44.19,24.7945,206200.0,0.0,1.0
1998-02-17,44.5,44.81,43.13,43.38,24.34,233200.0,0.0,1.0
1998-02-18,43.63,44.38,43.38,43.5,24.5083,176700.0,0.18,1.0
1998-02-19,43.5,43.75,43.0,43.44,24.4745,206700.0,0.0,1.0
1998-02-20,43.69,43.81,43.38,43.63,24.5816,194000.0,0.0,1.0
1998-02-23,43.88,44.06,43.0,44.0,24.79,195100.0,0.0,1.0
1998-02-24,43.63,44.06,43.5,43.88,24.7224,336000.0,0.0,1.0
1998-02-25,44.13,45.19,44.13,44.94,25.3196,464400.0,0.0,1.0
1998-02-26,45.13,45.88,44.5,45.81,25.8098,512800.0,0.0,1.0
1998-02-27,45.81,46.38,45.44,45.88,25.8492,385700.0,0.0,1.0
1998-03-02,45.88,46.0,44.75,45.25,25.4943,252500.0,0.0,1.0
1998-03-03,46.0,46.25,44.44,45.0,25.3534,208900.0,0.0,1.0
1998-03-04,46.0,47.25,45.81,47.25,26.6211,912800.0,0.0,1.0
1998-03-05,46.25,47.75,46.13,47.75,26.9028,757400.0,0.0,1.0
1998-03-06,47.69,50.31,47.5,49.25,27.7479,880000.0,0.0,1.0
1998-03-09,49.38,50.38,49.31,50.19,28.2775,901800.0,0.0,1.0
1998-03-10,50.19,50.19,48.25,48.69,27.4324,476200.0,0.0,1.0
1998-03-11,48.88,48.88,47.56,47.88,26.976,537400.0,0.0,1.0
1998-03-12,47.88,48.13,47.88,48.06,27.0775,291700.0,0.0,1.0
1998-03-13,48.25,48.56,47.5,47.69,26.869,243500.0,0.0,1.0
1998-03-16,48.13,48.88,47.81,48.63,27.3986,310400.0,0.0,1.0
1998-03-17,48.5,49.44,48.13,48.5,27.3254,586700.0,0.0,1.0
1998-03-18,48.5,50.38,48.38,50.06,28.2043,457100.0,0.0,1.0
1998-03-19,49.88,49.94,48.94,49.0,27.6071,626900.0,0.0,1.0
1998-03-20,49.63,49.88,48.88,48.88,27.5395,684900.0,0.0,1.0
1998-03-23,48.94,49.19,48.06,48.25,27.1845,613000.0,0.0,1.0
1998-03-24,48.25,48.75,48.19,48.31,27.2183,255400.0,0.0,1.0
1998-03-25,48.38,48.44,47.25,47.75,26.9028,600300.0,0.0,1.0
1998-03-26,47.5,47.94,47.0,47.44,26.7281,366900.0,0.0,1.0
1998-03-27,47.56,47.63,47.19,47.56,26.7958,253900.0,0.0,1.0
1998-03-30,47.81,48.19,47.63,47.94,27.0098,336700.0,0.0,1.0
1998-03-31,48.44,49.25,48.19,48.44,27.2916,434500.0,0.0,1.0
