date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,40.13,40.19,39.38,39.69,3.6752,43950.0,0.0,1.0
1998-01-05,1,39.81,40.0,38.94,39.13,3.6234,98550.0,0.0,1.0
1998-01-06,2,38.88,38.88,37.38,37.63,3.4845,117625.0,0.0,1.0
1998-01-07,3,37.69,37.69,36.81,37.06,3.4317,147100.0,0.0,1.0
1998-01-08,4,37.0,37.19,36.25,36.5,3.3799,186975.0,0.0,1.0
1998-01-09,5,36.44,36.44,33.38,33.88,3.1372,175325.0,0.0,1.0
1998-01-12,6,33.63,36.94,33.5,36.81,3.4086,254350.0,0.0,1.0
1998-01-13,7,36.56,36.69,36.19,36.38,3.3687,73100.0,0.0,1.0
1998-01-14,8,36.25,37.0,36.19,37.0,3.4262,107000.0,0.0,1.0
1998-01-15,9,36.75,36.75,36.5,36.5,3.3799,85775.0,0.0,1.0
1998-01-16,10,36.5,36.69,36.13,36.25,3.3567,71500.0,0.0,1.0
1998-01-20,11,36.06,36.38,35.88,36.38,3.3687,75150.0,0.0,1.0
1998-01-21,12,36.31,36.31,35.19,35.63,3.2993,106450.0,0.0,1.0
1998-01-22,13,35.56,35.69,35.5,35.63,3.2993,107000.0,0.0,1.0
1998-01-23,14,35.5,35.56,35.38,35.38,3.2761,51625.0,0.0,1.0
1998-01-26,15,35.38,35.94,35.38,35.63,3.2993,84625.0,0.0,1.0
1998-01-27,16,35.56,35.94,35.56,35.69,3.3049,39050.0,0.0,1.0
1998-01-28,17,35.31,35.31,34.75,34.81,3.2511,283950.0,0.3,1.0
1998-01-29,18,34.75,35.38,34.63,34.88,3.2577,87125.0,0.0,1.0
1998-01-30,19,35.0,35.06,34.19,34.19,3.1932,71500.0,0.0,1.0
1998-02-02,20,34.25,35.19,34.25,35.19,3.2866,95700.0,0.0,1.0
1998-02-03,21,35.06,36.38,35.06,36.38,3.3978,110675.0,0.0,1.0
1998-02-04,22,36.13,36.19,35.81,35.94,3.3567,256400.0,0.0,1.0
1998-02-05,23,35.81,36.63,35.81,36.63,3.4211,67825.0,0.0,1.0
1998-02-06,24,36.63,36.88,36.19,36.75,3.4323,43500.0,0.0,1.0
1998-02-09,25,36.56,36.63,35.5,35.56,3.3212,99125.0,0.0,1.0
1998-02-10,26,35.56,36.06,35.25,36.06,3.3679,97425.0,0.0,1.0
1998-02-11,27,36.13,36.5,36.0,36.13,3.3744,39850.0,0.0,1.0
1998-02-12,28,36.0,36.0,35.63,35.88,3.3511,85875.0,0.0,1.0
1998-02-13,29,35.94,36.0,35.5,35.5,3.3156,86350.0,0.0,1.0
1998-02-17,30,35.75,36.5,35.69,35.75,3.3389,91700.0,0.0,1.0
1998-02-18,31,35.75,36.0,35.75,36.0,3.3623,51375.0,0.0,1.0
1998-02-19,32,35.81,35.94,35.0,35.0,3.2689,157950.0,0.0,1.0
1998-02-20,33,35.0,35.0,34.88,35.0,3.2689,78575.0,0.0,1.0
1998-02-23,34,34.94,35.56,34.75,35.5,3.3156,102550.0,0.0,1.0
1998-02-24,35,35.5,35.5,35.0,35.31,3.2978,39500.0,0.0,1.0
1998-02-25,36,35.25,35.31,34.5,34.56,3.2278,44075.0,0.0,1.0
1998-02-26,37,34.5,36.0,34.38,35.63,3.3277,54575.0,0.0,1.0
1998-02-27,38,35.38,35.38,34.75,35.0,3.2689,54250.0,0.0,1.0
1998-03-02,39,34.94,35.19,34.63,35.13,3.281,58475.0,0.0,1.0
1998-03-03,40,35.0,35.5,35.0,35.5,3.3156,25450.0,0.0,1.0
1998-03-04,41,35.25,35.81,35.25,35.56,3.3212,96275.0,0.0,1.0
1998-03-05,42,35.38,35.63,35.19,35.44,3.31,129750.0,0.0,1.0
1998-03-06,43,35.38,35.94,35.38,35.81,3.3445,81650.0,0.0,1.0
1998-03-09,44,35.63,36.94,35.56,36.56,3.4146,128375.0,0.0,1.0
1998-03-10,45,36.31,37.0,36.31,36.94,3.4501,184450.0,0.0,1.0
1998-03-11,46,36.69,37.31,36.63,37.13,3.4678,151775.0,0.0,1.0
1998-03-12,47,36.88,38.19,36.81,38.06,3.5547,186625.0,0.0,1.0
1998-03-13,48,38.13,38.88,38.06,38.69,3.6135,287025.0,0.0,1.0
1998-03-16,49,38.5,40.25,38.5,39.81,3.7181,391200.0,0.0,1.0
1998-03-17,50,39.63,41.25,39.56,40.06,3.7415,344825.0,0.0,1.0
1998-03-18,51,39.88,40.06,38.31,38.31,3.5780000000000003,193350.0,0.0,1.0
1998-03-19,52,38.56,40.25,38.56,40.19,3.7536,227275.0,0.0,1.0
1998-03-20,53,40.25,41.25,39.94,40.81,3.8115,289775.0,0.0,1.0
1998-03-23,54,40.81,44.25,40.81,43.56,4.0684,547675.0,0.0,1.0
1998-03-24,55,43.38,43.38,41.5,41.5,3.876,263600.0,0.0,1.0
1998-03-25,56,41.56,43.13,41.13,42.63,3.9815,261675.0,0.0,1.0
1998-03-26,57,42.56,42.56,41.81,42.13,3.9348,109400.0,0.0,1.0
1998-03-27,58,42.06,42.06,40.56,40.63,3.7947,29225.0,0.0,1.0
1998-03-30,59,40.75,41.25,40.38,40.38,3.7714,66925.0,0.0,1.0
1998-03-31,60,40.75,42.0,40.69,40.75,3.8059,79600.0,0.0,1.0
1998-04-01,61,40.63,41.19,40.44,41.06,3.8349,27625.0,0.0,1.0
1998-04-02,62,41.25,41.75,41.25,41.63,3.8881,60875.0,0.0,1.0
1998-04-03,63,41.5,41.88,41.38,41.5,3.876,40300.0,0.0,1.0
1998-04-06,64,41.5,41.56,40.38,40.44,3.777,47400.0,0.0,1.0
1998-04-07,65,40.25,40.81,39.38,39.81,3.7181,74125.0,0.0,1.0
1998-04-08,66,40.06,41.13,40.06,40.25,3.7592,54825.0,0.0,1.0
1998-04-09,67,40.56,40.75,40.19,40.19,3.7536,38600.0,0.0,1.0
1998-04-13,68,40.13,40.13,39.75,39.88,3.7247,88725.0,0.0,1.0
1998-04-14,69,40.0,41.44,40.0,41.25,3.8526,69775.0,0.0,1.0
1998-04-15,70,41.06,41.19,40.63,41.06,3.8349,36550.0,0.0,1.0
1998-04-16,71,40.94,41.0,40.06,40.13,3.748,63025.0,0.0,1.0
1998-04-17,72,39.94,41.0,39.81,40.88,3.8181,120375.0,0.0,1.0
1998-04-20,73,40.69,41.38,40.63,40.75,3.8059,32650.0,0.0,1.0
1998-04-21,74,40.63,40.88,40.5,40.88,3.8181,23050.0,0.0,1.0
1998-04-22,75,40.69,41.19,40.44,40.63,3.7947,50025.0,0.0,1.0
1998-04-23,76,40.81,41.25,40.5,41.13,3.8414,74800.0,0.0,1.0
1998-04-24,77,41.06,41.44,39.56,39.88,3.7247,46700.0,0.0,1.0
1998-04-27,78,39.63,39.81,38.88,39.0,3.6425,28325.0,0.0,1.0
1998-04-28,79,38.88,39.44,38.56,38.56,3.6294,218500.0,0.3,1.0
1998-04-29,80,38.81,38.94,38.38,38.56,3.6294,21450.0,0.0,1.0
1998-04-30,81,38.75,40.75,38.56,40.5,3.812,45225.0,0.0,1.0
1998-05-01,82,40.44,40.56,39.44,39.88,3.7536,31850.0,0.0,1.0
1998-05-04,83,39.88,40.31,39.13,39.56,3.7235,37450.0,0.0,1.0
1998-05-05,84,39.56,39.81,38.5,38.94,3.6652,66475.0,0.0,1.0
1998-05-06,85,38.81,40.13,38.56,40.13,3.7772,67275.0,0.0,1.0
1998-05-07,86,39.94,40.5,39.38,40.38,3.8007,83025.0,0.0,1.0
1998-05-08,87,40.31,41.0,40.19,40.56,3.8176,69900.0,0.0,1.0
1998-05-11,88,40.38,40.94,40.13,40.25,3.7885,66475.0,0.0,1.0
1998-05-12,89,40.31,40.56,40.19,40.31,3.7941,61200.0,0.0,1.0
1998-05-13,90,40.31,40.63,40.19,40.44,3.8064,42825.0,0.0,1.0
1998-05-14,91,40.56,40.56,39.0,39.19,3.6887,59050.0,0.0,1.0
1998-05-15,92,39.38,40.13,39.31,40.0,3.7649,58575.0,0.0,1.0
1998-05-18,93,40.13,40.88,39.94,40.44,3.8064,41575.0,0.0,1.0
1998-05-19,94,40.44,40.88,40.31,40.38,3.8007,54575.0,0.0,1.0
1998-05-20,95,40.38,40.56,40.31,40.56,3.8176,60175.0,0.0,1.0
1998-05-21,96,40.44,40.5,40.19,40.5,3.812,43725.0,0.0,1.0
1998-05-22,97,40.5,40.5,40.0,40.25,3.7885,33900.0,0.0,1.0
1998-05-26,98,40.13,40.13,38.69,38.75,3.6473,49100.0,0.0,1.0
1998-05-27,99,38.94,38.94,37.75,37.88,3.5654,64525.0,0.0,1.0
1998-05-28,100,37.94,38.75,37.81,38.75,3.6473,100150.0,0.0,1.0
1998-05-29,101,38.94,39.94,38.94,39.06,3.6765,60400.0,0.0,1.0
1998-06-01,102,38.94,38.94,38.0,38.19,3.5946,120500.0,0.0,1.0
1998-06-02,103,38.25,38.94,37.56,37.69,3.5475,43275.0,0.0,1.0
1998-06-03,104,37.75,38.06,37.75,37.81,3.5588,76750.0,0.0,1.0
1998-06-04,105,37.88,37.94,37.25,37.56,3.5353,95600.0,0.0,1.0
1998-06-05,106,37.69,38.13,37.31,38.0,3.5767,77425.0,0.0,1.0
1998-06-08,107,38.0,39.06,37.81,38.75,3.6473,59375.0,0.0,1.0
1998-06-09,108,38.88,39.06,38.13,38.25,3.6002,22375.0,0.0,1.0
1998-06-10,109,38.06,38.06,36.38,36.81,3.4647,91825.0,0.0,1.0
1998-06-11,110,36.94,37.13,35.75,35.81,3.3706,85300.0,0.0,1.0
1998-06-12,111,36.0,37.25,36.0,36.88,3.4713,113400.0,0.0,1.0
1998-06-15,112,36.69,37.19,36.25,36.31,3.4176,107350.0,0.0,1.0
1998-06-16,113,36.56,36.94,36.31,36.69,3.4534,48650.0,0.0,1.0
1998-06-17,114,36.75,37.94,36.5,37.63,3.5419,53450.0,0.0,1.0
1998-06-18,115,37.5,37.94,37.13,37.19,3.5005,18150.0,0.0,1.0
1998-06-19,116,36.94,37.5,36.94,37.38,3.5183,53100.0,0.0,1.0
1998-06-22,117,37.5,38.19,37.31,37.31,3.5117,45450.0,0.0,1.0
1998-06-23,118,37.56,38.13,37.56,37.94,3.571,84750.0,0.0,1.0
1998-06-24,119,38.19,38.56,38.06,38.5,3.6238,111475.0,0.0,1.0
1998-06-25,120,38.63,39.13,38.19,38.94,3.6652,163200.0,0.0,1.0
1998-06-26,121,39.06,39.56,38.63,39.38,3.7066,65325.0,0.0,1.0
1998-06-29,122,39.19,40.25,39.13,39.19,3.6887,32875.0,0.0,1.0
1998-06-30,123,39.31,40.31,39.31,39.88,3.7536,55275.0,0.0,1.0
1998-07-01,124,39.88,40.63,39.69,40.63,3.8242,65425.0,0.0,1.0
1998-07-02,125,40.94,40.94,39.56,39.56,3.7235,73650.0,0.0,1.0
1998-07-06,126,39.31,40.06,39.31,40.06,3.7706,70350.0,0.0,1.0
1998-07-07,127,40.06,40.5,39.75,40.38,3.8007,131225.0,0.0,1.0
1998-07-08,128,40.13,40.13,39.19,39.19,3.6887,91475.0,0.0,1.0
1998-07-09,129,39.06,39.31,38.75,38.81,3.6529,35050.0,0.0,1.0
1998-07-10,130,38.75,39.0,38.69,38.81,3.6529,26600.0,0.0,1.0
1998-07-13,131,38.69,39.31,38.5,38.63,3.636,19300.0,0.0,1.0
1998-07-14,132,38.81,39.19,38.63,39.13,3.6831,17225.0,0.0,1.0
1998-07-15,133,39.06,39.06,38.31,38.44,3.6181,56975.0,0.0,1.0
1998-07-16,134,38.31,38.88,38.13,38.69,3.6416,59950.0,0.0,1.0
1998-07-17,135,38.5,38.69,37.88,38.06,3.5823,29225.0,0.0,1.0
1998-07-20,136,38.0,38.25,37.63,37.63,3.5419,34250.0,0.0,1.0
1998-07-21,137,37.81,37.88,37.31,37.31,3.5117,26950.0,0.0,1.0
1998-07-22,138,37.19,37.5,37.0,37.0,3.4826,84750.0,0.0,1.0
1998-07-23,139,37.0,37.0,36.25,36.56,3.4412,152575.0,0.0,1.0
1998-07-24,140,36.56,36.75,36.13,36.13,3.4007,72300.0,0.0,1.0
1998-07-27,141,36.19,36.19,35.88,36.0,3.3884,74000.0,0.0,1.0
1998-07-28,142,35.38,35.75,35.31,35.5,3.3414,140125.0,0.0,1.0
1998-07-29,143,35.13,35.69,35.13,35.19,3.3404,160575.0,0.3,1.0
1998-07-30,144,35.25,35.56,35.25,35.5,3.3699,70575.0,0.0,1.0
1998-07-31,145,35.38,35.56,34.0,34.13,3.2398,137850.0,0.0,1.0
1998-08-03,146,34.19,34.31,33.63,33.69,3.1981,123125.0,0.0,1.0
1998-08-04,147,33.63,34.81,33.19,34.38,3.2636,108950.0,0.0,1.0
1998-08-05,148,34.5,34.69,33.94,34.31,3.2569,77075.0,0.0,1.0
1998-08-06,149,34.31,34.5,33.94,34.19,3.2455,62000.0,0.0,1.0
1998-08-07,150,34.19,35.19,33.75,33.81,3.2094,113625.0,0.0,1.0
