date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,22.38,23.44,22.13,23.0,3.3811,4861467.0,0.0,1.0
1998-01-05,23.13,23.5,22.88,23.38,3.437,11017800.0,0.0,1.0
1998-01-06,23.31,23.38,22.44,22.69,3.3355,6935000.0,0.0,1.0
1998-01-07,22.5,22.5,21.0,21.13,3.1062,16460400.0,0.0,1.0
1998-01-08,21.31,21.5,20.13,20.31,2.9857,16279800.0,0.0,1.0
1998-01-09,20.25,20.25,18.63,18.75,2.7563,24983267.0,0.0,1.0
1998-01-12,18.38,18.75,17.75,18.06,2.6549,25138400.0,0.0,1.0
1998-01-13,18.88,19.25,18.38,19.06,2.8019,21575467.0,0.0,1.0
1998-01-14,19.38,19.88,19.13,19.56,2.8754,16657067.0,0.0,1.0
1998-01-15,19.69,19.75,18.88,19.25,2.8298,9910600.0,0.0,1.0
1998-01-16,19.5,19.81,19.31,19.44,2.8578,11918267.0,0.0,1.0
1998-01-20,20.13,20.25,19.75,20.25,2.9769,10109067.0,0.0,1.0
1998-01-21,20.38,20.5,20.0,20.13,2.9592,7629800.0,0.0,1.0
1998-01-22,20.13,20.19,19.75,19.94,2.9313,6782667.0,0.0,1.0
1998-01-23,20.25,20.25,19.19,19.44,2.8578,9055000.0,0.0,1.0
1998-01-26,19.5,19.5,18.88,18.94,2.7843,7550200.0,0.0,1.0
1998-01-27,18.88,19.19,18.75,19.0,2.7931,8890000.0,0.0,1.0
1998-01-28,20.56,21.5,20.5,21.19,3.115,25633667.0,0.0,1.0
1998-01-29,21.56,22.88,21.56,22.34,3.2841,20901200.0,0.0,1.0
1998-01-30,22.88,23.88,22.75,23.25,3.4179,21407267.0,0.0,1.0
1998-02-02,24.75,24.88,24.44,24.63,3.6207,16764600.0,0.0,1.0
1998-02-03,24.81,24.88,24.13,24.69,3.6296,11205200.0,0.0,1.0
1998-02-04,24.38,24.75,24.19,24.44,3.5928,8475267.0,0.0,1.0
1998-02-05,24.69,25.25,23.63,23.88,3.5105,11722000.0,0.0,1.0
1998-02-06,23.88,27.0,23.75,27.0,3.9691,22286867.0,0.0,1.0
1998-02-09,28.38,28.73,27.0,27.69,4.0706,26854800.0,0.0,1.0
1998-02-10,27.94,27.94,26.81,27.25,4.0059,16584467.0,0.0,1.0
1998-02-11,26.94,27.38,26.56,26.94,3.9603,9817400.0,0.0,1.0
1998-02-12,26.38,27.0,25.81,26.88,3.9515,10957800.0,0.0,1.0
1998-02-13,26.44,26.75,26.13,26.5,3.8956,5985067.0,0.0,1.0
1998-02-17,26.88,27.0,25.44,25.63,3.7677,7266200.0,0.0,1.0
1998-02-18,25.5,26.19,25.13,25.94,3.8133,6262400.0,0.0,1.0
1998-02-19,26.06,26.13,25.13,25.31,3.7207,9033067.0,0.0,1.0
1998-02-20,25.63,25.63,24.31,25.13,3.6942,9848467.0,0.0,1.0
1998-02-23,25.63,26.44,25.5,26.38,3.878,11319000.0,0.0,1.0
1998-02-24,26.75,26.81,25.75,26.19,3.8501,8484200.0,0.0,1.0
1998-02-25,26.19,26.31,25.31,26.06,3.831,9290000.0,0.0,1.0
1998-02-26,25.75,25.88,25.13,25.56,3.7575,8854067.0,0.0,1.0
1998-02-27,25.38,25.44,24.38,24.63,3.6207,13186667.0,0.0,1.0
1998-03-02,24.56,24.69,24.13,24.13,3.5472,6835800.0,0.0,1.0
1998-03-03,24.69,26.19,24.13,26.06,3.831,17620267.0,0.0,1.0
1998-03-04,26.0,26.75,25.69,26.06,3.831,9588867.0,0.0,1.0
