date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,29.44,29.44,29.0,29.13,7.2215,342400.0,0.0,1.0
1998-01-05,1,29.0,29.13,28.5,28.81,7.1422,1449000.0,0.0,1.0
1998-01-06,2,28.0,28.25,27.44,27.75,6.8794,2971800.0,0.0,1.0
1998-01-07,3,27.63,27.75,27.25,27.63,6.8497,1545500.0,0.0,1.0
1998-01-08,4,27.5,27.56,26.88,26.94,6.6786,1455000.0,0.0,1.0
1998-01-09,5,26.75,26.75,25.88,26.0,6.4456,2837800.0,0.0,1.0
1998-01-12,6,24.88,26.0,24.88,25.81,6.3985,2168100.0,0.0,1.0
1998-01-13,7,25.88,26.69,25.81,26.56,6.5844,1781800.0,0.0,1.0
1998-01-14,8,26.63,26.88,26.56,26.81,6.6464,613800.0,0.0,1.0
1998-01-15,9,26.88,27.13,26.75,27.0,6.6935,754000.0,0.0,1.0
1998-01-16,10,27.44,27.44,27.19,27.31,6.7703,985700.0,0.0,1.0
1998-01-20,11,27.31,27.44,27.13,27.13,6.7257,731600.0,0.0,1.0
1998-01-21,12,26.88,27.25,26.88,27.06,6.7084,910300.0,0.0,1.0
1998-01-22,13,27.0,27.13,26.19,26.31,6.5224,1663800.0,0.0,1.0
1998-01-23,14,26.25,26.44,25.25,25.5,6.3216,2833600.0,0.0,1.0
1998-01-26,15,25.5,25.88,25.31,25.56,6.3365,916700.0,0.0,1.0
1998-01-27,16,25.63,26.0,25.63,25.69,6.3687,1121100.0,0.0,1.0
1998-01-28,17,25.75,25.75,25.38,25.38,6.2919,1162200.0,0.0,1.0
1998-01-29,18,25.38,26.06,25.38,25.56,6.3365,2679800.0,0.0,1.0
1998-01-30,19,25.75,25.81,25.5,25.5,6.3216,950900.0,0.0,1.0
1998-02-02,20,25.63,25.81,25.5,25.56,6.3365,960500.0,0.0,1.0
1998-02-03,21,25.5,25.94,25.5,25.81,6.3985,814400.0,0.0,1.0
1998-02-04,22,25.69,26.13,25.56,25.88,6.4158,1754500.0,0.0,1.0
1998-02-05,23,25.88,26.13,25.81,25.88,6.4158,1252600.0,0.0,1.0
1998-02-06,24,25.94,26.19,25.94,26.13,6.4778,1182800.0,0.0,1.0
1998-02-09,25,26.19,26.19,25.81,25.81,6.3985,964300.0,0.0,1.0
1998-02-10,26,25.88,26.13,25.81,25.94,6.4307,604300.0,0.0,1.0
1998-02-11,27,25.75,25.94,25.63,25.81,6.3985,2639800.0,0.0,1.0
1998-02-12,28,25.88,25.88,25.69,25.75,6.3836,704600.0,0.0,1.0
1998-02-13,29,25.81,25.94,25.75,25.81,6.3985,1360500.0,0.0,1.0
1998-02-17,30,26.06,26.13,25.94,26.0,6.4456,1170000.0,0.0,1.0
1998-02-18,31,25.94,26.13,25.88,26.13,6.4778,1132800.0,0.0,1.0
1998-02-19,32,26.13,26.13,25.13,25.13,6.2299,3567100.0,0.0,1.0
1998-02-20,33,25.5,25.5,25.31,25.31,6.2745,1380000.0,0.0,1.0
1998-02-23,34,25.25,25.25,25.0,25.06,6.2125,984200.0,0.0,1.0
1998-02-24,35,25.06,25.38,25.06,25.13,6.2299,1119100.0,0.0,1.0
1998-02-25,36,25.19,25.19,24.63,24.88,6.1679,2175100.0,0.0,1.0
1998-02-26,37,24.94,25.19,24.81,25.13,6.2299,2092700.0,0.0,1.0
1998-02-27,38,25.31,25.69,25.13,25.56,6.3365,2843100.0,0.0,1.0
1998-03-02,39,25.56,25.63,25.38,25.5,6.3216,770000.0,0.0,1.0
1998-03-03,40,25.38,25.88,25.31,25.88,6.4158,1342400.0,0.0,1.0
1998-03-04,41,26.13,26.38,25.94,26.13,6.4778,3200400.0,0.0,1.0
