date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,50.72,50.75,48.5,49.0,8.3431,864563.0,0.0,1.0
1998-01-05,1,46.88,50.38,46.0,49.44,8.4181,1112830.0,0.0,1.0
1998-01-06,2,49.25,50.0,48.25,48.25,8.2154,860444.0,0.0,1.0
1998-01-07,3,48.13,48.5,46.88,48.0,8.1729,1238844.0,0.0,1.0
1998-01-08,4,47.25,48.0,46.38,47.94,8.1627,1290044.0,0.0,1.0
1998-01-09,5,48.0,48.38,47.25,47.5,8.0877,1343852.0,0.0,1.0
1998-01-12,6,46.25,48.0,45.13,46.5,7.9175,1007052.0,0.0,1.0
1998-01-13,7,47.0,47.31,46.0,47.31,8.0554,667852.0,0.0,1.0
1998-01-14,8,47.0,50.0,47.0,49.72,8.4657,744385.0,0.0,1.0
1998-01-15,9,49.5,49.88,46.25,46.31,7.8851,542578.0,0.0,1.0
1998-01-16,10,47.63,48.38,45.75,46.63,7.9396,905600.0,0.0,1.0
1998-01-20,11,46.75,50.25,46.5,49.94,8.5032,927467.0,0.0,1.0
1998-01-21,12,49.5,50.13,48.69,50.0,8.5134,978163.0,0.0,1.0
1998-01-22,13,50.0,51.25,49.5,50.88,8.6632,785778.0,0.0,1.0
1998-01-23,14,50.94,51.38,48.13,48.38,8.2376,602430.0,0.0,1.0
1998-01-26,15,48.5,48.63,47.0,47.5,8.0877,391852.0,0.0,1.0
1998-01-27,16,47.38,47.75,46.63,47.13,8.0247,367644.0,0.0,1.0
1998-01-28,17,47.31,49.88,47.25,48.88,8.3227,629985.0,0.0,1.0
1998-01-29,18,48.94,49.13,47.63,48.25,8.2308,603467.0,0.09,1.0
1998-01-30,19,48.0,48.63,47.5,47.81,8.1557,511467.0,0.0,1.0
1998-02-02,20,48.63,49.5,47.88,48.25,8.2308,502430.0,0.0,1.0
1998-02-03,21,48.5,50.0,47.75,49.38,8.4235,575644.0,0.0,1.0
1998-02-04,22,49.38,49.63,48.75,49.0,8.3587,452178.0,0.0,1.0
1998-02-05,23,49.38,49.5,47.75,47.88,8.1676,670252.0,0.0,1.0
1998-02-06,24,48.5,49.38,48.0,49.13,8.3809,510785.0,0.0,1.0
1998-02-09,25,49.38,50.13,48.25,48.25,8.2308,694844.0,0.0,1.0
1998-02-10,26,48.75,49.63,48.31,49.13,8.3809,1082400.0,0.0,1.0
1998-02-11,27,49.38,50.0,48.88,49.0,8.3587,764978.0,0.0,1.0
1998-02-12,28,49.13,49.5,48.38,49.25,8.4014,292800.0,0.0,1.0
1998-02-13,29,48.5,49.63,48.13,48.13,8.2103,444385.0,0.0,1.0
1998-02-17,30,48.5,50.0,48.25,49.06,8.3689,495200.0,0.0,1.0
1998-02-18,31,49.25,49.44,48.75,49.25,8.4014,678400.0,0.0,1.0
1998-02-19,32,49.38,49.5,48.63,49.25,8.4014,265244.0,0.0,1.0
1998-02-20,33,49.13,50.0,48.88,49.88,8.5088,481985.0,0.0,1.0
1998-02-23,34,49.88,51.75,49.88,50.88,8.6794,724267.0,0.0,1.0
1998-02-24,35,50.63,51.88,49.38,49.88,8.5088,700444.0,0.0,1.0
1998-02-25,36,50.75,51.69,50.19,51.06,8.7101,526578.0,0.0,1.0
1998-02-26,37,50.88,52.0,50.5,51.13,8.7221,407230.0,0.0,1.0
1998-02-27,38,51.38,52.69,50.88,51.63,8.8073,719763.0,0.0,1.0
1998-03-02,39,51.75,52.88,51.63,51.94,8.8602,624000.0,0.0,1.0
1998-03-03,40,52.0,52.75,51.25,52.25,8.9131,381867.0,0.0,1.0
1998-03-04,41,52.25,53.38,51.5,52.06,8.8807,463585.0,0.0,1.0
1998-03-05,42,51.13,52.19,49.75,50.63,8.6368,729185.0,0.0,1.0
1998-03-06,43,51.0,51.81,50.25,51.81,8.8381,473985.0,0.0,1.0
1998-03-09,44,51.5,53.38,51.13,52.5,8.9558,564800.0,0.0,1.0
1998-03-10,45,52.88,56.0,52.75,55.94,9.5426,684178.0,0.0,1.0
1998-03-11,46,55.38,55.75,54.25,54.25,9.2543,538163.0,0.0,1.0
1998-03-12,47,54.75,54.88,53.5,54.19,9.244,457778.0,0.0,1.0
1998-03-13,48,54.38,54.75,53.88,54.16,9.2389,445452.0,0.0,1.0
1998-03-16,49,54.13,55.5,54.13,55.0,9.3822,769244.0,0.0,1.0
1998-03-17,50,55.88,56.13,53.63,53.63,9.1485,627644.0,0.0,1.0
1998-03-18,51,53.38,55.39,52.31,55.13,9.4044,891200.0,0.0,1.0
1998-03-19,52,55.0,55.56,54.63,55.38,9.447,480652.0,0.0,1.0
1998-03-20,53,55.75,55.88,54.13,54.19,9.244,551230.0,0.0,1.0
1998-03-23,54,54.19,55.0,53.5,54.88,9.3618,142844.0,0.0,1.0
1998-03-24,55,54.63,56.88,54.5,56.25,9.5955,651467.0,0.0,1.0
1998-03-25,56,56.38,59.75,56.38,57.63,9.8309,1275852.0,0.0,1.0
1998-03-26,57,57.25,57.94,56.88,57.69,9.8411,473363.0,0.0,1.0
1998-03-27,58,57.88,57.94,56.81,56.81,9.691,410252.0,0.0,1.0
1998-03-30,59,57.0,57.38,56.75,57.06,9.7336,118785.0,0.0,1.0
1998-03-31,60,56.94,58.38,56.75,57.69,9.8411,583852.0,0.0,1.0
1998-04-01,61,57.69,58.0,56.63,56.81,9.691,723585.0,0.0,1.0
1998-04-02,62,57.13,58.25,56.81,57.69,9.8411,300267.0,0.0,1.0
1998-04-03,63,57.75,58.88,57.75,58.44,9.969,437985.0,0.0,1.0
1998-04-06,64,59.0,59.13,55.81,56.25,9.5955,703644.0,0.0,1.0
1998-04-07,65,56.0,57.75,55.38,56.5,9.6381,799052.0,0.0,1.0
1998-04-08,66,57.0,57.63,56.38,56.94,9.7132,300178.0,0.0,1.0
1998-04-09,67,57.13,59.0,56.38,58.75,10.0219,1052178.0,0.0,1.0
1998-04-13,68,58.94,58.94,57.75,57.88,9.8735,395230.0,0.0,1.0
1998-04-14,69,57.88,58.25,57.75,58.0,9.894,290044.0,0.0,1.0
1998-04-15,70,58.38,58.88,57.75,57.91,9.8786,215467.0,0.0,1.0
1998-04-16,71,57.75,57.75,56.38,56.63,9.6603,312830.0,0.0,1.0
1998-04-17,72,56.5,57.75,56.25,57.0,9.7234,478430.0,0.0,1.0
1998-04-20,73,57.0,57.88,56.88,57.5,9.8087,216830.0,0.0,1.0
1998-04-21,74,57.13,57.63,56.63,57.13,9.7456,171467.0,0.0,1.0
1998-04-22,75,56.31,57.5,56.31,56.31,9.6057,152178.0,0.0,1.0
1998-04-23,76,56.5,56.75,54.0,54.25,9.2543,380563.0,0.0,1.0
1998-04-24,77,54.0,54.81,53.5,54.44,9.2867,447052.0,0.0,1.0
1998-04-27,78,53.75,53.75,50.88,50.88,8.6794,646844.0,0.0,1.0
1998-04-28,79,52.0,52.63,51.38,51.56,8.7954,818044.0,0.0,1.0
1998-04-29,80,51.94,54.63,51.75,54.63,9.3345,555052.0,0.09,1.0
1998-04-30,81,54.75,56.5,53.75,54.31,9.2798,598785.0,0.0,1.0
1998-05-01,82,54.44,55.75,54.13,55.5,9.4831,319467.0,0.0,1.0
1998-05-04,83,55.88,57.5,55.13,55.19,9.4301,491585.0,0.0,1.0
1998-05-05,84,55.5,55.5,52.75,53.25,9.0987,289985.0,0.0,1.0
1998-05-06,85,54.13,54.13,52.25,52.63,8.9927,374044.0,0.0,1.0
1998-05-07,86,52.63,53.5,52.5,52.75,9.0132,435467.0,0.0,1.0
1998-05-08,87,53.0,54.06,52.88,53.75,9.1841,228978.0,0.0,1.0
1998-05-11,88,53.63,54.25,53.0,53.44,9.1311,483378.0,0.0,1.0
1998-05-12,89,52.88,54.63,52.75,54.63,9.3345,250963.0,0.0,1.0
1998-05-13,90,55.0,55.0,53.88,54.5,9.3122,197452.0,0.0,1.0
1998-05-14,91,54.63,55.63,53.75,54.13,9.249,259378.0,0.0,1.0
1998-05-15,92,54.5,54.75,53.38,53.5,9.1414,257244.0,0.0,1.0
1998-05-18,93,53.75,54.0,52.75,52.75,9.0132,381185.0,0.0,1.0
1998-05-19,94,53.0,54.5,53.0,54.0,9.2268,284978.0,0.0,1.0
1998-05-20,95,54.5,54.5,53.0,53.0,9.0559,310667.0,0.0,1.0
1998-05-21,96,53.44,53.75,52.88,53.25,9.0987,308652.0,0.0,1.0
1998-05-22,97,53.38,53.63,52.38,53.16,9.0833,168030.0,0.0,1.0
1998-05-26,98,36.25,36.25,34.5,34.63,8.8757,216711.0,0.0,1.5
1998-05-27,99,34.75,35.5,33.13,35.5,9.0987,482444.0,0.0,1.0
1998-05-28,100,35.88,36.0,34.44,35.13,9.0038,460978.0,0.0,1.0
1998-05-29,101,35.38,36.38,34.88,36.0,9.2268,802400.0,0.0,1.0
1998-06-01,102,36.13,37.75,35.75,37.5,9.6113,814178.0,0.0,1.0
1998-06-02,103,38.25,38.88,37.66,38.19,9.7881,1255467.0,0.0,1.0
1998-06-03,104,38.5,38.5,37.88,37.94,9.724,397644.0,0.0,1.0
1998-06-04,105,37.88,38.25,37.38,37.94,9.724,428667.0,0.0,1.0
1998-06-05,106,38.0,38.13,37.19,37.56,9.6266,446178.0,0.0,1.0
1998-06-08,107,37.5,38.5,37.5,37.81,9.6907,816044.0,0.0,1.0
1998-06-09,108,37.88,38.44,37.81,38.06,9.7548,683600.0,0.0,1.0
1998-06-10,109,38.12,38.44,37.19,37.62,9.642,579467.0,0.0,1.0
