date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,38.5,38.5,37.25,37.5,3.234,96571.0,0.0,1.0
1998-01-05,37.25,37.75,36.87,36.94,3.1857,83767.0,0.0,1.0
1998-01-06,37.0,37.25,36.75,37.0,3.1908,51365.0,0.0,1.0
1998-01-07,36.87,37.25,35.75,36.37,3.1365,114561.0,0.0,1.0
1998-01-08,35.75,36.5,35.5,35.75,3.083,79450.0,0.0,1.0
1998-01-09,35.5,36.12,34.75,34.94,3.0132,237862.0,0.0,1.0
1998-01-12,34.0,34.75,33.75,34.75,2.9968,144825.0,0.0,1.0
1998-01-13,36.0,36.59,35.75,36.25,3.1262,207640.0,0.0,1.0
1998-01-14,36.37,36.37,35.75,35.81,3.0882,49376.0,0.0,1.0
1998-01-15,36.37,36.75,35.75,35.87,3.0934,44825.0,0.0,1.0
1998-01-16,36.37,36.5,35.87,36.5,3.1477,110667.0,0.0,1.0
1998-01-20,36.5,37.62,36.0,37.37,3.2228,174265.0,0.0,1.0
1998-01-21,37.12,37.5,36.75,36.87,3.1796,87450.0,0.0,1.0
1998-01-22,36.5,36.94,35.62,35.75,3.083,588254.0,0.0,1.0
1998-01-23,36.25,36.25,35.12,35.62,3.0718,113058.0,0.0,1.0
1998-01-26,36.0,36.0,34.87,34.94,3.0132,210836.0,0.0,1.0
1998-01-27,35.31,35.31,34.75,35.06,3.0235,135450.0,0.0,1.0
1998-01-28,35.0,35.25,34.75,35.0,3.0347,125757.0,0.19,1.0
1998-01-29,35.25,35.37,34.87,35.0,3.0347,112783.0,0.0,1.0
1998-01-30,35.0,35.31,34.62,34.62,3.0018,100783.0,0.0,1.0
1998-02-02,35.12,35.5,34.75,35.12,3.0452,132825.0,0.0,1.0
1998-02-03,35.25,35.25,34.87,35.06,3.04,33587.0,0.0,1.0
1998-02-04,35.25,36.0,35.0,35.87,3.1102,103767.0,0.0,1.0
1998-02-05,36.0,36.0,35.25,35.37,3.0668,20423.0,0.0,1.0
1998-02-06,36.0,36.75,35.37,36.0,3.1215,190159.0,0.0,1.0
1998-02-09,37.12,37.5,36.25,36.69,3.1813,116423.0,0.0,1.0
1998-02-10,37.0,37.0,36.25,36.5,3.1648,85228.0,0.0,1.0
1998-02-11,36.62,36.62,36.37,36.37,3.1535,14836.0,0.0,1.0
1998-02-12,36.62,36.62,36.25,36.37,3.1535,37460.0,0.0,1.0
1998-02-13,36.25,36.75,36.0,36.56,3.17,115365.0,0.0,1.0
1998-02-17,36.0,36.75,36.0,36.37,3.1535,142794.0,0.0,1.0
1998-02-18,36.87,36.87,36.25,36.37,3.1535,77989.0,0.0,1.0
1998-02-19,36.5,37.75,36.5,37.37,3.2402,159767.0,0.0,1.0
1998-02-20,37.25,38.0,37.12,37.12,3.2186,54667.0,0.0,1.0
1998-02-23,38.0,38.12,37.5,37.62,3.2619,44254.0,0.0,1.0
1998-02-24,37.62,37.62,36.75,37.06,3.2134,205778.0,0.0,1.0
1998-02-25,37.37,38.19,36.94,37.87,3.2836,55450.0,0.0,1.0
1998-02-26,38.12,38.12,37.31,38.0,3.2949,33630.0,0.0,1.0
1998-02-27,38.0,38.0,37.12,37.69,3.268,138646.0,0.0,1.0
1998-03-02,37.25,38.19,37.25,38.19,3.3113,56000.0,0.0,1.0
1998-03-03,37.75,38.19,37.75,38.06,3.3001,47640.0,0.0,1.0
1998-03-04,38.0,38.0,36.75,37.0,3.2082,169630.0,0.0,1.0
1998-03-05,36.81,37.19,36.75,37.12,3.2186,63365.0,0.0,1.0
1998-03-06,37.19,38.0,37.19,37.91,3.2871,78794.0,0.0,1.0
1998-03-09,37.62,38.0,37.5,37.62,3.2619,29228.0,0.0,1.0
1998-03-10,37.87,38.25,37.75,38.06,3.3001,38434.0,0.0,1.0
1998-03-11,37.75,38.31,37.5,37.94,3.2897,55767.0,0.0,1.0
1998-03-12,38.0,38.0,37.5,37.62,3.2619,35852.0,0.0,1.0
1998-03-13,37.5,38.0,37.5,38.0,3.2949,75365.0,0.0,1.0
1998-03-16,37.72,38.0,37.5,38.0,3.2949,47767.0,0.0,1.0
1998-03-17,37.75,38.25,37.75,38.25,3.3165,93058.0,0.0,1.0
1998-03-18,38.19,38.75,38.0,38.75,3.3599,130392.0,0.0,1.0
1998-03-19,38.25,38.94,38.25,38.37,3.327,46159.0,0.0,1.0
1998-03-20,38.37,38.75,38.37,38.75,3.3599,64423.0,0.0,1.0
1998-03-23,38.5,38.5,38.0,38.12,3.3053,30434.0,0.0,1.0
1998-03-24,38.37,38.37,37.75,38.0,3.2949,123979.0,0.0,1.0
1998-03-25,38.0,38.37,37.87,38.0,3.2949,108042.0,0.0,1.0
1998-03-26,38.0,38.12,37.37,37.5,3.2515,112042.0,0.0,1.0
1998-03-27,37.87,38.12,37.5,38.0,3.2949,127450.0,0.0,1.0
1998-03-30,37.75,38.0,37.59,37.62,3.2619,145376.0,0.0,1.0
1998-03-31,38.0,38.25,37.62,37.97,3.2923,100974.0,0.0,1.0
1998-04-01,38.12,39.0,38.06,38.81,3.3651,459238.0,0.0,1.0
1998-04-02,39.0,39.75,38.62,39.37,3.4137,187640.0,0.0,1.0
1998-04-03,39.87,40.12,39.25,39.94,3.4631,91196.0,0.0,1.0
1998-04-06,40.25,40.62,40.0,40.06,3.4735,120423.0,0.0,1.0
1998-04-07,40.0,40.12,39.37,39.84,3.4544,133185.0,0.0,1.0
1998-04-08,40.0,40.0,39.12,39.25,3.4033,82265.0,0.0,1.0
1998-04-09,39.75,39.75,39.0,39.5,3.4249,39450.0,0.0,1.0
1998-04-13,39.75,41.5,39.62,41.12,3.5654,193228.0,0.0,1.0
1998-04-14,41.12,41.25,40.75,41.12,3.5654,56042.0,0.0,1.0
1998-04-15,41.12,41.25,40.62,40.75,3.5333,46963.0,0.0,1.0
1998-04-16,41.25,41.25,40.62,41.12,3.5654,124423.0,0.0,1.0
1998-04-17,40.69,41.12,40.69,41.0,3.555,25587.0,0.0,1.0
1998-04-20,41.12,41.12,40.0,40.06,3.4735,159450.0,0.0,1.0
1998-04-21,40.0,40.44,39.75,39.75,3.4466,69862.0,0.0,1.0
1998-04-22,39.75,40.0,39.5,39.87,3.457,189058.0,0.0,1.0
1998-04-23,40.0,40.0,39.5,39.5,3.4249,56000.0,0.0,1.0
1998-04-24,39.62,39.87,39.44,39.69,3.4414,73989.0,0.0,1.0
1998-04-27,39.25,39.5,37.87,38.37,3.327,117460.0,0.0,1.0
1998-04-28,38.62,38.87,38.37,38.62,3.3486,74646.0,0.0,1.0
1998-04-29,38.87,38.87,38.5,38.62,3.3668,21587.0,0.21,1.0
1998-04-30,38.87,38.87,38.5,38.62,3.3668,38032.0,0.0,1.0
1998-05-01,38.87,38.87,38.62,38.66,3.3703,27238.0,0.0,1.0
1998-05-04,38.87,39.37,38.75,39.12,3.4104,122963.0,0.0,1.0
1998-05-05,39.12,39.37,38.75,38.75,3.3782,25460.0,0.0,1.0
1998-05-06,38.75,39.0,38.25,38.5,3.3564,54794.0,0.0,1.0
1998-05-07,38.25,38.5,37.62,37.62,3.2797,36254.0,0.0,1.0
1998-05-08,37.5,38.12,37.5,38.0,3.3128,29058.0,0.0,1.0
1998-05-11,37.87,38.12,37.5,37.75,3.291,17862.0,0.0,1.0
1998-05-12,37.62,37.87,37.5,37.81,3.2962,94836.0,0.0,1.0
1998-05-13,37.87,38.87,37.75,38.5,3.3564,245862.0,0.0,1.0
1998-05-14,38.62,38.62,38.12,38.5,3.3564,121630.0,0.0,1.0
1998-05-15,38.37,38.75,38.37,38.37,3.345,124825.0,0.0,1.0
1998-05-18,38.25,39.0,38.25,38.37,3.345,38392.0,0.0,1.0
1998-05-19,39.0,39.0,38.37,38.44,3.3511,29058.0,0.0,1.0
1998-05-20,38.5,38.87,38.5,38.87,3.3886,42265.0,0.0,1.0
1998-05-21,38.5,39.12,38.5,38.81,3.3834,51640.0,0.0,1.0
1998-05-22,38.75,39.12,38.62,38.62,3.3668,32571.0,0.0,1.0
1998-05-26,38.62,39.0,37.75,37.75,3.291,77989.0,0.0,1.0
1998-05-27,37.5,38.12,37.0,37.75,3.291,60042.0,0.0,1.0
1998-05-28,37.37,38.37,37.37,38.12,3.3232,38434.0,0.0,1.0
1998-05-29,38.0,38.25,37.75,38.12,3.3232,214265.0,0.0,1.0
1998-06-01,37.87,38.0,37.69,37.72,3.2884,44381.0,0.0,1.0
1998-06-02,37.62,38.12,37.62,37.62,3.2797,34561.0,0.0,1.0
1998-06-03,37.62,37.94,37.0,37.25,3.2474,74646.0,0.0,1.0
1998-06-04,37.0,37.62,36.87,37.31,3.2526,32254.0,0.0,1.0
1998-06-05,37.0,38.06,37.0,38.06,3.318,120825.0,0.0,1.0
1998-06-08,38.12,38.87,38.0,38.75,3.3782,39852.0,0.0,1.0
1998-06-09,39.0,39.0,37.37,37.5,3.2692,55238.0,0.0,1.0
1998-06-10,37.25,37.56,37.12,37.25,3.2474,41630.0,0.0,1.0
1998-06-11,37.75,37.75,36.25,36.44,3.1768,95048.0,0.0,1.0
1998-06-12,36.25,37.0,36.25,36.62,3.1925,40571.0,0.0,1.0
1998-06-15,36.37,36.5,35.0,35.5,3.0948,68974.0,0.0,1.0
1998-06-16,36.0,36.25,35.62,35.75,3.1166,88000.0,0.0,1.0
1998-06-17,35.75,36.5,35.62,35.69,3.1114,121989.0,0.0,1.0
1998-06-18,35.75,36.0,34.12,34.75,3.0295,140571.0,0.0,1.0
1998-06-19,34.5,35.25,34.5,34.94,3.046,89058.0,0.0,1.0
1998-06-22,34.62,35.5,34.62,35.25,3.073,68381.0,0.0,1.0
1998-06-23,35.12,35.75,35.12,35.5,3.0948,51640.0,0.0,1.0
1998-06-24,35.75,35.75,35.37,35.75,3.1166,19365.0,0.0,1.0
1998-06-25,35.75,36.0,34.5,34.56,3.0129,193778.0,0.0,1.0
1998-06-26,34.5,35.37,34.06,35.25,3.073,99365.0,0.0,1.0
1998-06-29,35.25,35.25,34.25,34.56,3.0129,36381.0,0.0,1.0
1998-06-30,34.25,35.0,34.12,34.62,3.0181,63238.0,0.0,1.0
1998-07-01,34.62,35.87,34.5,35.37,3.0835,54836.0,0.0,1.0
1998-07-02,35.87,35.87,35.12,35.25,3.073,59048.0,0.0,1.0
1998-07-06,35.12,35.62,35.06,35.5,3.0948,25587.0,0.0,1.0
1998-07-07,35.62,35.75,35.37,35.37,3.0835,92000.0,0.0,1.0
1998-07-08,35.37,35.75,35.25,35.62,3.1053,85376.0,0.0,1.0
1998-07-09,35.62,35.62,34.87,34.87,3.0399,111852.0,0.0,1.0
1998-07-10,35.25,35.62,34.87,35.62,3.1053,35238.0,0.0,1.0
1998-07-13,35.31,35.5,34.87,34.87,3.0399,71852.0,0.0,1.0
1998-07-14,35.0,35.37,34.75,34.75,3.0295,60571.0,0.0,1.0
1998-07-15,34.81,35.62,34.81,35.62,3.1053,490561.0,0.0,1.0
1998-07-16,35.12,35.62,35.0,35.5,3.0948,26836.0,0.0,1.0
1998-07-17,35.5,35.75,34.87,34.94,3.046,41058.0,0.0,1.0
1998-07-20,35.0,35.37,34.87,34.87,3.0399,52000.0,0.0,1.0
1998-07-21,35.0,35.0,34.25,34.5,3.0077,132169.0,0.0,1.0
1998-07-22,34.37,34.5,34.31,34.44,3.0024,47365.0,0.0,1.0
1998-07-23,34.37,34.87,34.19,34.19,2.9806,32169.0,0.0,1.0
1998-07-24,34.0,34.44,33.75,34.12,2.9745,58794.0,0.0,1.0
1998-07-27,33.75,33.75,32.87,33.06,2.8821,91767.0,0.0,1.0
1998-07-28,33.06,33.5,32.12,32.56,2.8385,111196.0,0.0,1.0
1998-07-29,32.62,32.87,31.75,31.75,2.7862,60656.0,0.21,1.0
1998-07-30,31.75,31.75,31.25,31.31,2.7476,129862.0,0.0,1.0
1998-07-31,31.25,31.5,30.87,31.06,2.7257,93862.0,0.0,1.0
1998-08-03,31.12,31.12,30.87,31.12,2.7309,72783.0,0.0,1.0
1998-08-04,30.87,31.37,30.25,30.37,2.6651,58265.0,0.0,1.0
1998-08-05,30.37,31.12,29.19,29.75,2.6107,114646.0,0.0,1.0
1998-08-06,29.0,29.62,28.5,28.5,2.501,106667.0,0.0,1.0
1998-08-07,29.12,30.5,28.75,29.91,2.6248,161587.0,0.0,1.0
1998-08-10,29.75,30.37,29.0,29.12,2.5554,46032.0,0.0,1.0
1998-08-11,29.06,29.06,27.0,27.75,2.4352,196169.0,0.0,1.0
1998-08-12,28.75,29.12,27.87,28.62,2.5116,191598.0,0.0,1.0
1998-08-13,28.87,28.87,26.94,27.0,2.3694,146265.0,0.0,1.0
1998-08-14,27.62,28.37,26.75,27.06,2.3747,111767.0,0.0,1.0
1998-08-17,27.12,27.37,26.75,27.31,2.3966,46392.0,0.0,1.0
1998-08-18,27.37,27.62,27.0,27.12,2.3799,159048.0,0.0,1.0
1998-08-19,27.12,27.37,27.0,27.12,2.3799,126963.0,0.0,1.0
1998-08-20,27.19,27.56,26.5,27.0,2.3694,98265.0,0.0,1.0
1998-08-21,27.12,27.12,25.75,27.0,2.3694,125757.0,0.0,1.0
1998-08-24,27.0,27.12,26.5,27.06,2.3747,412974.0,0.0,1.0
1998-08-25,27.12,27.56,26.62,26.72,2.3448,302963.0,0.0,1.0
1998-08-26,26.62,26.62,25.12,25.5,2.2378,81630.0,0.0,1.0
1998-08-27,25.0,25.0,19.06,21.75,1.9087,987238.0,0.0,1.0
1998-08-28,22.31,22.75,21.75,22.37,1.9631,555979.0,0.0,1.0
1998-08-31,22.88,23.12,20.63,21.0,1.8429,298032.0,0.0,1.0
1998-09-01,21.5,22.13,20.88,22.0,1.9306,501989.0,0.0,1.0
1998-09-02,23.06,26.5,23.0,24.69,2.1667,358265.0,0.0,1.0
1998-09-03,24.5,24.75,23.62,24.12,2.1167,193228.0,0.0,1.0
1998-09-04,24.0,26.25,22.75,23.19,2.035,251238.0,0.0,1.0
1998-09-08,24.25,25.5,24.25,25.25,2.2158,260825.0,0.0,1.0
1998-09-09,25.62,26.62,25.25,25.87,2.2702,122794.0,0.0,1.0
1998-09-10,24.5,24.75,23.0,24.25,2.1281,126794.0,0.0,1.0
1998-09-11,23.75,26.0,23.75,25.5,2.2378,82265.0,0.0,1.0
1998-09-14,25.5,25.87,25.12,25.62,2.2483,129058.0,0.0,1.0
1998-09-15,25.62,25.75,24.87,25.5,2.2378,74392.0,0.0,1.0
1998-09-16,25.75,26.25,25.0,25.62,2.2483,98265.0,0.0,1.0
1998-09-17,25.37,25.37,24.25,24.87,2.1825,173058.0,0.0,1.0
1998-09-18,25.31,25.5,24.87,25.0,2.1939,68423.0,0.0,1.0
1998-09-21,24.0,24.87,23.0,24.19,2.1228,107767.0,0.0,1.0
1998-09-22,24.94,25.75,24.0,25.75,2.2597,73228.0,0.0,1.0
1998-09-23,25.87,26.0,25.31,25.5,2.2378,64042.0,0.0,1.0
1998-09-24,25.75,25.75,24.75,24.87,2.1825,97228.0,0.0,1.0
1998-09-25,25.0,25.0,24.5,24.87,2.1825,93460.0,0.0,1.0
1998-09-28,24.75,25.75,24.31,24.31,2.1333,120042.0,0.0,1.0
1998-09-29,24.75,24.87,24.31,24.75,2.1719,76974.0,0.0,1.0
1998-09-30,25.0,25.0,24.25,24.5,2.15,162646.0,0.0,1.0
1998-10-01,24.37,24.62,23.75,24.25,2.1281,73989.0,0.0,1.0
1998-10-02,23.75,24.19,23.75,23.87,2.0947,140381.0,0.0,1.0
1998-10-05,23.5,24.0,22.75,22.81,2.0017,245862.0,0.0,1.0
1998-10-06,22.81,23.38,21.5,21.63,1.8981,359767.0,0.0,1.0
1998-10-07,21.63,21.63,20.75,20.81,1.8262,263598.0,0.0,1.0
1998-10-08,20.75,20.75,18.81,19.13,1.6788,446392.0,0.0,1.0
1998-10-09,19.63,20.25,19.13,20.06,1.7604,360974.0,0.0,1.0
1998-10-12,21.38,22.5,21.13,21.75,1.9087,70265.0,0.0,1.0
1998-10-13,22.13,22.25,20.88,21.63,1.8981,69376.0,0.0,1.0
1998-10-14,21.13,22.5,21.13,22.0,1.9306,81757.0,0.0,1.0
1998-10-15,22.0,23.81,21.88,23.5,2.0622,374392.0,0.0,1.0
1998-10-16,24.06,24.62,23.87,24.0,2.1061,294159.0,0.0,1.0
1998-10-19,24.75,25.0,24.0,24.19,2.1228,81587.0,0.0,1.0
1998-10-20,25.0,26.25,24.75,25.12,2.2044,138646.0,0.0,1.0
1998-10-21,25.0,25.75,24.37,24.5,2.15,143048.0,0.0,1.0
1998-10-22,25.37,25.37,24.37,24.75,2.1719,64254.0,0.0,1.0
1998-10-23,25.0,25.0,24.0,24.12,2.1167,55598.0,0.0,1.0
1998-10-26,24.12,24.25,23.75,24.12,2.1167,74434.0,0.0,1.0
1998-10-27,24.12,24.75,24.12,24.5,2.15,84254.0,0.0,1.0
1998-10-28,24.0,25.0,24.0,25.0,2.2141,43048.0,0.23,1.0
1998-10-29,24.87,25.0,24.62,25.0,2.2141,53778.0,0.0,1.0
1998-10-30,25.19,26.0,25.12,25.56,2.2637,36169.0,0.0,1.0
1998-11-02,25.87,27.06,25.87,26.5,2.3469,68254.0,0.0,1.0
1998-11-03,26.5,26.5,25.75,25.75,2.2805,44444.0,0.0,1.0
1998-11-04,26.5,27.0,26.0,26.87,2.3797,62265.0,0.0,1.0
1998-11-05,26.87,28.0,26.37,27.75,2.4576,60254.0,0.0,1.0
1998-11-06,27.5,28.87,27.5,28.5,2.524,197058.0,0.0,1.0
1998-11-09,28.5,28.5,28.09,28.44,2.5187,113778.0,0.0,1.0
1998-11-10,28.75,28.75,28.0,28.37,2.5125,123450.0,0.0,1.0
1998-11-11,28.44,28.5,28.09,28.25,2.5019,39048.0,0.0,1.0
1998-11-12,28.25,28.5,27.75,27.81,2.4629,29630.0,0.0,1.0
1998-11-13,28.25,28.25,27.62,27.87,2.4682,105587.0,0.0,1.0
1998-11-16,27.75,28.25,27.62,27.87,2.4682,63979.0,0.0,1.0
1998-11-17,28.0,28.06,27.62,27.69,2.4523,83852.0,0.0,1.0
1998-11-18,28.0,28.12,27.75,27.94,2.4744,63365.0,0.0,1.0
1998-11-19,28.06,28.06,27.81,28.0,2.4798,74794.0,0.0,1.0
1998-11-20,29.25,30.81,29.25,29.69,2.6294,519048.0,0.0,1.0
1998-11-23,30.12,30.31,29.69,30.0,2.6569,163767.0,0.0,1.0
1998-11-24,30.25,30.5,29.87,30.25,2.679,121228.0,0.0,1.0
1998-11-25,30.12,30.87,30.12,30.56,2.7065,64042.0,0.0,1.0
1998-11-27,30.87,30.87,30.5,30.56,2.7065,37587.0,0.0,1.0
1998-11-30,30.62,30.62,29.5,29.62,2.6232,100656.0,0.0,1.0
1998-12-01,29.5,29.5,29.19,29.44,2.6073,64825.0,0.0,1.0
1998-12-02,29.5,29.62,29.25,29.56,2.6179,59365.0,0.0,1.0
1998-12-03,29.25,29.56,28.62,29.0,2.5683,184000.0,0.0,1.0
1998-12-04,28.87,29.37,28.87,29.0,2.5683,211598.0,0.0,1.0
1998-12-07,29.25,29.25,28.87,29.0,2.5683,75238.0,0.0,1.0
1998-12-08,28.75,29.12,28.75,29.0,2.5683,62561.0,0.0,1.0
1998-12-09,29.0,29.0,28.87,28.94,2.563,38032.0,0.0,1.0
1998-12-10,28.87,28.91,28.87,28.87,2.5568,36381.0,0.0,1.0
1998-12-11,28.87,29.0,28.5,28.69,2.5409,52783.0,0.0,1.0
1998-12-14,28.87,28.87,27.12,27.25,2.4133,110794.0,0.0,1.0
1998-12-15,27.75,27.94,27.0,27.25,2.4133,169989.0,0.0,1.0
1998-12-16,27.0,27.62,26.25,26.87,2.3797,229862.0,0.0,1.0
1998-12-17,27.12,27.25,26.75,27.0,2.3912,136042.0,0.0,1.0
1998-12-18,26.75,27.12,26.25,27.06,2.3965,110963.0,0.0,1.0
1998-12-21,27.0,27.5,26.69,26.81,2.3744,196571.0,0.0,1.0
1998-12-22,26.75,27.12,26.62,26.62,2.3575,95238.0,0.0,1.0
1998-12-23,26.62,26.94,26.25,26.37,2.3354,152656.0,0.0,1.0
1998-12-24,26.12,26.62,25.75,26.25,2.3248,80974.0,0.0,1.0
1998-12-28,26.75,27.0,26.12,26.75,2.369,82561.0,0.0,1.0
1998-12-29,26.75,26.75,26.44,26.62,2.3575,244825.0,0.0,1.0
1998-12-30,26.44,26.87,26.44,26.75,2.369,183048.0,0.0,1.0
1998-12-31,26.81,27.62,26.69,27.62,2.4461,78159.0,0.0,1.0
1999-01-04,27.25,27.62,27.12,27.37,2.424,88571.0,0.0,1.0
1999-01-05,27.75,28.12,27.37,27.94,2.4744,87365.0,0.0,1.0
1999-01-06,28.37,28.5,28.0,28.25,2.5019,137460.0,0.0,1.0
1999-01-07,28.0,28.25,27.75,28.25,2.5019,182159.0,0.0,1.0
1999-01-08,28.37,28.5,28.0,28.37,2.5125,191852.0,0.0,1.0
1999-01-11,28.37,29.25,28.37,28.37,2.5125,106836.0,0.0,1.0
1999-01-12,28.81,28.81,28.25,28.37,2.5125,182963.0,0.0,1.0
1999-01-13,27.37,28.25,27.25,28.0,2.4798,61862.0,0.0,1.0
1999-01-14,27.5,28.0,27.5,27.75,2.4576,31238.0,0.0,1.0
1999-01-15,27.75,28.25,27.5,27.62,2.4461,132974.0,0.0,1.0
1999-01-19,27.75,28.19,27.25,28.12,2.4904,61757.0,0.0,1.0
1999-01-20,27.75,28.5,27.12,27.25,2.4133,49460.0,0.0,1.0
1999-01-21,27.31,27.31,26.25,26.75,2.369,48825.0,0.0,1.0
1999-01-22,26.5,27.5,26.5,27.0,2.3912,70265.0,0.0,1.0
1999-01-25,27.0,27.87,26.87,27.5,2.4355,52825.0,0.0,1.0
1999-01-26,27.5,28.0,27.5,27.75,2.4576,119196.0,0.0,1.0
1999-01-27,27.5,27.75,27.5,27.56,2.4408,99048.0,0.0,1.0
1999-01-28,27.5,27.62,26.62,26.69,2.3841,451598.0,0.23,1.0
1999-01-29,26.62,27.5,26.62,27.19,2.4288,195450.0,0.0,1.0
1999-02-01,27.25,27.62,26.87,27.0,2.4118,65862.0,0.0,1.0
1999-02-02,26.87,27.44,26.75,27.0,2.4118,123979.0,0.0,1.0
1999-02-03,26.75,27.44,26.75,27.25,2.4341,195238.0,0.0,1.0
1999-02-04,27.12,27.62,27.0,27.62,2.4672,155196.0,0.0,1.0
1999-02-05,27.5,28.12,27.37,27.44,2.4511,331365.0,0.0,1.0
1999-02-08,27.5,27.87,27.31,27.5,2.4565,200825.0,0.0,1.0
1999-02-09,27.5,27.87,27.5,27.75,2.4788,168423.0,0.0,1.0
1999-02-10,27.75,27.75,27.5,27.72,2.4761,48169.0,0.0,1.0
1999-02-11,27.62,28.31,27.62,28.06,2.5065,125058.0,0.0,1.0
1999-02-12,28.25,28.75,27.69,28.25,2.5235,113630.0,0.0,1.0
1999-02-16,28.19,28.56,28.12,28.12,2.5118,88169.0,0.0,1.0
1999-02-17,28.37,28.37,27.37,27.69,2.4734,94561.0,0.0,1.0
1999-02-18,27.87,28.0,27.87,27.94,2.4958,101862.0,0.0,1.0
1999-02-19,28.0,28.0,27.94,27.94,2.4958,290434.0,0.0,1.0
1999-02-22,27.94,28.12,27.94,28.0,2.5011,89228.0,0.0,1.0
1999-02-23,28.0,28.0,27.94,27.94,2.4958,64783.0,0.0,1.0
1999-02-24,27.94,28.06,27.94,27.94,2.4958,45630.0,0.0,1.0
