date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,52.0,52.75,50.81,51.94,4.9211,397057.0,0.0,1.0
1998-01-05,52.5,53.88,51.13,53.88,5.1049,384435.0,0.0,1.0
1998-01-06,53.25,53.75,52.88,53.0,5.0215,497442.0,0.0,1.0
1998-01-07,52.25,52.75,49.63,50.81,4.814,495467.0,0.0,1.0
1998-01-08,50.0,50.88,48.88,49.25,4.6662,392020.0,0.0,1.0
1998-01-09,49.38,50.25,48.38,48.56,4.6009,350242.0,0.0,1.0
1998-01-12,48.5,48.88,47.5,48.16,4.563,535763.0,0.0,1.0
1998-01-13,48.0,48.25,47.88,48.13,4.5601,956444.0,0.0,1.0
1998-01-14,48.38,49.75,48.0,49.63,4.7022,569600.0,0.0,1.0
1998-01-15,50.0,50.0,49.19,49.38,4.6786,339753.0,0.0,1.0
1998-01-16,50.0,51.25,49.5,51.0,4.832,204168.0,0.0,1.0
1998-01-20,51.5,52.25,51.0,51.5,4.8794,371635.0,0.0,1.0
1998-01-21,50.88,51.75,50.0,50.06,4.743,220642.0,0.0,1.0
1998-01-22,50.19,51.38,49.56,50.0,4.7373,370153.0,0.0,1.0
1998-01-23,50.0,50.38,48.88,49.38,4.6786,319230.0,0.0,1.0
1998-01-26,49.25,49.63,48.88,49.06,4.6482,349985.0,0.0,1.0
1998-01-27,49.06,49.38,48.75,49.25,4.6662,297442.0,0.0,1.0
1998-01-28,49.5,51.13,49.5,50.75,4.8084,307220.0,0.0,1.0
1998-01-29,50.5,51.5,50.5,50.88,4.8207,286953.0,0.0,1.0
1998-01-30,50.75,51.13,50.25,50.5,4.7847,270242.0,0.0,1.0
1998-02-02,51.38,54.13,51.25,53.94,5.1106,467220.0,0.0,1.0
1998-02-03,54.25,58.0,54.0,57.16,5.4157,1371378.0,0.0,1.0
1998-02-04,57.5,57.75,55.5,56.13,5.3181,1243753.0,0.0,1.0
1998-02-05,56.06,57.0,55.75,56.0,5.3058,769244.0,0.0,1.0
1998-02-06,55.75,57.0,55.5,56.44,5.3475,461057.0,0.0,1.0
1998-02-09,56.5,58.13,56.19,57.91,5.4867,383190.0,0.0,1.0
1998-02-10,57.88,58.25,57.31,58.19,5.5133,525590.0,0.0,1.0
1998-02-11,58.38,60.63,58.13,60.0,5.6848,753975.0,0.0,1.0
1998-02-12,59.88,60.38,59.0,59.44,5.6317,535368.0,0.0,1.0
1998-02-13,59.38,59.88,58.25,59.0,5.59,413452.0,0.0,1.0
1998-02-17,59.5,60.13,59.0,59.88,5.6876,310578.0,0.15,1.0
1998-02-18,59.88,64.5,59.63,64.38,6.115,931378.0,0.0,1.0
1998-02-19,64.0,66.5,63.25,66.0,6.2689,662657.0,0.0,1.0
1998-02-20,66.38,66.75,65.13,66.56,6.3221,571990.0,0.0,1.0
1998-02-23,66.75,66.75,65.25,65.75,6.2452,630163.0,0.0,1.0
1998-02-24,65.5,65.88,65.0,65.25,6.1977,592375.0,0.0,1.0
1998-02-25,65.25,65.38,65.0,65.28,6.2005,465244.0,0.0,1.0
1998-02-26,65.5,65.63,63.75,65.13,6.1863,251852.0,0.0,1.0
1998-02-27,65.0,65.13,63.13,63.31,6.0134,265185.0,0.0,1.0
1998-03-02,62.88,65.0,62.88,64.03,6.0818,166657.0,0.0,1.0
1998-03-03,63.75,65.38,63.31,65.13,6.1863,220800.0,0.0,1.0
1998-03-04,65.25,66.25,64.38,64.88,6.1625,348267.0,0.0,1.0
1998-03-05,64.38,64.88,63.75,63.78,6.058,182242.0,0.0,1.0
1998-03-06,64.75,65.13,63.75,64.63,6.1388,107200.0,0.0,1.0
1998-03-09,65.0,65.25,64.0,65.0,6.1739,259378.0,0.0,1.0
1998-03-10,65.0,65.19,64.56,65.0,6.1739,257857.0,0.0,1.0
1998-03-11,64.75,65.13,63.75,64.13,6.0913,254835.0,0.0,1.0
1998-03-12,63.5,63.75,63.0,63.06,5.9897,116030.0,0.0,1.0
1998-03-13,63.0,64.94,62.5,62.66,5.9517,197175.0,0.0,1.0
1998-03-16,63.38,65.13,62.56,64.88,6.1625,239368.0,0.0,1.0
1998-03-17,65.13,65.13,63.31,64.34,6.1112,236800.0,0.0,1.0
1998-03-18,64.25,65.13,64.25,64.5,6.1264,212168.0,0.0,1.0
1998-03-19,65.13,65.63,64.5,65.06,6.1796,362785.0,0.0,1.0
1998-03-20,65.5,65.75,62.38,63.63,6.0438,522844.0,0.0,1.0
1998-03-23,63.5,63.5,60.75,62.88,5.9726,299990.0,0.0,1.0
1998-03-24,62.63,64.13,62.38,63.5,6.0314,235220.0,0.0,1.0
1998-03-25,63.25,65.0,63.25,63.75,6.0552,375190.0,0.0,1.0
1998-03-26,64.25,64.25,62.75,63.38,6.02,142775.0,0.0,1.0
1998-03-27,63.63,63.63,61.38,61.5,5.8415,157768.0,0.0,1.0
1998-03-30,61.5,62.5,60.75,61.91,5.8804,115457.0,0.0,1.0
1998-03-31,62.0,62.25,59.19,59.56,5.6572,363042.0,0.0,1.0
1998-04-01,60.0,60.63,58.5,60.06,5.7047,295230.0,0.0,1.0
1998-04-02,60.13,61.25,59.88,60.75,5.7702,195753.0,0.0,1.0
1998-04-03,60.0,61.13,59.75,61.06,5.7997,212385.0,0.0,1.0
1998-04-06,60.94,61.31,59.44,59.75,5.6753,210568.0,0.0,1.0
1998-04-07,60.25,62.38,59.5,62.06,5.8947,248553.0,0.0,1.0
1998-04-08,62.13,63.0,61.25,62.38,5.9251,162844.0,0.0,1.0
1998-04-09,62.13,63.0,61.25,61.53,5.8443,59753.0,0.0,1.0
1998-04-13,61.0,61.19,60.13,60.34,5.7313,131378.0,0.0,1.0
1998-04-14,60.25,60.38,59.75,60.38,5.7351,305067.0,0.0,1.0
1998-04-15,60.25,60.75,59.0,59.5,5.6515,264000.0,0.0,1.0
1998-04-16,59.0,59.63,57.25,57.63,5.4739,250035.0,0.0,1.0
1998-04-17,57.88,58.13,56.13,57.25,5.4378,423644.0,0.0,1.0
1998-04-20,57.25,57.63,56.38,57.13,5.4264,264375.0,0.0,1.0
1998-04-21,56.38,57.5,56.38,56.38,5.3552,594252.0,0.0,1.0
1998-04-22,55.25,56.75,54.75,55.25,5.2478,233975.0,0.0,1.0
1998-04-23,55.0,55.5,52.75,53.0,5.0341,269985.0,0.0,1.0
1998-04-24,53.0,54.25,50.75,51.75,4.9154,501630.0,0.0,1.0
1998-04-27,52.13,53.0,50.63,51.75,4.9154,610963.0,0.0,1.0
1998-04-28,55.38,55.38,51.69,53.5,5.0816,968830.0,0.0,1.0
1998-04-29,54.25,58.63,54.25,57.94,5.5033,753600.0,0.0,1.0
1998-04-30,57.75,60.38,56.75,59.38,5.6401,447467.0,0.0,1.0
1998-05-01,58.75,59.38,56.5,57.31,5.4435,295585.0,0.0,1.0
1998-05-04,57.5,58.31,55.63,55.75,5.2953,284444.0,0.0,1.0
1998-05-05,55.25,56.25,54.25,55.75,5.2953,259220.0,0.0,1.0
1998-05-06,56.0,57.5,55.0,56.63,5.3789,237452.0,0.0,1.0
1998-05-07,57.0,58.25,56.63,56.94,5.4084,208000.0,0.0,1.0
1998-05-08,56.5,58.13,56.5,57.69,5.4796,536257.0,0.0,1.0
1998-05-11,57.81,59.13,57.75,58.0,5.509,216178.0,0.0,1.0
1998-05-12,58.5,59.0,55.75,56.88,5.4027,305620.0,0.0,1.0
1998-05-13,56.5,56.5,55.25,56.38,5.3552,252267.0,0.0,1.0
1998-05-14,56.0,57.13,55.75,55.75,5.2953,279467.0,0.0,1.0
1998-05-15,56.5,56.63,54.06,54.69,5.1946,304790.0,0.0,1.0
1998-05-18,54.5,56.5,54.5,55.88,5.3077,166044.0,0.0,1.0
1998-05-19,55.88,57.0,55.38,57.0,5.4283,69175.0,0.15,1.0
1998-05-20,57.12,57.12,56.5,56.88,5.4169,183052.0,0.0,1.0
1998-05-21,57.13,57.13,56.13,56.81,5.4102,115635.0,0.0,1.0
1998-05-22,56.38,57.0,56.0,56.13,5.3454,35378.0,0.0,1.0
1998-05-26,56.0,56.69,55.25,56.5,5.3807,145857.0,0.0,1.0
