date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,31.81,31.94,31.69,31.81,6.221,505000.0,0.0,1.0
1998-01-05,32.0,32.0,30.75,31.31,6.1232,660700.0,0.0,1.0
1998-01-06,30.94,31.19,30.75,30.88,6.0391,368300.0,0.0,1.0
1998-01-07,30.63,30.75,30.38,30.75,6.0137,383400.0,0.0,1.0
1998-01-08,30.69,31.19,30.31,31.19,6.0998,360700.0,0.0,1.0
1998-01-09,31.25,31.31,30.88,31.0,6.0626,353400.0,0.0,1.0
1998-01-12,30.5,31.38,30.5,31.38,6.1369,430600.0,0.0,1.0
1998-01-13,31.38,31.38,30.56,31.19,6.0998,332300.0,0.0,1.0
1998-01-14,31.25,31.25,30.88,31.19,6.0998,282400.0,0.0,1.0
1998-01-15,31.19,31.19,30.69,31.06,6.0743,569200.0,0.0,1.0
1998-01-16,31.38,31.5,31.13,31.25,6.1115,592900.0,0.0,1.0
1998-01-20,31.31,31.56,31.25,31.56,6.1721,365900.0,0.0,1.0
1998-01-21,31.44,32.31,31.44,32.25,6.3071,1544000.0,0.0,1.0
1998-01-22,32.25,32.38,32.13,32.25,6.3071,372000.0,0.0,1.0
1998-01-23,32.25,32.31,31.63,31.81,6.221,286600.0,0.0,1.0
1998-01-26,31.81,32.13,31.75,31.94,6.2464,318700.0,0.0,1.0
1998-01-27,31.69,32.06,31.38,31.38,6.1369,451500.0,0.0,1.0
1998-01-28,31.0,31.25,30.69,30.94,6.0509,808400.0,0.0,1.0
1998-01-29,31.0,31.63,30.75,31.06,6.0743,666200.0,0.0,1.0
1998-01-30,31.13,31.13,30.75,31.0,6.0626,488000.0,0.0,1.0
1998-02-02,31.38,31.5,30.94,31.31,6.1232,382600.0,0.0,1.0
1998-02-03,31.38,31.5,31.13,31.25,6.1115,260100.0,0.0,1.0
1998-02-04,30.88,31.19,30.81,31.0,6.0626,261100.0,0.0,1.0
1998-02-05,31.0,31.31,30.69,31.31,6.1232,296600.0,0.0,1.0
1998-02-06,31.25,31.88,31.19,31.75,6.2093,348200.0,0.0,1.0
1998-02-09,31.81,31.88,31.13,31.63,6.1858,360100.0,0.0,1.0
1998-02-10,31.63,31.94,31.44,31.88,6.2347,358700.0,0.0,1.0
1998-02-11,31.81,31.94,31.63,31.75,6.2093,267000.0,0.0,1.0
1998-02-12,31.56,31.88,31.25,31.75,6.2093,350900.0,0.0,1.0
1998-02-13,31.5,31.88,31.31,31.75,6.2093,214000.0,0.0,1.0
1998-02-17,31.94,32.06,31.56,32.0,6.2582,468900.0,0.0,1.0
1998-02-18,31.88,32.06,31.75,31.88,6.2347,299700.0,0.0,1.0
1998-02-19,31.88,31.88,31.25,31.5,6.1604,453600.0,0.0,1.0
1998-02-20,31.38,31.75,31.13,31.69,6.1976,483100.0,0.0,1.0
1998-02-23,31.75,32.25,31.56,32.25,6.3071,387700.0,0.0,1.0
1998-02-24,32.0,32.06,31.63,32.0,6.2582,234100.0,0.0,1.0
1998-02-25,32.13,32.31,31.75,32.19,6.2953,403200.0,0.0,1.0
1998-02-26,32.25,32.44,31.94,32.06,6.2699,554500.0,0.0,1.0
1998-02-27,31.88,32.25,31.69,32.25,6.3071,222400.0,0.0,1.0
1998-03-02,32.06,32.31,32.06,32.13,6.2836,183100.0,0.0,1.0
1998-03-03,32.19,32.5,32.19,32.38,6.3325,408600.0,0.0,1.0
1998-03-04,32.25,32.44,32.19,32.31,6.3188,218300.0,0.0,1.0
1998-03-05,32.19,32.56,32.19,32.44,6.3442,372400.0,0.0,1.0
1998-03-06,31.75,32.5,31.75,32.5,6.4616,8594000.0,0.54,1.0
1998-03-09,32.25,32.5,32.13,32.5,6.4616,598100.0,0.0,1.0
1998-03-10,32.5,32.81,32.44,32.63,6.4874,1224400.0,0.0,1.0
1998-03-11,32.38,32.63,32.13,32.63,6.4874,375900.0,0.0,1.0
1998-03-12,32.38,32.75,32.19,32.75,6.5113,248900.0,0.0,1.0
1998-03-13,32.63,32.63,32.25,32.44,6.4496,210800.0,0.0,1.0
1998-03-16,32.63,32.75,32.5,32.75,6.5113,204200.0,0.0,1.0
1998-03-17,32.75,34.0,32.75,33.94,6.7479,851200.0,0.0,1.0
1998-03-18,34.13,34.25,33.75,34.25,6.8095,459100.0,0.0,1.0
1998-03-19,34.25,34.88,33.94,34.88,6.9348,1102000.0,0.0,1.0
1998-03-20,34.88,36.38,34.81,36.25,7.2071,1484400.0,0.0,1.0
1998-03-23,35.75,37.0,35.63,36.88,7.3324,1339900.0,0.0,1.0
1998-03-24,36.94,37.25,36.88,37.06,7.3682,1384400.0,0.0,1.0
1998-03-25,37.06,37.25,36.88,37.19,7.394,783200.0,0.0,1.0
1998-03-26,37.25,37.88,37.25,37.69,7.4934,1093200.0,0.0,1.0
1998-03-27,37.5,37.81,37.13,37.31,7.4179,681200.0,0.0,1.0
1998-03-30,37.25,37.56,37.13,37.25,7.406,587000.0,0.0,1.0
1998-03-31,37.25,37.94,37.25,37.75,7.5054,865700.0,0.0,1.0
1998-04-01,37.75,37.88,37.06,37.25,7.406,915500.0,0.0,1.0
1998-04-02,37.19,37.69,37.13,37.69,7.4934,339600.0,0.0,1.0
1998-04-03,37.69,37.75,37.25,37.44,7.4437,339000.0,0.0,1.0
1998-04-06,37.5,37.5,36.88,37.25,7.406,1401100.0,0.0,1.0
1998-04-07,37.25,37.34,36.88,36.88,7.3324,986800.0,0.0,1.0
1998-04-08,36.88,36.88,36.25,36.5,7.2568,592600.0,0.0,1.0
1998-04-09,36.5,36.81,36.19,36.81,7.3185,933400.0,0.0,1.0
1998-04-13,36.5,36.63,35.81,36.06,7.1694,1128200.0,0.0,1.0
1998-04-14,36.0,36.25,35.75,36.19,7.1952,885900.0,0.0,1.0
1998-04-15,36.13,36.13,35.75,35.94,7.1455,291600.0,0.0,1.0
1998-04-16,35.69,35.94,35.44,35.5,7.058,655900.0,0.0,1.0
1998-04-17,35.5,35.56,35.19,35.56,7.07,470800.0,0.0,1.0
1998-04-20,35.19,35.31,34.88,35.19,6.9964,471700.0,0.0,1.0
1998-04-21,35.0,35.25,34.5,34.88,6.9348,1427700.0,0.0,1.0
1998-04-22,34.75,34.75,34.13,34.19,6.7976,310300.0,0.0,1.0
1998-04-23,34.0,34.13,33.38,33.63,6.6862,748600.0,0.0,1.0
1998-04-24,33.5,34.19,33.44,34.06,6.7717,437200.0,0.0,1.0
1998-04-27,33.75,33.81,32.69,33.19,6.5988,947800.0,0.0,1.0
1998-04-28,33.06,33.75,32.75,33.44,6.6485,890300.0,0.0,1.0
1998-04-29,33.5,33.5,33.0,33.44,6.6485,662100.0,0.0,1.0
1998-04-30,33.63,34.25,33.5,33.56,6.6723,879800.0,0.0,1.0
1998-05-01,33.63,33.94,33.38,33.44,6.6485,1044100.0,0.0,1.0
1998-05-04,33.5,34.0,33.5,33.81,6.722,323300.0,0.0,1.0
1998-05-05,33.56,33.63,32.75,33.19,6.5988,353300.0,0.0,1.0
1998-05-06,33.44,33.5,33.06,33.44,6.6485,316000.0,0.0,1.0
1998-05-07,33.44,33.5,33.25,33.31,6.6226,232000.0,0.0,1.0
1998-05-08,33.5,33.81,33.44,33.56,6.6723,197100.0,0.0,1.0
1998-05-11,33.56,33.69,33.31,33.44,6.6485,217200.0,0.0,1.0
1998-05-12,33.38,33.56,33.31,33.56,6.6723,415900.0,0.0,1.0
1998-05-13,33.56,33.94,33.0,33.19,6.5988,387500.0,0.0,1.0
1998-05-14,33.06,33.38,33.06,33.19,6.5988,278500.0,0.0,1.0
1998-05-15,33.69,33.75,33.31,33.38,6.6365,521800.0,0.0,1.0
1998-05-18,33.31,33.38,33.06,33.13,6.5868,607200.0,0.0,1.0
1998-05-19,33.06,33.13,32.75,32.75,6.5113,681500.0,0.0,1.0
1998-05-20,32.81,32.81,32.81,32.81,6.5232,553900.0,0.0,1.0
1998-05-21,32.81,33.13,32.56,32.75,6.5113,409800.0,0.0,1.0
1998-05-22,32.75,32.75,32.44,32.69,6.4993,343300.0,0.0,1.0
1998-05-26,32.94,33.0,32.19,32.19,6.3999,275800.0,0.0,1.0
1998-05-27,31.94,32.56,31.88,32.38,6.4377,441300.0,0.0,1.0
1998-05-28,32.56,32.75,32.25,32.63,6.4874,218300.0,0.0,1.0
1998-05-29,32.63,33.13,32.56,33.13,6.5868,672200.0,0.0,1.0
1998-06-01,33.13,34.25,33.13,34.25,6.8095,1219100.0,0.0,1.0
1998-06-02,34.25,34.5,34.0,34.44,6.8473,1391600.0,0.0,1.0
1998-06-03,34.44,35.0,34.38,34.63,6.8851,907000.0,0.0,1.0
1998-06-04,34.38,34.38,33.81,34.06,6.7717,2879700.0,0.0,1.0
1998-06-05,33.56,33.88,33.0,33.88,6.8433,10103100.0,0.54,1.0
1998-06-08,34.0,34.13,33.31,33.38,6.7423,407800.0,0.0,1.0
1998-06-09,33.44,33.63,33.25,33.31,6.7282,276100.0,0.0,1.0
1998-06-10,33.38,34.0,33.38,33.81,6.8292,495600.0,0.0,1.0
1998-06-11,33.94,34.31,33.75,34.31,6.9302,377700.0,0.0,1.0
1998-06-12,34.44,34.75,34.13,34.56,6.9807,362100.0,0.0,1.0
1998-06-15,34.44,34.88,34.25,34.38,6.9443,329500.0,0.0,1.0
1998-06-16,34.38,34.63,33.88,34.56,6.9807,423200.0,0.0,1.0
1998-06-17,34.56,34.63,33.75,34.19,6.9059,495200.0,0.0,1.0
1998-06-18,34.0,34.81,34.0,34.5,6.9685,893500.0,0.0,1.0
1998-06-19,34.13,34.5,34.13,34.25,6.918,299300.0,0.0,1.0
1998-06-22,34.25,34.84,34.19,34.19,6.9059,248700.0,0.0,1.0
1998-06-23,34.19,34.38,34.13,34.31,6.9302,275800.0,0.0,1.0
1998-06-24,34.25,34.31,33.81,34.0,6.8675,272500.0,0.0,1.0
1998-06-25,34.25,34.31,33.75,33.81,6.8292,503200.0,0.0,1.0
1998-06-26,33.81,34.38,33.75,34.06,6.8797,406700.0,0.0,1.0
1998-06-29,34.13,34.63,34.06,34.31,6.9302,509700.0,0.0,1.0
1998-06-30,34.38,34.5,34.13,34.44,6.9564,441000.0,0.0,1.0
1998-07-01,34.5,34.63,34.25,34.38,6.9443,223000.0,0.0,1.0
1998-07-02,34.44,34.44,34.13,34.19,6.9059,301600.0,0.0,1.0
1998-07-06,34.19,34.5,34.19,34.5,6.9685,201600.0,0.0,1.0
1998-07-07,34.56,34.56,34.0,34.19,6.9059,256300.0,0.0,1.0
1998-07-08,34.31,34.44,33.81,33.88,6.8433,150100.0,0.0,1.0
1998-07-09,33.88,33.88,33.63,33.69,6.8049,311600.0,0.0,1.0
1998-07-10,33.5,33.75,33.25,33.75,6.817,330500.0,0.0,1.0
1998-07-13,33.63,33.75,33.25,33.25,6.7161,249400.0,0.0,1.0
1998-07-14,33.31,33.44,33.31,33.44,6.7544,274200.0,0.0,1.0
1998-07-15,33.5,33.56,33.31,33.38,6.7423,162600.0,0.0,1.0
1998-07-16,33.38,33.75,33.19,33.56,6.7787,199800.0,0.0,1.0
1998-07-17,33.5,33.63,33.19,33.5,6.7665,153800.0,0.0,1.0
1998-07-20,33.25,33.56,33.13,33.31,6.7282,205100.0,0.0,1.0
1998-07-21,33.25,33.31,33.0,33.06,6.6777,233600.0,0.0,1.0
1998-07-22,33.13,33.69,33.13,33.56,6.7787,934400.0,0.0,1.0
1998-07-23,33.63,33.69,32.94,33.06,6.6777,346500.0,0.0,1.0
1998-07-24,33.06,33.19,32.81,32.94,6.6534,421100.0,0.0,1.0
1998-07-27,32.94,33.38,32.94,33.38,6.7423,515400.0,0.0,1.0
1998-07-28,33.19,33.38,32.88,33.25,6.7161,332000.0,0.0,1.0
1998-07-29,33.25,33.56,33.0,33.06,6.6777,163600.0,0.0,1.0
1998-07-30,33.25,33.63,33.25,33.5,6.7665,371100.0,0.0,1.0
1998-07-31,33.38,33.44,32.31,32.69,6.6029,216800.0,0.0,1.0
1998-08-03,32.63,33.38,32.44,33.38,6.7423,518100.0,0.0,1.0
1998-08-04,33.63,33.88,32.94,33.0,6.6656,663200.0,0.0,1.0
1998-08-05,33.38,33.38,32.62,33.12,6.6898,488600.0,0.0,1.0
1998-08-06,33.06,33.75,32.94,33.5,6.7665,704700.0,0.0,1.0
1998-08-07,33.38,33.94,33.06,33.88,6.8433,346300.0,0.0,1.0
1998-08-10,33.75,34.19,33.38,34.13,6.8938,261300.0,0.0,1.0
1998-08-11,34.0,34.19,33.5,33.69,6.8049,506200.0,0.0,1.0
1998-08-12,34.0,34.5,33.5,34.44,6.9564,602600.0,0.0,1.0
1998-08-13,34.19,34.38,33.63,33.81,6.8292,376300.0,0.0,1.0
1998-08-14,33.69,34.0,33.19,33.38,6.7423,469300.0,0.0,1.0
1998-08-17,33.25,34.5,32.94,34.38,6.9443,388200.0,0.0,1.0
1998-08-18,34.5,34.75,34.13,34.5,6.9685,611300.0,0.0,1.0
1998-08-19,34.38,34.38,34.0,34.25,6.918,1326300.0,0.0,1.0
1998-08-20,34.19,34.5,34.0,34.38,6.9443,208300.0,0.0,1.0
1998-08-21,34.38,35.13,34.19,34.94,7.0574,970800.0,0.0,1.0
1998-08-24,35.13,35.69,35.06,35.44,7.1584,471300.0,0.0,1.0
1998-08-25,35.69,35.69,34.94,35.06,7.0816,303200.0,0.0,1.0
1998-08-26,35.0,36.38,35.0,35.94,7.2594,1058500.0,0.0,1.0
1998-08-27,35.81,36.5,35.75,35.88,7.2473,387500.0,0.0,1.0
1998-08-28,35.88,36.5,35.88,36.38,7.3483,854500.0,0.0,1.0
1998-08-31,36.31,37.75,36.19,36.5,7.3725,989700.0,0.0,1.0
1998-09-01,36.56,36.75,35.94,36.5,7.3725,1158700.0,0.0,1.0
1998-09-02,36.5,37.19,36.5,36.75,7.423,4325000.0,0.0,1.0
1998-09-03,36.75,36.81,36.0,36.38,7.3483,2571000.0,0.0,1.0
1998-09-04,35.94,35.94,34.69,35.0,7.1786,8009800.0,0.54,1.0
1998-09-08,35.0,35.38,34.5,35.38,7.2565,985800.0,0.0,1.0
1998-09-09,35.0,35.94,34.63,35.69,7.3201,1274500.0,0.0,1.0
1998-09-10,35.69,36.38,35.38,36.0,7.3837,1188300.0,0.0,1.0
1998-09-11,36.0,36.63,35.88,36.44,7.4739,1454300.0,0.0,1.0
1998-09-14,36.56,36.88,36.5,36.88,7.5642,886000.0,0.0,1.0
