date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,36.31,36.31,35.56,36.0,22.0998,2588900.0,0.0,1.0
1998-01-05,1,35.88,36.81,35.63,36.5,22.4067,3769900.0,0.0,1.0
1998-01-06,2,36.5,36.63,35.0,35.19,21.6025,4391300.0,0.0,1.0
1998-01-07,3,34.94,35.88,34.81,35.88,22.0261,2971000.0,0.0,1.0
1998-01-08,4,35.88,36.31,35.81,35.88,22.0261,2920700.0,0.0,1.0
1998-01-09,5,35.81,36.19,34.5,34.75,21.3324,5114600.0,0.0,1.0
1998-01-12,6,34.25,35.69,34.19,35.38,21.7192,4438700.0,0.0,1.0
1998-01-13,7,36.0,36.5,35.38,36.5,22.4067,3309000.0,0.0,1.0
1998-01-14,8,36.25,36.75,35.88,36.69,22.5234,3460400.0,0.0,1.0
1998-01-15,9,36.75,36.88,35.88,35.94,22.063,2027100.0,0.0,1.0
1998-01-16,10,36.38,37.0,36.25,36.69,22.5234,3478200.0,0.0,1.0
1998-01-20,11,36.88,37.75,36.5,37.63,23.1004,4202400.0,0.0,1.0
1998-01-21,12,37.06,37.38,36.69,37.0,22.7137,2688200.0,0.0,1.0
1998-01-22,13,36.88,37.13,36.5,36.88,22.64,2702700.0,0.0,1.0
1998-01-23,14,36.75,37.19,36.13,36.31,22.2901,2637600.0,0.0,1.0
1998-01-26,15,36.19,36.63,36.13,36.44,22.3699,2119100.0,0.0,1.0
1998-01-27,16,35.88,36.44,35.56,36.06,22.1366,2979300.0,0.0,1.0
1998-01-28,17,35.88,36.88,35.75,36.44,22.3699,2836800.0,0.0,1.0
1998-01-29,18,36.5,37.69,36.44,36.88,22.64,2384000.0,0.0,1.0
1998-01-30,19,36.63,36.75,35.94,36.13,22.1796,2563300.0,0.0,1.0
1998-02-02,20,36.31,36.69,35.75,36.5,22.4067,3962000.0,0.0,1.0
1998-02-03,21,34.5,36.0,34.31,35.19,21.6025,15324300.0,0.0,1.0
1998-02-04,22,35.06,36.13,35.0,35.44,21.756,6322700.0,0.0,1.0
1998-02-05,23,35.44,35.94,34.94,35.25,21.6394,4812400.0,0.0,1.0
1998-02-06,24,35.38,35.88,35.25,35.38,21.7192,4182800.0,0.0,1.0
1998-02-09,25,35.38,35.81,35.38,35.75,21.9463,3082100.0,0.0,1.0
1998-02-10,26,35.88,36.44,35.56,35.56,21.8297,5350700.0,0.0,1.0
1998-02-11,27,35.5,35.81,35.44,35.63,21.8727,3806500.0,0.0,1.0
1998-02-12,28,35.63,36.38,35.56,36.0,22.0998,3617300.0,0.0,1.0
1998-02-13,29,36.25,36.63,36.0,36.5,22.4067,3557800.0,0.0,1.0
1998-02-17,30,36.19,36.63,35.69,35.69,21.9095,3171100.0,0.0,1.0
1998-02-18,31,35.69,35.94,35.25,35.25,21.6394,3401300.0,0.0,1.0
1998-02-19,32,35.63,35.81,35.44,35.44,21.756,3192000.0,0.0,1.0
1998-02-20,33,35.38,35.56,35.0,35.44,21.756,5047100.0,0.0,1.0
1998-02-23,34,35.19,35.44,35.0,35.25,21.6394,3474700.0,0.0,1.0
1998-02-24,35,35.25,35.44,35.0,35.19,21.6025,3103100.0,0.0,1.0
1998-02-25,36,35.19,36.63,35.19,36.38,22.3331,5038400.0,0.0,1.0
1998-02-26,37,36.19,37.06,36.19,36.81,22.597,3758500.0,0.0,1.0
1998-02-27,38,36.44,36.81,36.44,36.5,22.4067,2236000.0,0.0,1.0
1998-03-02,39,36.75,37.19,36.56,37.0,22.7137,3689500.0,0.0,1.0
1998-03-03,40,36.94,37.38,36.63,37.38,22.947,3329700.0,0.0,1.0
1998-03-04,41,37.0,37.13,36.88,37.06,22.7505,2446900.0,0.0,1.0
1998-03-05,42,37.06,37.13,36.25,36.56,22.4436,3126600.0,0.0,1.0
1998-03-06,43,36.56,38.0,36.56,38.0,23.3276,4081500.0,0.0,1.0
1998-03-09,44,38.63,39.44,38.38,39.25,24.0949,5917000.0,0.0,1.0
1998-03-10,45,39.5,40.13,39.44,40.13,24.6351,5213400.0,0.0,1.0
1998-03-11,46,40.0,40.63,39.56,40.25,24.7855,4002500.0,0.125,1.0
1998-03-12,47,42.0,43.5,42.0,43.0,26.479,12955800.0,0.0,1.0
1998-03-13,48,43.0,43.38,42.63,42.94,26.442,5084500.0,0.0,1.0
1998-03-16,49,43.0,43.44,42.19,43.31,26.6698,5315800.0,0.0,1.0
1998-03-17,50,42.31,43.88,42.31,43.56,26.8238,4018800.0,0.0,1.0
1998-03-18,51,43.06,43.13,42.38,42.56,26.208,5384600.0,0.0,1.0
1998-03-19,52,42.31,42.38,41.69,41.88,25.7893,3313800.0,0.0,1.0
1998-03-20,53,42.25,43.0,42.06,43.0,26.479,4505400.0,0.0,1.0
1998-03-23,54,42.75,42.88,42.13,42.19,25.9802,2390400.0,0.0,1.0
1998-03-24,55,42.44,42.69,42.13,42.31,26.0541,2149700.0,0.0,1.0
1998-03-25,56,42.69,42.88,41.94,42.75,26.325,2731800.0,0.0,1.0
1998-03-26,57,42.81,43.56,42.75,43.25,26.6329,4226300.0,0.0,1.0
1998-03-27,58,43.06,43.25,41.94,42.31,26.0541,2860000.0,0.0,1.0
1998-03-30,59,42.19,43.06,42.13,42.75,26.325,3062900.0,0.0,1.0
1998-03-31,60,42.63,43.44,42.31,42.69,26.2881,2982500.0,0.0,1.0
1998-04-01,61,42.44,43.88,42.38,43.63,26.8669,4536300.0,0.0,1.0
1998-04-02,62,43.44,44.5,42.94,44.19,27.2117,3259900.0,0.0,1.0
1998-04-03,63,44.06,44.81,43.75,44.69,27.5196,3190800.0,0.0,1.0
1998-04-06,64,44.44,44.81,42.94,42.94,26.442,3264300.0,0.0,1.0
1998-04-07,65,42.69,42.75,42.06,42.38,26.0972,3300100.0,0.0,1.0
1998-04-08,66,42.5,42.69,41.88,42.06,25.9001,3635100.0,0.0,1.0
1998-04-09,67,42.13,42.5,42.0,42.0,25.8632,1881000.0,0.0,1.0
1998-04-13,68,42.13,42.25,41.13,41.31,25.4383,2328400.0,0.0,1.0
1998-04-14,69,41.0,41.75,41.0,41.31,25.4383,2235400.0,0.0,1.0
1998-04-15,70,41.25,42.0,41.06,41.81,25.7462,3758400.0,0.0,1.0
1998-04-16,71,41.88,41.94,41.38,41.63,25.6353,2067500.0,0.0,1.0
1998-04-17,72,41.63,42.0,41.31,41.81,25.7462,2625700.0,0.0,1.0
1998-04-20,73,41.75,41.94,41.44,41.88,25.7893,2626800.0,0.0,1.0
1998-04-21,74,41.5,42.44,41.13,42.06,25.9001,4160900.0,0.0,1.0
1998-04-22,75,41.81,44.63,41.75,43.88,27.0208,4575500.0,0.0,1.0
1998-04-23,76,43.88,44.75,43.5,44.19,27.2117,3152500.0,0.0,1.0
1998-04-24,77,44.19,44.5,43.13,43.63,26.8669,2298600.0,0.0,1.0
1998-04-27,78,43.06,43.19,41.63,43.06,26.5159,3241700.0,0.0,1.0
1998-04-28,79,42.88,43.19,38.75,39.75,24.4776,14260400.0,0.0,1.0
1998-04-29,80,39.63,40.0,38.38,39.38,24.2498,8285600.0,0.0,1.0
1998-04-30,81,39.5,40.25,39.5,39.69,24.4407,7405700.0,0.0,1.0
1998-05-01,82,39.75,39.94,38.69,39.38,24.2498,4206100.0,0.0,1.0
1998-05-04,83,39.13,39.94,39.06,39.38,24.2498,3726800.0,0.0,1.0
1998-05-05,84,39.19,40.25,39.13,40.19,24.7486,4152200.0,0.0,1.0
1998-05-06,85,39.94,40.25,39.06,39.13,24.0958,2585300.0,0.0,1.0
1998-05-07,86,39.0,39.13,37.81,37.88,23.3261,5591400.0,0.0,1.0
1998-05-08,87,38.0,38.88,38.0,38.69,23.8249,5510900.0,0.0,1.0
1998-05-11,88,38.69,39.25,38.38,38.75,23.8618,3658700.0,0.0,1.0
1998-05-12,89,38.69,39.69,38.69,39.44,24.2867,3972400.0,0.0,1.0
1998-05-13,90,39.06,39.63,38.75,38.88,23.9419,4009300.0,0.0,1.0
1998-05-14,91,38.75,39.75,38.75,39.06,24.0527,4608600.0,0.0,1.0
1998-05-15,92,38.94,39.19,37.5,37.56,23.1291,6201700.0,0.0,1.0
1998-05-18,93,37.38,38.94,37.38,37.81,23.283,4448900.0,0.0,1.0
1998-05-19,94,37.81,38.38,37.81,37.94,23.3631,3128300.0,0.0,1.0
1998-05-20,95,40.38,40.5,40.38,40.38,24.8656,8024100.0,0.0,1.0
1998-05-21,96,40.69,41.19,39.94,40.06,24.6685,4394000.0,0.0,1.0
1998-05-22,97,40.0,40.31,39.88,39.88,24.5577,2135700.0,0.0,1.0
1998-05-26,98,40.31,40.88,40.0,40.38,24.8656,4139600.0,0.0,1.0
1998-05-27,99,40.0,41.38,39.94,41.13,25.3274,4131700.0,0.0,1.0
1998-05-28,100,40.88,41.5,40.31,40.44,24.9025,3735600.0,0.0,1.0
1998-05-29,101,40.31,41.44,40.31,40.81,25.1304,2998600.0,0.0,1.0
1998-06-01,102,40.63,41.56,40.56,41.5,25.5553,2411800.0,0.0,1.0
1998-06-02,103,41.5,41.94,41.19,41.19,25.3644,2089900.0,0.0,1.0
1998-06-03,104,41.25,41.31,40.69,40.75,25.0934,2177200.0,0.0,1.0
1998-06-04,105,40.56,41.31,40.38,40.75,25.0934,2346900.0,0.0,1.0
1998-06-05,106,40.81,42.0,40.81,42.0,25.8632,2077500.0,0.0,1.0
1998-06-08,107,41.94,41.94,41.25,41.38,25.4814,1338100.0,0.0,1.0
1998-06-09,108,41.19,42.0,41.13,42.0,25.8632,1870600.0,0.0,1.0
1998-06-10,109,41.81,41.94,41.12,41.38,25.5614,1855700.0,0.13,1.0
1998-06-11,110,40.63,41.13,40.06,40.38,24.9437,3377300.0,0.0,1.0
1998-06-12,111,40.38,41.0,40.19,40.69,25.1352,2189300.0,0.0,1.0
1998-06-15,112,40.31,41.94,40.25,41.19,25.4441,3013400.0,0.0,1.0
1998-06-16,113,41.13,41.38,40.25,41.38,25.5614,2845200.0,0.0,1.0
1998-06-17,114,41.81,42.0,41.38,41.88,25.8703,2351700.0,0.0,1.0
1998-06-18,115,41.81,42.0,41.5,41.88,25.8703,1727400.0,0.0,1.0
1998-06-19,116,41.44,41.69,40.31,40.44,24.9808,4805400.0,0.0,1.0
1998-06-22,117,40.69,41.0,40.5,40.56,25.0549,2131600.0,0.0,1.0
1998-06-23,118,40.81,41.63,40.75,41.19,25.4441,2432300.0,0.0,1.0
1998-06-24,119,41.19,42.75,40.88,42.13,26.0247,3235400.0,0.0,1.0
1998-06-25,120,42.38,42.69,41.25,41.44,25.5985,2842800.0,0.0,1.0
1998-06-26,121,40.94,41.81,40.88,41.19,25.4441,1683500.0,0.0,1.0
1998-06-29,122,41.63,41.75,41.25,41.25,25.4811,1994200.0,0.0,1.0
1998-06-30,123,41.31,41.94,40.94,41.19,25.4441,2452700.0,0.0,1.0
1998-07-01,124,41.5,42.0,41.38,42.0,25.9444,2327600.0,0.0,1.0
1998-07-02,125,41.94,43.75,41.75,43.69,26.9884,3354200.0,0.0,1.0
1998-07-06,126,43.13,43.63,42.88,43.0,26.5621,2450200.0,0.0,1.0
1998-07-07,127,42.31,42.88,42.25,42.25,26.0988,1866700.0,0.0,1.0
1998-07-08,128,42.0,42.5,41.94,42.0,25.9444,1526600.0,0.0,1.0
1998-07-09,129,41.56,42.0,41.31,41.31,25.5182,1835500.0,0.0,1.0
1998-07-10,130,41.31,42.75,41.13,42.31,26.1359,2378000.0,0.0,1.0
1998-07-13,131,41.44,42.25,41.31,41.44,25.5985,2486000.0,0.0,1.0
1998-07-14,132,40.88,41.06,38.75,39.25,24.2457,9404000.0,0.0,1.0
1998-07-15,133,39.69,39.88,38.0,38.13,23.5538,8331400.0,0.0,1.0
1998-07-16,134,37.25,38.19,37.0,37.94,23.4365,12278200.0,0.0,1.0
1998-07-17,135,39.38,39.69,38.81,39.5,24.4001,8921700.0,0.0,1.0
1998-07-20,136,39.38,40.0,39.38,39.75,24.5545,5073600.0,0.0,1.0
1998-07-21,137,40.0,40.38,39.81,40.13,24.7893,4726900.0,0.0,1.0
1998-07-22,138,40.06,40.69,39.25,39.5,24.4001,3913700.0,0.0,1.0
1998-07-23,139,38.88,39.19,37.0,37.56,23.2017,7563900.0,0.0,1.0
1998-07-24,140,41.0,41.13,39.44,39.75,24.5545,15221300.0,0.0,1.0
1998-07-27,141,39.88,40.13,39.5,40.0,24.709,3326600.0,0.0,1.0
1998-07-28,142,39.81,40.31,39.25,39.88,24.6348,3914200.0,0.0,1.0
1998-07-29,143,39.81,40.0,38.13,38.69,23.8998,5930500.0,0.0,1.0
1998-07-30,144,38.75,39.13,38.38,39.0,24.0912,3898600.0,0.0,1.0
1998-07-31,145,39.0,39.19,38.38,38.94,24.0542,3200300.0,0.0,1.0
1998-08-03,146,38.81,39.75,38.25,39.38,24.326,3248800.0,0.0,1.0
1998-08-04,147,39.38,39.5,37.38,37.38,23.0905,4189100.0,0.0,1.0
1998-08-05,148,37.75,38.19,37.0,37.75,23.3191,4184400.0,0.0,1.0
1998-08-06,149,37.69,38.06,37.5,37.81,23.3562,2590300.0,0.0,1.0
1998-08-07,150,37.75,37.94,37.31,37.5,23.1647,2973300.0,0.0,1.0
1998-08-10,151,37.5,37.63,35.38,35.81,22.1207,6211300.0,0.0,1.0
1998-08-11,152,34.13,35.0,33.75,34.63,21.3918,11240000.0,0.0,1.0
1998-08-12,153,34.69,34.75,33.94,34.19,21.12,7078800.0,0.0,1.0
1998-08-13,154,34.13,35.0,34.06,34.31,21.1941,4821300.0,0.0,1.0
1998-08-14,155,34.13,34.5,33.5,33.88,20.9285,3839200.0,0.0,1.0
1998-08-17,156,33.75,33.94,33.13,33.88,20.9285,3192200.0,0.0,1.0
1998-08-18,157,34.5,34.56,34.0,34.44,21.2744,3364200.0,0.0,1.0
1998-08-19,158,34.38,34.44,33.75,33.88,20.9285,3696600.0,0.0,1.0
1998-08-20,159,33.69,33.75,33.13,33.38,20.6196,3091400.0,0.0,1.0
1998-08-21,160,32.81,33.06,32.06,32.5,20.076,4624100.0,0.0,1.0
1998-08-24,161,32.5,33.94,32.13,33.56,20.7308,4586300.0,0.0,1.0
1998-08-25,162,34.38,35.75,34.19,35.0,21.6203,5771500.0,0.0,1.0
1998-08-26,163,34.81,35.13,34.0,34.13,21.0829,3606700.0,0.0,1.0
1998-08-27,164,34.0,34.0,32.06,32.94,20.3478,4896700.0,0.0,1.0
1998-08-28,165,33.31,33.81,31.38,31.38,19.3842,5689300.0,0.0,1.0
