date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,75.44,75.75,74.0,75.69,13.044,1521000.0,0.0,1.0
1998-01-05,76.88,79.94,76.31,79.81,13.754,4544500.0,0.0,1.0
1998-01-06,79.0,79.44,77.13,77.25,13.3129,2941600.0,0.0,1.0
1998-01-07,78.13,78.13,76.19,78.13,13.4645,2218900.0,0.0,1.0
1998-01-08,78.13,79.38,77.19,77.63,13.3784,3328700.0,0.0,1.0
1998-01-09,77.25,77.38,72.0,73.94,12.7424,4007700.0,0.0,1.0
1998-01-12,71.06,77.0,71.06,76.44,13.1733,4051000.0,0.0,1.0
1998-01-13,78.0,78.0,77.0,77.31,13.3232,2918800.0,0.0,1.0
1998-01-14,77.81,78.0,76.56,77.81,13.4094,2585100.0,0.0,1.0
1998-01-15,77.38,77.44,75.63,75.81,13.0647,2786800.0,0.0,1.0
1998-01-16,76.25,77.0,75.63,77.0,13.2698,3746100.0,0.0,1.0
1998-01-20,78.38,80.88,78.0,80.81,13.9264,5114400.0,0.0,1.0
1998-01-21,80.06,80.25,78.5,79.0,13.6145,3766700.0,0.0,1.0
1998-01-22,78.38,79.63,78.19,78.63,13.5507,2506100.0,0.0,1.0
1998-01-23,78.19,78.69,76.63,78.06,13.4525,2787100.0,0.0,1.0
1998-01-26,78.06,79.0,77.5,77.75,13.399,2317100.0,0.0,1.0
1998-01-27,78.06,79.69,77.88,78.69,13.561,2840000.0,0.0,1.0
1998-01-28,79.5,81.0,79.44,79.81,13.754,3846400.0,0.0,1.0
1998-01-29,80.5,82.44,80.25,81.44,14.035,3350400.0,0.0,1.0
1998-01-30,81.94,82.13,80.75,81.75,14.0884,2292700.0,0.0,1.0
1998-02-02,84.69,85.06,82.38,82.63,14.24,4339200.0,0.0,1.0
1998-02-03,82.5,82.88,81.56,82.56,14.228,3036600.0,0.0,1.0
1998-02-04,82.0,82.25,81.0,81.38,14.0574,2273300.0,0.19,1.0
1998-02-05,82.0,82.31,79.63,79.75,13.7758,2902100.0,0.0,1.0
1998-02-06,80.0,81.38,79.94,80.88,13.971,2310300.0,0.0,1.0
1998-02-09,81.25,81.81,80.19,80.75,13.9485,2361900.0,0.0,1.0
1998-02-10,81.63,84.0,81.44,84.0,14.5099,3624600.0,0.0,1.0
1998-02-11,83.75,84.38,81.44,83.69,14.4564,3074300.0,0.0,1.0
1998-02-12,83.25,84.94,82.25,84.31,14.5635,2480900.0,0.0,1.0
1998-02-13,84.0,84.19,83.38,83.63,14.446,1970500.0,0.0,1.0
1998-02-17,84.44,84.81,83.44,84.5,14.5963,2406500.0,0.0,1.0
1998-02-18,84.81,86.5,84.69,86.38,14.921,3296200.0,0.0,1.0
1998-02-19,86.31,88.25,86.0,86.13,14.8779,3006700.0,0.0,1.0
1998-02-20,86.81,87.75,86.19,87.31,15.0817,2747200.0,0.0,1.0
1998-02-23,88.0,89.38,87.94,89.38,15.4393,2973600.0,0.0,1.0
1998-02-24,87.25,88.0,86.25,87.5,15.1145,5495600.0,0.0,1.0
1998-02-25,88.25,89.56,88.13,88.38,15.2665,2521200.0,0.0,1.0
1998-02-26,89.0,90.25,88.38,90.25,15.5895,2909400.0,0.0,1.0
1998-02-27,91.0,91.44,87.88,88.5,15.2872,4209000.0,0.0,1.0
1998-03-02,89.0,89.19,87.56,87.81,15.1681,2749200.0,0.0,1.0
1998-03-03,87.06,87.25,85.63,87.0,15.0281,2750600.0,0.0,1.0
1998-03-04,86.06,86.25,84.5,84.94,14.6723,3366400.0,0.0,1.0
1998-03-05,85.0,86.38,85.0,85.56,14.7794,2721700.0,0.0,1.0
1998-03-06,84.75,86.5,84.13,86.25,14.8986,4104500.0,0.0,1.0
1998-03-09,86.25,87.44,86.0,86.88,15.0074,3048400.0,0.0,1.0
1998-03-10,86.88,88.31,86.56,87.88,15.1801,3158000.0,0.0,1.0
1998-03-11,88.25,89.06,87.38,87.5,15.1145,2905000.0,0.0,1.0
