date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,79.31,80.94,78.88,80.94,23.548,1544200.0,0.0,1.0
1998-01-05,1,81.19,82.81,80.44,82.56,24.0193,2498200.0,0.0,1.0
1998-01-06,2,81.5,82.75,81.44,82.31,23.9465,1922700.0,0.0,1.0
1998-01-07,3,81.63,81.75,80.56,81.44,23.6934,2142300.0,0.0,1.0
1998-01-08,4,81.0,81.44,80.5,80.5,23.4199,1454600.0,0.0,1.0
1998-01-09,5,79.88,80.44,78.0,78.88,22.9486,2285900.0,0.0,1.0
1998-01-12,6,77.63,82.38,77.56,82.31,23.9465,2482800.0,0.0,1.0
1998-01-13,7,81.56,82.63,80.56,81.13,23.6032,2167800.0,0.0,1.0
1998-01-14,8,81.19,81.38,79.19,80.56,23.4374,1968100.0,0.0,1.0
1998-01-15,9,80.31,80.56,79.69,79.94,23.257,1255500.0,0.0,1.0
1998-01-16,10,80.44,80.44,78.94,79.31,23.0737,2591300.0,0.0,1.0
1998-01-20,11,80.31,80.94,79.88,80.75,23.4927,1706400.0,0.0,1.0
1998-01-21,12,81.25,81.81,79.88,81.0,23.639,1794400.0,0.253,1.0
1998-01-22,13,81.19,81.25,79.13,79.88,23.3122,1693900.0,0.0,1.0
1998-01-23,14,80.5,80.5,78.25,78.38,22.8744,1969100.0,0.0,1.0
1998-01-26,15,78.5,79.0,78.19,78.5,22.9094,1776300.0,0.0,1.0
1998-01-27,16,78.06,81.31,78.06,80.88,23.604,3756200.0,0.0,1.0
1998-01-28,17,81.0,81.0,78.5,79.25,23.1283,1951500.0,0.0,1.0
1998-01-29,18,79.25,80.19,77.31,78.0,22.7635,2709300.0,0.0,1.0
1998-01-30,19,77.88,79.0,77.5,78.38,22.8744,2080700.0,0.0,1.0
1998-02-02,20,79.19,79.81,78.69,79.5,23.2013,1731500.0,0.0,1.0
1998-02-03,21,79.5,81.81,78.69,81.31,23.7295,2536200.0,0.0,1.0
1998-02-04,22,80.0,81.06,80.0,80.38,23.4581,1546600.0,0.0,1.0
