date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,119.1,119.8,118.0,119.1,25.2929,347400.0,0.0,1.0
1998-01-05,1,119.6,120.1,117.5,117.8,25.0169,278700.0,0.0,1.0
1998-01-06,2,117.5,118.8,117.1,118.1,25.0806,310200.0,0.0,1.0
1998-01-07,3,118.1,120.0,116.9,117.7,24.9956,343800.0,0.0,1.0
1998-01-08,4,117.8,117.9,116.3,116.8,24.8045,220200.0,0.0,1.0
1998-01-09,5,116.4,116.4,111.5,112.9,23.9763,370800.0,0.0,1.0
1998-01-12,6,111.9,114.3,111.9,113.7,24.1462,272400.0,0.0,1.0
1998-01-13,7,114.0,117.0,114.0,117.0,24.847,236100.0,0.0,1.0
1998-01-14,8,117.0,117.9,115.5,117.8,25.0169,258600.0,0.0,1.0
1998-01-15,9,118.0,118.4,116.5,118.1,25.0806,212700.0,0.0,1.0
1998-01-16,10,119.0,119.5,117.9,118.0,25.0593,253200.0,0.0,1.0
1998-01-20,11,118.5,120.8,118.2,120.5,25.5903,324000.0,0.0,1.0
1998-01-21,12,120.5,121.4,116.4,117.0,24.847,467100.0,0.0,1.0
1998-01-22,13,116.9,117.6,115.4,116.1,24.6558,279300.0,0.0,1.0
1998-01-23,14,116.4,116.9,114.0,114.8,24.3798,281100.0,0.0,1.0
1998-01-26,15,114.8,115.9,114.1,114.7,24.3585,249900.0,0.0,1.0
1998-01-27,16,114.4,117.0,114.4,116.7,24.7833,298200.0,0.0,1.0
1998-01-28,17,113.9,113.9,106.7,107.1,22.7445,1912800.0,0.0,1.0
1998-01-29,18,107.1,111.9,107.1,110.2,23.4029,1577100.0,0.0,1.0
1998-01-30,19,109.6,110.1,109.0,109.4,23.233,1369200.0,0.0,1.0
1998-02-02,20,110.0,111.6,109.8,111.4,23.6577,4033500.0,0.0,1.0
1998-02-03,21,111.3,112.4,110.6,112.4,23.8701,273600.0,0.0,1.0
1998-02-04,22,112.2,112.4,111.0,112.0,23.7851,481200.0,0.0,1.0
1998-02-05,23,111.9,112.6,110.1,111.3,23.6365,345300.0,0.0,1.0
1998-02-06,24,111.5,112.0,110.4,110.7,23.5091,774900.0,0.0,1.0
1998-02-09,25,110.6,113.1,110.6,111.8,23.7427,251100.0,0.0,1.0
1998-02-10,26,112.4,113.1,112.1,113.0,24.0102,428700.0,0.06,1.0
1998-02-11,27,112.9,114.0,112.3,113.2,24.0527,537600.0,0.0,1.0
1998-02-12,28,113.2,114.3,112.6,113.9,24.2015,443700.0,0.0,1.0
1998-02-13,29,113.3,114.2,112.5,112.8,23.9678,574200.0,0.0,1.0
1998-02-17,30,113.0,113.4,112.8,113.3,24.074,579000.0,0.0,1.0
1998-02-18,31,113.3,114.1,113.3,113.4,24.0952,544200.0,0.0,1.0
1998-02-19,32,113.2,114.3,112.2,113.4,24.0952,391500.0,0.0,1.0
1998-02-20,33,113.5,114.5,112.9,114.2,24.2652,240900.0,0.0,1.0
1998-02-23,34,114.2,114.9,112.3,113.8,24.1802,248100.0,0.0,1.0
1998-02-24,35,113.5,114.5,112.9,113.8,24.1802,414600.0,0.0,1.0
1998-02-25,36,113.5,117.8,113.3,115.9,24.6264,427500.0,0.0,1.0
1998-02-26,37,116.3,116.3,114.6,115.0,24.4352,529800.0,0.0,1.0
1998-02-27,38,115.0,116.7,114.8,115.9,24.6264,306900.0,0.0,1.0
1998-03-02,39,117.0,117.3,116.4,116.7,24.7964,182100.0,0.0,1.0
1998-03-03,40,117.3,118.1,117.0,117.3,24.9239,300900.0,0.0,1.0
1998-03-04,41,117.3,121.3,117.3,120.2,25.5401,772800.0,0.0,1.0
1998-03-05,42,119.9,120.2,119.4,120.2,25.5401,445500.0,0.0,1.0
1998-03-06,43,120.0,120.9,119.3,119.3,25.3489,339300.0,0.0,1.0
1998-03-09,44,119.4,119.5,117.9,118.4,25.1576,378900.0,0.0,1.0
1998-03-10,45,118.6,118.9,118.6,118.7,25.2214,232200.0,0.0,1.0
1998-03-11,46,118.4,118.6,117.8,117.8,25.0429,420900.0,0.06,1.0
1998-03-12,47,117.9,118.7,117.9,118.4,25.1705,216000.0,0.0,1.0
1998-03-13,48,118.6,118.8,118.1,118.7,25.2342,136500.0,0.0,1.0
1998-03-16,49,119.1,121.8,119.0,121.1,25.7444,287100.0,0.0,1.0
1998-03-17,50,122.0,123.5,122.0,122.7,26.0846,523500.0,0.0,1.0
1998-03-18,51,122.7,124.2,122.7,124.0,26.3609,319800.0,0.0,1.0
1998-03-19,52,124.8,124.8,123.3,124.8,26.531,336000.0,0.0,1.0
1998-03-20,53,125.0,126.5,124.6,126.3,26.8499,533400.0,0.0,1.0
1998-03-23,54,126.0,126.0,123.0,123.8,26.3184,233400.0,0.0,1.0
1998-03-24,55,123.8,129.0,123.8,128.4,27.2963,625200.0,0.0,1.0
