date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-28,0,12.0,12.19,12.0,12.0,7.1057,11192000.0,0.0,1.0
2000-01-31,1,12.0,12.06,12.0,12.06,7.1412,1880900.0,0.0,1.0
2000-02-01,2,12.0,12.06,12.0,12.0,7.1057,367100.0,0.0,1.0
2000-02-02,3,12.0,12.06,12.0,12.06,7.1412,697400.0,0.0,1.0
2000-02-03,4,12.0,12.06,12.0,12.0,7.1057,579800.0,0.0,1.0
2000-02-04,5,12.0,12.06,11.25,11.38,6.7385,1681900.0,0.0,1.0
2000-02-07,6,11.12,11.12,10.5,10.81,6.401,927200.0,0.0,1.0
2000-02-08,7,10.75,10.88,9.75,9.88,5.8503,795400.0,0.0,1.0
2000-02-09,8,9.88,10.25,9.75,10.12,5.9924,1710100.0,0.0,1.0
2000-02-10,9,10.5,11.25,10.44,10.62,6.2885,571500.0,0.0,1.0
2000-02-11,10,10.75,10.94,10.0,10.06,5.9569,1062000.0,0.0,1.0
2000-02-14,11,10.19,10.31,9.75,9.81,5.8089,289000.0,0.0,1.0
2000-02-15,12,10.0,10.62,9.94,10.44,6.1819,541400.0,0.0,1.0
2000-02-16,13,10.56,10.62,10.25,10.56,6.252999999999999,360700.0,0.0,1.0
2000-02-17,14,10.88,10.88,10.25,10.38,6.1464,291600.0,0.0,1.0
2000-02-18,15,10.5,10.75,10.31,10.5,6.2175,330700.0,0.0,1.0
2000-02-22,16,10.25,10.62,9.88,10.31,6.105,314500.0,0.0,1.0
2000-02-23,17,9.94,10.31,9.81,10.12,5.9924,494300.0,0.0,1.0
2000-02-24,18,10.12,10.31,9.88,9.94,5.8859,919900.0,0.0,1.0
2000-02-25,19,10.31,10.62,10.0,10.44,6.1819,1095500.0,0.0,1.0
2000-02-28,20,10.25,10.31,10.0,10.12,5.9924,366800.0,0.0,1.0
2000-02-29,21,10.12,11.25,10.0,10.88,6.4425,1652500.0,0.0,1.0
2000-03-01,22,10.88,11.25,10.88,11.0,6.5135,266700.0,0.0,1.0
2000-03-02,23,10.88,11.94,10.81,11.5,6.8096,890300.0,0.0,1.0
2000-03-03,24,11.5,11.5,10.88,10.94,6.478,160300.0,0.0,1.0
2000-03-06,25,10.5,10.81,10.38,10.75,6.3655,242800.0,0.0,1.0
2000-03-07,26,10.62,10.75,10.06,10.25,6.0694,393500.0,0.0,1.0
2000-03-08,27,10.19,10.5,9.88,10.38,6.1464,424200.0,0.0,1.0
2000-03-09,28,10.31,10.81,10.25,10.5,6.2175,310100.0,0.0,1.0
2000-03-10,29,10.5,10.5,10.0,10.25,6.0694,168900.0,0.0,1.0
2000-03-13,30,10.0,10.12,9.56,9.75,5.7734,1767400.0,0.0,1.0
2000-03-14,31,9.75,10.12,9.75,9.88,5.8503,660500.0,0.0,1.0
2000-03-15,32,9.88,9.88,9.25,9.62,5.6964,1231100.0,0.0,1.0
2000-03-16,33,9.81,10.25,9.5,9.75,5.7734,404100.0,0.0,1.0
2000-03-17,34,9.75,9.94,9.25,9.56,5.6609,814800.0,0.0,1.0
2000-03-20,35,9.69,9.88,9.5,9.62,5.6964,473200.0,0.0,1.0
2000-03-21,36,9.56,9.81,9.5,9.62,5.6964,176200.0,0.0,1.0
2000-03-22,37,9.62,9.75,9.5,9.56,5.6609,430300.0,0.0,1.0
2000-03-23,38,9.5,9.81,9.5,9.69,5.7378,477400.0,0.0,1.0
2000-03-24,39,9.56,9.88,9.56,9.75,5.7734,236700.0,0.0,1.0
2000-03-27,40,9.75,10.0,9.75,9.88,5.8503,67600.0,0.0,1.0
2000-03-28,41,9.88,10.0,9.75,9.81,5.8089,157900.0,0.0,1.0
2000-03-29,42,9.81,9.94,9.81,9.81,5.8089,253000.0,0.0,1.0
2000-03-30,43,9.81,10.12,9.81,9.81,5.8089,235200.0,0.0,1.0
2000-03-31,44,9.81,10.5,9.75,10.5,6.2175,627300.0,0.0,1.0
2000-04-03,45,10.38,10.38,10.06,10.31,6.105,108400.0,0.0,1.0
2000-04-04,46,10.38,10.38,10.0,10.06,5.9569,411000.0,0.0,1.0
2000-04-05,47,9.94,10.38,9.88,10.25,6.0694,196100.0,0.0,1.0
2000-04-06,48,10.25,11.12,10.12,10.81,6.401,296700.0,0.0,1.0
2000-04-07,49,10.5,10.62,10.25,10.5,6.2175,262800.0,0.0,1.0
2000-04-10,50,10.5,10.75,10.25,10.31,6.105,139400.0,0.0,1.0
2000-04-11,51,10.25,10.62,10.25,10.56,6.252999999999999,315000.0,0.0,1.0
2000-04-12,52,10.56,11.0,10.56,10.81,6.401,392000.0,0.0,1.0
2000-04-13,53,10.69,10.81,10.62,10.62,6.2885,243200.0,0.0,1.0
2000-04-14,54,10.5,10.62,10.0,10.12,5.9924,269900.0,0.0,1.0
2000-04-17,55,10.0,10.38,10.0,10.38,6.1464,321300.0,0.0,1.0
2000-04-18,56,10.38,10.81,10.25,10.62,6.2885,862200.0,0.0,1.0
2000-04-19,57,10.5,11.25,10.5,10.94,6.478,531900.0,0.0,1.0
2000-04-20,58,10.94,11.0,10.62,10.62,6.2885,193500.0,0.0,1.0
2000-04-24,59,10.75,11.38,10.75,10.88,6.4425,355700.0,0.0,1.0
2000-04-25,60,11.06,11.56,11.0,11.25,6.6616,621900.0,0.0,1.0
2000-04-26,61,11.25,11.38,11.0,11.0,6.5135,391800.0,0.0,1.0
2000-04-27,62,11.0,11.25,10.81,10.81,6.401,246300.0,0.0,1.0
2000-04-28,63,11.12,11.88,11.0,11.88,7.0346,284100.0,0.0,1.0
2000-05-01,64,11.75,11.94,11.38,11.62,6.8807,138900.0,0.0,1.0
2000-05-02,65,11.88,11.88,11.56,11.75,6.9576,159200.0,0.0,1.0
2000-05-03,66,11.62,11.69,11.5,11.56,6.8451,105600.0,0.0,1.0
2000-05-04,67,11.56,11.75,11.5,11.75,6.9576,180500.0,0.0,1.0
2000-05-05,68,11.62,12.0,11.56,11.94,7.0701,240000.0,0.0,1.0
2000-05-08,69,11.88,12.0,11.75,11.88,7.0346,117900.0,0.0,1.0
2000-05-09,70,11.75,11.88,11.62,11.81,6.9932,87000.0,0.0,1.0
2000-05-10,71,11.75,12.06,11.56,12.0,7.1057,383700.0,0.0,1.0
2000-05-11,72,11.88,12.06,11.75,12.0,7.1057,404400.0,0.0,1.0
2000-05-12,73,12.0,12.12,11.94,12.0,7.1057,171600.0,0.0,1.0
2000-05-15,74,12.0,12.75,12.0,12.62,7.4728,227300.0,0.0,1.0
2000-05-16,75,12.5,12.62,12.12,12.38,7.3307,251500.0,0.0,1.0
2000-05-17,76,12.31,12.44,12.25,12.38,7.3307,195300.0,0.0,1.0
2000-05-18,77,12.25,12.31,11.94,12.0,7.1057,94500.0,0.0,1.0
2000-05-19,78,12.0,12.25,12.0,12.12,7.1767,334900.0,0.0,1.0
2000-05-22,79,12.06,12.19,11.81,11.81,6.9932,522400.0,0.0,1.0
2000-05-23,80,11.75,11.88,11.38,11.62,6.8807,258000.0,0.0,1.0
2000-05-24,81,11.5,11.56,11.25,11.38,6.7385,209300.0,0.0,1.0
2000-05-25,82,11.25,11.5,11.25,11.44,6.7741,526000.0,0.0,1.0
2000-05-26,83,11.44,11.88,11.38,11.88,7.0346,159000.0,0.0,1.0
2000-05-30,84,11.5,11.69,11.25,11.69,6.9221,217400.0,0.0,1.0
2000-05-31,85,11.56,11.75,11.5,11.5,6.8096,204900.0,0.0,1.0
2000-06-01,86,11.38,11.75,11.0,11.25,6.6616,359100.0,0.0,1.0
2000-06-02,87,11.25,11.38,11.0,11.06,6.5491,183500.0,0.0,1.0
2000-06-05,88,11.06,11.38,11.0,11.12,6.5846,102800.0,0.0,1.0
2000-06-06,89,11.12,11.31,11.12,11.31,6.6971,353700.0,0.0,1.0
2000-06-07,90,11.31,11.38,11.0,11.25,6.6616,303500.0,0.0,1.0
2000-06-08,91,11.19,11.25,11.06,11.06,6.5491,279300.0,0.0,1.0
2000-06-09,92,11.06,11.38,11.0,11.25,6.6616,136600.0,0.0,1.0
2000-06-12,93,11.12,11.38,11.0,11.38,6.7385,215100.0,0.0,1.0
2000-06-13,94,11.38,11.5,11.12,11.5,6.8096,128400.0,0.0,1.0
2000-06-14,95,11.5,11.69,11.31,11.56,6.8451,137200.0,0.0,1.0
2000-06-15,96,11.56,11.81,11.12,11.25,6.6616,140000.0,0.0,1.0
2000-06-16,97,11.12,11.12,10.69,10.69,6.33,417700.0,0.0,1.0
2000-06-19,98,10.75,11.12,10.62,11.0,6.5135,178200.0,0.0,1.0
2000-06-20,99,10.81,10.88,10.12,10.5,6.2175,183500.0,0.0,1.0
2000-06-21,100,10.25,11.0,10.25,11.0,6.5135,122900.0,0.0,1.0
2000-06-22,101,10.88,11.0,10.25,10.69,6.33,205200.0,0.0,1.0
2000-06-23,102,10.44,10.62,10.31,10.5,6.2175,69700.0,0.0,1.0
2000-06-26,103,10.38,10.69,10.25,10.62,6.2885,307100.0,0.0,1.0
2000-06-27,104,10.5,11.0,10.5,11.0,6.5135,203500.0,0.0,1.0
2000-06-28,105,10.88,11.88,10.81,11.62,6.8807,199200.0,0.0,1.0
