date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,35.75,35.75,34.62,34.75,8.1621,69400.0,0.0,1.0
1998-01-05,1,34.75,37.0,34.75,36.88,8.6624,105000.0,0.0,1.0
1998-01-06,2,36.75,36.75,36.06,36.62,8.6013,273600.0,0.0,1.0
1998-01-07,3,36.56,36.88,36.12,36.88,8.6624,136000.0,0.0,1.0
1998-01-08,4,36.88,36.88,36.25,36.75,8.6319,71200.0,0.0,1.0
1998-01-09,5,36.75,36.75,36.0,36.0,8.4557,110200.0,0.0,1.0
1998-01-12,6,35.62,36.06,35.62,35.81,8.4111,53200.0,0.0,1.0
1998-01-13,7,36.0,36.25,35.75,35.75,8.397,76200.0,0.0,1.0
1998-01-14,8,36.38,36.5,36.06,36.06,8.4698,240800.0,0.0,1.0
1998-01-15,9,36.19,36.19,35.56,35.69,8.3829,73800.0,0.0,1.0
1998-01-16,10,35.75,35.88,35.25,35.62,8.3665,90400.0,0.0,1.0
1998-01-20,11,35.62,35.81,35.5,35.5,8.3383,43000.0,0.0,1.0
1998-01-21,12,35.62,35.62,34.94,35.25,8.2795,85600.0,0.0,1.0
1998-01-22,13,35.12,35.38,35.0,35.0,8.2208,64200.0,0.0,1.0
1998-01-23,14,35.0,35.0,34.0,34.19,8.0306,82800.0,0.0,1.0
1998-01-26,15,34.31,34.75,34.25,34.75,8.1621,76600.0,0.0,1.0
1998-01-27,16,34.62,34.81,34.56,34.62,8.1316,84400.0,0.0,1.0
1998-01-28,17,34.44,34.75,34.44,34.69,8.1656,19000.0,0.075,1.0
1998-01-29,18,34.81,35.0,34.62,34.69,8.1656,232400.0,0.0,1.0
1998-01-30,19,34.62,34.81,34.25,34.25,8.0621,82400.0,0.0,1.0
1998-02-02,20,34.44,36.0,34.25,35.69,8.401,133000.0,0.0,1.0
1998-02-03,21,36.75,36.88,35.94,36.12,8.5022,213800.0,0.0,1.0
1998-02-04,22,36.0,37.0,35.88,37.0,8.7094,108200.0,0.0,1.0
1998-02-05,23,37.25,39.25,37.25,38.62,9.0907,219200.0,0.0,1.0
1998-02-06,24,38.62,39.06,38.0,38.0,8.9448,337600.0,0.0,1.0
1998-02-09,25,38.12,38.81,38.12,38.56,9.0766,53000.0,0.0,1.0
1998-02-10,26,38.44,39.75,38.38,39.12,9.2084,181000.0,0.0,1.0
1998-02-11,27,39.25,39.69,38.88,39.19,9.2249,104800.0,0.0,1.0
1998-02-12,28,39.06,41.25,39.06,41.06,9.6651,270200.0,0.0,1.0
1998-02-13,29,40.88,40.94,40.19,40.56,9.5474,401200.0,0.0,1.0
1998-02-17,30,40.5,40.88,40.06,40.75,9.5921,215200.0,0.0,1.0
1998-02-18,31,40.75,40.75,40.44,40.62,9.5615,298000.0,0.0,1.0
1998-02-19,32,40.69,41.19,40.69,40.75,9.5921,60200.0,0.0,1.0
