date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,42.13,42.25,41.75,41.75,16.6807,153400.0,0.0,1.0
1998-01-05,41.63,41.69,40.88,41.19,16.457,916900.0,0.0,1.0
1998-01-06,41.06,41.06,40.19,40.56,16.2053,185100.0,0.0,1.0
1998-01-07,40.38,40.5,39.88,40.13,16.0335,200900.0,0.0,1.0
1998-01-08,40.13,40.63,39.88,40.56,16.2053,783000.0,0.0,1.0
1998-01-09,40.44,40.63,39.94,40.19,16.0575,301600.0,0.0,1.0
1998-01-12,39.5,40.38,39.38,40.31,16.1054,85300.0,0.0,1.0
1998-01-13,40.25,40.38,39.94,40.12,16.0295,230800.0,0.0,1.0
1998-01-14,40.25,40.31,40.0,40.19,16.0575,426400.0,0.0,1.0
1998-01-15,40.06,40.44,40.06,40.25,16.0814,255800.0,0.0,1.0
1998-01-16,40.19,40.19,40.0,40.0,15.9815,162200.0,0.0,1.0
1998-01-20,40.0,40.13,39.63,39.75,15.8817,100300.0,0.0,1.0
1998-01-21,39.81,40.25,39.56,40.25,16.0814,357800.0,0.0,1.0
1998-01-22,40.38,41.44,40.38,41.19,16.457,408000.0,0.0,1.0
1998-01-23,41.19,41.38,40.69,41.0,16.3811,407500.0,0.0,1.0
1998-01-26,41.06,42.0,41.0,41.25,16.481,510300.0,0.0,1.0
1998-01-27,41.44,41.5,41.19,41.19,16.457,378300.0,0.0,1.0
1998-01-28,41.19,41.44,40.63,40.63,16.2332,397300.0,0.0,1.0
1998-01-29,40.19,40.81,39.94,40.13,16.1533,569700.0,0.3,1.0
1998-01-30,40.0,40.19,39.81,40.0,16.101,133000.0,0.0,1.0
1998-02-02,40.06,40.94,40.06,40.5,16.3023,575200.0,0.0,1.0
1998-02-03,40.44,40.94,40.38,40.81,16.4271,218500.0,0.0,1.0
1998-02-04,40.56,40.81,40.25,40.5,16.3023,221400.0,0.0,1.0
1998-02-05,40.56,40.63,40.06,40.19,16.1775,531500.0,0.0,1.0
1998-02-06,40.13,40.5,40.13,40.31,16.2258,100300.0,0.0,1.0
1998-02-09,40.38,40.44,39.94,40.44,16.2781,362200.0,0.0,1.0
1998-02-10,40.56,41.19,40.56,40.94,16.4794,363500.0,0.0,1.0
1998-02-11,40.88,40.94,40.5,40.88,16.4552,71000.0,0.0,1.0
1998-02-12,40.94,41.0,40.56,41.0,16.5035,115900.0,0.0,1.0
1998-02-13,41.0,41.0,40.69,41.0,16.5035,139500.0,0.0,1.0
1998-02-17,41.25,41.25,40.88,41.13,16.5559,185900.0,0.0,1.0
1998-02-18,40.94,41.0,40.75,40.81,16.4271,55500.0,0.0,1.0
1998-02-19,40.94,40.94,40.5,40.75,16.4029,79900.0,0.0,1.0
1998-02-20,40.88,40.88,40.5,40.81,16.4271,72400.0,0.0,1.0
1998-02-23,40.56,40.75,40.5,40.56,16.3264,120200.0,0.0,1.0
1998-02-24,40.44,40.56,40.13,40.44,16.2781,140000.0,0.0,1.0
1998-02-25,40.63,41.0,40.56,40.63,16.3546,140600.0,0.0,1.0
1998-02-26,40.44,40.81,40.31,40.69,16.3788,101200.0,0.0,1.0
1998-02-27,40.69,41.0,40.69,40.81,16.4271,40900.0,0.0,1.0
1998-03-02,40.56,41.06,40.5,40.81,16.4271,127100.0,0.0,1.0
1998-03-03,40.94,41.31,40.88,41.0,16.5035,260800.0,0.0,1.0
1998-03-04,40.88,41.0,40.44,40.56,16.3264,275100.0,0.0,1.0
1998-03-05,40.5,40.75,40.31,40.44,16.2781,127600.0,0.0,1.0
1998-03-06,40.56,41.63,40.44,41.5,16.7048,764400.0,0.0,1.0
1998-03-09,41.25,42.0,41.06,41.38,16.6565,212700.0,0.0,1.0
1998-03-10,41.63,42.25,41.63,41.88,16.8578,149000.0,0.0,1.0
1998-03-11,41.94,42.63,41.88,42.06,16.9302,111600.0,0.0,1.0
1998-03-12,42.31,42.44,41.94,42.44,17.0832,185900.0,0.0,1.0
1998-03-13,42.44,42.5,41.94,42.19,16.9825,163100.0,0.0,1.0
1998-03-16,42.13,42.56,41.88,42.5,17.1073,253600.0,0.0,1.0
1998-03-17,42.5,43.0,42.5,42.88,17.2603,185000.0,0.0,1.0
1998-03-18,42.81,43.31,42.81,43.25,17.4092,174000.0,0.0,1.0
1998-03-19,43.25,43.38,43.13,43.38,17.4615,178900.0,0.0,1.0
1998-03-20,43.5,45.0,43.13,44.44,17.8882,209800.0,0.0,1.0
1998-03-23,44.19,44.5,43.88,44.31,17.8359,95100.0,0.0,1.0
1998-03-24,44.19,44.38,44.0,44.13,17.7634,48100.0,0.0,1.0
1998-03-25,45.0,45.0,44.31,44.5,17.9124,192900.0,0.0,1.0
1998-03-26,44.5,44.5,43.94,44.13,17.7634,217800.0,0.0,1.0
1998-03-27,44.19,44.25,43.25,43.44,17.4857,197000.0,0.0,1.0
1998-03-30,43.44,43.69,43.31,43.69,17.5863,79200.0,0.0,1.0
1998-03-31,43.94,44.5,43.88,44.44,17.8882,282800.0,0.0,1.0
1998-04-01,44.56,44.56,44.06,44.31,17.8359,88600.0,0.0,1.0
1998-04-02,44.13,44.75,44.06,44.63,17.9647,87500.0,0.0,1.0
1998-04-03,44.69,44.94,44.63,44.75,18.013,68800.0,0.0,1.0
1998-04-06,44.5,44.75,44.13,44.25,17.8117,258900.0,0.0,1.0
1998-04-07,44.25,44.25,43.56,43.94,17.687,107700.0,0.0,1.0
1998-04-08,43.81,43.81,43.19,43.31,17.4334,145200.0,0.0,1.0
1998-04-09,43.44,43.94,43.31,43.44,17.4857,206600.0,0.0,1.0
1998-04-13,43.5,43.69,43.19,43.56,17.534,134300.0,0.0,1.0
1998-04-14,43.44,44.31,43.31,44.19,17.7876,171100.0,0.0,1.0
1998-04-15,44.44,44.63,44.06,44.44,17.8882,466700.0,0.0,1.0
1998-04-16,44.44,44.44,43.38,43.88,17.6628,142000.0,0.0,1.0
1998-04-17,43.75,44.75,43.63,44.69,17.9889,184800.0,0.0,1.0
1998-04-20,44.44,44.5,43.88,43.94,17.687,78800.0,0.0,1.0
1998-04-21,44.06,44.06,43.44,43.56,17.534,71400.0,0.0,1.0
1998-04-22,43.69,43.69,43.0,43.13,17.3609,113600.0,0.0,1.0
1998-04-23,43.06,43.06,42.31,42.5,17.1073,298200.0,0.0,1.0
1998-04-24,42.75,43.31,42.56,43.06,17.3327,255700.0,0.0,1.0
1998-04-27,43.0,43.0,42.0,42.44,17.0832,155300.0,0.0,1.0
1998-04-28,42.38,43.25,42.38,43.0,17.3086,127300.0,0.0,1.0
1998-04-29,43.13,43.63,43.0,43.13,17.4817,1715200.0,0.3,1.0
1998-04-30,43.19,44.69,43.19,44.25,17.9356,314400.0,0.0,1.0
1998-05-01,44.5,45.25,44.25,44.81,18.1626,391500.0,0.0,1.0
1998-05-04,44.81,44.81,44.38,44.56,18.0613,331600.0,0.0,1.0
1998-05-05,44.44,44.44,43.63,43.75,17.733,397700.0,0.0,1.0
1998-05-06,43.88,44.13,43.75,43.75,17.733,79500.0,0.0,1.0
1998-05-07,43.75,43.88,43.06,43.38,17.583,108700.0,0.0,1.0
1998-05-08,43.38,44.13,43.25,44.06,17.8586,653500.0,0.0,1.0
1998-05-11,44.13,45.0,44.06,44.38,17.9883,273300.0,0.0,1.0
1998-05-12,44.44,44.69,44.06,44.63,18.0897,196000.0,0.0,1.0
1998-05-13,44.63,44.81,44.19,44.31,17.96,410400.0,0.0,1.0
1998-05-14,44.25,44.5,44.25,44.5,18.037,167000.0,0.0,1.0
1998-05-15,44.75,45.0,44.5,44.56,18.0613,573900.0,0.0,1.0
1998-05-18,44.13,44.63,44.13,44.38,17.9883,197400.0,0.0,1.0
1998-05-19,44.44,44.44,43.81,44.06,17.8586,232500.0,0.0,1.0
1998-05-20,44.12,44.38,43.88,44.31,17.96,182600.0,0.0,1.0
1998-05-21,44.38,44.38,43.56,43.69,17.7087,159000.0,0.0,1.0
1998-05-22,43.69,43.69,43.06,43.38,17.583,181400.0,0.0,1.0
1998-05-26,43.38,43.81,42.81,42.94,17.4047,126800.0,0.0,1.0
1998-05-27,42.94,43.25,42.75,43.19,17.506,205200.0,0.0,1.0
1998-05-28,43.19,44.0,43.13,43.88,17.7857,160100.0,0.0,1.0
1998-05-29,43.81,45.0,43.81,44.94,18.2153,255700.0,0.0,1.0
1998-06-01,44.88,46.0,44.88,45.63,18.495,225900.0,0.0,1.0
1998-06-02,45.81,45.81,44.88,45.63,18.495,185700.0,0.0,1.0
1998-06-03,45.69,46.06,45.31,45.81,18.5679,270900.0,0.0,1.0
1998-06-04,45.94,46.0,45.0,45.06,18.264,351800.0,0.0,1.0
1998-06-05,45.06,45.63,45.0,45.63,18.495,119600.0,0.0,1.0
1998-06-08,45.44,45.63,45.13,45.31,18.3653,89100.0,0.0,1.0
1998-06-09,45.25,45.81,45.25,45.63,18.495,98300.0,0.0,1.0
1998-06-10,45.44,46.0,45.44,45.94,18.6206,194000.0,0.0,1.0
1998-06-11,46.19,46.19,45.38,45.75,18.5436,395700.0,0.0,1.0
1998-06-12,45.94,46.19,45.63,46.13,18.6976,129000.0,0.0,1.0
1998-06-15,45.88,46.13,45.5,45.69,18.5193,224400.0,0.0,1.0
1998-06-16,45.88,46.19,45.44,45.75,18.5436,286300.0,0.0,1.0
1998-06-17,45.94,46.0,44.75,45.13,18.2923,281100.0,0.0,1.0
1998-06-18,45.38,45.44,44.81,44.94,18.2153,211700.0,0.0,1.0
1998-06-19,45.06,45.19,44.69,45.19,18.3166,172500.0,0.0,1.0
1998-06-22,45.0,45.56,45.0,45.0,18.2396,119700.0,0.0,1.0
1998-06-23,44.88,45.75,44.88,45.56,18.4666,207500.0,0.0,1.0
1998-06-24,45.56,45.63,45.25,45.5,18.4423,290200.0,0.0,1.0
1998-06-25,45.38,45.38,44.56,44.56,18.0613,154100.0,0.0,1.0
1998-06-26,44.31,44.94,44.31,44.81,18.1626,135400.0,0.0,1.0
1998-06-29,44.63,45.44,44.63,45.38,18.3937,152100.0,0.0,1.0
1998-06-30,45.38,45.38,44.81,45.0,18.2396,192700.0,0.0,1.0
1998-07-01,45.19,45.56,44.94,45.38,18.3937,383100.0,0.0,1.0
1998-07-02,45.13,45.44,45.13,45.25,18.341,68500.0,0.0,1.0
1998-07-06,45.19,45.25,45.0,45.19,18.3166,190900.0,0.0,1.0
1998-07-07,45.13,45.25,44.94,45.0,18.2396,59100.0,0.0,1.0
1998-07-08,45.13,45.13,44.88,45.0,18.2396,93300.0,0.0,1.0
1998-07-09,44.75,45.38,44.38,44.38,17.9883,159800.0,0.0,1.0
1998-07-10,44.5,44.88,44.38,44.44,18.0126,115500.0,0.0,1.0
1998-07-13,44.25,44.31,43.69,43.81,17.7573,358800.0,0.0,1.0
1998-07-14,43.81,44.25,43.81,44.0,17.8343,318100.0,0.0,1.0
1998-07-15,43.94,44.13,43.5,44.0,17.8343,204100.0,0.0,1.0
1998-07-16,44.0,44.44,44.0,44.44,18.0126,80200.0,0.0,1.0
1998-07-17,44.31,44.5,44.0,44.06,17.8586,129400.0,0.0,1.0
1998-07-20,44.06,44.5,44.06,44.44,18.0126,205800.0,0.0,1.0
1998-07-21,44.44,44.5,44.06,44.25,17.9356,114300.0,0.0,1.0
1998-07-22,44.25,44.25,43.81,43.94,17.81,169400.0,0.0,1.0
1998-07-23,43.69,43.69,43.13,43.44,17.6073,123800.0,0.0,1.0
1998-07-24,43.63,43.75,42.81,43.0,17.429,169200.0,0.0,1.0
1998-07-27,43.25,43.44,42.69,43.25,17.5303,256700.0,0.0,1.0
1998-07-28,43.25,43.25,42.31,42.5,17.2263,278300.0,0.0,1.0
1998-07-29,42.75,42.75,42.5,42.56,17.2506,406500.0,0.0,1.0
1998-07-30,42.25,42.94,42.25,42.75,17.4492,495100.0,0.3,1.0
1998-07-31,42.75,42.94,42.31,42.75,17.4492,244600.0,0.0,1.0
1998-08-03,42.69,42.88,42.56,42.56,17.3717,165400.0,0.0,1.0
1998-08-04,42.38,42.5,41.38,41.38,16.8901,325200.0,0.0,1.0
1998-08-05,41.38,41.81,40.75,41.19,16.8125,258500.0,0.0,1.0
1998-08-06,41.06,41.94,41.06,41.81,17.0656,133200.0,0.0,1.0
1998-08-07,41.81,42.5,41.81,42.44,17.3227,148900.0,0.0,1.0
1998-08-10,42.19,42.19,41.75,41.88,17.0941,175900.0,0.0,1.0
1998-08-11,41.63,41.75,40.06,41.75,17.0411,191500.0,0.0,1.0
1998-08-12,41.63,42.69,40.06,42.63,17.4003,374900.0,0.0,1.0
1998-08-13,42.56,42.75,40.81,41.44,16.9145,596200.0,0.0,1.0
1998-08-14,41.44,41.69,41.0,41.19,16.8125,275500.0,0.0,1.0
1998-08-17,41.0,42.06,40.88,41.44,16.9145,207200.0,0.0,1.0
1998-08-18,41.06,41.75,41.06,41.38,16.8901,322100.0,0.0,1.0
1998-08-19,41.31,41.31,40.69,40.88,16.686,717200.0,0.0,1.0
1998-08-20,40.5,41.06,40.5,40.63,16.5839,376000.0,0.0,1.0
1998-08-21,40.63,41.44,40.31,41.38,16.8901,197500.0,0.0,1.0
1998-08-24,41.25,42.38,41.25,41.88,17.0941,229800.0,0.0,1.0
1998-08-25,41.88,42.63,41.88,42.25,17.2452,690500.0,0.0,1.0
1998-08-26,42.13,42.88,41.75,42.06,17.1676,580500.0,0.0,1.0
1998-08-27,41.88,42.06,41.44,41.63,16.9921,395900.0,0.0,1.0
1998-08-28,41.63,42.5,41.38,42.31,17.2697,515400.0,0.0,1.0
1998-08-31,42.38,43.75,42.38,43.19,17.6288,433400.0,0.0,1.0
1998-09-01,43.13,43.25,42.0,42.31,17.2697,758000.0,0.0,1.0
1998-09-02,42.56,42.56,41.31,41.31,16.8615,685000.0,0.0,1.0
1998-09-03,40.81,41.31,40.69,41.0,16.735,346900.0,0.0,1.0
1998-09-04,41.25,41.56,40.81,41.5,16.939,215700.0,0.0,1.0
1998-09-08,41.5,41.88,40.81,41.63,16.9921,179300.0,0.0,1.0
