date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,13.38,14.13,13.38,14.13,12.6863,301900.0,0.0,1.0
1998-01-05,14.13,14.25,14.0,14.25,12.794,265700.0,0.0,1.0
1998-01-06,14.0,14.0,13.63,13.88,12.4618,171600.0,0.0,1.0
1998-01-07,13.81,13.88,13.63,13.69,12.2912,92400.0,0.0,1.0
1998-01-08,13.69,13.81,13.5,13.81,12.399,112700.0,0.0,1.0
1998-01-09,13.63,13.75,13.25,13.38,12.0129,233600.0,0.0,1.0
1998-01-12,13.0,13.25,12.63,12.63,11.3395,171200.0,0.0,1.0
1998-01-13,12.63,13.06,12.63,12.94,11.6179,493800.0,0.0,1.0
1998-01-14,12.88,13.0,12.69,12.75,11.4473,300800.0,0.0,1.0
1998-01-15,12.88,13.0,12.75,12.88,11.564,127300.0,0.0,1.0
1998-01-16,12.88,12.88,12.69,12.88,11.564,311700.0,0.0,1.0
1998-01-20,12.88,12.88,12.69,12.81,11.5011,357500.0,0.0,1.0
1998-01-21,12.75,12.88,12.31,12.44,11.1689,198500.0,0.0,1.0
1998-01-22,12.31,12.63,12.25,12.38,11.1151,196600.0,0.0,1.0
1998-01-23,12.38,12.44,12.13,12.25,10.9984,153500.0,0.0,1.0
1998-01-26,12.25,12.38,12.13,12.13,10.8906,55400.0,0.0,1.0
1998-01-27,12.13,12.5,12.13,12.44,11.1689,117300.0,0.0,1.0
1998-01-28,12.44,12.5,12.0,12.16,10.9176,283500.0,0.0,1.0
1998-01-29,12.06,12.25,11.88,12.13,10.8906,286600.0,0.0,1.0
1998-01-30,12.13,12.19,11.56,11.63,10.4417,260400.0,0.0,1.0
1998-02-02,11.63,12.88,11.63,12.63,11.3395,585300.0,0.0,1.0
1998-02-03,12.94,13.38,12.63,13.0,11.6717,156200.0,0.0,1.0
1998-02-04,11.63,11.81,10.5,10.94,9.8222,1089000.0,0.0,1.0
1998-02-05,11.06,11.19,10.5,10.5,9.4272,850700.0,0.0,1.0
1998-02-06,10.75,10.75,9.313,10.0,8.9783,5503400.0,0.0,1.0
1998-02-09,10.13,10.44,9.938,10.44,9.3733,992700.0,0.0,1.0
1998-02-10,10.5,10.94,10.44,10.63,9.5439,536100.0,0.0,1.0
1998-02-11,10.56,10.94,10.5,10.94,9.8222,508900.0,0.0,1.0
1998-02-12,10.88,11.0,10.63,10.94,9.8222,897000.0,0.0,1.0
1998-02-13,11.0,11.06,10.75,10.88,9.7683,866600.0,0.0,1.0
1998-02-17,10.81,11.06,10.63,10.69,9.5978,546000.0,0.0,1.0
1998-02-18,10.63,10.75,10.38,10.69,9.5978,372800.0,0.0,1.0
1998-02-19,10.56,10.94,10.5,10.94,9.8222,670900.0,0.0,1.0
1998-02-20,10.63,10.94,10.56,10.63,9.5439,303900.0,0.0,1.0
1998-02-23,10.63,10.81,10.56,10.75,9.6516,415000.0,0.0,1.0
1998-02-24,10.63,10.88,10.56,10.88,9.7683,176500.0,0.0,1.0
1998-02-25,10.63,10.88,10.63,10.81,9.7055,128200.0,0.0,1.0
1998-02-26,10.75,10.88,10.63,10.81,9.7055,172800.0,0.0,1.0
1998-02-27,10.69,10.88,10.63,10.75,9.6516,229500.0,0.0,1.0
1998-03-02,10.75,10.88,10.44,10.5,9.4272,750700.0,0.0,1.0
1998-03-03,10.38,10.69,10.38,10.63,9.5439,729600.0,0.0,1.0
1998-03-04,10.69,10.75,10.56,10.63,9.5439,359000.0,0.0,1.0
1998-03-05,10.5,10.69,10.44,10.63,9.5439,1399800.0,0.0,1.0
1998-03-06,10.75,10.81,10.63,10.75,9.6516,390300.0,0.0,1.0
1998-03-09,10.69,10.81,10.56,10.63,9.5439,155800.0,0.0,1.0
1998-03-10,10.63,11.06,10.63,11.0,9.8761,465500.0,0.0,1.0
1998-03-11,11.25,11.44,10.88,11.13,9.9928,985600.0,0.0,1.0
1998-03-12,11.13,11.5,11.13,11.31,10.1544,418700.0,0.0,1.0
1998-03-13,11.38,11.63,11.31,11.56,10.3789,152700.0,0.0,1.0
1998-03-16,11.63,11.75,11.44,11.75,10.5494,243200.0,0.0,1.0
1998-03-17,11.81,12.5,11.75,12.38,11.1151,500000.0,0.0,1.0
1998-03-18,12.31,12.94,12.0,12.31,11.0522,566100.0,0.0,1.0
1998-03-19,12.25,12.31,12.0,12.25,10.9984,376100.0,0.0,1.0
1998-03-20,12.25,12.5,12.06,12.31,11.0522,341400.0,0.0,1.0
1998-03-23,12.38,12.38,12.0,12.0,10.7739,433300.0,0.0,1.0
1998-03-24,12.06,12.06,11.56,11.88,10.6662,393600.0,0.0,1.0
1998-03-25,11.81,12.0,11.56,11.63,10.4417,137900.0,0.0,1.0
1998-03-26,11.75,11.94,11.5,11.94,10.72,102700.0,0.0,1.0
1998-03-27,12.0,12.0,11.56,11.75,10.5494,107800.0,0.0,1.0
1998-03-30,11.69,11.88,11.63,11.63,10.4417,104300.0,0.0,1.0
1998-03-31,11.63,12.25,11.63,12.25,10.9984,182700.0,0.0,1.0
1998-04-01,12.19,12.69,12.19,12.63,11.3395,650500.0,0.0,1.0
1998-04-02,12.63,13.0,12.56,12.69,11.3934,715900.0,0.0,1.0
1998-04-03,12.69,12.75,12.56,12.69,11.3934,263000.0,0.0,1.0
