date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,14.38,14.38,13.88,14.06,12.3897,38900.0,0.0,1.0
1998-01-05,14.06,14.06,13.81,13.88,12.2311,95700.0,0.0,1.0
1998-01-06,14.0,14.0,13.81,13.88,12.2311,55700.0,0.0,1.0
1998-01-07,14.0,14.0,13.56,13.69,12.0637,35000.0,0.0,1.0
1998-01-08,13.69,13.69,13.25,13.25,11.6759,8300.0,0.0,1.0
1998-01-09,13.13,13.13,12.5,12.56,11.0679,34500.0,0.0,1.0
1998-01-12,12.69,12.81,12.56,12.81,11.2882,27400.0,0.0,1.0
1998-01-13,12.88,12.88,12.38,12.56,11.0679,17800.0,0.0,1.0
1998-01-14,12.5,12.69,12.5,12.63,11.1296,8700.0,0.0,1.0
1998-01-15,12.75,12.75,11.81,11.88,10.4687,41200.0,0.0,1.0
1998-01-16,11.75,12.31,11.75,12.31,10.8476,76900.0,0.0,1.0
1998-01-20,12.19,12.19,11.56,11.69,10.3013,35800.0,0.0,1.0
1998-01-21,11.69,11.88,11.69,11.88,10.4687,29500.0,0.0,1.0
1998-01-22,11.88,12.38,11.88,11.94,10.5216,67900.0,0.0,1.0
1998-01-23,11.88,12.0,11.88,12.0,10.5744,12300.0,0.0,1.0
1998-01-26,11.88,12.0,11.56,11.75,10.3541,12200.0,0.0,1.0
1998-01-27,11.88,12.0,11.81,11.81,10.407,8900.0,0.0,1.0
1998-01-28,11.94,12.31,11.94,12.25,10.7947,85100.0,0.0,1.0
1998-01-29,12.25,12.5,12.13,12.13,10.689,28100.0,0.0,1.0
1998-01-30,12.13,12.19,11.94,12.06,10.6273,18800.0,0.0,1.0
1998-02-02,12.19,12.25,11.69,11.69,10.3013,38000.0,0.0,1.0
1998-02-03,11.56,12.5,11.5,12.5,11.015,128800.0,0.0,1.0
1998-02-04,12.38,12.38,12.06,12.06,10.6273,48900.0,0.0,1.0
1998-02-05,12.0,12.31,12.0,12.25,10.7947,62500.0,0.0,1.0
1998-02-06,12.13,12.31,12.13,12.25,10.7947,30800.0,0.0,1.0
1998-02-09,12.38,12.5,12.31,12.44,10.9622,46800.0,0.0,1.0
1998-02-10,12.44,12.44,11.88,12.25,10.7947,399900.0,0.0,1.0
1998-02-11,12.25,12.56,12.19,12.56,11.0679,45000.0,0.0,1.0
1998-02-12,12.5,12.88,12.5,12.81,11.2882,44600.0,0.0,1.0
1998-02-13,12.81,12.81,12.56,12.69,11.1825,19500.0,0.0,1.0
1998-02-17,12.75,12.75,12.38,12.75,11.2353,40800.0,0.0,1.0
1998-02-18,12.88,13.0,12.69,12.94,11.4028,24900.0,0.0,1.0
1998-02-19,12.81,13.38,12.81,13.38,11.7905,19400.0,0.0,1.0
1998-02-20,13.25,13.25,12.81,12.81,11.2882,159400.0,0.0,1.0
1998-02-23,12.75,13.0,12.5,13.0,11.4556,17300.0,0.0,1.0
1998-02-24,12.88,12.88,12.5,12.88,11.3499,21500.0,0.0,1.0
1998-02-25,12.88,13.06,12.69,12.88,11.3499,13900.0,0.0,1.0
1998-02-26,12.81,13.06,12.69,13.06,11.5085,15200.0,0.0,1.0
1998-02-27,13.06,13.25,12.88,13.0,11.4556,42900.0,0.0,1.0
1998-03-02,13.13,13.13,12.63,12.88,11.3499,39800.0,0.0,1.0
1998-03-03,12.81,13.0,12.75,12.94,11.4028,39700.0,0.0,1.0
1998-03-04,12.94,12.94,12.44,12.75,11.2353,43100.0,0.0,1.0
1998-03-05,12.63,12.75,12.38,12.69,11.1825,223800.0,0.0,1.0
1998-03-06,12.69,12.69,12.5,12.56,11.0679,82900.0,0.0,1.0
1998-03-09,12.5,12.5,12.25,12.38,10.9093,47100.0,0.0,1.0
1998-03-10,12.38,12.44,12.25,12.38,10.9093,46800.0,0.0,1.0
1998-03-11,12.25,12.31,11.63,11.81,10.407,38000.0,0.0,1.0
1998-03-12,11.81,12.0,11.75,11.81,10.4401,20500.0,0.0375,1.0
1998-03-13,11.75,11.75,11.63,11.63,10.2809,29600.0,0.0,1.0
1998-03-16,11.75,11.88,11.63,11.75,10.387,33900.0,0.0,1.0
1998-03-17,11.75,11.75,11.63,11.63,10.2809,20200.0,0.0,1.0
1998-03-18,11.63,11.75,11.19,11.25,9.945,113300.0,0.0,1.0
1998-03-19,11.25,11.5,11.19,11.5,10.166,86100.0,0.0,1.0
1998-03-20,11.38,11.69,11.31,11.63,10.2809,114600.0,0.0,1.0
1998-03-23,11.75,12.0,11.69,12.0,10.608,27100.0,0.0,1.0
1998-03-24,12.13,12.19,11.94,12.19,10.776,13100.0,0.0,1.0
1998-03-25,12.25,13.0,12.25,12.94,11.439,39700.0,0.0,1.0
1998-03-26,12.94,12.94,12.81,12.88,11.3859,39300.0,0.0,1.0
1998-03-27,12.94,13.0,12.56,12.56,11.1031,20700.0,0.0,1.0
1998-03-30,12.63,12.63,12.31,12.44,10.997,10800.0,0.0,1.0
1998-03-31,12.44,12.5,12.31,12.31,10.8821,22300.0,0.0,1.0
1998-04-01,12.44,12.94,12.38,12.63,11.1649,66600.0,0.0,1.0
1998-04-02,12.88,12.94,12.69,12.75,11.271,17700.0,0.0,1.0
1998-04-03,12.88,12.94,12.56,12.88,11.3859,25000.0,0.0,1.0
1998-04-06,12.94,13.0,12.69,12.94,11.439,27700.0,0.0,1.0
1998-04-07,12.94,13.13,12.88,13.13,11.6069,30700.0,0.0,1.0
1998-04-08,13.06,13.06,12.56,12.69,11.218,41500.0,0.0,1.0
1998-04-09,12.75,13.0,12.38,12.5,11.05,32100.0,0.0,1.0
1998-04-13,12.5,12.5,12.31,12.38,10.9439,6600.0,0.0,1.0
1998-04-14,12.38,12.38,11.75,11.94,10.555,35400.0,0.0,1.0
1998-04-15,11.69,12.19,11.69,11.88,10.5019,261600.0,0.0,1.0
1998-04-16,11.75,12.0,11.69,12.0,10.608,25700.0,0.0,1.0
1998-04-17,11.88,11.94,11.75,11.94,10.555,40100.0,0.0,1.0
1998-04-20,11.94,11.94,11.75,11.75,10.387,7400.0,0.0,1.0
1998-04-21,11.75,11.88,11.63,11.75,10.387,25700.0,0.0,1.0
1998-04-22,11.75,11.75,11.63,11.69,10.334,26100.0,0.0,1.0
1998-04-23,11.69,11.75,11.63,11.69,10.334,14600.0,0.0,1.0
1998-04-24,11.63,11.75,11.63,11.63,10.2809,22000.0,0.0,1.0
1998-04-27,11.75,11.75,11.38,11.63,10.2809,27500.0,0.0,1.0
1998-04-28,11.63,11.88,11.63,11.75,10.387,57900.0,0.0,1.0
1998-04-29,11.75,12.0,11.75,11.94,10.555,75000.0,0.0,1.0
1998-04-30,12.0,12.06,11.5,11.69,10.334,51400.0,0.0,1.0
1998-05-01,11.63,12.63,11.63,12.5,11.05,359400.0,0.0,1.0
1998-05-04,12.56,12.69,12.5,12.63,11.1649,279800.0,0.0,1.0
1998-05-05,12.75,12.75,12.38,12.38,10.9439,124600.0,0.0,1.0
1998-05-06,12.31,12.75,12.31,12.69,11.218,66400.0,0.0,1.0
1998-05-07,12.69,12.88,12.5,12.69,11.218,78700.0,0.0,1.0
1998-05-08,12.63,12.94,12.13,12.31,10.8821,219000.0,0.0,1.0
1998-05-11,12.44,12.63,12.0,12.25,10.829,282900.0,0.0,1.0
1998-05-12,12.31,12.38,12.0,12.25,10.829,415700.0,0.0,1.0
1998-05-13,12.25,12.5,12.22,12.5,11.05,90700.0,0.0,1.0
1998-05-14,12.5,12.5,12.44,12.5,11.05,18100.0,0.0,1.0
1998-05-15,12.44,12.75,12.44,12.69,11.218,43200.0,0.0,1.0
1998-05-18,12.81,12.94,12.69,12.81,11.3241,47500.0,0.0,1.0
1998-05-19,12.94,13.19,12.94,13.19,11.66,23900.0,0.0,1.0
1998-05-20,13.5,13.5,13.5,13.5,11.934,57400.0,0.0,1.0
1998-05-21,13.5,14.0,13.38,13.75,12.155,100300.0,0.0,1.0
1998-05-22,13.75,14.0,13.63,14.0,12.376,52000.0,0.0,1.0
1998-05-26,13.94,14.13,13.5,13.5,11.934,563400.0,0.0,1.0
1998-05-27,13.44,13.5,13.31,13.38,11.8279,13600.0,0.0,1.0
1998-05-28,13.19,13.19,12.94,13.0,11.492,31600.0,0.0,1.0
1998-05-29,12.94,13.13,12.88,13.0,11.492,113200.0,0.0,1.0
1998-06-01,13.0,13.0,12.88,12.94,11.439,18300.0,0.0,1.0
1998-06-02,12.94,13.06,12.81,13.0,11.492,22700.0,0.0,1.0
1998-06-03,13.0,13.25,13.0,13.25,11.7462,15600.0,0.0375,1.0
1998-06-04,13.19,13.38,13.19,13.38,11.8614,8200.0,0.0,1.0
1998-06-05,13.44,13.44,13.06,13.19,11.693,10800.0,0.0,1.0
1998-06-08,13.19,13.5,13.19,13.5,11.9678,21100.0,0.0,1.0
1998-06-09,13.5,13.69,13.38,13.63,12.083,35200.0,0.0,1.0
1998-06-10,13.5,13.5,13.25,13.31,11.7994,25700.0,0.0,1.0
1998-06-11,13.25,13.25,13.06,13.25,11.7462,34600.0,0.0,1.0
1998-06-12,13.0,13.13,13.0,13.0,11.5245,49400.0,0.0,1.0
1998-06-15,12.88,13.13,12.81,13.0,11.5245,45200.0,0.0,1.0
1998-06-16,13.0,13.25,12.94,13.13,11.6398,25900.0,0.0,1.0
1998-06-17,13.25,13.25,13.0,13.06,11.5777,54000.0,0.0,1.0
1998-06-18,13.06,13.19,12.81,13.0,11.5245,13800.0,0.0,1.0
1998-06-19,13.13,13.19,12.88,12.88,11.4182,26000.0,0.0,1.0
1998-06-22,13.0,13.19,13.0,13.19,11.693,16900.0,0.0,1.0
1998-06-23,13.13,13.5,13.13,13.5,11.9678,21500.0,0.0,1.0
1998-06-24,13.5,14.88,13.5,14.69,13.0227,137700.0,0.0,1.0
1998-06-25,14.5,14.88,14.5,14.63,12.9695,73500.0,0.0,1.0
1998-06-26,14.56,14.75,14.56,14.75,13.0759,63000.0,0.0,1.0
1998-06-29,14.75,15.0,14.13,14.38,12.7479,60800.0,0.0,1.0
1998-06-30,14.25,14.75,14.25,14.75,13.0759,180500.0,0.0,1.0
1998-07-01,14.63,14.63,14.13,14.13,12.5263,669000.0,0.0,1.0
1998-07-02,14.13,14.63,14.13,14.44,12.8011,44500.0,0.0,1.0
1998-07-06,14.31,14.31,14.13,14.25,12.6327,26900.0,0.0,1.0
1998-07-07,14.13,14.13,13.94,14.06,12.4642,26500.0,0.0,1.0
1998-07-08,13.94,14.13,13.94,13.94,12.3579,17300.0,0.0,1.0
1998-07-09,14.06,14.25,14.0,14.19,12.5795,10900.0,0.0,1.0
1998-07-10,14.06,14.38,14.06,14.13,12.5263,41300.0,0.0,1.0
1998-07-13,14.19,14.19,14.06,14.19,12.5795,45600.0,0.0,1.0
1998-07-14,14.06,14.31,14.06,14.19,12.5795,36900.0,0.0,1.0
1998-07-15,14.31,14.5,14.19,14.44,12.8011,29400.0,0.0,1.0
1998-07-16,14.44,14.5,14.31,14.5,12.8543,264900.0,0.0,1.0
1998-07-17,14.5,15.0,14.5,14.56,12.9075,186200.0,0.0,1.0
1998-07-20,14.44,15.13,14.44,15.0,13.2976,110700.0,0.0,1.0
1998-07-21,14.88,15.0,14.63,14.75,13.0759,50400.0,0.0,1.0
1998-07-22,14.69,14.69,14.25,14.25,12.6327,147300.0,0.0,1.0
1998-07-23,14.31,14.31,13.5,13.5,11.9678,43400.0,0.0,1.0
1998-07-24,13.5,13.5,12.94,12.94,11.4714,133200.0,0.0,1.0
1998-07-27,12.94,13.0,12.56,12.88,11.4182,113000.0,0.0,1.0
1998-07-28,12.94,13.06,12.88,12.94,11.4714,32600.0,0.0,1.0
1998-07-29,13.0,13.44,13.0,13.38,11.8614,103900.0,0.0,1.0
1998-07-30,13.44,14.25,13.44,14.25,12.6327,197100.0,0.0,1.0
1998-07-31,14.25,14.31,13.75,13.75,12.1894,96500.0,0.0,1.0
1998-08-03,13.75,13.75,13.38,13.38,11.8614,16400.0,0.0,1.0
1998-08-04,13.38,13.38,12.88,12.94,11.4714,34600.0,0.0,1.0
1998-08-05,13.06,13.19,12.75,12.94,11.4714,56200.0,0.0,1.0
1998-08-06,12.94,12.94,12.63,12.75,11.3029,63400.0,0.0,1.0
1998-08-07,12.75,12.81,12.69,12.69,11.2497,32600.0,0.0,1.0
1998-08-10,12.81,12.81,12.56,12.56,11.1345,39900.0,0.0,1.0
1998-08-11,12.44,12.44,11.88,12.0,10.638,117400.0,0.0,1.0
1998-08-12,12.44,12.44,11.88,12.25,10.8597,18600.0,0.0,1.0
1998-08-13,12.25,12.38,12.19,12.31,10.9129,21700.0,0.0,1.0
1998-08-14,12.38,12.44,12.25,12.38,10.9749,61100.0,0.0,1.0
1998-08-17,12.5,12.56,12.25,12.44,11.0281,225800.0,0.0,1.0
1998-08-18,12.38,13.5,12.38,13.06,11.5777,50200.0,0.0,1.0
1998-08-19,13.0,13.0,12.44,12.5,11.0813,256900.0,0.0,1.0
1998-08-20,12.5,12.56,12.25,12.25,10.8597,110600.0,0.0,1.0
1998-08-21,12.38,12.38,11.75,11.88,10.5317,28100.0,0.0,1.0
1998-08-24,12.0,12.06,12.0,12.06,10.6912,74600.0,0.0,1.0
1998-08-25,12.0,12.25,11.81,12.0,10.638,280100.0,0.0,1.0
1998-08-26,12.0,12.25,11.81,11.81,10.5028,50000.0,0.0375,1.0
1998-08-27,11.69,11.69,10.88,11.0,9.7825,36700.0,0.0,1.0
1998-08-28,11.0,11.0,10.56,10.88,9.6758,26100.0,0.0,1.0
1998-08-31,10.94,10.94,9.438,9.438,8.3934,42900.0,0.0,1.0
1998-09-01,9.625,9.688,8.938,9.0,8.0039,72900.0,0.0,1.0
1998-09-02,9.0,9.938,9.0,9.813,8.7269,42100.0,0.0,1.0
1998-09-03,9.688,10.13,9.625,9.813,8.7269,33900.0,0.0,1.0
1998-09-04,9.75,9.875,9.688,9.75,8.6709,24600.0,0.0,1.0
1998-09-08,9.875,10.13,9.875,9.938,8.838,13900.0,0.0,1.0
1998-09-09,10.06,10.13,9.938,10.0,8.8932,33700.0,0.0,1.0
1998-09-10,9.75,10.0,9.625,9.625,8.5597,34400.0,0.0,1.0
1998-09-11,9.625,9.938,9.5,9.938,8.838,36300.0,0.0,1.0
1998-09-14,10.0,10.19,9.875,10.19,9.0622,49500.0,0.0,1.0
1998-09-15,10.06,10.5,10.06,10.31,9.1689,35200.0,0.0,1.0
1998-09-16,10.31,10.56,10.31,10.38,9.2311,106300.0,0.0,1.0
1998-09-17,10.25,10.25,10.0,10.19,9.0622,89400.0,0.0,1.0
1998-09-18,10.44,10.69,10.31,10.69,9.5068,24100.0,0.0,1.0
1998-09-21,10.69,10.69,10.63,10.69,9.5068,16700.0,0.0,1.0
1998-09-22,10.75,11.0,10.38,10.75,9.5602,34500.0,0.0,1.0
1998-09-23,10.88,10.88,10.38,10.38,9.2311,25900.0,0.0,1.0
1998-09-24,10.38,10.5,10.0,10.31,9.1689,42900.0,0.0,1.0
1998-09-25,10.19,10.25,9.75,9.938,8.838,45300.0,0.0,1.0
1998-09-28,10.06,10.13,9.875,10.0,8.8932,30200.0,0.0,1.0
1998-09-29,10.13,10.19,9.75,9.75,8.6709,53700.0,0.0,1.0
1998-09-30,9.625,9.625,9.375,9.5,8.4485,34700.0,0.0,1.0
1998-10-01,9.375,9.5,8.875,8.875,7.8927,181600.0,0.0,1.0
1998-10-02,8.875,9.188,8.875,8.875,7.8927,47800.0,0.0,1.0
1998-10-05,8.625,8.75,7.75,7.875,7.0034,177400.0,0.0,1.0
1998-10-06,8.0,8.188,7.813,7.813,6.9482,85000.0,0.0,1.0
1998-10-07,7.75,7.75,7.25,7.313,6.5036,43900.0,0.0,1.0
1998-10-08,7.25,7.375,6.75,6.75,6.0029,134300.0,0.0,1.0
