date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2015-07-20,0,41.46,42.55,39.8,40.47,40.47,52286509.0,0.0,1.0
2015-07-21,1,41.08,41.11,39.12,39.35,39.35,32954573.0,0.0,1.0
2015-07-22,2,39.35,39.7178,38.1,38.39,38.39,25380859.0,0.0,1.0
2015-07-23,3,38.74,38.75,36.93,37.01,37.01,19250154.0,0.0,1.0
2015-07-24,4,37.71,38.0,36.91,37.0,37.0,14274305.0,0.0,1.0
2015-07-27,5,36.78,37.38,36.22,36.39,36.39,16179913.0,0.0,1.0
2015-07-28,6,37.19,38.0,36.8296,37.6,37.6,18986016.0,0.0,1.0
2015-07-29,7,38.03,38.1,37.62,37.95,37.95,11788439.0,0.0,1.0
2015-07-30,8,38.04,39.01,37.715,38.45,38.45,13845091.0,0.0,1.0
2015-07-31,9,39.14,39.2,38.2199,38.7,38.7,12480580.0,0.0,1.0
2015-08-03,10,39.25,39.88,38.9,39.39,39.39,15126574.0,0.0,1.0
2015-08-04,11,39.91,39.91,38.43,38.95,38.95,10992217.0,0.0,1.0
2015-08-05,12,39.7,39.88,39.17,39.27,39.27,9349565.0,0.0,1.0
2015-08-06,13,39.63,39.74,38.55,38.85,38.85,7324116.0,0.0,1.0
2015-08-07,14,39.04,39.23,38.6,39.13,39.13,8331310.0,0.0,1.0
2015-08-10,15,39.43,39.69,38.7701,39.05,39.05,7998929.0,0.0,1.0
2015-08-11,16,38.93,39.28,38.72,38.85,38.85,8184004.0,0.0,1.0
2015-08-12,17,38.55,38.58,37.01,38.19,38.19,21366670.0,0.0,1.0
2015-08-13,18,38.4,38.49,37.44,37.62,37.62,7863525.0,0.0,1.0
2015-08-14,19,37.49,38.18,37.38,38.14,38.14,6271143.0,0.0,1.0
2015-08-17,20,38.3,38.75,37.7,38.73,38.73,4931711.0,0.0,1.0
2015-08-18,21,39.0,39.0,37.87,37.99,37.99,4678847.0,0.0,1.0
2015-08-19,22,37.87,38.1,37.03,37.19,37.19,6923402.0,0.0,1.0
2015-08-20,23,36.85,37.34,35.88,35.98,35.98,10645667.0,0.0,1.0
