date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,27.63,27.75,27.63,27.75,9.4206,12500.0,0.0,1.0
1998-01-05,1,27.69,27.81,27.63,27.63,9.3799,87300.0,0.0,1.0
1998-01-06,2,27.81,27.81,27.5,27.5,9.3357,31000.0,0.0,1.0
1998-01-07,3,27.5,27.5,27.38,27.5,9.3357,4000.0,0.0,1.0
1998-01-08,4,27.38,27.5,27.25,27.25,9.2509,158400.0,0.0,1.0
1998-01-09,5,27.25,27.25,26.63,26.75,9.0811,53500.0,0.0,1.0
1998-01-12,6,26.38,26.69,26.38,26.56,9.0166,13300.0,0.0,1.0
1998-01-13,7,26.69,27.0,26.63,26.88,9.1253,40200.0,0.0,1.0
1998-01-14,8,27.0,27.13,26.88,27.0,9.166,6800.0,0.0,1.0
1998-01-15,9,27.0,27.06,26.88,26.88,9.1253,23900.0,0.0,1.0
1998-01-16,10,27.0,27.13,27.0,27.0,9.166,32800.0,0.0,1.0
1998-01-20,11,27.19,27.19,27.0,27.13,9.2101,16400.0,0.0,1.0
1998-01-21,12,27.13,27.13,26.88,27.06,9.1864,89700.0,0.0,1.0
1998-01-22,13,27.0,27.0,26.56,26.94,9.1456,17700.0,0.0,1.0
1998-01-23,14,26.94,27.0,26.94,26.94,9.1456,10100.0,0.0,1.0
1998-01-26,15,27.0,27.0,26.75,27.0,9.166,10700.0,0.0,1.0
1998-01-27,16,26.94,27.13,26.81,27.13,9.2101,51400.0,0.0,1.0
1998-01-28,17,27.19,27.19,27.13,27.13,9.2101,84400.0,0.0,1.0
1998-01-29,18,27.13,27.13,27.0,27.06,9.1864,17400.0,0.0,1.0
1998-01-30,19,27.13,27.25,27.0,27.19,9.2305,94800.0,0.0,1.0
1998-02-02,20,27.25,27.25,27.13,27.13,9.2101,39500.0,0.0,1.0
1998-02-03,21,27.0,27.25,26.88,27.25,9.2509,32200.0,0.0,1.0
1998-02-04,22,27.25,27.5,27.13,27.5,9.3357,35500.0,0.0,1.0
1998-02-05,23,27.5,27.63,27.13,27.38,9.295,42100.0,0.0,1.0
1998-02-06,24,27.38,27.63,27.31,27.63,9.3799,166100.0,0.0,1.0
1998-02-09,25,27.63,27.63,27.5,27.63,9.3799,6800.0,0.0,1.0
1998-02-10,26,27.0,27.25,27.0,27.0,9.3154,11100.0,0.44,1.0
1998-02-11,27,27.0,27.19,27.0,27.06,9.3361,17800.0,0.0,1.0
1998-02-12,28,27.0,27.0,26.75,26.81,9.2498,65100.0,0.0,1.0
1998-02-13,29,26.63,26.69,26.5,26.5,9.1429,50900.0,0.0,1.0
1998-02-17,30,26.5,26.5,26.13,26.38,9.1015,5700.0,0.0,1.0
1998-02-18,31,26.25,26.38,26.25,26.38,9.1015,7800.0,0.0,1.0
1998-02-19,32,26.44,26.44,26.25,26.25,9.0566,5400.0,0.0,1.0
1998-02-20,33,26.25,26.44,26.19,26.19,9.0359,42700.0,0.0,1.0
1998-02-23,34,26.44,26.44,26.19,26.25,9.0566,70600.0,0.0,1.0
1998-02-24,35,26.38,26.38,26.25,26.31,9.0773,41000.0,0.0,1.0
1998-02-25,36,26.31,26.38,26.19,26.31,9.0773,44500.0,0.0,1.0
1998-02-26,37,26.25,26.5,26.25,26.31,9.0773,42300.0,0.0,1.0
1998-02-27,38,26.25,26.25,26.13,26.19,9.0359,26800.0,0.0,1.0
1998-03-02,39,26.25,26.25,26.0,26.13,9.0152,30400.0,0.0,1.0
1998-03-03,40,26.13,26.44,26.13,26.38,9.1015,15000.0,0.0,1.0
1998-03-04,41,26.25,26.5,26.25,26.38,9.1015,44800.0,0.0,1.0
1998-03-05,42,26.31,26.31,26.0,26.19,9.0359,14000.0,0.0,1.0
1998-03-06,43,26.19,26.19,26.19,26.19,9.0359,300.0,0.0,1.0
1998-03-09,44,26.13,26.13,26.0,26.06,8.9911,4500.0,0.0,1.0
1998-03-10,45,26.0,26.0,25.69,25.81,8.9048,17600.0,0.0,1.0
1998-03-11,46,25.88,25.88,25.5,25.63,8.8427,14800.0,0.0,1.0
1998-03-12,47,25.88,25.88,25.56,25.56,8.8186,40700.0,0.0,1.0
1998-03-13,48,25.69,25.69,25.31,25.44,8.7771,45100.0,0.0,1.0
