date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,8.75,8.875,8.5,8.875,8.875,26700.0,0.0,1.0
1998-01-05,1,9.0,9.375,8.875,9.0,9.0,44800.0,0.0,1.0
1998-01-06,2,9.0,9.125,8.25,8.5,8.5,60600.0,0.0,1.0
1998-01-07,3,8.5,8.5,8.125,8.25,8.25,83700.0,0.0,1.0
1998-01-08,4,8.25,8.625,8.25,8.25,8.25,16200.0,0.0,1.0
1998-01-09,5,8.25,8.75,8.25,8.687999999999999,8.687999999999999,32000.0,0.0,1.0
1998-01-12,6,8.25,8.5,8.25,8.375,8.375,7700.0,0.0,1.0
1998-01-13,7,8.875,8.875,8.375,8.375,8.375,35300.0,0.0,1.0
1998-01-14,8,8.5,8.875,8.375,8.562999999999999,8.562999999999999,104600.0,0.0,1.0
1998-01-15,9,8.5,8.75,8.375,8.375,8.375,30100.0,0.0,1.0
1998-01-16,10,8.625,8.625,8.0,8.125,8.125,101800.0,0.0,1.0
1998-01-20,11,8.125,8.5,8.125,8.5,8.5,48200.0,0.0,1.0
1998-01-21,12,8.0,8.375,7.5,7.875,7.875,126900.0,0.0,1.0
1998-01-22,13,7.813,8.0,7.813,7.938,7.938,18800.0,0.0,1.0
1998-01-23,14,8.0,8.0,7.875,7.938,7.938,10900.0,0.0,1.0
1998-01-26,15,8.125,8.125,7.5,7.5,7.5,30900.0,0.0,1.0
1998-01-27,16,7.875,7.875,7.25,7.438,7.438,115800.0,0.0,1.0
1998-01-28,17,7.375,7.5,7.125,7.125,7.125,88100.0,0.0,1.0
1998-01-29,18,7.25,7.25,7.0,7.0,7.0,179500.0,0.0,1.0
1998-01-30,19,7.0,7.375,7.0,7.0,7.0,69300.0,0.0,1.0
1998-02-02,20,7.125,7.625,7.125,7.375,7.375,130800.0,0.0,1.0
1998-02-03,21,7.5,7.625,7.25,7.5,7.5,97100.0,0.0,1.0
1998-02-04,22,7.625,7.75,7.375,7.5,7.5,83500.0,0.0,1.0
1998-02-05,23,7.5,7.688,7.125,7.125,7.125,42200.0,0.0,1.0
1998-02-06,24,7.375,7.375,7.125,7.125,7.125,104700.0,0.0,1.0
1998-02-09,25,7.125,7.375,7.125,7.375,7.375,151000.0,0.0,1.0
1998-02-10,26,7.25,7.625,7.25,7.5,7.5,62200.0,0.0,1.0
1998-02-11,27,7.625,9.5,7.375,9.5,9.5,269000.0,0.0,1.0
1998-02-12,28,9.5,9.5,8.5,8.937999999999997,8.937999999999997,111900.0,0.0,1.0
1998-02-13,29,8.812999999999997,9.125,8.5,8.562999999999999,8.562999999999999,108800.0,0.0,1.0
1998-02-17,30,8.875,9.0,8.5,8.812999999999997,8.812999999999997,29100.0,0.0,1.0
1998-02-18,31,8.625,9.0,8.625,8.687999999999999,8.687999999999999,32400.0,0.0,1.0
1998-02-19,32,8.562999999999999,9.0,8.562999999999999,8.875,8.875,29000.0,0.0,1.0
1998-02-20,33,8.625,9.0,8.625,8.625,8.625,44800.0,0.0,1.0
