date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,42.0,42.81,42.0,42.56,18.3201,270283.0,0.0,1.0
1998-01-05,1,42.5,43.5,42.25,43.5,18.7247,274332.0,0.0,1.0
1998-01-06,2,43.5,43.5,42.13,42.13,18.135,269393.0,0.0,1.0
1998-01-07,3,41.88,42.0,40.88,41.25,17.7562,282267.0,0.0,1.0
1998-01-08,4,41.38,41.38,39.5,40.44,17.4075,360972.0,0.0,1.0
1998-01-09,5,40.5,40.63,39.0,39.75,17.1105,372227.0,0.0,1.0
1998-01-12,6,38.88,39.63,38.5,39.13,16.8436,357247.0,0.0,1.0
1998-01-13,7,39.5,40.0,38.13,38.13,16.4132,290931.0,0.0,1.0
1998-01-14,8,38.63,40.13,38.38,39.63,17.0588,421943.0,0.0,1.0
1998-01-15,9,40.13,40.25,39.25,39.56,17.0287,180729.0,0.0,1.0
1998-01-16,10,39.75,40.13,39.25,40.13,17.2741,421862.0,0.0,1.0
1998-01-20,11,40.38,40.38,39.63,40.0,17.2181,94332.0,0.0,1.0
1998-01-21,12,40.13,40.13,39.38,39.81,17.1363,165425.0,0.0,1.0
1998-01-22,13,39.75,39.88,39.44,39.63,17.0588,77895.0,0.0,1.0
1998-01-23,14,39.88,40.0,38.25,38.63,16.6284,208988.0,0.0,1.0
1998-01-26,15,38.75,38.88,38.38,38.78,16.6929,173684.0,0.0,1.0
1998-01-27,16,38.5,39.25,38.5,39.06,16.8135,110688.0,0.0,1.0
1998-01-28,17,39.0,39.75,39.0,39.75,17.1105,129717.0,0.0,1.0
1998-01-29,18,39.75,40.38,39.25,39.5,17.0029,212470.0,0.0,1.0
1998-01-30,19,39.63,40.69,39.13,39.13,16.8436,287206.0,0.0,1.0
1998-02-02,20,39.5,40.94,39.38,40.5,17.4333,206316.0,0.0,1.0
1998-02-03,21,40.75,41.13,40.13,40.88,17.5969,244777.0,0.0,1.0
1998-02-04,22,41.13,41.13,40.75,41.13,17.7045,88016.0,0.0,1.0
1998-02-05,23,41.13,41.25,40.5,41.19,17.7303,98704.0,0.0,1.0
1998-02-06,24,41.5,41.75,40.5,40.5,17.4333,220405.0,0.0,1.0
1998-02-09,25,40.0,40.5,38.88,39.13,16.8436,445749.0,0.0,1.0
1998-02-10,26,39.38,40.0,39.25,39.56,17.0287,439190.0,0.0,1.0
1998-02-11,27,39.63,39.63,39.0,39.0,16.7876,389312.0,0.0,1.0
1998-02-12,28,39.0,39.25,38.0,38.44,16.5466,479109.0,0.0,1.0
1998-02-13,29,38.25,38.5,38.0,38.0,16.3572,324534.0,0.0,1.0
1998-02-17,30,38.19,38.44,37.75,37.94,16.3314,525182.0,0.0,1.0
1998-02-18,31,38.0,38.75,37.88,38.63,16.6284,371579.0,0.0,1.0
1998-02-19,32,38.81,38.81,38.38,38.56,16.5982,219676.0,0.0,1.0
1998-02-20,33,38.5,39.25,38.44,39.06,16.8135,1259514.0,0.0,1.0
1998-02-23,34,39.06,39.75,39.0,39.06,16.8135,516923.0,0.0,1.0
1998-02-24,35,38.94,39.75,38.88,39.63,17.0588,306964.0,0.0,1.0
1998-02-25,36,39.88,40.0,39.38,39.88,17.1664,385344.0,0.0,1.0
1998-02-26,37,40.0,40.0,39.5,39.75,17.1105,221457.0,0.0,1.0
1998-02-27,38,39.63,40.0,39.38,39.75,17.1105,218057.0,0.0,1.0
1998-03-02,39,40.0,40.19,39.75,39.97,17.2052,463239.0,0.0,1.0
1998-03-03,40,40.0,41.25,39.75,41.19,17.7303,620162.0,0.0,1.0
1998-03-04,41,41.13,41.25,40.38,40.75,17.5409,262105.0,0.0,1.0
1998-03-05,42,40.38,40.88,40.13,40.75,17.5409,304534.0,0.0,1.0
1998-03-06,43,40.38,41.25,40.38,41.25,17.7562,871984.0,0.0,1.0
1998-03-09,44,41.06,41.19,40.5,40.75,17.5409,175385.0,0.0,1.0
1998-03-10,45,41.0,41.31,40.69,41.25,17.7562,385020.0,0.0,1.0
1998-03-11,46,41.25,41.25,40.88,41.06,17.6744,239595.0,0.0,1.0
1998-03-12,47,40.75,41.19,40.75,40.88,17.5969,291741.0,0.0,1.0
1998-03-13,48,41.0,41.25,40.5,40.75,17.5409,212227.0,0.0,1.0
1998-03-16,49,40.88,41.75,40.69,41.63,17.9197,362348.0,0.0,1.0
1998-03-17,50,41.5,41.75,41.19,41.63,17.9197,519919.0,0.0,1.0
1998-03-18,51,41.38,41.5,41.25,41.5,17.9628,231903.0,0.23,1.0
