date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,28.31,29.0,27.81,29.0,12.5045,70200.0,0.0,1.0
1998-01-05,1,29.0,29.0,27.75,27.75,11.9656,41800.0,0.0,1.0
1998-01-06,2,27.5,27.5,25.81,26.31,11.3446,54600.0,0.0,1.0
1998-01-07,3,26.25,27.94,26.25,27.94,12.0734,45200.0,0.06,1.0
1998-01-08,4,27.94,29.0,27.94,28.13,12.1555,93700.0,0.0,1.0
1998-01-09,5,27.5,27.56,25.31,25.63,11.0752,74500.0,0.0,1.0
1998-01-12,6,25.31,26.0,25.25,25.31,10.9369,33900.0,0.0,1.0
1998-01-13,7,25.44,26.13,25.19,25.81,11.1529,54000.0,0.0,1.0
1998-01-14,8,25.94,27.75,25.94,27.69,11.9653,59200.0,0.0,1.0
1998-01-15,9,27.5,27.75,27.0,27.06,11.6931,32700.0,0.0,1.0
1998-01-16,10,27.31,27.5,27.0,27.25,11.7752,130800.0,0.0,1.0
1998-01-20,11,27.0,27.25,27.0,27.19,11.7493,67700.0,0.0,1.0
1998-01-21,12,27.19,27.25,27.0,27.19,11.7493,25100.0,0.0,1.0
1998-01-22,13,27.19,27.25,27.13,27.13,11.7233,38400.0,0.0,1.0
1998-01-23,14,27.06,27.56,27.06,27.13,11.7233,38600.0,0.0,1.0
1998-01-26,15,27.5,27.5,27.06,27.38,11.8314,21500.0,0.0,1.0
1998-01-27,16,27.13,28.0,27.13,27.31,11.8011,51100.0,0.0,1.0
1998-01-28,17,27.31,29.25,27.31,28.94,12.5055,62800.0,0.0,1.0
1998-01-29,18,29.0,29.44,28.94,29.0,12.5314,15300.0,0.0,1.0
1998-01-30,19,31.0,31.0,29.5,29.81,12.8814,218700.0,0.0,1.0
1998-02-02,20,29.81,30.88,29.81,30.88,13.3438,108500.0,0.0,1.0
1998-02-03,21,30.75,30.94,30.56,30.94,13.3697,17600.0,0.0,1.0
1998-02-04,22,30.94,31.44,30.56,31.44,13.5858,31100.0,0.0,1.0
1998-02-05,23,31.31,31.75,31.0,31.56,13.6376,213800.0,0.0,1.0
1998-02-06,24,31.19,32.63,31.19,32.56,14.0697,69800.0,0.0,1.0
1998-02-09,25,32.56,33.38,32.56,33.25,14.3679,72200.0,0.0,1.0
1998-02-10,26,33.13,33.5,32.88,32.88,14.208,58600.0,0.0,1.0
1998-02-11,27,32.88,32.88,32.63,32.63,14.1,16100.0,0.0,1.0
1998-02-12,28,32.25,32.25,31.13,31.44,13.5858,55400.0,0.0,1.0
1998-02-13,29,31.56,31.56,31.13,31.44,13.5858,39700.0,0.0,1.0
1998-02-17,30,31.44,31.75,30.0,30.13,13.0197,80900.0,0.0,1.0
1998-02-18,31,30.38,31.44,30.28,31.25,13.5037,44700.0,0.0,1.0
1998-02-19,32,31.31,31.31,26.75,27.38,11.8314,255500.0,0.0,1.0
1998-02-20,33,28.0,28.5,27.56,28.44,12.2894,364500.0,0.0,1.0
1998-02-23,34,28.44,28.94,28.25,28.44,12.2894,99600.0,0.0,1.0
1998-02-24,35,28.69,29.38,28.38,29.38,12.6956,87300.0,0.0,1.0
1998-02-25,36,29.38,29.63,29.19,29.38,12.6956,48200.0,0.0,1.0
1998-02-26,37,29.19,29.44,29.06,29.44,12.7215,22200.0,0.0,1.0
1998-02-27,38,29.44,29.44,29.06,29.06,12.5573,20500.0,0.0,1.0
1998-03-02,39,29.81,30.25,29.06,29.44,12.7215,37900.0,0.0,1.0
1998-03-03,40,29.5,29.5,29.0,29.06,12.5573,35500.0,0.0,1.0
1998-03-04,41,29.31,29.31,28.13,28.75,12.4234,86200.0,0.0,1.0
1998-03-05,42,28.63,29.0,28.44,28.63,12.3715,26300.0,0.0,1.0
1998-03-06,43,28.88,28.88,28.38,28.5,12.3153,31100.0,0.0,1.0
1998-03-09,44,28.5,28.63,28.44,28.56,12.3413,19100.0,0.0,1.0
1998-03-10,45,29.0,29.19,28.63,28.94,12.5055,63600.0,0.0,1.0
1998-03-11,46,29.0,29.5,28.63,29.5,12.7475,36700.0,0.0,1.0
1998-03-12,47,29.5,29.5,28.94,29.19,12.6135,14300.0,0.0,1.0
1998-03-13,48,29.25,29.31,28.38,28.44,12.2894,27300.0,0.0,1.0
1998-03-16,49,28.44,28.69,27.75,28.25,12.2073,27600.0,0.0,1.0
1998-03-17,50,28.25,28.44,27.0,27.31,11.8011,54500.0,0.0,1.0
1998-03-18,51,27.31,27.69,27.06,27.56,11.9092,56700.0,0.0,1.0
1998-03-19,52,27.44,27.75,27.13,27.63,11.9394,186000.0,0.0,1.0
1998-03-20,53,27.75,27.75,27.06,27.06,11.6931,34100.0,0.0,1.0
1998-03-23,54,27.13,27.31,25.75,25.94,11.2091,115500.0,0.0,1.0
1998-03-24,55,25.88,26.81,25.81,26.31,11.369000000000002,108900.0,0.0,1.0
1998-03-25,56,26.06,27.0,26.06,26.75,11.5591,121700.0,0.0,1.0
1998-03-26,57,26.88,28.0,26.56,27.88,12.0474,173900.0,0.0,1.0
1998-03-27,58,29.0,29.25,28.5,29.06,12.5573,125500.0,0.0,1.0
1998-03-30,59,28.63,28.94,28.5,28.63,12.3715,20900.0,0.0,1.0
1998-03-31,60,28.88,30.0,28.63,29.69,12.8296,67700.0,0.0,1.0
1998-04-01,61,29.81,29.81,29.5,29.63,12.8036,29700.0,0.0,1.0
1998-04-02,62,29.5,30.5,29.38,30.25,13.0715,56800.0,0.0,1.0
1998-04-03,63,30.25,30.44,28.88,29.0,12.5314,101400.0,0.0,1.0
1998-04-06,64,29.0,29.0,28.81,28.88,12.4795,93800.0,0.0,1.0
1998-04-07,65,28.88,28.88,28.69,28.69,12.4234,100100.0,0.06,1.0
1998-04-08,66,28.44,28.94,28.44,28.94,12.5316,27400.0,0.0,1.0
1998-04-09,67,29.0,29.56,29.0,29.5,12.7741,56800.0,0.0,1.0
1998-04-13,68,29.75,29.88,29.13,29.44,12.7481,18900.0,0.0,1.0
1998-04-14,69,29.69,31.75,29.69,31.13,13.4799,67800.0,0.0,1.0
1998-04-15,70,31.0,31.19,30.56,30.63,13.2634,50000.0,0.0,1.0
1998-04-16,71,30.56,30.81,30.56,30.75,13.3154,15900.0,0.0,1.0
1998-04-17,72,30.75,31.25,30.56,30.63,13.2634,47100.0,0.0,1.0
1998-04-20,73,30.69,30.69,30.06,30.19,13.0729,57400.0,0.0,1.0
1998-04-21,74,30.44,30.69,29.94,30.38,13.1552,54200.0,0.0,1.0
1998-04-22,75,30.5,30.69,30.25,30.69,13.2894,35800.0,0.0,1.0
1998-04-23,76,30.69,30.69,29.94,29.94,12.9646,18600.0,0.0,1.0
1998-04-24,77,29.69,30.0,29.06,29.13,12.6139,34400.0,0.0,1.0
1998-04-27,78,28.38,28.69,27.75,28.69,12.4234,99200.0,0.0,1.0
1998-04-28,79,28.94,30.25,28.94,29.69,12.8564,56500.0,0.0,1.0
1998-04-29,80,29.63,30.63,29.63,30.63,13.2634,48100.0,0.0,1.0
1998-04-30,81,30.75,31.0,30.75,31.0,13.4237,97800.0,0.0,1.0
1998-05-01,82,31.0,32.44,31.0,32.44,14.0472,53400.0,0.0,1.0
1998-05-04,83,32.44,32.63,31.63,31.69,13.7224,18900.0,0.0,1.0
1998-05-05,84,31.69,31.81,31.0,31.0,13.4237,16700.0,0.0,1.0
1998-05-06,85,31.0,31.13,30.38,31.06,13.4496,33000.0,0.0,1.0
1998-05-07,86,31.0,31.13,30.75,31.06,13.4496,7000.0,0.0,1.0
1998-05-08,87,30.56,31.81,30.56,31.81,13.7744,25000.0,0.0,1.0
1998-05-11,88,32.06,32.63,31.88,32.0,13.8567,46700.0,0.0,1.0
1998-05-12,89,32.0,32.0,31.19,31.5,13.6402,13300.0,0.0,1.0
1998-05-13,90,31.5,31.5,30.56,30.63,13.2634,17300.0,0.0,1.0
1998-05-14,91,30.88,31.13,30.69,30.75,13.3154,40300.0,0.0,1.0
1998-05-15,92,30.63,33.75,30.63,32.88,14.2377,136500.0,0.0,1.0
1998-05-18,93,33.0,33.75,33.0,33.06,14.3157,201800.0,0.0,1.0
1998-05-19,94,33.5,33.94,33.25,33.5,14.5062,105100.0,0.0,1.0
1998-05-20,95,33.75,33.88,33.25,33.5,14.5062,65100.0,0.0,1.0
1998-05-21,96,33.5,33.5,33.06,33.44,14.4802,62200.0,0.0,1.0
1998-05-22,97,33.44,33.75,33.06,33.75,14.6145,41700.0,0.0,1.0
1998-05-26,98,33.75,33.75,33.0,33.13,14.345999999999998,81600.0,0.0,1.0
1998-05-27,99,33.0,33.5,32.81,33.25,14.3979,196600.0,0.0,1.0
1998-05-28,100,33.25,33.81,32.88,33.75,14.6145,92100.0,0.0,1.0
1998-05-29,101,33.75,33.75,33.0,33.19,14.372,48700.0,0.0,1.0
1998-06-01,102,33.19,33.19,32.75,32.81,14.2074,55500.0,0.0,1.0
1998-06-02,103,32.81,33.44,32.81,33.06,14.3157,16900.0,0.0,1.0
1998-06-03,104,33.19,34.06,33.19,33.88,14.6708,53300.0,0.0,1.0
1998-06-04,105,33.81,33.81,32.94,33.31,14.4239,40900.0,0.0,1.0
1998-06-05,106,33.5,33.5,32.75,33.0,14.2897,89700.0,0.0,1.0
1998-06-08,107,33.25,33.5,32.94,33.0,14.2897,69700.0,0.0,1.0
1998-06-09,108,33.0,33.0,31.88,32.31,13.9909,97100.0,0.0,1.0
1998-06-10,109,32.06,32.44,31.56,31.75,13.7484,29000.0,0.0,1.0
1998-06-11,110,31.75,31.94,31.5,31.94,13.8307,27900.0,0.0,1.0
1998-06-12,111,31.69,31.69,29.88,30.0,12.9906,91200.0,0.0,1.0
1998-06-15,112,30.13,30.13,29.38,29.44,12.7481,67400.0,0.0,1.0
1998-06-16,113,29.44,29.5,29.06,29.25,12.6659,89900.0,0.0,1.0
1998-06-17,114,29.38,29.81,29.25,29.5,12.7741,81600.0,0.0,1.0
1998-06-18,115,29.63,29.63,28.0,28.13,12.1809,57600.0,0.0,1.0
1998-06-19,116,28.13,28.5,27.56,27.81,12.0423,73500.0,0.0,1.0
1998-06-22,117,27.69,27.69,27.19,27.56,11.9341,54900.0,0.0,1.0
1998-06-23,118,27.5,27.63,25.63,26.0,11.2585,213400.0,0.0,1.0
1998-06-24,119,26.25,26.38,25.75,26.0,11.2585,150300.0,0.0,1.0
1998-06-25,120,26.25,26.5,25.75,26.06,11.2845,104900.0,0.0,1.0
1998-06-26,121,26.13,26.75,25.69,26.06,11.2845,52100.0,0.0,1.0
1998-06-29,122,26.19,26.19,25.13,25.63,11.0983,35500.0,0.0,1.0
1998-06-30,123,25.69,26.88,25.5,26.13,11.3148,60000.0,0.0,1.0
1998-07-01,124,26.63,27.5,26.63,27.25,11.7998,263800.0,0.0,1.0
1998-07-02,125,27.44,27.63,27.25,27.5,11.9081,182800.0,0.0,1.0
1998-07-06,126,27.63,28.38,26.75,27.38,11.8561,103500.0,0.0,1.0
1998-07-07,127,27.38,27.5,26.75,27.0,11.6916,29400.0,0.0,1.0
1998-07-08,128,27.0,27.25,26.38,26.94,11.6656,26900.0,0.0,1.0
1998-07-09,129,27.06,27.5,26.75,27.0,11.6916,19200.0,0.0,1.0
1998-07-10,130,26.88,27.5,26.44,26.5,11.4751,26100.0,0.0,1.0
1998-07-13,131,26.38,27.25,26.13,26.13,11.3408,24100.0,0.06,1.0
1998-07-14,132,26.13,26.63,25.75,25.81,11.2019,55000.0,0.0,1.0
1998-07-15,133,25.81,26.63,25.75,26.25,11.3929,56400.0,0.0,1.0
1998-07-16,134,26.5,26.63,25.63,25.75,11.1759,57400.0,0.0,1.0
1998-07-17,135,25.88,25.88,24.88,25.06,10.8764,33300.0,0.0,1.0
1998-07-20,136,25.06,25.13,24.69,24.88,10.7983,55700.0,0.0,1.0
1998-07-21,137,24.69,25.06,24.69,24.81,10.7679,39200.0,0.0,1.0
1998-07-22,138,24.81,24.81,23.75,24.25,10.5249,74100.0,0.0,1.0
1998-07-23,139,24.38,24.38,23.69,23.88,10.3643,150200.0,0.0,1.0
1998-07-24,140,23.81,24.0,23.75,23.81,10.3339,73900.0,0.0,1.0
1998-07-27,141,23.81,23.81,21.75,22.06,9.5744,124300.0,0.0,1.0
1998-07-28,142,21.0,22.44,20.0,22.38,9.7133,241300.0,0.0,1.0
1998-07-29,143,23.5,23.5,22.75,22.88,9.9303,114500.0,0.0,1.0
1998-07-30,144,22.88,23.13,22.88,23.13,10.0388,88300.0,0.0,1.0
1998-07-31,145,23.0,23.38,22.94,22.94,9.9563,96600.0,0.0,1.0
1998-08-03,146,22.69,22.69,21.75,22.25,9.6568,110800.0,0.0,1.0
1998-08-04,147,23.25,23.25,21.38,21.5,9.3313,141100.0,0.0,1.0
1998-08-05,148,21.5,21.69,20.31,20.94,9.0883,88400.0,0.0,1.0
1998-08-06,149,20.69,20.69,20.06,20.44,8.8713,186100.0,0.0,1.0
1998-08-07,150,20.06,21.06,20.06,20.19,8.7628,147100.0,0.0,1.0
1998-08-10,151,20.44,20.63,19.69,19.69,8.5458,75600.0,0.0,1.0
1998-08-11,152,19.56,19.56,19.0,19.19,8.3288,67200.0,0.0,1.0
1998-08-12,153,19.56,19.56,19.0,19.38,8.4112,145900.0,0.0,1.0
1998-08-13,154,19.38,19.44,18.5,18.94,8.2202,167400.0,0.0,1.0
1998-08-14,155,18.94,19.06,18.75,19.0,8.2463,78200.0,0.0,1.0
1998-08-17,156,19.0,19.25,18.5,18.94,8.2202,59200.0,0.0,1.0
1998-08-18,157,18.69,19.38,18.0,19.31,8.3808,101900.0,0.0,1.0
1998-08-19,158,19.31,19.44,19.19,19.44,8.4373,52200.0,0.0,1.0
1998-08-20,159,19.5,20.5,19.5,20.38,8.8452,166100.0,0.0,1.0
1998-08-21,160,20.38,20.38,19.63,20.38,8.8452,141300.0,0.0,1.0
