date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,43.63,43.63,42.25,42.38,24.7547,129800.0,0.0,1.0
1998-01-05,1,42.38,42.69,42.0,42.19,24.6437,171600.0,0.0,1.0
1998-01-06,2,42.19,42.19,41.63,42.13,24.6086,118700.0,0.0,1.0
1998-01-07,3,42.13,42.25,41.75,42.25,24.6787,132600.0,0.0,1.0
1998-01-08,4,42.38,42.38,41.31,41.56,24.2757,73800.0,0.0,1.0
1998-01-09,5,41.44,41.5,40.63,40.63,23.7325,194100.0,0.0,1.0
1998-01-12,6,40.31,40.81,40.06,40.44,23.6215,145600.0,0.0,1.0
1998-01-13,7,40.69,40.81,39.5,39.63,23.1484,398900.0,0.0,1.0
1998-01-14,8,40.13,40.31,39.94,40.0,23.3645,261400.0,0.0,1.0
1998-01-15,9,40.13,40.5,39.75,40.06,23.3995,638000.0,0.0,1.0
1998-01-16,10,40.25,40.75,40.25,40.56,23.6916,238400.0,0.0,1.0
1998-01-20,11,40.75,41.0,40.5,40.94,23.9135,127500.0,0.0,1.0
1998-01-21,12,40.81,41.19,40.06,40.25,23.5105,174400.0,0.0,1.0
1998-01-22,13,40.13,40.38,39.69,39.97,23.3469,322700.0,0.0,1.0
1998-01-23,14,39.81,40.06,39.56,39.72,23.2009,184300.0,0.0,1.0
1998-01-26,15,40.06,40.19,39.63,39.63,23.1484,139100.0,0.0,1.0
1998-01-27,16,39.56,40.5,39.56,40.38,23.5864,186100.0,0.0,1.0
1998-01-28,17,39.94,40.13,39.88,39.88,23.2944,224400.0,0.0,1.0
1998-01-29,18,40.0,41.25,39.88,40.63,23.7325,261500.0,0.0,1.0
1998-01-30,19,37.25,39.44,37.19,39.19,22.8913,1214400.0,0.0,1.0
1998-02-02,20,39.44,39.94,39.44,39.56,23.1075,632600.0,0.0,1.0
1998-02-03,21,39.56,39.75,39.44,39.75,23.2184,291900.0,0.0,1.0
1998-02-04,22,39.63,39.75,39.44,39.63,23.1484,609300.0,0.0,1.0
1998-02-05,23,40.06,40.88,40.06,40.13,23.4404,414900.0,0.0,1.0
1998-02-06,24,40.19,40.25,40.06,40.13,23.4404,202900.0,0.0,1.0
1998-02-09,25,40.06,40.19,39.81,40.0,23.3645,356800.0,0.0,1.0
1998-02-10,26,40.13,40.38,39.94,40.0,23.3645,604900.0,0.0,1.0
1998-02-11,27,40.0,40.13,39.88,40.0,23.3645,506000.0,0.0,1.0
1998-02-12,28,39.75,40.25,39.63,40.0,23.4871,259100.0,0.21,1.0
1998-02-13,29,39.75,39.81,39.5,39.69,23.3051,256700.0,0.0,1.0
1998-02-17,30,39.75,40.38,39.63,40.31,23.6692,219600.0,0.0,1.0
1998-02-18,31,40.25,40.94,40.25,40.94,24.0391,170300.0,0.0,1.0
1998-02-19,32,40.94,41.06,40.5,41.06,24.1095,159700.0,0.0,1.0
1998-02-20,33,41.25,41.44,41.0,41.13,24.1506,176100.0,0.0,1.0
1998-02-23,34,41.06,41.56,41.06,41.31,24.2563,178600.0,0.0,1.0
1998-02-24,35,41.44,41.75,41.31,41.38,24.2974,149400.0,0.0,1.0
1998-02-25,36,41.44,42.13,41.31,42.06,24.6967,164300.0,0.0,1.0
1998-02-26,37,42.06,43.06,41.94,43.06,25.2839,254300.0,0.0,1.0
1998-02-27,38,43.06,43.06,42.38,42.5,24.9551,190300.0,0.0,1.0
1998-03-02,39,42.31,42.63,42.0,42.25,24.8083,229600.0,0.0,1.0
1998-03-03,40,42.13,43.31,42.13,43.19,25.3602,208600.0,0.0,1.0
1998-03-04,41,43.25,43.25,42.81,42.94,25.2134,104200.0,0.0,1.0
1998-03-05,42,42.69,43.0,42.5,42.69,25.0666,154900.0,0.0,1.0
1998-03-06,43,42.69,43.31,42.38,42.38,24.8846,206500.0,0.0,1.0
1998-03-09,44,42.25,42.88,42.19,42.56,24.9903,110600.0,0.0,1.0
1998-03-10,45,42.63,43.19,42.56,42.88,25.1782,164400.0,0.0,1.0
1998-03-11,46,42.88,42.88,42.69,42.81,25.1371,100900.0,0.0,1.0
1998-03-12,47,42.69,43.31,42.69,43.25,25.3955,141900.0,0.0,1.0
1998-03-13,48,43.5,43.81,43.5,43.63,25.6186,162100.0,0.0,1.0
1998-03-16,49,43.63,43.69,43.44,43.56,25.5775,66600.0,0.0,1.0
1998-03-17,50,43.5,43.56,43.0,43.06,25.2839,220500.0,0.0,1.0
1998-03-18,51,43.13,43.13,42.69,42.94,25.2134,133600.0,0.0,1.0
1998-03-19,52,42.94,44.06,42.81,44.06,25.8711,186800.0,0.0,1.0
1998-03-20,53,44.13,44.19,43.88,44.13,25.9122,181600.0,0.0,1.0
1998-03-23,54,44.0,44.5,43.88,44.38,26.059,160800.0,0.0,1.0
1998-03-24,55,44.5,45.5,44.5,45.19,26.5346,175600.0,0.0,1.0
1998-03-25,56,45.38,45.75,45.13,45.19,26.5346,159100.0,0.0,1.0
1998-03-26,57,45.06,45.06,44.56,44.88,26.3526,311100.0,0.0,1.0
1998-03-27,58,44.88,45.25,44.81,45.06,26.4583,157800.0,0.0,1.0
1998-03-30,59,45.06,45.13,44.69,44.75,26.2762,163800.0,0.0,1.0
1998-03-31,60,44.75,45.81,44.75,45.62,26.7871,117700.0,0.0,1.0
1998-04-01,61,45.63,46.22,45.31,46.13,27.0865,100500.0,0.0,1.0
1998-04-02,62,46.13,46.19,45.69,45.69,26.8282,90800.0,0.0,1.0
1998-04-03,63,46.0,46.0,45.63,45.75,26.8634,100200.0,0.0,1.0
1998-04-06,64,45.75,45.94,45.69,45.75,26.8634,81600.0,0.0,1.0
1998-04-07,65,45.81,45.81,45.38,45.69,26.8282,102800.0,0.0,1.0
1998-04-08,66,45.69,45.69,45.25,45.31,26.6051,139100.0,0.0,1.0
1998-04-09,67,45.31,45.94,45.25,45.5,26.7166,57800.0,0.0,1.0
1998-04-13,68,45.5,45.5,45.06,45.25,26.5698,102400.0,0.0,1.0
1998-04-14,69,45.19,46.44,45.13,46.25,27.157,172400.0,0.0,1.0
1998-04-15,70,46.19,46.19,45.63,45.75,26.8634,78100.0,0.0,1.0
1998-04-16,71,45.5,45.63,45.06,45.38,26.6462,110200.0,0.0,1.0
1998-04-17,72,45.38,46.06,45.38,46.0,27.0102,99100.0,0.0,1.0
1998-04-20,73,46.06,46.06,45.5,46.0,27.0102,107100.0,0.0,1.0
1998-04-21,74,45.94,46.19,45.56,45.81,26.8986,139300.0,0.0,1.0
1998-04-22,75,45.63,45.88,45.31,45.44,26.6814,203700.0,0.0,1.0
1998-04-23,76,45.25,45.25,44.5,44.88,26.3526,121000.0,0.0,1.0
1998-04-24,77,44.75,44.75,43.25,43.69,25.6538,152800.0,0.0,1.0
1998-04-27,78,42.5,43.06,42.38,42.69,25.0666,211800.0,0.0,1.0
1998-04-28,79,42.69,42.75,42.13,42.19,24.7731,253000.0,0.0,1.0
1998-04-29,80,42.25,42.56,42.25,42.38,24.8846,272600.0,0.0,1.0
1998-04-30,81,43.13,43.38,42.31,42.31,24.8435,209600.0,0.0,1.0
1998-05-01,82,42.56,43.38,42.56,43.0,25.2487,97200.0,0.0,1.0
1998-05-04,83,43.63,43.63,42.69,42.94,25.2134,57400.0,0.0,1.0
1998-05-05,84,42.94,43.5,42.94,43.44,25.507,281500.0,0.0,1.0
1998-05-06,85,43.5,44.0,43.5,43.69,25.6538,167000.0,0.0,1.0
1998-05-07,86,43.69,43.75,43.44,43.5,25.5423,131300.0,0.0,1.0
1998-05-08,87,43.5,44.0,43.5,43.88,25.7654,81100.0,0.0,1.0
1998-05-11,88,43.63,43.94,43.63,43.88,25.7654,78300.0,0.0,1.0
1998-05-12,89,43.94,44.56,43.94,44.44,26.0942,176700.0,0.0,1.0
1998-05-13,90,44.31,44.69,44.31,44.56,26.1647,115900.0,0.0,1.0
1998-05-14,91,44.5,44.5,44.19,44.38,26.059,168100.0,0.0,1.0
1998-05-15,92,44.19,44.88,44.19,44.69,26.241,140300.0,0.0,1.0
1998-05-18,93,44.5,44.69,44.38,44.63,26.3291,95200.0,0.21,1.0
1998-05-19,94,44.56,44.94,44.56,44.88,26.4766,111500.0,0.0,1.0
1998-05-20,95,44.69,45.25,44.69,44.94,26.512,110500.0,0.0,1.0
1998-05-21,96,45.06,45.25,44.94,45.25,26.6948,139900.0,0.0,1.0
1998-05-22,97,45.13,45.13,44.19,44.31,26.1403,88900.0,0.0,1.0
1998-05-26,98,44.38,44.38,43.94,44.0,25.9574,179900.0,0.0,1.0
1998-05-27,99,44.0,44.31,43.69,43.88,25.8866,151500.0,0.0,1.0
1998-05-28,100,43.81,44.25,43.75,44.06,25.9928,91500.0,0.0,1.0
1998-05-29,101,44.13,44.19,43.88,43.88,25.8866,86600.0,0.0,1.0
1998-06-01,102,43.94,44.0,43.81,44.0,25.9574,74300.0,0.0,1.0
1998-06-02,103,44.0,44.44,43.81,43.94,25.922,42900.0,0.0,1.0
1998-06-03,104,44.06,44.13,43.88,43.88,25.8866,161900.0,0.0,1.0
1998-06-04,105,43.88,44.13,43.81,43.94,25.922,101600.0,0.0,1.0
1998-06-05,106,44.06,44.31,43.94,44.0,25.9574,135000.0,0.0,1.0
1998-06-08,107,43.94,44.0,43.69,43.88,25.8866,130500.0,0.0,1.0
1998-06-09,108,43.88,44.19,43.88,44.13,26.0341,154800.0,0.0,1.0
1998-06-10,109,44.0,44.0,43.44,43.44,25.627,131800.0,0.0,1.0
1998-06-11,110,43.5,43.69,42.25,42.38,25.0017,325100.0,0.0,1.0
1998-06-12,111,42.38,42.44,41.56,41.69,24.5947,93300.0,0.0,1.0
1998-06-15,112,41.44,41.88,41.13,41.13,24.2643,158700.0,0.0,1.0
1998-06-16,113,41.13,41.38,40.88,41.13,24.2643,108200.0,0.0,1.0
1998-06-17,114,41.25,42.06,41.25,41.44,24.4472,184900.0,0.0,1.0
1998-06-18,115,41.0,41.19,40.81,40.94,24.1522,175900.0,0.0,1.0
1998-06-19,116,40.44,40.5,39.56,39.56,23.3381,238300.0,0.0,1.0
1998-06-22,117,39.63,40.81,39.63,40.31,23.7805,283100.0,0.0,1.0
1998-06-23,118,40.31,40.5,39.56,39.94,23.5623,206600.0,0.0,1.0
1998-06-24,119,39.94,40.25,39.94,40.0,23.5977,121800.0,0.0,1.0
1998-06-25,120,40.13,40.13,38.94,39.06,23.0431,176500.0,0.0,1.0
1998-06-26,121,39.13,39.25,38.44,38.44,22.6773,186600.0,0.0,1.0
1998-06-29,122,36.0,36.0,34.38,34.94,20.6125,920100.0,0.0,1.0
1998-06-30,123,34.69,36.56,34.69,36.25,21.3854,705900.0,0.0,1.0
1998-07-01,124,36.44,37.5,36.31,36.63,21.6095,318400.0,0.0,1.0
1998-07-02,125,36.25,36.94,36.19,36.94,21.7924,233900.0,0.0,1.0
1998-07-06,126,37.0,37.06,36.31,36.44,21.4975,228600.0,0.0,1.0
1998-07-07,127,36.38,37.25,36.38,37.06,21.8632,161000.0,0.0,1.0
1998-07-08,128,37.0,37.5,36.25,36.31,21.4208,310900.0,0.0,1.0
1998-07-09,129,36.31,36.69,36.25,36.25,21.3854,187500.0,0.0,1.0
1998-07-10,130,36.25,36.31,36.06,36.25,21.3854,264100.0,0.0,1.0
1998-07-13,131,36.25,36.88,35.75,35.75,21.0904,253600.0,0.0,1.0
1998-07-14,132,35.94,36.75,35.94,36.13,21.3146,327200.0,0.0,1.0
1998-07-15,133,36.13,36.25,35.88,36.19,21.35,234400.0,0.0,1.0
1998-07-16,134,36.31,36.88,36.25,36.63,21.6095,173400.0,0.0,1.0
