date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,35.75,35.75,31.38,35.06,17.53,1551700.0,0.0,1.0
1998-01-05,1,35.13,35.38,33.88,34.81,17.405,1009600.0,0.0,1.0
1998-01-06,2,34.62,34.75,32.88,33.06,16.53,937700.0,0.0,1.0
1998-01-07,3,32.75,33.13,32.38,32.44,16.22,630500.0,0.0,1.0
1998-01-08,4,32.38,32.63,31.75,32.0,16.0,805500.0,0.0,1.0
1998-01-09,5,32.38,33.5,30.75,31.38,15.69,1085600.0,0.0,1.0
1998-01-12,6,30.88,33.25,30.88,33.13,16.565,1249600.0,0.0,1.0
1998-01-13,7,33.5,34.5,33.25,34.0,17.0,607200.0,0.0,1.0
1998-01-14,8,34.38,34.94,34.13,34.63,17.315,261500.0,0.0,1.0
1998-01-15,9,34.5,34.88,33.75,33.88,16.94,517600.0,0.0,1.0
1998-01-16,10,34.0,34.75,33.88,34.5,17.25,344900.0,0.0,1.0
1998-01-20,11,34.38,35.75,34.13,35.63,17.815,427100.0,0.0,1.0
1998-01-21,12,35.25,35.63,34.5,35.13,17.565,460600.0,0.0,1.0
1998-01-22,13,34.5,35.06,34.38,34.75,17.375,385600.0,0.0,1.0
1998-01-23,14,34.75,35.0,33.88,34.13,17.065,399400.0,0.0,1.0
1998-01-26,15,34.0,34.75,33.94,34.0,17.0,244400.0,0.0,1.0
1998-01-27,16,33.88,34.0,32.63,33.25,16.625,554400.0,0.0,1.0
1998-01-28,17,33.5,33.81,33.13,33.44,16.72,653300.0,0.0,1.0
1998-01-29,18,33.5,34.63,33.25,34.03,17.015,1039600.0,0.0,1.0
1998-01-30,19,29.5,31.13,29.38,30.94,15.47,7106800.0,0.0,1.0
1998-02-02,20,31.38,33.44,31.13,33.0,16.5,906000.0,0.0,1.0
1998-02-03,21,33.0,33.75,32.88,33.5,16.75,858700.0,0.0,1.0
1998-02-04,22,33.38,34.63,32.75,34.5,17.25,817200.0,0.0,1.0
1998-02-05,23,34.38,34.75,33.5,33.81,16.905,1078600.0,0.0,1.0
1998-02-06,24,33.75,35.0,33.75,34.0,17.0,330900.0,0.0,1.0
1998-02-09,25,34.0,35.06,33.88,34.06,17.03,653200.0,0.0,1.0
1998-02-10,26,34.0,34.75,33.88,34.13,17.065,814400.0,0.0,1.0
1998-02-11,27,34.0,34.75,34.0,34.5,17.25,505800.0,0.0,1.0
1998-02-12,28,34.5,34.75,34.0,34.31,17.155,719100.0,0.0,1.0
1998-02-13,29,34.13,34.75,34.13,34.56,17.28,386700.0,0.0,1.0
1998-02-17,30,34.81,35.69,34.63,34.69,17.345,558000.0,0.0,1.0
1998-02-18,31,34.38,34.88,34.38,34.56,17.28,315900.0,0.0,1.0
1998-02-19,32,34.5,34.63,34.0,34.63,17.315,515100.0,0.0,1.0
1998-02-20,33,34.5,35.13,34.5,35.0,17.5,615500.0,0.0,1.0
1998-02-23,34,35.13,35.75,34.13,34.5,17.25,1005200.0,0.0,1.0
1998-02-24,35,34.38,34.63,34.25,34.44,17.22,550900.0,0.0,1.0
1998-02-25,36,34.38,36.0,34.38,36.0,18.0,642900.0,0.0,1.0
1998-02-26,37,35.38,37.44,35.38,35.81,17.905,490700.0,0.0,1.0
1998-02-27,38,35.75,35.88,34.41,34.94,17.47,1381200.0,0.0,1.0
1998-03-02,39,35.0,35.25,34.5,34.63,17.315,620800.0,0.0,1.0
1998-03-03,40,34.63,34.69,33.38,33.88,16.94,559500.0,0.0,1.0
1998-03-04,41,33.63,33.88,32.81,33.5,16.75,962300.0,0.0,1.0
1998-03-05,42,32.25,33.5,31.75,31.75,15.875,859600.0,0.0,1.0
1998-03-06,43,32.0,33.63,31.88,33.0,16.5,859300.0,0.0,1.0
1998-03-09,44,32.63,33.0,31.81,31.81,15.905,297000.0,0.0,1.0
1998-03-10,45,32.25,32.63,32.25,32.38,16.19,337200.0,0.0,1.0
1998-03-11,46,32.25,32.5,31.63,31.63,15.815,601200.0,0.0,1.0
1998-03-12,47,31.5,31.88,29.75,30.13,15.065,1078800.0,0.0,1.0
1998-03-13,48,30.38,32.62,30.0,32.0,16.0,1552500.0,0.0,1.0
1998-03-16,49,32.25,32.5,31.63,32.5,16.25,607800.0,0.0,1.0
1998-03-17,50,32.5,32.63,30.63,31.5,15.75,465700.0,0.0,1.0
1998-03-18,51,30.88,32.0,30.5,30.69,15.345,1085600.0,0.0,1.0
1998-03-19,52,30.5,30.88,29.5,30.06,15.03,588900.0,0.0,1.0
1998-03-20,53,30.0,30.25,29.75,30.0,15.0,477800.0,0.0,1.0
1998-03-23,54,29.88,30.25,29.13,29.5,14.75,509700.0,0.0,1.0
1998-03-24,55,29.63,30.75,29.25,30.56,15.28,1081700.0,0.0,1.0
1998-03-25,56,31.19,32.75,31.13,32.38,16.19,1586900.0,0.0,1.0
1998-03-26,57,32.13,33.25,32.13,33.0,16.5,1123800.0,0.0,1.0
1998-03-27,58,33.0,33.13,32.5,32.75,16.375,585900.0,0.0,1.0
1998-03-30,59,32.69,33.63,32.5,32.69,16.345,350400.0,0.0,1.0
1998-03-31,60,33.25,33.31,32.69,32.75,16.375,883900.0,0.0,1.0
1998-04-01,61,32.63,33.13,31.5,32.88,16.44,383100.0,0.0,1.0
1998-04-02,62,32.75,33.25,32.38,32.63,16.315,416200.0,0.0,1.0
1998-04-03,63,32.88,33.25,32.5,33.13,16.565,682200.0,0.0,1.0
1998-04-06,64,33.25,33.38,31.06,31.44,15.72,1235400.0,0.0,1.0
1998-04-07,65,31.5,31.63,30.5,30.97,15.485,981100.0,0.0,1.0
1998-04-08,66,31.0,31.5,30.69,31.0,15.5,538800.0,0.0,1.0
1998-04-09,67,31.13,31.5,30.75,31.09,15.545,508700.0,0.0,1.0
1998-04-13,68,31.25,32.75,29.63,32.69,16.345,2084000.0,0.0,1.0
1998-04-14,69,33.13,35.38,33.13,35.0,17.5,2589600.0,0.0,1.0
