date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2001-01-02,0,58.5,58.5,56.38,56.75,19.6126,296500.0,0.0,1.0
2001-01-03,1,56.56,57.88,55.81,57.25,19.7854,783700.0,0.0,1.0
2001-01-04,2,58.38,61.69,57.5,60.88,21.04,717100.0,0.0,1.0
2001-01-05,3,60.75,60.88,59.69,59.88,20.6944,526700.0,0.0,1.0
2001-01-08,4,59.75,60.13,58.88,59.94,20.7151,692500.0,0.0,1.0
2001-01-09,5,59.38,60.0,57.88,58.25,20.131,939700.0,0.0,1.0
2001-01-10,6,58.31,59.56,58.31,59.0,20.3902,471000.0,0.0,1.0
2001-01-11,7,58.88,60.0,58.88,59.81,20.6702,456500.0,0.0,1.0
2001-01-12,8,59.81,60.0,59.06,60.0,20.7358,600400.0,0.0,1.0
2001-01-16,9,60.0,61.19,59.75,60.56,20.9294,1114200.0,0.0,1.0
2001-01-17,10,61.75,62.94,61.63,62.25,21.5134,784800.0,0.0,1.0
2001-01-18,11,62.13,62.5,61.63,61.94,21.4063,877300.0,0.0,1.0
2001-01-19,12,62.13,62.44,60.94,62.06,21.4478,553800.0,0.0,1.0
2001-01-22,13,61.88,62.63,59.25,60.31,20.843000000000004,834700.0,0.0,1.0
2001-01-23,14,60.38,62.63,60.38,61.75,21.3406,512200.0,0.0,1.0
2001-01-24,15,61.5,62.38,60.75,61.5,21.2542,471200.0,0.0,1.0
2001-01-25,16,61.63,63.0,60.44,62.75,21.6862,831700.0,0.0,1.0
2001-01-26,17,62.0,62.13,59.75,61.75,21.3406,512100.0,0.0,1.0
2001-01-29,18,61.75,61.99,61.15,61.45,21.237,615400.0,0.0,1.0
2001-01-30,19,61.21,61.5,59.78,61.14,21.1298,718200.0,0.0,1.0
2001-01-31,20,62.2,64.0,61.6,63.85,22.0664,710300.0,0.0,1.0
2001-02-01,21,63.61,63.85,62.78,63.16,21.8279,624900.0,0.0,1.0
2001-02-02,22,63.25,64.6,63.23,64.08,22.1459,539700.0,0.0,1.0
2001-02-05,23,63.65,64.74,63.12,64.38,22.2496,634500.0,0.0,1.0
2001-02-06,24,64.38,64.65,63.55,63.66,22.0007,880900.0,0.0,1.0
2001-02-07,25,63.25,63.33,61.3,61.66,21.3095,785900.0,0.0,1.0
2001-02-08,26,61.56,62.01,61.5,61.69,21.3199,609400.0,0.0,1.0
2001-02-09,27,62.25,62.8,61.0,62.34,21.5445,437400.0,0.0,1.0
2001-02-12,28,62.75,63.09,62.37,62.86,21.7242,514000.0,0.0,1.0
2001-02-13,29,61.5,62.73,61.5,62.55,21.6171,1062300.0,0.0,1.0
2001-02-14,30,61.6,61.6,57.25,58.15,20.0965,2533100.0,0.0,1.0
2001-02-15,31,58.25,59.43,58.23,59.25,20.4766,1367800.0,0.0,1.0
2001-02-16,32,59.2,60.05,59.02,59.75,20.6494,585700.0,0.0,1.0
2001-02-20,33,59.75,60.44,58.8,59.15,20.4421,709600.0,0.0,1.0
2001-02-21,34,59.3,61.87,59.12,61.11,21.1194,850400.0,0.0,1.0
2001-02-22,35,61.0,61.25,58.9,59.64,20.6961,806500.0,0.245,1.0
2001-02-23,36,59.5,59.75,57.76,58.76,20.3907,648500.0,0.0,1.0
2001-02-26,37,58.6,59.2,57.35,58.07,20.1513,569800.0,0.0,1.0
2001-02-27,38,59.0,60.35,58.2,59.85,20.769,615100.0,0.0,1.0
2001-02-28,39,60.2,60.23,58.81,58.96,20.4601,403900.0,0.0,1.0
2001-03-01,40,58.98,59.98,58.92,59.36,20.5989,401800.0,0.0,1.0
2001-03-02,41,59.45,61.2,59.4,60.68,21.057,440400.0,0.0,1.0
2001-03-05,42,60.9,60.9,58.56,59.25,20.5608,418800.0,0.0,1.0
2001-03-06,43,59.25,60.25,59.0,59.83,20.762,298600.0,0.0,1.0
2001-03-07,44,59.75,59.75,58.0,58.1,20.1617,506700.0,0.0,1.0
2001-03-08,45,58.3,59.28,58.25,59.24,20.5573,591700.0,0.0,1.0
2001-03-09,46,59.24,59.6,58.6,59.42,20.6197,425200.0,0.0,1.0
2001-03-12,47,59.1,59.11,56.09,56.09,19.4642,645200.0,0.0,1.0
2001-03-13,48,56.15,57.48,55.44,57.1,19.8147,604400.0,0.0,1.0
2001-03-14,49,56.75,57.55,56.0,57.08,19.8077,814500.0,0.0,1.0
2001-03-15,50,56.8,59.0,56.13,58.68,20.363,579400.0,0.0,1.0
2001-03-16,51,57.5,58.05,56.74,57.34,19.898,1013200.0,0.0,1.0
2001-03-19,52,57.34,57.49,55.7,56.83,19.721,401200.0,0.0,1.0
2001-03-20,53,56.7,57.75,55.85,56.6,19.6412,359700.0,0.0,1.0
2001-03-21,54,56.68,56.7,55.41,55.62,19.3011,542500.0,0.0,1.0
2001-03-22,55,55.62,56.0,54.09,55.83,19.374,683900.0,0.0,1.0
2001-03-23,56,55.65,56.44,55.01,56.38,19.5648,411800.0,0.0,1.0
2001-03-26,57,56.55,57.94,56.35,57.91,20.0958,339600.0,0.0,1.0
2001-03-27,58,57.75,57.85,57.0,57.8,20.0576,491800.0,0.0,1.0
2001-03-28,59,57.85,57.9,56.94,56.95,19.7626,593800.0,0.0,1.0
2001-03-29,60,56.9,58.64,56.8,58.64,20.3491,826500.0,0.0,1.0
2001-03-30,61,58.83,59.65,57.58,59.65,20.6996,519400.0,0.0,1.0
2001-04-02,62,59.05,59.75,58.5,58.97,20.4636,642200.0,0.0,1.0
2001-04-03,63,58.97,59.09,57.84,57.95,20.1096,580200.0,0.0,1.0
2001-04-04,64,58.15,59.9,57.95,58.85,20.4219,708500.0,0.0,1.0
2001-04-05,65,59.5,61.8,59.49,61.52,21.3485,800700.0,0.0,1.0
2001-04-06,66,59.85,60.09,58.8,59.04,20.4879,732000.0,0.0,1.0
2001-04-09,67,59.5,60.4,59.4,59.56,20.6683,417200.0,0.0,1.0
2001-04-10,68,59.8,61.29,59.75,60.98,21.1611,792700.0,0.0,1.0
2001-04-11,69,62.5,62.5,60.3,60.3,20.9251,904700.0,0.0,1.0
2001-04-12,70,60.35,62.74,60.35,62.74,21.7718,708200.0,0.0,1.0
2001-04-16,71,62.6,62.69,61.72,62.32,21.6261,442400.0,0.0,1.0
2001-04-17,72,62.32,63.4,61.35,63.35,21.9835,751300.0,0.0,1.0
2001-04-18,73,63.45,64.99,62.88,64.89,22.5179,762800.0,0.0,1.0
2001-04-19,74,64.98,65.0,63.23,63.96,22.1952,721000.0,0.0,1.0
2001-04-20,75,63.9,64.7,63.13,64.5,22.3826,1477400.0,0.0,1.0
2001-04-23,76,64.5,64.75,64.09,64.2,22.2785,763800.0,0.0,1.0
2001-04-24,77,64.3,65.81,64.25,64.73,22.4624,685600.0,0.0,1.0
2001-04-25,78,64.65,66.1,64.6,66.1,22.9378,760500.0,0.0,1.0
2001-04-26,79,64.75,65.8,64.75,65.26,22.6463,806100.0,0.0,1.0
2001-04-27,80,65.3,65.76,64.82,65.75,22.8164,293300.0,0.0,1.0
2001-04-30,81,65.95,65.98,64.45,64.78,22.4798,458500.0,0.0,1.0
2001-05-01,82,64.53,65.75,64.35,65.64,22.7782,423100.0,0.0,1.0
2001-05-02,83,65.4,65.62,64.86,65.41,22.6984,361700.0,0.0,1.0
2001-05-03,84,65.2,65.53,64.5,65.47,22.7192,576100.0,0.0,1.0
2001-05-04,85,65.24,66.44,64.62,65.97,22.8927,468700.0,0.0,1.0
2001-05-07,86,65.72,66.59,65.01,65.5,22.7296,734800.0,0.0,1.0
2001-05-08,87,65.6,66.22,65.35,65.85,22.8511,337500.0,0.0,1.0
2001-05-09,88,65.65,66.75,65.6,66.66,23.1322,359200.0,0.0,1.0
2001-05-10,89,66.73,67.25,66.55,67.1,23.2848,375400.0,0.0,1.0
2001-05-11,90,67.1,67.48,66.21,67.26,23.3404,512900.0,0.0,1.0
2001-05-14,91,67.26,67.99,67.26,67.78,23.5208,413400.0,0.0,1.0
2001-05-15,92,67.6,68.4,67.5,68.4,23.736,1261600.0,0.0,1.0
2001-05-16,93,68.45,70.0,68.25,70.0,24.2912,848600.0,0.0,1.0
2001-05-17,94,70.0,70.87,69.95,70.45,24.4473,857700.0,0.0,1.0
2001-05-18,95,69.6,70.05,68.2,68.77,23.8644,771400.0,0.0,1.0
