date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,22.13,22.13,21.5,21.88,1.9596,806400.0,0.0,1.0
1998-01-05,22.63,24.13,22.31,23.88,2.1388,1212900.0,0.0,1.0
1998-01-06,23.63,24.25,22.75,23.88,2.1388,923800.0,0.0,1.0
1998-01-07,23.75,23.88,23.06,23.25,2.0823,900400.0,0.0,1.0
1998-01-08,22.94,23.25,22.5,22.5,2.0152,278800.0,0.0,1.0
1998-01-09,22.5,22.5,21.0,21.38,1.9149,999000.0,0.0,1.0
1998-01-12,21.0,21.25,20.5,20.88,1.8701,1294600.0,0.0,1.0
1998-01-13,21.38,23.5,21.19,23.25,2.0823,2032400.0,0.0,1.0
1998-01-14,23.5,24.0,22.63,23.44,2.0994,1074300.0,0.0,1.0
1998-01-15,23.31,23.63,22.94,23.19,2.077,735700.0,0.0,1.0
1998-01-16,23.25,23.63,22.88,23.25,2.0823,790600.0,0.0,1.0
1998-01-20,23.63,23.88,23.25,23.75,2.1271,1733000.0,0.0,1.0
1998-01-21,23.94,24.25,23.25,23.75,2.1271,1818200.0,0.0,1.0
1998-01-22,23.38,23.75,22.5,22.63,2.0268,595500.0,0.0,1.0
1998-01-23,22.63,23.5,22.38,23.19,2.077,839800.0,0.0,1.0
1998-01-26,23.63,24.0,22.06,22.06,1.9758,1430800.0,0.0,1.0
1998-01-27,22.0,23.38,21.5,22.44,2.0098,800500.0,0.0,1.0
1998-01-28,22.63,24.0,22.5,23.81,2.1325,862400.0,0.0,1.0
1998-01-29,23.75,24.63,23.5,23.88,2.1388,712200.0,0.0,1.0
1998-01-30,24.0,24.13,23.25,23.63,2.1164,411100.0,0.0,1.0
1998-02-02,24.0,24.75,23.63,24.13,2.1612,836000.0,0.0,1.0
1998-02-03,24.0,24.13,23.38,24.0,2.1495,645000.0,0.0,1.0
1998-02-04,24.0,24.94,23.63,24.38,2.1836,982400.0,0.0,1.0
1998-02-05,24.38,24.38,23.75,24.38,2.1836,732500.0,0.0,1.0
1998-02-06,24.5,24.88,24.25,24.75,2.2167,284700.0,0.0,1.0
1998-02-09,25.0,25.38,24.38,24.88,2.2283,774800.0,0.0,1.0
1998-02-10,24.75,25.13,24.25,24.69,2.2113,670500.0,0.0,1.0
1998-02-11,24.75,25.06,24.0,24.0,2.1495,471400.0,0.0,1.0
1998-02-12,24.0,24.38,23.88,24.19,2.1665,196400.0,0.0,1.0
1998-02-13,24.25,25.31,24.0,25.31,2.2668,594700.0,0.0,1.0
1998-02-17,25.88,26.31,25.13,25.22,2.2588,890900.0,0.0,1.0
1998-02-18,25.13,26.19,25.0,26.19,2.3457,839500.0,0.0,1.0
1998-02-19,26.25,26.25,25.63,25.94,2.3233,544300.0,0.0,1.0
