date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,45.56,45.69,44.25,44.69,6.7054,218500.0,0.0,1.0
1998-01-05,44.56,44.94,44.25,44.5,6.6769,237000.0,0.0,1.0
1998-01-06,44.38,45.31,44.38,45.06,6.7609,325700.0,0.0,1.0
1998-01-07,45.0,46.44,45.0,46.31,6.9484,375500.0,0.0,1.0
1998-01-08,46.06,46.13,45.44,45.44,6.8179,310700.0,0.0,1.0
1998-01-09,45.44,46.13,44.25,44.25,6.6394,309900.0,0.0,1.0
1998-01-12,43.5,44.88,43.25,44.88,6.7339,260900.0,0.0,1.0
1998-01-13,45.06,45.31,44.63,44.63,6.6964,170500.0,0.0,1.0
1998-01-14,43.75,45.38,43.44,45.13,6.7714,622700.0,0.0,1.0
1998-01-15,45.13,45.13,44.63,45.0,6.7519,311200.0,0.0,1.0
1998-01-16,45.0,45.75,45.0,45.38,6.8089,391400.0,0.0,1.0
1998-01-20,45.13,46.38,45.13,46.31,6.9484,369800.0,0.0,1.0
1998-01-21,46.13,46.13,45.75,45.94,6.8929,316000.0,0.0,1.0
1998-01-22,45.94,46.75,45.88,46.56,6.9859,248800.0,0.0,1.0
1998-01-23,46.31,46.56,45.69,46.0,6.9019,189200.0,0.0,1.0
1998-01-26,46.25,46.31,45.81,46.0,6.9019,133500.0,0.0,1.0
1998-01-27,46.19,47.13,46.13,46.44,6.9679,423800.0,0.0,1.0
1998-01-28,46.5,46.75,44.44,45.25,6.7894,1177100.0,0.0,1.0
1998-01-29,45.06,46.25,45.06,45.56,6.8359,468800.0,0.0,1.0
1998-01-30,45.38,45.44,44.75,44.75,6.7144,286800.0,0.0,1.0
1998-02-02,46.0,46.19,45.75,45.94,6.8929,492800.0,0.0,1.0
1998-02-03,45.94,46.63,45.75,46.38,6.9589,226700.0,0.0,1.0
1998-02-04,46.56,47.31,46.5,47.0,7.052,303200.0,0.0,1.0
1998-02-05,47.0,47.31,46.81,47.13,7.0715,276400.0,0.0,1.0
1998-02-06,47.19,47.69,47.06,47.19,7.0805,414100.0,0.0,1.0
1998-02-09,47.06,47.38,46.88,47.13,7.0715,414800.0,0.0,1.0
1998-02-10,47.25,47.5,47.0,47.31,7.0985,251200.0,0.0,1.0
1998-02-11,47.19,48.75,46.81,48.31,7.2485,373700.0,0.0,1.0
1998-02-12,48.13,49.19,47.63,47.63,7.1465,293200.0,0.0,1.0
1998-02-13,47.38,47.69,47.25,47.56,7.136,200700.0,0.0,1.0
1998-02-17,47.81,47.81,47.0,47.25,7.0895,266200.0,0.0,1.0
1998-02-18,47.44,48.25,47.31,48.06,7.211,170500.0,0.0,1.0
1998-02-19,47.81,47.88,47.38,47.5,7.127,222000.0,0.0,1.0
1998-02-20,47.63,48.06,47.44,48.0,7.202,231800.0,0.0,1.0
1998-02-23,48.0,48.19,47.56,48.0,7.202,204800.0,0.0,1.0
1998-02-24,47.5,47.56,46.13,46.31,6.9484,474700.0,0.0,1.0
