date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,67.94,68.44,67.44,68.25,11.8892,362500.0,0.0,1.0
1998-01-05,68.31,69.19,68.31,69.12,12.0407,646100.0,0.0,1.0
1998-01-06,68.12,69.62,68.0,69.31,12.0738,559200.0,0.0,1.0
1998-01-07,69.56,70.12,68.12,68.25,11.8892,1017300.0,0.0,1.0
1998-01-08,68.0,69.5,67.56,68.88,11.9989,814300.0,0.0,1.0
1998-01-09,68.88,69.31,66.38,66.94,11.661,718800.0,0.0,1.0
1998-01-12,66.56,68.12,65.56,68.06,11.8561,972200.0,0.0,1.0
1998-01-13,68.31,69.75,68.0,69.44,12.0965,725900.0,0.0,1.0
1998-01-14,69.62,69.88,68.5,69.75,12.1505,508200.0,0.0,1.0
1998-01-15,69.75,69.94,68.81,69.5,12.1069,268500.0,0.0,1.0
1998-01-16,70.38,70.81,69.56,70.19,12.2271,475400.0,0.0,1.0
1998-01-20,70.44,73.94,70.38,73.69,12.8368,513300.0,0.0,1.0
1998-01-21,72.69,73.0,70.81,72.75,12.6731,469500.0,0.0,1.0
1998-01-22,72.5,72.56,71.5,72.0,12.5424,448000.0,0.0,1.0
1998-01-23,72.0,72.44,70.69,72.38,12.6086,686800.0,0.0,1.0
1998-01-26,72.0,72.31,71.06,71.81,12.5093,930600.0,0.0,1.0
1998-01-27,71.69,72.12,70.12,70.38,12.2602,619300.0,0.0,1.0
1998-01-28,70.88,72.62,70.38,72.56,12.64,573100.0,0.0,1.0
1998-01-29,72.44,74.5,71.75,72.0,12.5424,489600.0,0.0,1.0
1998-01-30,72.19,73.5,71.12,71.94,12.532,829000.0,0.0,1.0
1998-02-02,72.88,74.19,72.81,74.19,12.9239,845300.0,0.0,1.0
1998-02-03,73.94,74.5,73.88,74.44,12.9675,708700.0,0.0,1.0
1998-02-04,74.44,74.44,73.69,74.0,12.8908,892700.0,0.0,1.0
1998-02-05,74.38,75.75,74.38,75.0,13.065,799700.0,0.0,1.0
1998-02-06,76.0,77.0,75.38,75.62,13.173,866800.0,0.0,1.0
1998-02-09,75.69,75.75,72.62,74.06,12.9013,749500.0,0.0,1.0
1998-02-10,74.31,74.44,73.62,74.06,12.9013,1351900.0,0.0,1.0
