date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,63.13,63.25,61.75,62.19,9.8034,275300.0,0.0,1.0
1998-01-05,1,62.25,63.63,62.0,63.38,9.991,225700.0,0.0,1.0
1998-01-06,2,63.25,63.25,62.38,62.5,9.8523,212100.0,0.0,1.0
1998-01-07,3,62.88,62.88,61.13,61.63,9.7151,396900.0,0.0,1.0
1998-01-08,4,61.13,61.5,59.38,59.75,9.4188,171000.0,0.0,1.0
1998-01-09,5,60.0,60.13,54.75,54.88,8.6511,374600.0,0.0,1.0
1998-01-12,6,50.5,55.0,50.25,53.38,8.4146,732700.0,0.0,1.0
1998-01-13,7,55.38,58.38,55.0,57.5,9.0641,229700.0,0.0,1.0
1998-01-14,8,57.63,59.38,56.75,58.75,9.2611,324900.0,0.0,1.0
1998-01-15,9,58.5,59.38,56.75,56.88,8.9663,389900.0,0.0,1.0
1998-01-16,10,57.38,58.75,56.0,58.12,9.1618,391500.0,0.0,1.0
1998-01-20,11,58.25,60.0,57.88,59.75,9.4188,235500.0,0.0,1.0
1998-01-21,12,59.63,60.5,58.13,58.56,9.2312,332500.0,0.0,1.0
1998-01-22,13,58.0,58.0,55.5,55.81,8.7977,435400.0,0.0,1.0
1998-01-23,14,56.38,56.5,52.13,54.75,8.6306,317300.0,0.0,1.0
1998-01-26,15,55.25,55.25,54.13,54.25,8.5518,128800.0,0.0,1.0
1998-01-27,16,54.0,55.25,54.0,54.88,8.6511,169000.0,0.0,1.0
1998-01-28,17,55.25,57.88,54.75,56.88,8.9663,577100.0,0.0,1.0
1998-01-29,18,57.0,60.0,56.5,58.88,9.2816,580100.0,0.0,1.0
1998-01-30,19,59.25,66.25,58.63,64.75,10.2069,753100.0,0.0,1.0
1998-02-02,20,66.13,66.75,63.19,64.25,10.1281,469100.0,0.0,1.0
1998-02-03,21,65.63,65.63,64.5,65.63,10.3457,236900.0,0.0,1.0
1998-02-04,22,64.75,69.75,64.5,67.25,10.601,401600.0,0.0,1.0
1998-02-05,23,68.25,68.25,66.0,66.13,10.4245,185300.0,0.0,1.0
1998-02-06,24,67.25,67.38,66.0,67.0,10.5616,298000.0,0.0,1.0
1998-02-09,25,67.38,68.13,65.25,65.31,10.2952,282100.0,0.0,1.0
1998-02-10,26,65.88,68.5,65.25,68.0,10.7193,361800.0,0.0,1.0
1998-02-11,27,68.25,68.25,67.13,68.13,10.7397,155400.0,0.0,1.0
1998-02-12,28,66.88,69.75,66.5,69.5,10.9557,168100.0,0.0,1.0
1998-02-13,29,69.5,69.5,66.0,66.5,10.4828,266100.0,0.0,1.0
1998-02-17,30,68.0,68.5,65.38,66.75,10.5222,286900.0,0.0,1.0
1998-02-18,31,66.69,67.13,65.63,66.88,10.5427,88300.0,0.0,1.0
1998-02-19,32,67.38,69.0,66.38,68.75,10.8375,325200.0,0.0,1.0
1998-02-20,33,69.13,69.5,67.75,68.13,10.7397,241300.0,0.0,1.0
1998-02-23,34,69.13,69.25,67.63,68.0,10.7193,288200.0,0.0,1.0
1998-02-24,35,68.5,68.5,66.75,67.25,10.601,88300.0,0.0,1.0
1998-02-25,36,67.25,67.75,66.5,66.5,10.4828,192500.0,0.0,1.0
1998-02-26,37,67.25,67.5,66.0,66.5,10.4828,326600.0,0.0,1.0
1998-02-27,38,67.13,67.13,65.0,66.38,10.4639,396000.0,0.0,1.0
1998-03-02,39,67.0,68.25,66.0,67.63,10.6609,281100.0,0.0,1.0
1998-03-03,40,67.5,70.38,67.0,69.88,11.0156,299100.0,0.0,1.0
1998-03-04,41,70.25,71.0,67.88,68.88,10.858,359900.0,0.0,1.0
1998-03-05,42,67.5,68.5,66.5,67.0,10.5616,63300.0,0.0,1.0
1998-03-06,43,68.0,69.38,67.0,69.0,10.8769,125400.0,0.0,1.0
1998-03-09,44,69.0,69.5,68.13,69.25,10.9163,67900.0,0.0,1.0
1998-03-10,45,68.75,69.75,67.63,69.13,10.8974,101500.0,0.0,1.0
1998-03-11,46,70.13,70.13,69.0,69.5,10.9557,120300.0,0.0,1.0
1998-03-12,47,69.5,70.81,69.25,70.0,11.0345,131100.0,0.0,1.0
1998-03-13,48,70.0,70.88,69.5,69.5,10.9557,121100.0,0.0,1.0
1998-03-16,49,69.75,70.0,69.0,69.75,10.9951,136200.0,0.0,1.0
1998-03-17,50,69.75,71.94,68.25,71.25,11.2316,233400.0,0.0,1.0
1998-03-18,51,71.5,72.25,70.25,70.75,11.1528,158000.0,0.0,1.0
1998-03-19,52,71.75,74.88,70.56,73.75,11.6525,299100.0,0.17,1.0
1998-03-20,53,73.38,73.75,72.25,72.5,11.455,291800.0,0.0,1.0
1998-03-23,54,72.75,73.25,70.88,70.88,11.199000000000002,103100.0,0.0,1.0
1998-03-24,55,72.0,72.0,70.0,70.63,11.1595,140200.0,0.0,1.0
1998-03-25,56,71.38,71.63,68.88,69.5,10.981,163200.0,0.0,1.0
1998-03-26,57,69.88,70.0,67.75,69.63,11.0015,151500.0,0.0,1.0
1998-03-27,58,70.0,70.75,69.0,69.88,11.041,100900.0,0.0,1.0
1998-03-30,59,69.5,70.31,68.0,68.56,10.8324,141600.0,0.0,1.0
1998-03-31,60,68.75,71.0,68.19,70.38,11.12,213600.0,0.0,1.0
1998-04-01,61,70.5,71.5,69.88,71.25,11.2575,261100.0,0.0,1.0
1998-04-02,62,71.5,73.0,70.75,72.59,11.4692,353700.0,0.0,1.0
1998-04-03,63,72.0,73.0,70.88,71.44,11.2875,217500.0,0.0,1.0
1998-04-06,64,73.31,73.88,72.5,73.25,11.5735,172300.0,0.0,1.0
1998-04-07,65,73.0,73.25,71.25,72.63,11.4755,184000.0,0.0,1.0
1998-04-08,66,73.25,73.5,71.5,71.5,11.297,120100.0,0.0,1.0
1998-04-09,67,73.0,73.0,71.5,72.44,11.4455,160200.0,0.0,1.0
1998-04-13,68,73.0,74.75,72.75,73.38,11.594,186400.0,0.0,1.0
1998-04-14,69,74.0,74.38,72.63,72.63,11.4755,95500.0,0.0,1.0
1998-04-15,70,73.88,73.88,70.5,71.13,11.2385,198000.0,0.0,1.0
1998-04-16,71,72.0,75.13,71.0,73.5,11.613,385100.0,0.0,1.0
1998-04-17,72,75.13,76.5,75.0,75.38,11.91,342300.0,0.0,1.0
1998-04-20,73,76.75,78.13,75.63,76.88,12.147,307700.0,0.0,1.0
1998-04-21,74,75.38,77.88,74.5,75.38,11.91,533000.0,0.0,1.0
1998-04-22,75,77.88,78.25,74.63,77.88,12.305,611500.0,0.0,1.0
1998-04-23,76,77.88,79.25,76.81,78.19,12.354,304100.0,0.0,1.0
1998-04-24,77,78.25,78.25,76.0,76.5,12.087,236100.0,0.0,1.0
1998-04-27,78,75.25,75.25,71.5,71.88,11.357,348300.0,0.0,1.0
1998-04-28,79,74.38,74.38,70.94,71.38,11.278,353700.0,0.0,1.0
1998-04-29,80,71.0,73.75,70.0,73.0,11.534,432200.0,0.0,1.0
1998-04-30,81,73.88,75.5,73.88,75.5,11.929,279200.0,0.0,1.0
1998-05-01,82,38.5,38.75,36.5,37.0,11.692,104600.0,0.0,2.0
1998-05-04,83,37.5,38.13,35.88,36.0,11.376,429900.0,0.0,1.0
1998-05-05,84,36.0,37.0,35.0,36.38,11.496,196500.0,0.0,1.0
1998-05-06,85,37.38,37.38,35.75,36.5,11.534,249400.0,0.0,1.0
1998-05-07,86,36.56,36.75,34.75,35.0,11.06,430200.0,0.0,1.0
1998-05-08,87,35.0,36.25,34.5,35.38,11.18,294300.0,0.0,1.0
1998-05-11,88,36.25,36.88,35.25,35.88,11.338,346200.0,0.0,1.0
1998-05-12,89,35.25,36.5,35.0,36.38,11.496,180200.0,0.0,1.0
1998-05-13,90,36.5,37.13,36.13,36.56,11.5529,197400.0,0.0,1.0
1998-05-14,91,36.75,36.75,35.5,35.75,11.297,207200.0,0.0,1.0
1998-05-15,92,36.0,36.63,34.0,34.0,10.744000000000002,194100.0,0.0,1.0
1998-05-18,93,34.0,35.88,33.5,35.5,11.218,287200.0,0.0,1.0
1998-05-19,94,35.88,36.25,35.25,36.25,11.455,228800.0,0.0,1.0
1998-05-20,95,36.75,36.88,36.13,36.13,11.417,146100.0,0.0,1.0
1998-05-21,96,36.75,36.75,35.75,36.16,11.4265,139800.0,0.0,1.0
1998-05-22,97,36.5,36.5,35.0,35.06,11.0789,222900.0,0.0,1.0
1998-05-26,98,35.5,36.25,33.88,34.13,10.785,231800.0,0.0,1.0
1998-05-27,99,33.88,34.63,33.0,34.0,10.744000000000002,555900.0,0.0,1.0
1998-05-28,100,34.25,34.63,33.75,34.38,10.864,315400.0,0.0,1.0
1998-05-29,101,34.88,35.88,34.5,35.44,11.199000000000002,409900.0,0.0,1.0
1998-06-01,102,35.63,35.63,34.13,34.38,10.864,630200.0,0.0,1.0
1998-06-02,103,35.0,35.0,34.0,34.81,10.9999,531500.0,0.0,1.0
1998-06-03,104,35.06,35.63,35.0,35.0,11.06,278700.0,0.0,1.0
1998-06-04,105,35.63,35.63,34.56,35.0,11.06,181100.0,0.0,1.0
1998-06-05,106,35.13,35.75,35.0,35.06,11.0789,378200.0,0.0,1.0
1998-06-08,107,34.75,35.06,33.5,34.38,10.864,541600.0,0.0,1.0
1998-06-09,108,34.25,36.0,34.25,35.75,11.297,371100.0,0.0,1.0
1998-06-10,109,35.25,35.75,34.5,34.88,11.022,331500.0,0.0,1.0
1998-06-11,110,35.13,35.44,34.56,35.19,11.12,227300.0,0.0,1.0
1998-06-12,111,35.38,35.38,33.5,34.0,10.744000000000002,300600.0,0.0,1.0
1998-06-15,112,33.75,34.38,32.5,33.38,10.548,359400.0,0.0,1.0
1998-06-16,113,34.38,34.38,32.88,33.75,10.665,448000.0,0.0,1.0
1998-06-17,114,34.0,35.38,33.63,34.75,10.981,544200.0,0.0,1.0
1998-06-18,115,35.0,35.38,34.5,34.56,10.9478,196700.0,0.085,1.0
1998-06-19,116,34.38,35.38,34.25,35.09,11.1157,254800.0,0.0,1.0
1998-06-22,117,34.75,35.38,34.38,35.13,11.1283,561400.0,0.0,1.0
1998-06-23,118,35.5,35.75,34.75,35.25,11.1664,374400.0,0.0,1.0
1998-06-24,119,35.0,36.0,34.5,35.5,11.2456,460300.0,0.0,1.0
1998-06-25,120,35.63,36.63,35.38,36.0,11.4039,453600.0,0.0,1.0
1998-06-26,121,36.0,36.88,35.63,36.69,11.6225,330000.0,0.0,1.0
1998-06-29,122,36.94,38.5,36.69,38.25,12.1167,293200.0,0.0,1.0
1998-06-30,123,38.38,38.38,37.25,37.56,11.8981,427900.0,0.0,1.0
1998-07-01,124,38.0,38.25,37.38,38.13,12.0787,270400.0,0.0,1.0
1998-07-02,125,38.38,38.38,37.5,37.88,11.9995,227800.0,0.0,1.0
1998-07-06,126,38.0,38.13,37.5,37.69,11.9393,327600.0,0.0,1.0
1998-07-07,127,37.5,39.5,37.5,38.5,12.1959,712600.0,0.0,1.0
1998-07-08,128,38.5,39.75,38.38,39.38,12.4746,379000.0,0.0,1.0
1998-07-09,129,39.25,40.0,38.88,39.56,12.5317,621300.0,0.0,1.0
1998-07-10,130,39.94,40.5,39.63,40.13,12.7122,233200.0,0.0,1.0
1998-07-13,131,40.5,42.5,39.63,41.75,13.2254,370000.0,0.0,1.0
1998-07-14,132,41.63,42.13,41.13,41.5,13.1462,324200.0,0.0,1.0
1998-07-15,133,41.88,42.38,41.13,42.38,13.425,428300.0,0.0,1.0
1998-07-16,134,42.5,42.5,41.38,41.91,13.2761,150500.0,0.0,1.0
1998-07-17,135,42.25,42.75,41.63,42.44,13.444,150800.0,0.0,1.0
1998-07-20,136,42.31,42.88,41.25,41.5,13.1462,172300.0,0.0,1.0
1998-07-21,137,40.25,40.75,38.5,39.81,12.6109,832100.0,0.0,1.0
1998-07-22,138,39.5,40.0,38.63,39.13,12.3954,444900.0,0.0,1.0
1998-07-23,139,39.13,39.5,37.88,38.44,12.1769,395100.0,0.0,1.0
1998-07-24,140,37.75,38.13,37.0,37.63,11.9203,663600.0,0.0,1.0
1998-07-27,141,37.69,38.0,36.88,37.13,11.7619,591600.0,0.0,1.0
1998-07-28,142,37.0,37.75,36.0,36.31,11.5021,279800.0,0.0,1.0
1998-07-29,143,36.63,37.19,36.31,36.69,11.6225,337000.0,0.0,1.0
1998-07-30,144,37.38,37.5,36.31,37.13,11.7619,172900.0,0.0,1.0
1998-07-31,145,36.75,37.38,34.88,35.5,11.2456,164800.0,0.0,1.0
1998-08-03,146,35.63,36.13,34.5,36.0,11.4039,256800.0,0.0,1.0
1998-08-04,147,36.0,36.5,33.75,34.0,10.7704,807300.0,0.0,1.0
1998-08-05,148,34.0,35.5,33.88,34.44,10.9098,859000.0,0.0,1.0
1998-08-06,149,34.75,34.75,34.0,34.38,10.8908,380000.0,0.0,1.0
1998-08-07,150,35.0,35.63,34.63,35.44,11.2265,552000.0,0.0,1.0
1998-08-10,151,35.38,35.63,34.63,35.63,11.2867,305900.0,0.0,1.0
1998-08-11,152,34.0,34.25,33.13,33.69,10.6722,1069100.0,0.0,1.0
1998-08-12,153,34.0,34.63,33.13,34.44,10.9098,385600.0,0.0,1.0
1998-08-13,154,34.5,35.25,33.56,34.0,10.7704,491500.0,0.0,1.0
1998-08-14,155,34.0,35.25,33.63,34.63,10.97,308500.0,0.0,1.0
