date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,5.125,5.125,5.125,5.125,3.4166,3000.0,0.0,1.0
1998-01-05,1,5.125,5.25,5.125,5.125,3.4166,10067.0,0.0,1.0
1998-01-06,2,5.25,5.625,5.25,5.5,3.6666,6000.0,0.0,1.0
1998-01-07,3,5.75,6.125,5.75,6.125,4.0833,24067.0,0.0,1.0
1998-01-08,4,6.0,6.0,6.0,6.0,4.0,11267.0,0.0,1.0
1998-01-09,5,5.875,6.0,5.875,5.875,3.9166,9000.0,0.0,1.0
1998-01-12,6,5.875,5.875,5.5939999999999985,5.875,3.9166,16267.0,0.0,1.0
1998-01-13,7,5.625,5.75,5.5,5.75,3.8333,10800.0,0.0,1.0
1998-01-14,8,5.563,5.625,5.375,5.625,3.75,46000.0,0.0,1.0
1998-01-15,9,5.5,6.25,5.5,6.0,4.0,34467.0,0.0,1.0
1998-01-16,10,5.875,6.25,5.75,5.875,3.9166,19200.0,0.0,1.0
1998-01-20,11,5.875,6.0,5.7029999999999985,5.875,3.9166,8467.0,0.0,1.0
1998-01-21,12,5.88,5.88,5.88,5.88,3.92,0.0,0.0,1.0
1998-01-22,13,5.625,5.9060000000000015,5.625,5.9060000000000015,3.9373,31800.0,0.0,1.0
1998-01-23,14,6.0,6.1560000000000015,5.875,6.125,4.0833,26267.0,0.0,1.0
1998-01-26,15,5.875,6.2970000000000015,5.875,6.25,4.1666,22267.0,0.0,1.0
1998-01-27,16,6.5,6.563,6.25,6.5,4.3333,45467.0,0.0,1.0
1998-01-28,17,6.25,6.25,6.25,6.25,4.1666,5467.0,0.0,1.0
1998-01-29,18,6.25,6.375,5.875,6.0,4.0,67600.0,0.0,1.0
1998-01-30,19,5.875,6.625,5.875,6.625,4.4166,67200.0,0.0,1.0
1998-02-02,20,6.25,6.625,6.25,6.5,4.3333,14867.0,0.0,1.0
1998-02-03,21,6.625,7.125,6.375,6.813,4.542,80800.0,0.0,1.0
1998-02-04,22,7.125,7.25,7.0,7.0,4.6666,37600.0,0.0,1.0
1998-02-05,23,7.0,7.125,6.75,7.0,4.6666,25600.0,0.0,1.0
1998-02-06,24,6.938,6.938,6.875,6.875,4.5833,4000.0,0.0,1.0
1998-02-09,25,7.0,7.375,6.938,7.375,4.9166,88667.0,0.0,1.0
1998-02-10,26,7.375,7.5,7.25,7.375,4.9166,76667.0,0.0,1.0
1998-02-11,27,7.25,7.5,7.25,7.25,4.8333,36600.0,0.0,1.0
1998-02-12,28,7.625,8.25,7.5,7.875,5.25,89267.0,0.0,1.0
1998-02-13,29,7.875,7.875,7.5,7.5,5.0,16400.0,0.0,1.0
1998-02-17,30,7.375,7.375,7.125,7.125,4.75,9600.0,0.0,1.0
1998-02-18,31,7.0,7.3439999999999985,7.0,7.0,4.6666,74000.0,0.0,1.0
1998-02-19,32,7.0,7.3439999999999985,7.0,7.0,4.6666,4800.0,0.0,1.0
1998-02-20,33,7.25,7.25,7.0,7.25,4.8333,2667.0,0.0,1.0
1998-02-23,34,7.0,7.25,7.0,7.0,4.6666,13800.0,0.0,1.0
1998-02-24,35,7.0,7.25,6.875,7.0,4.6666,22667.0,0.0,1.0
1998-02-25,36,7.125,7.125,6.75,7.125,4.75,16000.0,0.0,1.0
1998-02-26,37,7.063,7.063,6.813,6.813,4.542,3467.0,0.0,1.0
1998-02-27,38,6.813,7.125,6.813,7.125,4.75,31000.0,0.0,1.0
1998-03-02,39,7.125,7.125,7.125,7.125,4.75,2000.0,0.0,1.0
1998-03-03,40,7.125,7.125,6.813,7.125,4.75,11467.0,0.0,1.0
1998-03-04,41,7.125,7.25,6.813,6.813,4.542,5667.0,0.0,1.0
1998-03-05,42,6.875,7.125,6.813,7.125,4.75,12000.0,0.0,1.0
1998-03-06,43,6.813,7.0,6.813,7.0,4.6666,6267.0,0.0,1.0
1998-03-09,44,7.063,7.125,7.0,7.125,4.75,5000.0,0.0,1.0
1998-03-10,45,7.125,7.125,6.25,6.875,4.5833,51467.0,0.0,1.0
1998-03-11,46,7.125,7.125,6.875,6.875,4.5833,73467.0,0.0,1.0
1998-03-12,47,7.125,7.75,7.0,7.688,5.1253,79667.0,0.0,1.0
1998-03-13,48,7.5,7.813,7.375,7.813,5.2086,25467.0,0.0,1.0
1998-03-16,49,7.875,7.875,7.5,7.75,5.1666,31067.0,0.0,1.0
1998-03-17,50,7.5,7.75,7.5,7.5,5.0,13467.0,0.0,1.0
1998-03-18,51,7.75,7.75,7.5,7.75,5.1666,15600.0,0.0,1.0
1998-03-19,52,7.5,7.875,7.5,7.75,5.1666,18667.0,0.0,1.0
1998-03-20,53,7.625,8.25,7.625,8.125,5.4166,52667.0,0.0,1.0
1998-03-23,54,8.125,8.125,8.0,8.062999999999999,5.3753,41867.0,0.0,1.0
1998-03-24,55,8.0,8.125,8.0,8.125,5.4166,31667.0,0.0,1.0
1998-03-25,56,8.125,8.125,8.0,8.125,5.4166,4467.0,0.0,1.0
1998-03-26,57,7.875,8.125,7.625,7.875,5.25,26867.0,0.0,1.0
1998-03-27,58,8.0,8.0,7.75,7.75,5.1666,15200.0,0.0,1.0
1998-03-30,59,7.75,7.75,7.688,7.688,5.1253,9467.0,0.0,1.0
