date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,45.63,47.81,45.38,47.81,8.8706,2919300.0,0.0,1.0
1998-01-05,1,48.0,49.88,47.13,48.31,8.9633,4291600.0,0.0,1.0
1998-01-06,2,47.94,49.44,46.88,47.31,8.7778,2731700.0,0.0,1.0
1998-01-07,3,47.06,47.19,45.13,45.63,8.4661,3456900.0,0.0,1.0
1998-01-08,4,44.5,45.44,43.5,44.31,8.2212,5806800.0,0.0,1.0
1998-01-09,5,44.5,44.5,40.88,41.63,7.724,5741300.0,0.0,1.0
1998-01-12,6,40.25,43.63,40.25,42.5,7.8854,4184600.0,0.0,1.0
1998-01-13,7,44.5,47.25,43.5,47.25,8.7667,6658800.0,0.0,1.0
1998-01-14,8,46.75,47.0,45.44,46.25,8.5811,3316700.0,0.0,1.0
1998-01-15,9,46.25,47.88,45.5,45.75,8.4884,3523700.0,0.0,1.0
1998-01-16,10,45.75,45.88,44.63,45.19,8.3845,3411600.0,0.0,1.0
1998-01-20,11,45.38,46.75,44.56,46.25,8.5811,2909800.0,0.0,1.0
1998-01-21,12,44.88,48.94,44.5,48.0,8.9058,7743200.0,0.0,1.0
1998-01-22,13,47.63,48.13,46.25,46.75,8.6739,4823800.0,0.0,1.0
1998-01-23,14,47.25,48.5,46.56,48.38,8.9763,3676200.0,0.0,1.0
1998-01-26,15,49.0,49.5,48.56,48.75,9.045,2878300.0,0.0,1.0
1998-01-27,16,49.25,51.88,49.0,51.5,9.5552,4018400.0,0.0,1.0
1998-01-28,17,53.5,56.0,53.31,55.31,10.2621,6975600.0,0.0,1.0
1998-01-29,18,55.0,56.5,52.5,53.38,9.904,4281200.0,0.0,1.0
1998-01-30,19,53.75,55.5,53.69,54.63,10.136,3905600.0,0.0,1.0
1998-02-02,20,56.38,56.5,55.19,55.5,10.2974,2811300.0,0.0,1.0
1998-02-03,21,55.81,58.44,55.75,57.75,10.7148,3685500.0,0.0,1.0
1998-02-04,22,57.5,57.94,56.44,56.81,10.5404,4479700.0,0.0,1.0
1998-02-05,23,57.0,57.88,54.38,54.5,10.1118,3882200.0,0.0,1.0
1998-02-06,24,53.5,54.88,53.19,53.88,9.9968,3713300.0,0.0,1.0
1998-02-09,25,54.0,54.38,52.19,53.63,9.9504,2712600.0,0.0,1.0
1998-02-10,26,54.13,57.5,54.0,55.75,10.3438,5178800.0,0.0,1.0
1998-02-11,27,55.81,56.81,54.75,56.38,10.4606,3380000.0,0.0,1.0
1998-02-12,28,56.69,56.88,54.19,56.31,10.4477,3261900.0,0.0,1.0
1998-02-13,29,56.38,57.19,55.63,55.81,10.3549,1948100.0,0.0,1.0
1998-02-17,30,56.06,56.75,55.0,55.13,10.2287,2233800.0,0.0,1.0
1998-02-18,31,55.13,56.69,54.88,56.5,10.4829,2351700.0,0.0,1.0
1998-02-19,32,57.31,59.38,55.88,58.88,10.9245,5522300.0,0.0,1.0
1998-02-20,33,59.75,59.75,57.25,58.88,10.9245,4285900.0,0.0,1.0
1998-02-23,34,59.38,60.06,58.5,59.31,11.0043,3380500.0,0.0,1.0
1998-02-24,35,59.56,59.69,57.38,57.38,10.6462,3214300.0,0.0,1.0
1998-02-25,36,57.56,61.5,57.31,61.25,11.3642,4109800.0,0.0,1.0
1998-02-26,37,61.06,62.75,59.88,61.5,11.4106,4776600.0,0.0,1.0
1998-02-27,38,60.0,60.88,57.5,58.0,10.7612,5682600.0,0.0,1.0
1998-03-02,39,57.75,57.81,54.75,55.5,10.2974,6286600.0,0.0,1.0
1998-03-03,40,53.0,55.0,52.5,53.06,9.8447,5224500.0,0.0,1.0
