date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2005-11-18,0,31.0,31.0,24.39,25.3,3.1625,17963300.0,0.0,1.0
2005-11-21,1,26.03,26.95,25.5,26.15,3.2687,4209600.0,0.0,1.0
2005-11-22,2,25.5,25.85,22.75,23.5,2.9375,3219400.0,0.0,1.0
2005-11-23,3,23.94,24.1,23.51,23.8,2.975,1031700.0,0.0,1.0
2005-11-25,4,23.825,24.0,23.5,23.68,2.96,291300.0,0.0,1.0
2005-11-28,5,23.68,24.2,23.58,23.7,2.9625,810600.0,0.0,1.0
2005-11-29,6,23.56,23.65,21.08,21.35,2.6688,2030200.0,0.0,1.0
2005-11-30,7,21.33,22.71,21.27,22.51,2.8138,804100.0,0.0,1.0
2005-12-01,8,22.845,23.73,22.6,23.15,2.8937,729600.0,0.0,1.0
2005-12-02,9,23.71,25.0,23.251,24.66,3.0825,1179300.0,0.0,1.0
2005-12-05,10,25.12,25.9,24.55,25.66,3.2075,706700.0,0.0,1.0
2005-12-06,11,26.06,26.16,24.52,24.7,3.0875,577200.0,0.0,1.0
2005-12-07,12,24.91,25.65,24.91,25.65,3.2062,440400.0,0.0,1.0
2005-12-08,13,25.5,25.88,25.3,25.5,3.1875,249100.0,0.0,1.0
2005-12-09,14,25.6,25.84,24.8,25.0,3.125,199900.0,0.0,1.0
2005-12-12,15,25.0,25.58,24.75,25.49,3.1862,327800.0,0.0,1.0
2005-12-13,16,25.76,25.9,25.25,25.59,3.1987,266100.0,0.0,1.0
2005-12-14,17,26.0,27.25,25.87,27.0,3.375,1031100.0,0.0,1.0
2005-12-15,18,27.0,27.65,26.8,27.39,3.4238,531300.0,0.0,1.0
2005-12-16,19,27.38,27.64,26.51,27.64,3.455,1004600.0,0.0,1.0
2005-12-19,20,27.59,27.6,25.15,26.49,3.3112,892700.0,0.0,1.0
2005-12-20,21,27.54,28.29,26.85,28.07,3.5088,1447600.0,0.0,1.0
2005-12-21,22,28.145,28.8,27.89,28.55,3.5688,1235600.0,0.0,1.0
2005-12-22,23,28.58,28.833,27.99,28.7,3.5875,535700.0,0.0,1.0
2005-12-23,24,28.7,31.724,28.55,31.22,3.9025,1889200.0,0.0,1.0
