date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,50.44,50.44,49.38,49.56,11.4136,82100.0,0.0,1.0
1998-01-05,1,49.69,49.69,49.13,49.25,11.3422,15300.0,0.0,1.0
1998-01-06,2,49.19,49.19,48.94,49.06,11.2984,18900.0,0.0,1.0
1998-01-07,3,49.06,49.13,49.0,49.06,11.2984,263300.0,0.0,1.0
1998-01-08,4,49.19,49.19,48.81,48.94,11.2708,42400.0,0.0,1.0
1998-01-09,5,49.0,49.0,48.38,48.63,11.1994,32900.0,0.0,1.0
1998-01-12,6,48.44,49.38,48.44,49.0,11.2846,207600.0,0.0,1.0
1998-01-13,7,49.06,50.0,49.06,49.94,11.5011,39600.0,0.0,1.0
1998-01-14,8,50.19,50.31,49.5,49.5,11.3997,113200.0,0.0,1.0
1998-01-15,9,49.75,49.75,48.25,48.38,11.1418,96300.0,0.0,1.0
1998-01-16,10,48.5,48.5,48.13,48.19,11.098,61300.0,0.0,1.0
1998-01-20,11,48.19,48.25,47.88,48.25,11.1119,62500.0,0.0,1.0
1998-01-21,12,48.25,48.25,47.44,47.81,11.0105,81700.0,0.0,1.0
1998-01-22,13,48.0,48.0,47.06,47.38,10.9115,57800.0,0.0,1.0
1998-01-23,14,47.38,48.0,45.75,47.44,10.9253,211400.0,0.0,1.0
1998-01-26,15,47.56,48.13,46.88,46.88,10.7964,44500.0,0.0,1.0
1998-01-27,16,47.0,47.38,46.06,46.19,10.6375,42300.0,0.0,1.0
1998-01-28,17,46.44,46.75,46.44,46.56,10.7227,35600.0,0.0,1.0
1998-01-29,18,46.44,47.0,46.44,46.56,10.7227,46700.0,0.0,1.0
1998-01-30,19,46.56,46.69,46.44,46.63,10.7388,73200.0,0.0,1.0
1998-02-02,20,46.88,47.13,46.69,47.06,10.8378,90700.0,0.0,1.0
1998-02-03,21,47.0,48.0,46.88,47.75,10.9967,104800.0,0.0,1.0
1998-02-04,22,47.69,48.19,47.31,48.19,11.098,55100.0,0.0,1.0
1998-02-05,23,48.31,48.56,48.06,48.19,11.098,30900.0,0.0,1.0
1998-02-06,24,48.0,48.13,47.88,48.06,11.0681,60200.0,0.0,1.0
1998-02-09,25,48.06,48.44,47.81,48.44,11.1556,32300.0,0.0,1.0
1998-02-10,26,48.44,49.13,48.44,49.13,11.3145,29200.0,0.0,1.0
1998-02-11,27,49.56,50.0,49.56,49.94,11.5011,54500.0,0.0,1.0
1998-02-12,28,49.88,49.88,48.81,48.81,11.2408,25100.0,0.0,1.0
1998-02-13,29,48.81,49.44,48.75,49.44,11.3859,115900.0,0.0,1.0
1998-02-17,30,49.94,50.5,49.94,50.44,11.6162,21100.0,0.0,1.0
1998-02-18,31,50.31,51.44,50.31,51.38,11.8327,120100.0,0.0,1.0
1998-02-19,32,51.13,51.69,51.13,51.5,11.8603,120800.0,0.0,1.0
1998-02-20,33,51.5,51.94,51.38,51.88,11.9478,88000.0,0.0,1.0
1998-02-23,34,51.88,51.88,50.69,51.06,11.759,87400.0,0.0,1.0
1998-02-24,35,50.94,50.94,50.56,50.56,11.6439,35300.0,0.0,1.0
1998-02-25,36,50.56,50.81,50.38,50.56,11.6439,42500.0,0.0,1.0
1998-02-26,37,50.69,51.75,50.63,51.5,11.8603,194200.0,0.0,1.0
1998-02-27,38,51.5,52.25,51.5,52.25,12.0331,68300.0,0.0,1.0
1998-03-02,39,52.19,53.63,52.19,53.5,12.3209,108500.0,0.0,1.0
1998-03-03,40,53.5,54.63,53.5,54.56,12.565,107000.0,0.0,1.0
1998-03-04,41,54.44,54.81,53.5,53.94,12.4223,169100.0,0.0,1.0
1998-03-05,42,53.88,53.88,52.88,53.38,12.2933,91500.0,0.0,1.0
1998-03-06,43,53.5,54.75,53.5,54.75,12.6088,93400.0,0.0,1.0
1998-03-09,44,54.75,55.5,54.75,55.5,12.7815,75800.0,0.0,1.0
1998-03-10,45,55.38,55.88,55.25,55.56,12.7953,36800.0,0.0,1.0
1998-03-11,46,55.56,56.38,54.5,56.13,12.9266,138500.0,0.0,1.0
1998-03-12,47,55.94,56.69,55.63,56.69,13.0556,68300.0,0.0,1.0
1998-03-13,48,56.81,56.94,55.63,56.06,12.9105,85600.0,0.0,1.0
1998-03-16,49,56.25,57.0,56.19,56.81,13.0832,31200.0,0.0,1.0
1998-03-17,50,56.81,57.38,56.81,57.38,13.2145,41000.0,0.0,1.0
1998-03-18,51,57.38,57.38,57.06,57.13,13.1569,39300.0,0.0,1.0
