date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2007-10-25,0,33.0,35.0,28.89,29.82,29.4871,7486900.0,0.0,1.0
2007-10-26,1,29.69,32.98,29.25,32.0,31.6428,1625600.0,0.0,1.0
2007-10-29,2,34.0,35.0,32.65,34.7,34.3126,667900.0,0.0,1.0
2007-10-30,3,35.22,35.6,33.0,35.43,35.0345,455600.0,0.0,1.0
2007-10-31,4,34.93,35.63,32.95,34.2,33.8182,393200.0,0.0,1.0
2007-11-01,5,33.5,33.5,32.14,32.73,32.3646,453900.0,0.0,1.0
2007-11-02,6,32.74,32.97,31.52,32.42,32.0581,276000.0,0.0,1.0
2007-11-05,7,31.61,32.25,31.11,31.5,31.1484,342300.0,0.0,1.0
2007-11-06,8,31.51,31.9,31.35,31.43,31.0791,223100.0,0.0,1.0
2007-11-07,9,31.3,31.3,29.25,29.35,29.0224,525600.0,0.0,1.0
2007-11-08,10,29.25,30.15,29.25,30.0,29.6651,411100.0,0.0,1.0
2007-11-09,11,29.65,30.08,29.06,29.9,29.5662,213400.0,0.0,1.0
2007-11-12,12,29.67,31.16,29.04,29.04,28.7158,112900.0,0.0,1.0
2007-11-13,13,29.3,30.0,28.41,29.13,28.8048,236700.0,0.0,1.0
2007-11-14,14,29.16,30.25,29.1,29.95,29.6157,244500.0,0.0,1.0
2007-11-15,15,29.71,30.69,29.71,30.2,29.8629,76800.0,0.0,1.0
2007-11-16,16,30.2,30.7,30.0,30.69,30.3474,88900.0,0.0,1.0
2007-11-19,17,30.05,30.69,28.75,29.19,28.8641,238300.0,0.0,1.0
2007-11-20,18,29.71,29.72,25.26,27.0,26.6986,742900.0,0.0,1.0
2007-11-21,19,26.33,26.41,23.26,24.35,24.0782,810400.0,0.0,1.0
2007-11-23,20,23.74,24.24,22.85,24.17,23.9002,100200.0,0.0,1.0
2007-11-26,21,24.77,25.33,24.0,24.2,23.9299,233800.0,0.0,1.0
2007-11-27,22,24.44,25.0,23.8,23.87,23.6035,211200.0,0.0,1.0
2007-11-28,23,24.47,25.31,24.2,24.85,24.5726,417400.0,0.0,1.0
2007-11-29,24,24.49,25.02,24.19,24.79,24.5133,341700.0,0.0,1.0
2007-11-30,25,25.0,26.23,24.76,25.74,25.4527,199100.0,0.0,1.0
2007-12-03,26,25.98,26.75,25.55,26.3,26.0064,319200.0,0.0,1.0
2007-12-04,27,26.29,26.66,25.73,25.85,25.5614,180500.0,0.0,1.0
2007-12-05,28,26.08,26.75,26.01,26.54,26.2437,168500.0,0.0,1.0
2007-12-06,29,26.55,27.5,26.55,27.49,27.1831,102100.0,0.0,1.0
2007-12-07,30,27.67,28.85,27.66,27.98,27.6677,103200.0,0.0,1.0
