date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,54.38,54.63,53.5,54.19,36.0835,201100.0,0.0,1.0
1998-01-05,1,54.0,54.0,52.69,52.94,35.2511,257600.0,0.0,1.0
1998-01-06,2,52.94,53.0,52.0,52.38,34.8782,274100.0,0.0,1.0
1998-01-07,3,51.5,52.5,51.38,52.5,34.9581,346800.0,0.0,1.0
1998-01-08,4,52.19,52.25,51.56,51.94,34.5853,174600.0,0.0,1.0
1998-01-09,5,51.88,52.25,49.19,49.63,33.0471,331100.0,0.0,1.0
1998-01-12,6,49.13,50.63,49.13,50.56,33.6664,234000.0,0.0,1.0
1998-01-13,7,50.81,51.0,50.38,51.0,33.9593,172300.0,0.0,1.0
1998-01-14,8,51.0,51.5,50.88,51.5,34.2923,238500.0,0.0,1.0
1998-01-15,9,51.13,51.63,51.0,51.0,33.9593,273400.0,0.0,1.0
1998-01-16,10,50.75,51.19,50.5,51.13,34.0459,318800.0,0.0,1.0
1998-01-20,11,51.0,52.13,50.63,52.0,34.6252,310000.0,0.0,1.0
1998-01-21,12,51.75,51.94,50.56,51.0,33.9593,317600.0,0.0,1.0
1998-01-22,13,50.5,50.88,49.44,49.75,33.2219,335700.0,0.1425,1.0
1998-01-23,14,49.5,49.63,48.25,49.0,32.7211,452600.0,0.0,1.0
1998-01-26,15,49.0,49.88,48.5,49.0,32.7211,273900.0,0.0,1.0
1998-01-27,16,48.63,49.44,48.0,48.13,32.1401,596200.0,0.0,1.0
1998-01-28,17,48.25,49.5,48.25,49.0,32.7211,288800.0,0.0,1.0
1998-01-29,18,49.06,49.5,48.75,48.94,32.681,315100.0,0.0,1.0
1998-01-30,19,49.0,49.0,48.44,48.63,32.474000000000004,415600.0,0.0,1.0
1998-02-02,20,48.75,49.94,48.5,49.88,33.3087,486300.0,0.0,1.0
1998-02-03,21,50.5,51.13,49.94,51.0,34.0566,344000.0,0.0,1.0
1998-02-04,22,50.75,51.0,50.13,50.38,33.6426,305800.0,0.0,1.0
1998-02-05,23,50.13,50.19,48.31,49.63,33.1418,431500.0,0.0,1.0
1998-02-06,24,49.63,50.38,49.5,49.94,33.3488,463300.0,0.0,1.0
1998-02-09,25,50.0,50.0,49.0,49.31,32.9281,599200.0,0.0,1.0
1998-02-10,26,49.5,50.38,49.38,49.5,33.0549,1227800.0,0.0,1.0
1998-02-11,27,50.0,50.75,49.63,50.13,33.4756,942700.0,0.0,1.0
1998-02-12,28,49.88,50.25,49.81,49.88,33.3087,665000.0,0.0,1.0
1998-02-13,29,50.13,51.94,50.06,50.63,33.8095,609000.0,0.0,1.0
1998-02-17,30,50.75,51.75,50.56,50.75,33.8897,253100.0,0.0,1.0
1998-02-18,31,50.75,51.38,50.63,51.06,34.0967,304300.0,0.0,1.0
1998-02-19,32,51.0,51.31,50.25,50.69,33.8496,436600.0,0.0,1.0
1998-02-20,33,50.94,50.94,49.88,50.81,33.9297,454000.0,0.0,1.0
1998-02-23,34,51.06,51.06,50.25,50.5,33.7227,615800.0,0.0,1.0
1998-02-24,35,51.88,51.88,50.0,50.13,33.4756,789000.0,0.0,1.0
