date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,62.38,62.94,61.94,62.25,10.5223,251000.0,0.0,1.0
1998-01-05,63.25,63.25,62.0,62.31,10.5324,407200.0,0.0,1.0
1998-01-06,61.88,62.19,61.0,61.69,10.4276,791100.0,0.0,1.0
1998-01-07,62.0,63.38,61.56,63.38,10.7133,711400.0,0.0,1.0
1998-01-08,62.75,63.13,62.56,63.0,10.6491,653200.0,0.0,1.0
1998-01-09,62.88,62.94,59.75,60.13,10.1639,288100.0,0.0,1.0
1998-01-12,59.38,61.44,59.06,61.44,10.3854,667900.0,0.0,1.0
1998-01-13,61.44,61.5,60.44,60.63,10.2484,472000.0,0.0,1.0
1998-01-14,60.63,60.63,59.88,60.13,10.1639,440100.0,0.0,1.0
1998-01-15,59.75,59.94,58.88,59.69,10.0896,431000.0,0.0,1.0
1998-01-16,60.0,60.19,59.56,59.75,10.0997,794400.0,0.0,1.0
1998-01-20,59.75,60.25,59.5,59.94,10.1318,523900.0,0.0,1.0
1998-01-21,59.75,59.75,58.69,59.0,9.9729,537100.0,0.0,1.0
1998-01-22,58.56,58.63,57.38,58.19,9.836,668400.0,0.0,1.0
1998-01-23,58.19,58.5,57.81,58.0,9.8039,1135500.0,0.0,1.0
1998-01-26,58.19,58.75,58.19,58.25,9.8461,599400.0,0.0,1.0
1998-01-27,58.25,58.94,57.88,58.19,9.836,751100.0,0.0,1.0
1998-01-28,58.0,59.13,58.0,58.75,9.9307,728500.0,0.0,1.0
1998-01-29,58.81,61.0,58.63,60.19,10.1741,728700.0,0.0,1.0
1998-01-30,60.06,60.19,59.88,60.0,10.142,526100.0,0.0,1.0
1998-02-02,60.5,60.56,60.0,60.25,10.1842,709400.0,0.0,1.0
1998-02-03,60.25,60.63,59.75,59.75,10.0997,668800.0,0.0,1.0
1998-02-04,59.88,61.56,59.56,61.44,10.3854,599000.0,0.0,1.0
1998-02-05,62.25,62.38,61.75,61.81,10.4479,559900.0,0.0,1.0
1998-02-06,62.0,63.75,62.0,63.0,10.6491,543000.0,0.0,1.0
1998-02-09,62.13,62.31,61.13,61.31,10.3634,799600.0,0.0,1.0
1998-02-10,61.56,61.56,59.25,59.25,10.0152,1209800.0,0.0,1.0
1998-02-11,59.38,60.25,59.25,59.75,10.0997,1125800.0,0.0,1.0
1998-02-12,59.88,59.88,59.0,59.56,10.0676,642200.0,0.0,1.0
1998-02-13,59.31,60.0,58.63,58.81,9.9408,648100.0,0.0,1.0
1998-02-17,60.0,60.06,59.25,60.06,10.1521,603200.0,0.0,1.0
1998-02-18,60.13,60.94,59.94,60.56,10.2366,944400.0,0.0,1.0
1998-02-19,60.38,60.5,59.75,60.5,10.2265,815200.0,0.0,1.0
1998-02-20,60.63,60.94,60.13,60.81,10.2789,696900.0,0.0,1.0
1998-02-23,60.81,61.19,59.25,59.63,10.0794,579100.0,0.0,1.0
