date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,20.25,20.25,19.06,20.06,20.06,209500.0,0.0,1.0
1998-01-05,1,20.5,20.75,18.25,18.81,18.81,384300.0,0.0,1.0
1998-01-06,2,19.38,19.88,18.63,19.38,19.38,195600.0,0.0,1.0
1998-01-07,3,19.44,19.44,18.38,18.88,18.88,97700.0,0.0,1.0
1998-01-08,4,19.0,19.19,18.44,18.44,18.44,61300.0,0.0,1.0
1998-01-09,5,18.69,18.69,17.5,18.25,18.25,101700.0,0.0,1.0
1998-01-12,6,18.25,18.25,17.25,17.81,17.81,138500.0,0.0,1.0
1998-01-13,7,19.38,20.0,19.0,19.88,19.88,297400.0,0.0,1.0
1998-01-14,8,20.31,20.75,20.0,20.63,20.63,135600.0,0.0,1.0
1998-01-15,9,20.75,22.5,20.75,21.13,21.13,219900.0,0.0,1.0
1998-01-16,10,21.38,21.56,21.13,21.38,21.38,47300.0,0.0,1.0
1998-01-20,11,21.81,22.5,21.81,21.94,21.94,60600.0,0.0,1.0
1998-01-21,12,21.94,23.38,21.94,22.25,22.25,89700.0,0.0,1.0
1998-01-22,13,22.38,22.75,22.0,22.06,22.06,29500.0,0.0,1.0
1998-01-23,14,22.25,22.25,21.13,21.75,21.75,48100.0,0.0,1.0
1998-01-26,15,22.25,22.44,21.5,21.88,21.88,40000.0,0.0,1.0
1998-01-27,16,22.0,22.38,21.81,22.19,22.19,106600.0,0.0,1.0
1998-01-28,17,22.38,23.25,22.38,23.0,23.0,44300.0,0.0,1.0
1998-01-29,18,23.13,23.88,23.0,23.63,23.63,22200.0,0.0,1.0
1998-01-30,19,23.5,24.0,23.25,23.88,23.88,24000.0,0.0,1.0
1998-02-02,20,25.0,25.0,23.69,24.5,24.5,63000.0,0.0,1.0
1998-02-03,21,24.63,24.63,24.19,24.31,24.31,34900.0,0.0,1.0
1998-02-04,22,24.5,25.63,24.38,25.5,25.5,71900.0,0.0,1.0
1998-02-05,23,24.75,25.25,24.38,24.94,24.94,130700.0,0.0,1.0
1998-02-06,24,25.25,25.75,25.25,25.63,25.63,32000.0,0.0,1.0
1998-02-09,25,26.25,26.56,25.94,26.0,26.0,62100.0,0.0,1.0
1998-02-10,26,26.0,26.63,25.75,26.5,26.5,80100.0,0.0,1.0
1998-02-11,27,27.13,27.38,26.5,27.13,27.13,41700.0,0.0,1.0
1998-02-12,28,27.13,27.13,26.5,26.5,26.5,28400.0,0.0,1.0
1998-02-13,29,26.5,26.88,26.0,26.06,26.06,58500.0,0.0,1.0
1998-02-17,30,26.19,26.88,26.19,26.88,26.88,18000.0,0.0,1.0
1998-02-18,31,26.75,26.88,25.81,25.81,25.81,26100.0,0.0,1.0
1998-02-19,32,25.75,25.75,23.75,24.56,24.56,76300.0,0.0,1.0
1998-02-20,33,24.5,25.44,24.5,24.63,24.63,30600.0,0.0,1.0
1998-02-23,34,24.88,25.5,24.88,25.31,25.31,29200.0,0.0,1.0
1998-02-24,35,25.44,25.5,25.19,25.19,25.19,6400.0,0.0,1.0
1998-02-25,36,25.44,25.44,25.06,25.44,25.44,9800.0,0.0,1.0
1998-02-26,37,25.19,25.25,25.13,25.13,25.13,2900.0,0.0,1.0
1998-02-27,38,25.25,25.44,24.69,24.69,24.69,31400.0,0.0,1.0
1998-03-02,39,24.81,25.25,24.5,24.94,24.94,45100.0,0.0,1.0
1998-03-03,40,25.06,25.63,25.06,25.5,25.5,23700.0,0.0,1.0
1998-03-04,41,25.56,26.38,25.56,26.38,26.38,62700.0,0.0,1.0
1998-03-05,42,26.25,26.38,25.56,25.56,25.56,74700.0,0.0,1.0
1998-03-06,43,26.25,26.69,25.56,25.56,25.56,2289400.0,0.0,1.0
1998-03-09,44,25.56,26.13,25.38,25.56,25.56,463200.0,0.0,1.0
1998-03-10,45,25.63,25.75,25.13,25.13,25.13,284100.0,0.0,1.0
1998-03-11,46,25.19,25.31,24.0,25.13,25.13,253100.0,0.0,1.0
1998-03-12,47,25.31,25.63,25.25,25.38,25.38,242400.0,0.0,1.0
1998-03-13,48,25.5,25.63,25.0,25.5,25.5,107500.0,0.0,1.0
1998-03-16,49,25.38,25.38,25.0,25.06,25.06,64800.0,0.0,1.0
1998-03-17,50,25.19,25.63,25.06,25.63,25.63,266100.0,0.0,1.0
1998-03-18,51,25.38,25.38,24.25,24.25,24.25,402500.0,0.0,1.0
1998-03-19,52,24.38,25.0,24.38,24.5,24.5,318000.0,0.0,1.0
1998-03-20,53,24.25,24.25,23.5,23.5,23.5,273500.0,0.0,1.0
1998-03-23,54,23.5,23.75,21.5,21.94,21.94,486500.0,0.0,1.0
1998-03-24,55,22.75,24.38,22.63,24.38,24.38,391600.0,0.0,1.0
1998-03-25,56,24.5,25.25,24.06,24.88,24.88,256600.0,0.0,1.0
1998-03-26,57,24.5,24.63,24.19,24.25,24.25,57200.0,0.0,1.0
1998-03-27,58,24.25,25.38,24.25,25.25,25.25,80500.0,0.0,1.0
1998-03-30,59,25.0,25.0,24.25,24.56,24.56,201700.0,0.0,1.0
1998-03-31,60,24.5,26.0,24.5,26.0,26.0,146300.0,0.0,1.0
1998-04-01,61,26.0,26.0,25.0,25.31,25.31,60500.0,0.0,1.0
1998-04-02,62,25.25,25.38,25.0,25.31,25.31,79900.0,0.0,1.0
