date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,73.31,74.0,71.81,73.13,12.0714,472600.0,0.0,1.0
1998-01-05,1,73.38,74.13,72.75,73.06,12.0599,720500.0,0.0,1.0
1998-01-06,2,72.75,73.0,72.06,72.25,11.9262,580500.0,0.0,1.0
1998-01-07,3,71.0,72.0,70.56,72.0,11.8849,779200.0,0.0,1.0
1998-01-08,4,72.0,72.25,71.0,71.38,11.7826,577900.0,0.0,1.0
1998-01-09,5,70.88,70.88,67.69,68.5,11.3072,839400.0,0.0,1.0
1998-01-12,6,68.0,69.81,67.0,69.69,11.5036,1810000.0,0.0,1.0
1998-01-13,7,69.69,71.19,69.63,70.94,11.7099,780000.0,0.0,1.0
1998-01-14,8,70.94,72.5,70.81,72.38,11.9476,642900.0,0.0,1.0
1998-01-15,9,72.13,72.13,70.75,70.88,11.7,597600.0,0.0,1.0
1998-01-16,10,71.38,71.81,70.75,71.25,11.7611,746900.0,0.0,1.0
1998-01-20,11,71.31,71.69,70.25,71.38,11.7826,899500.0,0.0,1.0
1998-01-21,12,71.0,72.25,71.0,71.63,11.8238,379800.0,0.0,1.0
1998-01-22,13,72.25,76.63,72.25,74.63,12.319,1639200.0,0.0,1.0
1998-01-23,14,75.5,75.75,74.13,74.69,12.329,1507100.0,0.0,1.0
1998-01-26,15,75.5,78.63,74.88,78.31,12.9265,1479400.0,0.0,1.0
1998-01-27,16,78.25,79.44,77.75,78.94,13.0305,998000.0,0.0,1.0
1998-01-28,17,79.5,81.31,79.13,81.31,13.4217,1074900.0,0.0,1.0
1998-01-29,18,80.38,82.88,80.38,82.63,13.6396,1202200.0,0.0,1.0
1998-01-30,19,82.88,82.88,80.5,81.25,13.4118,962500.0,0.0,1.0
1998-02-02,20,82.75,84.63,82.75,84.5,13.9483,1061200.0,0.0,1.0
1998-02-03,21,84.0,85.5,83.0,85.31,14.082,908600.0,0.0,1.0
1998-02-04,22,84.75,84.75,83.88,84.63,13.9697,618000.0,0.0,1.0
1998-02-05,23,84.69,85.06,83.38,84.63,13.9697,458200.0,0.0,1.0
1998-02-06,24,84.0,85.0,83.88,84.81,13.9994,695700.0,0.0,1.0
1998-02-09,25,84.88,84.94,84.13,84.38,13.9285,475300.0,0.0,1.0
1998-02-10,26,85.0,88.0,84.5,87.0,14.3609,1114000.0,0.0,1.0
1998-02-11,27,87.06,87.38,86.06,86.44,14.2685,571300.0,0.0,1.0
1998-02-12,28,86.0,88.0,85.38,87.25,14.4022,440500.0,0.0,1.0
1998-02-13,29,87.0,87.25,85.0,85.88,14.1761,444600.0,0.0,1.0
