date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2008-03-19,0,59.5,69.0,55.0,56.5,13.0463,177121500.0,0.0,1.0
2008-03-20,1,58.47,65.0,57.5,64.35,14.859000000000002,49746300.0,0.0,1.0
2008-03-24,2,67.24,67.7,59.0,59.73,13.7922,37391600.0,0.0,1.0
2008-03-25,3,60.63,64.25,59.82,63.25,14.605,21773000.0,0.0,1.0
2008-03-26,4,62.5,64.48,61.57,63.96,14.7689,10777900.0,0.0,1.0
2008-03-27,5,64.05,64.74,62.65,62.91,14.5264,9957400.0,0.0,1.0
2008-03-28,6,63.1,63.44,62.16,62.76,14.4918,6168800.0,0.0,1.0
2008-03-31,7,62.7,63.48,62.05,62.36,14.3994,5539300.0,0.0,1.0
2008-04-01,8,63.0,63.68,60.31,61.61,14.2263,15102700.0,0.0,1.0
2008-04-02,9,61.79,62.32,60.5,62.32,14.3902,10959100.0,0.0,1.0
2008-04-03,10,61.93,66.29,61.82,65.5,15.1245,25217000.0,0.0,1.0
2008-04-04,11,64.87,65.32,63.75,64.48,14.889,9098600.0,0.0,1.0
2008-04-07,12,65.02,65.8,64.02,65.04,15.0183,7075400.0,0.0,1.0
2008-04-08,13,65.2,68.24,64.81,68.09,15.7225,13481400.0,0.0,1.0
2008-04-09,14,68.35,68.72,65.61,65.79,15.1915,12081100.0,0.0,1.0
2008-04-10,15,66.67,66.73,65.11,66.11,15.2654,5593000.0,0.0,1.0
2008-04-11,16,65.25,66.77,65.25,66.11,15.2654,6605400.0,0.0,1.0
2008-04-14,17,66.98,67.24,65.53,65.68,15.1661,7110900.0,0.0,1.0
2008-04-15,18,66.54,66.55,64.0,64.35,14.859000000000002,5972000.0,0.0,1.0
2008-04-16,19,65.0,66.95,64.56,66.14,15.2723,6284200.0,0.0,1.0
2008-04-17,20,66.47,67.75,66.01,67.04,15.4801,5614900.0,0.0,1.0
2008-04-18,21,68.1,70.447,67.2,69.0,15.9327,26024900.0,0.0,1.0
2008-04-21,22,69.7,72.5,68.85,70.97,16.3876,14712000.0,0.0,1.0
2008-04-22,23,72.1,72.4,70.0,70.28,16.2282,11839400.0,0.0,1.0
2008-04-23,24,71.15,71.7,69.69,70.08,16.1821,9329900.0,0.0,1.0
2008-04-24,25,71.2,72.99,70.04,72.3,16.6947,9521700.0,0.0,1.0
2008-04-25,26,76.0,76.08,73.91,75.1,17.3412,25365000.0,0.0,1.0
2008-04-28,27,76.22,77.29,74.9,75.63,17.4636,33129300.0,0.0,1.0
2008-04-29,28,73.28,80.88,71.0,80.88,18.6759,49327100.0,0.0,1.0
2008-04-30,29,81.21,84.81,81.07,83.45,19.2693,36885900.0,0.0,1.0
2008-05-01,30,84.68,87.64,83.9,85.4,19.7196,29098900.0,0.0,1.0
2008-05-02,31,87.25,87.5,81.0,82.75,19.1077,34162200.0,0.0,1.0
2008-05-05,32,82.85,85.5,80.82,85.06,19.6411,17594300.0,0.0,1.0
2008-05-06,33,85.39,88.15,84.75,87.53,20.2114,18978300.0,0.0,1.0
2008-05-07,34,88.99,89.84,87.66,88.5,20.4354,25116200.0,0.0,1.0
2008-05-08,35,89.5,89.75,85.94,87.3,20.1583,23209100.0,0.0,1.0
2008-05-09,36,85.77,86.6699,82.52,82.86,19.1331,23578000.0,0.0,1.0
2008-05-12,37,83.73,84.48,78.1,81.9,18.9114,36867900.0,0.0,1.0
2008-05-13,38,81.75,83.5,80.79,82.38,19.0222,13312400.0,0.0,1.0
2008-05-14,39,83.34,84.35,81.45,82.23,18.9876,12850100.0,0.0,1.0
2008-05-15,40,82.45,82.93,81.11,82.25,18.9922,9172200.0,0.0,1.0
2008-05-16,41,82.71,82.85,81.26,82.37,19.0199,8516700.0,0.0,1.0
2008-05-19,42,82.31,84.74,82.15,83.32,19.2393,11368300.0,0.0,1.0
2008-05-20,43,82.88,83.84,81.91,82.74,19.1054,10175500.0,0.0,1.0
2008-05-21,44,82.38,83.43,80.52,80.85,18.6689,10457900.0,0.0,1.0
2008-05-22,45,80.57,80.6,76.16,77.31,17.8515,21320900.0,0.0,1.0
2008-05-23,46,75.79,77.31,75.12,76.35,17.6299,10549100.0,0.0,1.0
2008-05-27,47,76.92,78.94,74.36,78.74,18.1817,15694100.0,0.0,1.0
2008-05-28,48,80.29,81.95,79.55,81.92,18.916,13249000.0,0.0,1.0
2008-05-29,49,83.28,86.95,83.01,85.25,19.6849,25153300.0,0.0,1.0
2008-05-30,50,86.01,87.56,85.81,86.36,19.9412,18004000.0,0.0,1.0
2008-06-02,51,86.21,86.95,84.6,86.07,19.8743,9214000.0,0.0,1.0
2008-06-03,52,87.01,87.95,86.03,87.56,20.2183,12102900.0,0.0,1.0
2008-06-04,53,87.08,88.1,85.28,85.48,19.738,10171100.0,0.0,1.0
2008-06-05,54,86.46,87.24,85.59,87.24,20.1444,6764900.0,0.0,1.0
2008-06-06,55,85.9,85.99,83.55,83.65,19.3155,10437000.0,0.0,1.0
2008-06-09,56,84.0,84.95,80.56,82.14,18.9668,11310000.0,0.0,1.0
2008-06-10,57,80.05,82.87,79.61,80.31,18.5443,9012100.0,0.0,1.0
2008-06-11,58,81.0,81.0,77.6,77.74,17.9508,14249100.0,0.0,1.0
2008-06-12,59,78.95,80.77,78.55,79.56,18.3711,11151400.0,0.0,1.0
2008-06-13,60,80.15,81.81,80.15,81.53,18.826,7672300.0,0.0,1.0
2008-06-16,61,81.34,83.5,81.1,83.27,19.2277,8596000.0,0.0,1.0
2008-06-17,62,84.1,84.98,83.68,84.67,19.551,8319400.0,0.0,1.0
2008-06-18,63,83.7,84.7,83.44,83.86,19.364,8431000.0,0.0,1.0
2008-06-19,64,83.48,84.4,81.6201,84.27,19.4586,9231300.0,0.0,1.0
2008-06-20,65,83.3299,84.5,82.75,83.57,19.297,10636700.0,0.0,1.0
2008-06-23,66,83.81,84.35,81.02,81.06,18.7174,7535300.0,0.0,1.0
2008-06-24,67,80.06,82.94,78.51,82.66,19.0869,12472800.0,0.0,1.0
2008-06-25,68,83.36,84.42,81.86,82.06,18.9483,12677900.0,0.0,1.0
2008-06-26,69,80.6,80.74,78.02,79.1,18.2649,19140700.0,0.0,1.0
2008-06-27,70,78.8,82.87,78.55,82.6,19.073,44005700.0,0.0,1.0
2008-06-30,71,82.0,82.84,80.3,81.31,18.7752,12325300.0,0.0,1.0
2008-07-01,72,79.2,81.41,79.2,81.41,18.7982,11230400.0,0.0,1.0
2008-07-02,73,81.9,82.4,79.3,79.42,18.3387,8451000.0,0.0,1.0
2008-07-03,74,79.36,79.81,77.25,78.07,18.027,7184700.0,0.0,1.0
2008-07-07,75,78.5,79.94,74.0,75.62,17.4613,19986100.0,0.0,1.0
2008-07-08,76,74.89,79.5,72.25,79.06,18.2556,23949100.0,0.0,1.0
2008-07-09,77,79.0,79.1,75.4,75.87,17.519000000000002,13830500.0,0.0,1.0
2008-07-10,78,75.76,77.62,73.89,77.25,17.8377,13203000.0,0.0,1.0
2008-07-11,79,75.6,77.45,74.0,74.55,17.2142,13661300.0,0.0,1.0
2008-07-14,80,75.6,76.18,72.5,72.58,16.7593,10669900.0,0.0,1.0
2008-07-15,81,71.26,71.31,67.29,68.42,15.7987,21067200.0,0.0,1.0
2008-07-16,82,68.33,72.56,66.51,72.23,16.6785,23112200.0,0.0,1.0
2008-07-17,83,73.7,75.06,71.35,75.06,17.332,16817200.0,0.0,1.0
2008-07-18,84,74.24,74.49,72.12,73.4,16.9487,11658000.0,0.0,1.0
2008-07-21,85,73.91,74.94,71.57,71.9,16.6023,13234300.0,0.0,1.0
2008-07-22,86,69.6,74.23,67.9,74.05,17.0988,16352000.0,0.0,1.0
2008-07-23,87,73.5,75.0,72.6,73.25,16.914,12485700.0,0.0,1.0
2008-07-24,88,72.92,73.73,69.96,70.08,16.1821,9156400.0,0.0,1.0
2008-07-25,89,70.54,72.35,69.07,71.96,16.6162,9672700.0,0.0,1.0
2008-07-28,90,72.41,73.6,70.25,70.55,16.2906,8924800.0,0.0,1.0
2008-07-29,91,71.03,75.97,71.01,75.97,17.5421,12260100.0,0.0,1.0
2008-07-30,92,77.25,78.9,74.27,78.45,18.1148,19022300.0,0.0,1.0
2008-07-31,93,76.22,78.15,71.49,73.06,16.8702,37222200.0,0.0,1.0
2008-08-01,94,73.3,74.1,70.35,71.73,16.5631,15428900.0,0.0,1.0
2008-08-04,95,71.76,73.6,71.5,72.5,16.7409,10671500.0,0.0,1.0
2008-08-05,96,73.2,74.23,72.32,73.6,16.9949,8588700.0,0.0,1.0
2008-08-06,97,72.8,72.81,71.07,71.48,16.5053,10231000.0,0.0,1.0
2008-08-07,98,70.78,71.25,69.34,69.5,16.0481,10961800.0,0.0,1.0
2008-08-08,99,69.77,72.85,69.11,72.6,16.7639,9088600.0,0.0,1.0
2008-08-11,100,72.44,76.5,71.95,74.79,17.2696,13822300.0,0.0,1.0
2008-08-12,101,74.2,74.8,72.6,72.8,16.8101,8433600.0,0.0,1.0
2008-08-13,102,72.75,74.17,72.48,73.93,17.0953,7481200.0,0.105,1.0
2008-08-14,103,73.87,75.79,73.6,75.78,17.5231,6459800.0,0.0,1.0
2008-08-15,104,75.99,76.53,74.83,75.79,17.5254,6500800.0,0.0,1.0
2008-08-18,105,75.62,76.25,74.14,74.94,17.3288,6462600.0,0.0,1.0
2008-08-19,106,74.45,75.24,73.61,73.74,17.0514,5276200.0,0.0,1.0
2008-08-20,107,74.1,74.71,73.66,74.57,17.2433,4529700.0,0.0,1.0
2008-08-21,108,73.96,74.64,73.19,74.38,17.1994,3886200.0,0.0,1.0
2008-08-22,109,75.36,75.79,73.84,74.09,17.1323,5238900.0,0.0,1.0
2008-08-25,110,73.52,74.89,73.13,73.32,16.9542,4509900.0,0.0,1.0
2008-08-26,111,73.67,74.3,72.87,73.34,16.9589,4666800.0,0.0,1.0
2008-08-27,112,73.03,74.5,72.85,74.45,17.2155,4785400.0,0.0,1.0
2008-08-28,113,74.75,75.81,74.17,75.65,17.493,6685300.0,0.0,1.0
2008-08-29,114,74.96,76.0,74.7,75.9,17.5508,4831600.0,0.0,1.0
2008-09-02,115,76.83,77.5,74.39,74.99,17.3404,7474600.0,0.0,1.0
2008-09-03,116,74.56,75.34,72.07,73.05,16.8918,8850200.0,0.0,1.0
2008-09-04,117,72.52,72.63,69.75,70.5,16.3022,9417500.0,0.0,1.0
2008-09-05,118,69.97,71.98,69.25,71.76,16.5935,10154200.0,0.0,1.0
2008-09-08,119,73.51,74.29,68.68,70.1,16.2097,14167400.0,0.0,1.0
2008-09-09,120,70.35,70.35,67.18,67.49,15.6061,12470500.0,0.0,1.0
2008-09-10,121,67.27,69.9,66.63,69.04,15.9646,10984200.0,0.0,1.0
2008-09-11,122,67.41,71.36,67.05,70.95,16.4062,11783000.0,0.0,1.0
2008-09-12,123,69.93,71.66,69.25,71.65,16.5681,7060100.0,0.0,1.0
2008-09-15,124,68.66,70.98,68.26,69.38,16.0432,9683600.0,0.0,1.0
2008-09-16,125,66.62,68.96,65.0,66.35,15.3425,20899100.0,0.0,1.0
2008-09-17,126,65.81,67.95,64.01,64.09,14.8199,16884200.0,0.0,1.0
2008-09-18,127,64.2,67.24,58.38,66.9,15.4697,21047300.0,0.0,1.0
2008-09-19,128,71.01,71.16,67.04,69.57,16.0871,17235400.0,0.0,1.0
2008-09-22,129,68.92,68.99,64.9,65.18,15.072,11566600.0,0.0,1.0
2008-09-23,130,65.85,67.47,64.11,66.9,15.4697,10950900.0,0.0,1.0
2008-09-24,131,67.05,67.72,65.5,65.68,15.1876,6133100.0,0.0,1.0
2008-09-25,132,65.75,66.47,64.54,64.6,14.9379,5973800.0,0.0,1.0
2008-09-26,133,62.73,63.4,60.8,62.04,14.3459,12792800.0,0.0,1.0
2008-09-29,134,60.3,60.48,55.89,57.8,13.3655,19609800.0,0.0,1.0
2008-09-30,135,56.38,61.43,56.38,61.39,14.1956,9680100.0,0.0,1.0
2008-10-01,136,60.75,62.1,59.21,61.31,14.1771,6763500.0,0.0,1.0
2008-10-02,137,61.49,61.49,57.3105,57.59,13.3169,8804000.0,0.0,1.0
2008-10-03,138,59.07,60.17,56.31,56.84,13.1435,14588900.0,0.0,1.0
2008-10-06,139,53.42,56.02,50.25,55.38,12.8059,21840200.0,0.0,1.0
2008-10-07,140,56.0,56.44,50.62,51.15,11.8277,18961400.0,0.0,1.0
2008-10-08,141,49.01,54.43,47.75,52.63,12.17,18802600.0,0.0,1.0
2008-10-09,142,53.79,55.94,49.41,49.85,11.5271,10634400.0,0.0,1.0
2008-10-10,143,47.0,53.95,47.0,52.0,12.0243,18135400.0,0.0,1.0
2008-10-13,144,54.99,59.0,53.59,58.87,13.6129,12358300.0,0.0,1.0
2008-10-14,145,62.0,62.11,55.25,57.61,13.3215,13285600.0,0.0,1.0
2008-10-15,146,55.52,56.0,48.53,49.75,11.504,19174800.0,0.0,1.0
2008-10-16,147,50.15,53.33,48.04,53.07,12.2717,14015700.0,0.0,1.0
2008-10-17,148,51.5,55.07,51.5,52.22,12.0752,8774600.0,0.0,1.0
2008-10-20,149,53.31,53.82,51.12,52.01,12.0266,8991400.0,0.0,1.0
2008-10-21,150,51.35,53.07,50.29,50.7,11.7237,7248900.0,0.0,1.0
2008-10-22,151,49.97,52.0,48.0,48.51,11.2173,10060900.0,0.0,1.0
2008-10-23,152,48.76,49.55,45.74,48.32,11.1733,11992500.0,0.0,1.0
2008-10-24,153,43.8,48.5,43.74,47.98,11.0947,10199700.0,0.0,1.0
2008-10-27,154,47.01,49.2,46.44,46.59,10.7733,10475400.0,0.0,1.0
2008-10-28,155,47.9,51.58,47.05,49.97,11.5549,14609000.0,0.0,1.0
2008-10-29,156,50.4,53.51,49.51,50.69,11.7214,13998600.0,0.0,1.0
2008-10-30,157,50.59,56.16,50.58,54.25,12.5446,18728300.0,0.0,1.0
2008-10-31,158,53.89,56.08,53.0,55.35,12.7989,10093200.0,0.0,1.0
2008-11-03,159,55.35,56.1,51.91,52.49,12.1376,7106300.0,0.0,1.0
2008-11-04,160,54.38,60.45,53.88,59.81,13.8302,18400900.0,0.0,1.0
2008-11-05,161,58.29,59.2,56.43,56.47,13.0579,11248000.0,0.0,1.0
2008-11-06,162,55.04,56.0,50.74,51.53,11.9156,13023200.0,0.0,1.0
2008-11-07,163,52.45,54.8,51.31,53.5,12.3711,7726600.0,0.0,1.0
2008-11-10,164,55.3,55.3,51.2,51.99,12.022,6629200.0,0.0,1.0
2008-11-11,165,50.99,54.99,50.36,53.79,12.4382,8098200.0,0.0,1.0
2008-11-12,166,52.45,55.65,51.18,51.75,11.9908,10686500.0,0.105,1.0
2008-11-13,167,51.88,54.58,49.89,54.44,12.614,9683400.0,0.0,1.0
2008-11-14,168,53.11,57.0,52.45,54.24,12.5677,9352600.0,0.0,1.0
2008-11-17,169,53.11,54.23,51.66,52.76,12.2248,7325800.0,0.0,1.0
2008-11-18,170,52.79,55.08,52.61,54.64,12.6604,7870700.0,0.0,1.0
2008-11-19,171,54.0,55.84,51.24,51.58,11.9514,8737000.0,0.0,1.0
2008-11-20,172,50.21,51.3,48.0,48.14,11.1543,12747500.0,0.0,1.0
2008-11-21,173,49.6,49.6,43.54,46.38,10.7465,21192800.0,0.0,1.0
