date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,46.0,46.63,45.56,45.81,6.7239,111300.0,0.0,1.0
1998-01-05,45.75,46.5,45.69,46.19,6.7797,282100.0,0.0,1.0
1998-01-06,46.13,46.13,45.44,45.94,6.743,220500.0,0.0,1.0
1998-01-07,45.94,46.56,45.75,46.25,6.7885,281800.0,0.0,1.0
1998-01-08,46.06,46.13,45.56,46.0,6.7518,103400.0,0.0,1.0
1998-01-09,45.63,45.81,43.81,44.06,6.4671,241200.0,0.0,1.0
1998-01-12,44.06,45.25,44.06,45.19,6.6329,167600.0,0.0,1.0
1998-01-13,45.44,45.63,44.94,45.56,6.6872,203300.0,0.0,1.0
1998-01-14,45.75,45.75,44.69,45.44,6.6696,93000.0,0.0,1.0
1998-01-15,45.69,45.75,44.88,45.06,6.6138,109600.0,0.0,1.0
1998-01-16,45.31,45.94,45.0,45.63,6.6975,188000.0,0.0,1.0
1998-01-20,45.88,46.06,45.19,46.06,6.7606,165700.0,0.0,1.0
1998-01-21,46.06,46.25,44.44,45.56,6.6872,112600.0,0.0,1.0
1998-01-22,45.06,45.31,43.63,44.56,6.5405,191800.0,0.0,1.0
1998-01-23,44.56,44.63,43.5,43.75,6.4216,122200.0,0.0,1.0
1998-01-26,44.0,44.19,42.81,42.94,6.3027,134200.0,0.0,1.0
1998-01-27,42.94,43.44,42.88,43.06,6.3203,227700.0,0.0,1.0
1998-01-28,43.44,43.56,42.88,43.31,6.357,161300.0,0.0,1.0
1998-01-29,42.81,44.31,42.75,43.63,6.404,147700.0,0.0,1.0
1998-01-30,43.75,43.75,42.75,43.0,6.3115,114100.0,0.0,1.0
1998-02-02,43.38,44.56,43.38,44.13,6.4773,267300.0,0.0,1.0
1998-02-03,44.0,44.0,43.44,43.81,6.4304,259900.0,0.0,1.0
1998-02-04,43.56,43.56,41.81,42.56,6.2469,287400.0,0.0,1.0
1998-02-05,41.81,42.06,40.75,41.75,6.128,415400.0,0.0,1.0
1998-02-06,41.94,42.88,41.94,42.88,6.2939,249500.0,0.0,1.0
1998-02-09,43.0,43.38,42.72,43.0,6.3115,579100.0,0.0,1.0
1998-02-10,43.0,43.81,42.75,43.5,6.3849,669900.0,0.0,1.0
1998-02-11,43.75,45.0,43.75,44.88,6.5874,225500.0,0.0,1.0
1998-02-12,44.63,46.81,44.63,46.38,6.8076,426700.0,0.0,1.0
1998-02-13,46.44,46.44,45.69,46.06,6.7606,227500.0,0.0,1.0
1998-02-17,46.44,46.81,46.31,46.81,6.8707,232600.0,0.0,1.0
1998-02-18,46.75,46.88,46.38,46.56,6.834,343900.0,0.0,1.0
1998-02-19,46.56,46.94,46.5,46.75,6.8619,610700.0,0.0,1.0
1998-02-20,46.75,46.94,46.63,46.94,6.8898,139400.0,0.0,1.0
1998-02-23,47.0,47.44,46.5,47.31,6.9441,352200.0,0.0,1.0
1998-02-24,47.31,47.31,46.06,46.56,6.834,148100.0,0.0,1.0
1998-02-25,46.63,47.94,46.44,47.81,7.0175,135400.0,0.0,1.0
1998-02-26,47.94,47.94,46.81,47.69,6.9999,122600.0,0.0,1.0
1998-02-27,47.44,48.0,46.88,48.0,7.0454,124200.0,0.0,1.0
1998-03-02,47.69,47.94,47.5,47.63,6.9911,227100.0,0.0,1.0
1998-03-03,47.38,47.69,47.19,47.69,6.9999,246400.0,0.0,1.0
1998-03-04,47.56,48.0,47.25,47.94,7.0366,275900.0,0.0,1.0
1998-03-05,47.94,48.25,47.38,47.63,6.9911,254300.0,0.0,1.0
1998-03-06,47.81,48.94,47.75,48.69,7.176,304300.0,0.2,1.0
1998-03-09,48.94,49.63,48.19,49.13,7.2409,333000.0,0.0,1.0
1998-03-10,49.25,49.75,48.94,49.5,7.2954,348500.0,0.0,1.0
1998-03-11,49.75,49.75,48.5,49.13,7.2409,223900.0,0.0,1.0
1998-03-12,49.13,49.13,48.06,48.25,7.1112,180400.0,0.0,1.0
1998-03-13,48.13,48.81,47.44,47.44,6.9918,183700.0,0.0,1.0
1998-03-16,47.69,50.0,47.44,49.5,7.2954,452700.0,0.0,1.0
1998-03-17,49.75,50.13,49.06,49.38,7.2777,310100.0,0.0,1.0
1998-03-18,49.38,50.06,49.19,49.88,7.3514,149200.0,0.0,1.0
1998-03-19,50.13,50.38,49.44,50.0,7.3691,194300.0,0.0,1.0
1998-03-20,50.25,51.0,49.88,50.56,7.4516,277000.0,0.0,1.0
1998-03-23,50.44,51.56,50.0,51.44,7.5813,282600.0,0.0,1.0
1998-03-24,51.69,52.25,51.69,52.06,7.6727,230700.0,0.0,1.0
1998-03-25,52.31,52.5,51.94,52.19,7.6918,217500.0,0.0,1.0
1998-03-26,52.13,52.56,51.88,52.19,7.6918,216700.0,0.0,1.0
1998-03-27,52.44,52.5,52.0,52.13,7.683,96300.0,0.0,1.0
1998-03-30,52.13,52.44,51.63,52.19,7.6918,162000.0,0.0,1.0
1998-03-31,52.19,53.25,52.19,52.56,7.7464,199900.0,0.0,1.0
1998-04-01,52.56,52.56,51.75,52.19,7.6918,211500.0,0.0,1.0
1998-04-02,52.06,52.56,52.0,52.06,7.6727,164600.0,0.0,1.0
1998-04-03,52.19,53.0,51.94,52.44,7.7287,182100.0,0.0,1.0
1998-04-06,52.56,52.94,52.25,52.25,7.7007,149200.0,0.0,1.0
1998-04-07,52.0,52.06,51.38,51.94,7.655,119600.0,0.0,1.0
1998-04-08,51.63,51.63,50.5,51.13,7.5356,178800.0,0.0,1.0
1998-04-09,51.13,51.88,50.69,51.75,7.627,106200.0,0.0,1.0
1998-04-13,51.38,51.63,50.63,51.31,7.5622,142200.0,0.0,1.0
1998-04-14,51.31,51.63,50.31,51.63,7.6093,144300.0,0.0,1.0
1998-04-15,51.75,52.0,50.81,51.88,7.6462,99300.0,0.0,1.0
1998-04-16,51.88,52.75,51.19,52.0,7.6638,212800.0,0.0,1.0
1998-04-17,51.94,51.94,50.0,51.5,7.5902,424900.0,0.0,1.0
1998-04-20,51.13,51.13,49.69,50.31,7.4148,249100.0,0.0,1.0
1998-04-21,50.06,51.06,50.0,50.75,7.4796,125800.0,0.0,1.0
1998-04-22,50.13,50.63,49.94,50.56,7.4516,104300.0,0.0,1.0
1998-04-23,50.31,50.38,49.81,50.31,7.4148,121300.0,0.0,1.0
1998-04-24,50.19,50.88,49.5,49.88,7.3514,113800.0,0.0,1.0
1998-04-27,49.88,51.0,49.88,50.69,7.4708,236500.0,0.0,1.0
1998-04-28,50.69,52.0,50.56,51.0,7.5165,282900.0,0.0,1.0
1998-04-29,51.0,52.75,50.56,52.0,7.6638,275600.0,0.0,1.0
1998-04-30,52.0,53.31,51.38,52.0,7.6638,244100.0,0.0,1.0
1998-05-01,52.25,52.81,52.0,52.75,7.7744,105100.0,0.0,1.0
1998-05-04,53.19,53.94,52.44,52.56,7.7464,111500.0,0.0,1.0
1998-05-05,52.06,52.06,50.63,51.0,7.5165,177900.0,0.0,1.0
1998-05-06,50.5,51.0,50.19,50.69,7.4708,231700.0,0.0,1.0
1998-05-07,50.31,50.88,50.13,50.38,7.4251,105700.0,0.0,1.0
1998-05-08,50.44,52.0,50.44,51.25,7.5533,161300.0,0.0,1.0
1998-05-11,51.38,52.31,51.38,52.06,7.6727,67000.0,0.0,1.0
1998-05-12,52.06,53.0,52.06,52.94,7.8024,94400.0,0.0,1.0
1998-05-13,52.5,52.75,52.25,52.75,7.7744,163600.0,0.0,1.0
