date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,46.94,46.94,45.0,45.94,13.984000000000002,95703.0,0.0,1.0
1998-01-05,1,45.5,45.5,45.0,45.5,13.8501,132867.0,0.0,1.0
1998-01-06,2,45.25,45.75,45.25,45.44,13.8318,131690.0,0.0,1.0
1998-01-07,3,45.69,45.81,45.31,45.69,13.9079,82564.0,0.0,1.0
1998-01-08,4,45.81,45.81,45.38,45.56,13.8684,119433.0,0.0,1.0
1998-01-09,5,45.56,45.88,45.25,45.56,13.8684,152380.0,0.0,1.0
1998-01-12,6,43.88,46.75,43.88,46.75,14.2306,289071.0,0.0,1.0
1998-01-13,7,46.75,47.13,45.69,46.06,14.0206,91879.0,0.0,1.0
1998-01-14,8,45.88,46.94,45.5,46.94,14.2884,100802.0,0.0,1.0
1998-01-15,9,46.88,47.38,46.75,47.0,14.3067,78936.0,0.0,1.0
1998-01-16,10,47.25,47.56,47.0,47.06,14.325,93840.0,0.0,1.0
1998-01-20,11,47.06,49.75,47.06,49.75,15.1438,192878.0,0.0,1.0
1998-01-21,12,49.81,49.81,48.38,48.63,14.8029,94134.0,0.0,1.0
1998-01-22,13,48.5,48.5,47.88,47.94,14.5928,131592.0,0.0,1.0
1998-01-23,14,47.94,48.06,47.38,47.63,14.4985,50303.0,0.0,1.0
1998-01-26,15,47.88,47.88,46.75,46.75,14.2306,90408.0,0.0,1.0
1998-01-27,16,46.5,47.0,46.25,46.94,14.2884,107078.0,0.0,1.0
1998-01-28,17,46.94,47.19,46.69,46.69,14.2123,76582.0,0.0,1.0
1998-01-29,18,46.44,46.44,45.0,45.81,13.9445,261321.0,0.0,1.0
1998-01-30,19,45.94,45.94,45.5,45.5,13.8501,32065.0,0.0,1.0
1998-02-02,20,45.63,45.88,45.25,45.75,13.9262,179444.0,0.0,1.0
1998-02-03,21,45.88,46.0,45.63,45.75,13.9262,79132.0,0.0,1.0
1998-02-04,22,45.75,45.94,45.63,45.63,13.8897,94527.0,0.0,1.0
1998-02-05,23,45.44,45.75,44.5,44.56,13.6519,97174.0,0.2888,1.0
1998-02-06,24,44.63,44.63,43.25,43.38,13.2904,327019.0,0.0,1.0
1998-02-09,25,43.63,43.94,41.5,42.5,13.0208,220333.0,0.0,1.0
1998-02-10,26,42.56,44.13,42.56,44.13,13.5201,260733.0,0.0,1.0
1998-02-11,27,44.13,45.5,44.13,44.94,13.7683,172384.0,0.0,1.0
1998-02-12,28,44.69,44.75,44.25,44.5,13.6335,99331.0,0.0,1.0
1998-02-13,29,44.25,44.56,44.19,44.56,13.6519,105999.0,0.0,1.0
1998-02-17,30,45.0,45.19,44.38,44.5,13.6335,64521.0,0.0,1.0
1998-02-18,31,44.75,44.75,44.25,44.5,13.6335,137868.0,0.0,1.0
1998-02-19,32,44.38,44.44,44.19,44.31,13.5753,72856.0,0.0,1.0
1998-02-20,33,44.44,44.63,43.81,43.94,13.4619,128847.0,0.0,1.0
1998-02-23,34,43.75,43.88,43.13,43.38,13.2904,138750.0,0.0,1.0
1998-02-24,35,43.44,44.0,43.31,43.38,13.2904,247495.0,0.0,1.0
1998-02-25,36,43.38,44.0,43.38,43.63,13.367,98057.0,0.0,1.0
1998-02-26,37,43.69,43.88,43.25,43.31,13.2689,106686.0,0.0,1.0
1998-02-27,38,43.56,43.56,42.06,42.44,13.0024,126297.0,0.0,1.0
1998-03-02,39,42.5,42.5,40.75,40.75,12.4846,405759.0,0.0,1.0
1998-03-03,40,40.13,41.13,39.25,41.0,12.5612,843680.0,0.0,1.0
1998-03-04,41,40.88,41.75,40.63,41.25,12.6378,150713.0,0.0,1.0
1998-03-05,42,41.0,41.0,40.13,40.31,12.3498,70895.0,0.0,1.0
1998-03-06,43,40.5,40.75,40.0,40.0,12.2548,118354.0,0.0,1.0
1998-03-09,44,39.75,39.88,38.5,39.19,12.0067,347513.0,0.0,1.0
1998-03-10,45,39.13,40.63,39.13,40.5,12.408,139437.0,0.0,1.0
1998-03-11,46,40.75,40.75,39.56,39.63,12.1415,95311.0,0.0,1.0
1998-03-12,47,39.88,41.0,39.88,41.0,12.5612,103156.0,0.0,1.0
1998-03-13,48,42.0,42.38,41.81,42.0,12.8676,399581.0,0.0,1.0
1998-03-16,49,41.63,41.94,41.63,41.81,12.8094,76190.0,0.0,1.0
1998-03-17,50,41.81,41.88,41.75,41.75,12.791,53049.0,0.0,1.0
1998-03-18,51,42.0,42.0,40.63,40.69,12.4662,139142.0,0.0,1.0
1998-03-19,52,40.56,40.56,39.63,40.13,12.2947,83250.0,0.0,1.0
1998-03-20,53,40.38,43.13,40.38,42.19,12.9258,247299.0,0.0,1.0
1998-03-23,54,42.25,42.5,42.06,42.5,13.0208,12355.0,0.0,1.0
1998-03-24,55,42.31,43.19,42.0,43.19,13.2322,146595.0,0.0,1.0
1998-03-25,56,43.13,44.31,43.06,44.19,13.5385,110804.0,0.0,1.0
1998-03-26,57,44.0,44.44,43.5,43.81,13.4221,108451.0,0.0,1.0
1998-03-27,58,43.75,44.88,43.25,44.13,13.5201,46577.0,0.0,1.0
