date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,25.75,25.75,24.69,24.94,11.8062,29100.0,0.0,1.0
1998-01-05,24.88,25.62,24.88,25.62,12.1281,13200.0,0.0,1.0
1998-01-06,25.5,25.5,25.25,25.5,12.0713,14800.0,0.0,1.0
1998-01-07,25.44,25.44,25.0,25.0,11.8346,7900.0,0.0,1.0
1998-01-08,25.0,25.12,24.94,24.94,11.8062,5800.0,0.0,1.0
1998-01-09,24.81,24.81,24.5,24.5,11.5979,6500.0,0.0,1.0
1998-01-12,24.38,24.38,23.0,23.38,11.0677,24200.0,0.0,1.0
1998-01-13,23.44,23.44,23.0,23.0,10.8879,7800.0,0.0,1.0
1998-01-14,22.75,23.38,22.19,23.31,11.0346,76800.0,0.0,1.0
1998-01-15,23.12,23.38,23.06,23.25,11.0062,14800.0,0.0,1.0
1998-01-16,23.31,23.44,23.31,23.44,11.0961,42900.0,0.0,1.0
1998-01-20,23.56,24.0,23.56,24.0,11.3612,71900.0,0.0,1.0
1998-01-21,24.0,24.0,23.62,23.69,11.2145,10300.0,0.0,1.0
1998-01-22,23.69,23.81,23.56,23.75,11.2429,11100.0,0.0,1.0
1998-01-23,23.75,24.06,23.69,24.06,11.3896,23600.0,0.0,1.0
1998-01-26,23.88,24.12,23.88,24.12,11.418,96500.0,0.0,1.0
1998-01-27,24.0,24.0,23.88,24.0,11.3612,63500.0,0.0,1.0
1998-01-28,24.12,24.75,24.12,24.38,11.5411,130000.0,0.0,1.0
1998-01-29,24.38,24.69,24.38,24.69,11.6879,34600.0,0.0,1.0
1998-01-30,24.69,24.94,24.62,24.75,11.7163,31700.0,0.0,1.0
1998-02-02,24.75,24.75,24.5,24.56,11.6263,14300.0,0.0,1.0
1998-02-03,24.5,24.75,24.5,24.75,11.7163,6600.0,0.0,1.0
1998-02-04,24.62,24.62,24.38,24.38,11.5411,5000.0,0.0,1.0
1998-02-05,24.38,24.94,24.38,24.5,11.5979,8000.0,0.0,1.0
1998-02-06,24.62,24.94,24.62,24.94,11.8062,15700.0,0.0,1.0
1998-02-09,24.69,25.0,24.69,24.88,11.7778,22300.0,0.0,1.0
1998-02-10,24.75,24.75,24.5,24.5,11.5979,13000.0,0.0,1.0
