date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,37.75,37.81,37.5,37.56,9.39,28300.0,0.0,1.0
1998-01-05,1,37.81,38.19,36.56,36.56,9.14,108800.0,0.0,1.0
1998-01-06,2,36.69,40.0,36.5,39.25,9.8125,157800.0,0.0,1.0
1998-01-07,3,39.38,39.5,38.0,38.06,9.515,59000.0,0.0,1.0
1998-01-08,4,38.06,41.5,38.06,41.19,10.2975,111100.0,0.0,1.0
1998-01-09,5,41.0,41.06,39.88,40.19,10.0475,208300.0,0.0,1.0
1998-01-12,6,39.94,40.56,38.75,40.56,10.14,247800.0,0.0,1.0
1998-01-13,7,40.81,41.13,39.75,40.44,10.11,71800.0,0.0,1.0
1998-01-14,8,40.63,40.75,40.25,40.75,10.1875,83800.0,0.0,1.0
1998-01-15,9,40.88,41.0,40.69,40.81,10.2025,114700.0,0.0,1.0
1998-01-16,10,40.94,41.25,40.81,41.0,10.25,75600.0,0.0,1.0
1998-01-20,11,41.0,41.38,41.0,41.25,10.3125,52900.0,0.0,1.0
1998-01-21,12,41.25,42.31,41.25,42.19,10.5475,114200.0,0.0,1.0
1998-01-22,13,42.19,42.38,41.88,42.0,10.5,38200.0,0.0,1.0
1998-01-23,14,42.06,42.88,42.06,42.63,10.6575,115600.0,0.0,1.0
1998-01-26,15,42.81,43.88,42.63,42.94,10.735,144800.0,0.0,1.0
1998-01-27,16,43.0,46.63,43.0,46.0,11.5,324400.0,0.0,1.0
1998-01-28,17,46.0,47.0,45.5,47.0,11.75,145000.0,0.0,1.0
1998-01-29,18,47.25,48.94,44.5,46.0,11.5,182400.0,0.0,1.0
1998-01-30,19,46.19,46.31,45.19,46.13,11.5325,152200.0,0.0,1.0
1998-02-02,20,45.88,46.19,45.56,46.06,11.515,217300.0,0.0,1.0
1998-02-03,21,46.31,46.31,44.88,45.13,11.2825,138300.0,0.0,1.0
1998-02-04,22,45.38,45.44,44.38,45.44,11.36,58300.0,0.0,1.0
1998-02-05,23,45.5,46.0,45.06,46.0,11.5,200200.0,0.0,1.0
1998-02-06,24,46.75,47.25,46.44,46.75,11.6875,175500.0,0.0,1.0
1998-02-09,25,47.25,48.0,46.63,48.0,12.0,69100.0,0.0,1.0
1998-02-10,26,48.0,48.0,47.5,47.63,11.9075,51700.0,0.0,1.0
1998-02-11,27,47.56,47.69,47.0,47.5,11.875,97100.0,0.0,1.0
1998-02-12,28,47.25,48.0,45.63,48.0,12.0,76400.0,0.0,1.0
1998-02-13,29,48.0,48.25,47.75,47.94,11.985,76200.0,0.0,1.0
1998-02-17,30,48.0,48.0,46.75,47.94,11.985,91000.0,0.0,1.0
1998-02-18,31,47.75,49.69,47.75,49.38,12.345,142400.0,0.0,1.0
1998-02-19,32,48.88,49.5,48.5,49.5,12.375,73400.0,0.0,1.0
1998-02-20,33,49.25,49.25,48.38,49.25,12.3125,59000.0,0.0,1.0
1998-02-23,34,49.25,50.13,49.25,50.0,12.5,59300.0,0.0,1.0
1998-02-24,35,49.88,49.88,48.75,49.5,12.375,57800.0,0.0,1.0
1998-02-25,36,49.5,49.56,49.0,49.56,12.39,21100.0,0.0,1.0
1998-02-26,37,49.5,49.63,48.25,48.88,12.22,47200.0,0.0,1.0
1998-02-27,38,48.88,49.69,48.0,49.69,12.4225,82400.0,0.0,1.0
1998-03-02,39,49.94,50.0,48.25,48.88,12.22,78000.0,0.0,1.0
1998-03-03,40,49.13,49.25,47.25,48.38,12.095,90700.0,0.0,1.0
1998-03-04,41,48.31,48.31,46.88,46.94,11.735,39000.0,0.0,1.0
1998-03-05,42,46.94,47.0,46.13,46.81,11.7025,86900.0,0.0,1.0
1998-03-06,43,47.31,47.88,47.25,47.31,11.8275,83600.0,0.0,1.0
1998-03-09,44,47.5,47.5,46.0,46.06,11.515,111100.0,0.0,1.0
1998-03-10,45,47.38,48.5,47.38,48.38,12.095,369600.0,0.0,1.0
1998-03-11,46,48.5,49.31,48.06,48.69,12.1725,120200.0,0.0,1.0
1998-03-12,47,48.94,50.0,48.44,49.81,12.4525,57900.0,0.0,1.0
1998-03-13,48,49.94,50.25,49.31,49.38,12.345,134800.0,0.0,1.0
1998-03-16,49,49.5,49.63,49.0,49.06,12.265,107400.0,0.0,1.0
1998-03-17,50,49.0,49.13,48.75,49.0,12.25,141600.0,0.0,1.0
1998-03-18,51,48.94,49.75,48.94,49.44,12.36,167000.0,0.0,1.0
1998-03-19,52,49.5,50.25,49.5,50.25,12.5625,103200.0,0.0,1.0
1998-03-20,53,50.0,50.81,49.63,50.81,12.7025,109300.0,0.0,1.0
1998-03-23,54,50.94,51.44,50.56,51.44,12.86,88100.0,0.0,1.0
1998-03-24,55,51.44,51.56,51.0,51.44,12.86,62300.0,0.0,1.0
1998-03-25,56,51.63,52.0,51.0,51.5,12.875,59600.0,0.0,1.0
1998-03-26,57,51.25,51.38,50.38,50.44,12.61,168600.0,0.0,1.0
1998-03-27,58,50.56,51.0,50.13,50.25,12.5625,17100.0,0.0,1.0
1998-03-30,59,50.44,50.44,49.25,49.31,12.3275,31300.0,0.0,1.0
1998-03-31,60,49.25,50.0,49.13,49.94,12.485,78000.0,0.0,1.0
1998-04-01,61,49.94,50.69,49.88,50.69,12.6725,84700.0,0.0,1.0
1998-04-02,62,51.06,51.25,50.63,50.88,12.72,43400.0,0.0,1.0
1998-04-03,63,50.81,51.38,50.0,51.38,12.845,46400.0,0.0,1.0
1998-04-06,64,51.13,51.38,49.31,49.56,12.39,185300.0,0.0,1.0
1998-04-07,65,49.5,49.88,49.38,49.81,12.4525,177700.0,0.0,1.0
1998-04-08,66,50.5,52.0,50.5,51.75,12.9375,136500.0,0.0,1.0
