date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,28.88,28.88,28.44,28.5,6.7623,171800.0,0.0,1.0
1998-01-05,28.5,28.81,28.25,28.31,6.7173,285700.0,0.0,1.0
1998-01-06,28.44,28.44,28.06,28.19,6.6888,177600.0,0.0,1.0
1998-01-07,28.06,28.06,27.56,27.81,6.5986,178600.0,0.0,1.0
1998-01-08,27.88,28.31,27.63,28.31,6.7173,186900.0,0.0,1.0
1998-01-09,28.19,28.69,28.13,28.5,6.7623,414000.0,0.0,1.0
1998-01-12,28.25,28.44,28.0,28.19,6.6888,250000.0,0.0,1.0
1998-01-13,28.19,28.25,28.0,28.0,6.6437,95200.0,0.0,1.0
1998-01-14,28.06,28.13,27.88,28.0,6.6437,407800.0,0.0,1.0
1998-01-15,28.0,28.06,27.5,27.63,6.5559,382800.0,0.0,1.0
1998-01-16,27.69,27.94,27.44,27.5,6.5251,87300.0,0.0,1.0
1998-01-20,27.5,27.75,27.19,27.63,6.5559,229700.0,0.0,1.0
1998-01-21,27.38,28.06,27.0,28.0,6.6437,394800.0,0.0,1.0
1998-01-22,27.75,28.0,27.69,27.88,6.6152,115500.0,0.0,1.0
1998-01-23,28.0,28.38,27.94,28.19,6.6888,253200.0,0.0,1.0
1998-01-26,28.13,28.19,27.94,28.13,6.6745,63300.0,0.0,1.0
1998-01-27,27.88,28.0,27.56,27.63,6.5559,143500.0,0.0,1.0
1998-01-28,27.88,28.06,27.44,27.63,6.5559,272500.0,0.0,1.0
1998-01-29,27.75,28.25,27.63,27.69,6.5701,179500.0,0.0,1.0
1998-01-30,27.56,27.81,27.38,27.56,6.5393,247700.0,0.0,1.0
1998-02-02,27.56,28.25,27.56,27.88,6.6152,215600.0,0.0,1.0
1998-02-03,27.94,28.13,27.69,28.13,6.6745,212900.0,0.0,1.0
1998-02-04,28.06,28.25,28.0,28.13,6.6745,252100.0,0.0,1.0
1998-02-05,28.06,28.38,27.81,28.06,6.6579,453000.0,0.0,1.0
1998-02-06,28.0,28.44,28.0,28.25,6.703,390600.0,0.0,1.0
1998-02-09,28.25,28.25,27.94,28.25,6.703,1050900.0,0.0,1.0
1998-02-10,27.63,28.0,27.63,27.88,6.7066,309800.0,0.385,1.0
1998-02-11,27.94,27.94,27.56,27.69,6.6609,154700.0,0.0,1.0
1998-02-12,27.5,27.88,27.25,27.63,6.6464,139100.0,0.0,1.0
1998-02-13,27.38,27.5,27.19,27.19,6.5406,127700.0,0.0,1.0
1998-02-17,27.19,27.38,27.0,27.25,6.555,195000.0,0.0,1.0
1998-02-18,27.38,27.56,27.06,27.44,6.6007,321500.0,0.0,1.0
1998-02-19,27.44,27.44,27.13,27.13,6.5262,218400.0,0.0,1.0
1998-02-20,27.13,27.31,27.06,27.25,6.555,263700.0,0.0,1.0
1998-02-23,27.25,27.44,27.25,27.38,6.5863,174700.0,0.0,1.0
1998-02-24,27.38,27.5,27.06,27.06,6.5093,623200.0,0.0,1.0
1998-02-25,27.25,27.38,27.19,27.38,6.5863,155100.0,0.0,1.0
1998-02-26,27.38,27.5,27.31,27.38,6.5863,112300.0,0.0,1.0
1998-02-27,27.38,27.44,27.25,27.25,6.555,148000.0,0.0,1.0
1998-03-02,27.25,27.69,27.06,27.38,6.5863,317500.0,0.0,1.0
1998-03-03,27.38,27.75,27.38,27.69,6.6609,289500.0,0.0,1.0
1998-03-04,27.69,27.69,27.31,27.44,6.6007,77100.0,0.0,1.0
1998-03-05,27.25,27.44,27.19,27.31,6.5695,142000.0,0.0,1.0
1998-03-06,27.31,27.88,27.31,27.75,6.6753,108800.0,0.0,1.0
1998-03-09,27.5,27.75,27.31,27.69,6.6609,117100.0,0.0,1.0
1998-03-10,27.75,28.19,27.69,28.0,6.7354,99300.0,0.0,1.0
1998-03-11,28.19,28.25,28.06,28.19,6.7812,104800.0,0.0,1.0
1998-03-12,28.19,28.19,27.81,27.94,6.721,154800.0,0.0,1.0
1998-03-13,27.94,28.25,27.94,28.06,6.7499,112900.0,0.0,1.0
1998-03-16,28.13,28.13,27.75,28.06,6.7499,187800.0,0.0,1.0
1998-03-17,28.0,28.25,28.0,28.06,6.7499,235100.0,0.0,1.0
1998-03-18,28.13,28.44,28.13,28.38,6.8269,650100.0,0.0,1.0
1998-03-19,28.25,28.38,28.13,28.31,6.81,100700.0,0.0,1.0
1998-03-20,28.38,28.63,28.38,28.63,6.887,481500.0,0.0,1.0
1998-03-23,28.56,28.75,28.25,28.44,6.8413,199000.0,0.0,1.0
