date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,54.75,55.0,53.38,53.94,31.9829,122400.0,0.0,1.0
1998-01-05,1,54.38,54.75,54.0,54.75,32.4632,177200.0,0.0,1.0
1998-01-06,2,54.88,55.31,54.81,55.25,32.7597,118200.0,0.0,1.0
1998-01-07,3,54.75,54.75,53.13,53.81,31.9059,188300.0,0.0,1.0
1998-01-08,4,54.06,54.38,53.69,54.13,32.0956,164300.0,0.0,1.0
1998-01-09,5,53.88,53.94,52.13,52.19,30.9453,160800.0,0.0,1.0
1998-01-12,6,51.81,52.0,50.38,50.5,29.9432,243900.0,0.0,1.0
1998-01-13,7,51.13,53.94,51.13,53.88,31.9474,780500.0,0.0,1.0
1998-01-14,8,53.88,55.0,53.63,54.94,32.5759,705600.0,0.0,1.0
1998-01-15,9,54.94,55.13,54.13,54.5,32.315,301100.0,0.0,1.0
1998-01-16,10,54.5,54.69,54.19,54.19,32.1312,527200.0,0.0,1.0
1998-01-20,11,54.06,56.44,53.88,56.19,33.317,301500.0,0.0,1.0
1998-01-21,12,56.69,57.5,55.19,55.94,33.1688,356600.0,0.0,1.0
1998-01-22,13,55.75,55.94,54.56,54.56,32.3506,391600.0,0.0,1.0
1998-01-23,14,54.56,55.38,53.69,54.25,32.1668,254500.0,0.0,1.0
1998-01-26,15,54.25,55.25,54.25,54.75,32.4632,284500.0,0.0,1.0
1998-01-27,16,54.38,56.25,54.38,55.56,32.9435,192900.0,0.0,1.0
1998-01-28,17,55.75,57.63,55.69,57.0,33.7973,295800.0,0.0,1.0
1998-01-29,18,57.5,58.44,57.31,57.81,34.2776,327700.0,0.0,1.0
1998-01-30,19,57.75,58.0,56.75,57.81,34.2776,148500.0,0.0,1.0
1998-02-02,20,58.06,58.44,57.69,58.19,34.5029,221700.0,0.0,1.0
1998-02-03,21,59.0,60.5,58.5,60.25,35.7244,322000.0,0.0,1.0
1998-02-04,22,61.5,61.5,59.44,59.88,35.505,489100.0,0.0,1.0
1998-02-05,23,59.88,61.0,59.81,60.44,35.837,426100.0,0.0,1.0
1998-02-06,24,61.25,62.0,60.88,62.0,36.762,711300.0,0.0,1.0
1998-02-09,25,61.88,62.0,61.06,62.0,36.762,845100.0,0.0,1.0
1998-02-10,26,61.88,62.88,61.69,62.63,37.1356,356200.0,0.0,1.0
1998-02-11,27,63.0,63.44,62.75,63.19,37.4676,403600.0,0.0,1.0
1998-02-12,28,63.5,63.5,62.63,63.5,37.6514,534100.0,0.0,1.0
1998-02-13,29,63.5,63.5,63.0,63.06,37.3905,202200.0,0.0,1.0
1998-02-17,30,63.31,64.19,63.25,63.31,37.5387,383900.0,0.0,1.0
1998-02-18,31,63.25,63.44,63.06,63.44,37.6158,310900.0,0.0,1.0
1998-02-19,32,63.5,63.81,63.25,63.25,37.5032,530800.0,0.0,1.0
1998-02-20,33,63.38,64.0,63.25,64.0,37.9479,279100.0,0.0,1.0
1998-02-23,34,64.0,65.75,64.0,65.13,38.6179,501600.0,0.0,1.0
1998-02-24,35,65.13,65.13,64.5,64.69,38.357,247800.0,0.0,1.0
1998-02-25,36,64.69,65.88,64.63,65.88,39.0626,223800.0,0.0,1.0
1998-02-26,37,65.38,65.81,65.13,65.44,39.0033,198700.0,0.34,1.0
1998-02-27,38,65.19,67.06,65.19,66.81,39.8198,410700.0,0.0,1.0
1998-03-02,39,66.88,66.88,65.0,65.88,39.2655,388400.0,0.0,1.0
1998-03-03,40,65.63,65.69,65.0,65.44,39.0033,327400.0,0.0,1.0
1998-03-04,41,65.94,67.0,65.88,66.94,39.8973,351000.0,0.0,1.0
1998-03-05,42,67.19,67.19,66.31,66.69,39.7483,362200.0,0.0,1.0
1998-03-06,43,67.44,68.0,67.13,67.63,40.3086,440400.0,0.0,1.0
1998-03-09,44,67.25,68.0,66.75,67.25,40.0821,277600.0,0.0,1.0
1998-03-10,45,67.0,68.0,67.0,68.0,40.5291,124300.0,0.0,1.0
1998-03-11,46,68.5,68.5,67.5,68.0,40.5291,189000.0,0.0,1.0
1998-03-12,47,67.75,67.94,67.25,67.88,40.4576,104000.0,0.0,1.0
1998-03-13,48,68.0,68.88,67.81,68.31,40.7139,172100.0,0.0,1.0
1998-03-16,49,68.38,68.81,68.25,68.56,40.8629,301400.0,0.0,1.0
1998-03-17,50,69.5,69.94,68.94,69.38,41.3516,450400.0,0.0,1.0
1998-03-18,51,69.38,69.5,68.25,68.25,40.6781,246200.0,0.0,1.0
1998-03-19,52,67.5,68.5,67.13,67.25,40.0821,541400.0,0.0,1.0
1998-03-20,53,68.0,69.5,67.5,67.5,40.2311,401800.0,0.0,1.0
1998-03-23,54,67.56,69.5,67.56,68.19,40.6423,343400.0,0.0,1.0
