date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,39.44,39.69,38.81,39.38,13.75,1671500.0,0.0,1.0
1998-01-05,1,39.81,39.88,39.0,39.75,13.8792,2281000.0,0.0,1.0
1998-01-06,2,39.13,40.06,39.13,40.0,13.9665,3364500.0,0.0,1.0
1998-01-07,3,39.75,40.06,39.38,39.88,13.9246,2634400.0,0.0,1.0
1998-01-08,4,40.0,40.19,39.06,39.31,13.7256,2433200.0,0.0,1.0
1998-01-09,5,39.38,39.44,38.06,38.19,13.3345,3057700.0,0.0,1.0
1998-01-12,6,37.56,39.75,37.56,39.5,13.7919,4352000.0,0.0,1.0
1998-01-13,7,39.69,39.69,38.56,39.5,13.7919,2759200.0,0.0,1.0
1998-01-14,8,39.69,39.81,39.13,39.69,13.8582,3253900.0,0.0,1.0
1998-01-15,9,39.75,39.94,39.19,39.94,13.9455,2219600.0,0.0,1.0
1998-01-16,10,40.19,40.44,40.0,40.13,14.0119,3698100.0,0.0,1.0
1998-01-20,11,39.56,41.94,39.56,41.75,14.5775,3841400.0,0.0,1.0
1998-01-21,12,41.06,41.31,40.0,40.69,14.2074,3081700.0,0.0,1.0
1998-01-22,13,40.13,40.38,39.38,40.0,13.9665,2870600.0,0.0,1.0
1998-01-23,14,40.13,40.19,38.75,39.5,13.7919,2459200.0,0.0,1.0
1998-01-26,15,39.44,39.69,38.13,38.69,13.5091,2184300.0,0.0,1.0
1998-01-27,16,39.0,40.06,38.88,39.31,13.7256,2925000.0,0.0,1.0
1998-01-28,17,39.5,40.63,39.5,40.63,14.1865,3029000.0,0.0,1.0
1998-01-29,18,40.63,41.5,40.06,40.19,14.0328,2509600.0,0.0,1.0
1998-01-30,19,40.25,40.69,39.75,39.81,13.9001,1962400.0,0.0,1.0
1998-02-02,20,40.94,41.06,40.19,40.81,14.2493,2951900.0,0.0,1.0
1998-02-03,21,40.63,42.38,40.5,42.0,14.6648,4418600.0,0.0,1.0
1998-02-04,22,41.81,43.38,41.69,43.0,15.014,4092400.0,0.0,1.0
1998-02-05,23,43.5,43.88,42.38,42.81,14.9476,4516400.0,0.0,1.0
1998-02-06,24,43.06,43.19,42.69,43.06,15.0349,2110800.0,0.0,1.0
1998-02-09,25,43.19,43.19,42.38,42.5,14.8394,2313000.0,0.0,1.0
1998-02-10,26,43.0,43.31,42.88,43.13,15.0594,2889800.0,0.0,1.0
1998-02-11,27,43.19,43.19,42.81,42.94,14.993,1334600.0,0.0,1.0
1998-02-12,28,42.88,44.69,42.63,44.69,15.6041,2890000.0,0.0,1.0
1998-02-13,29,44.0,44.38,43.5,44.19,15.4295,2296600.0,0.0,1.0
1998-02-17,30,44.5,45.0,44.5,44.75,15.625,2004800.0,0.0,1.0
1998-02-18,31,44.94,45.63,44.63,45.5,15.8869,2450300.0,0.0,1.0
1998-02-19,32,45.5,45.5,44.63,45.25,15.7996,2192200.0,0.0,1.0
1998-02-20,33,45.31,45.44,44.31,45.38,15.845,3047500.0,0.0,1.0
1998-02-23,34,46.0,46.19,45.44,46.19,16.1278,3159900.0,0.0,1.0
1998-02-24,35,46.88,47.31,46.5,46.88,16.3687,4159900.0,0.0,1.0
1998-02-25,36,47.63,47.94,47.44,47.69,16.6515,2751400.0,0.0,1.0
1998-02-26,37,47.56,47.56,46.44,47.25,16.4979,2423500.0,0.0,1.0
1998-02-27,38,47.19,47.19,46.13,46.31,16.1697,2579100.0,0.0,1.0
1998-03-02,39,46.69,47.25,46.5,46.88,16.3687,3207700.0,0.0,1.0
1998-03-03,40,46.81,48.44,46.63,48.44,16.9134,3049900.0,0.0,1.0
1998-03-04,41,48.69,48.81,48.38,48.44,16.9134,2692300.0,0.0,1.0
1998-03-05,42,48.06,50.0,48.06,48.88,17.067,5562800.0,0.0,1.0
1998-03-06,43,50.06,50.31,49.81,50.19,17.5244,3936900.0,0.0,1.0
1998-03-09,44,50.31,52.19,50.31,51.31,17.9155,3927900.0,0.0,1.0
1998-03-10,45,52.13,52.25,50.81,51.0,17.8073,3860200.0,0.0,1.0
1998-03-11,46,51.31,51.75,50.69,50.94,17.7863,3304000.0,0.0,1.0
1998-03-12,47,51.19,51.69,51.06,51.31,17.9155,2463100.0,0.0,1.0
1998-03-13,48,51.38,51.69,50.88,51.38,17.9399,3288700.0,0.0,1.0
1998-03-16,49,51.56,51.63,50.88,51.5,17.9818,2228900.0,0.0,1.0
1998-03-17,50,51.94,52.0,51.06,51.44,17.9609,2193000.0,0.0,1.0
1998-03-18,51,51.69,51.69,50.31,50.75,17.7472,2458700.0,0.078,1.0
1998-03-19,52,50.69,50.75,49.94,50.38,17.6178,2220100.0,0.0,1.0
1998-03-20,53,50.44,50.56,49.56,50.06,17.5059,4680600.0,0.0,1.0
1998-03-23,54,49.31,49.81,49.31,49.69,17.3765,3093000.0,0.0,1.0
1998-03-24,55,49.5,50.56,49.5,50.5,17.6598,2408500.0,0.0,1.0
1998-03-25,56,50.5,50.69,48.75,49.63,17.3555,3414600.0,0.0,1.0
1998-03-26,57,49.69,50.25,49.5,49.75,17.3975,2072200.0,0.0,1.0
1998-03-27,58,50.0,50.13,49.13,49.94,17.464000000000002,2922600.0,0.0,1.0
1998-03-30,59,49.88,50.44,49.88,50.44,17.6388,1726900.0,0.0,1.0
1998-03-31,60,50.69,51.75,50.5,50.81,17.7682,3405600.0,0.0,1.0
1998-04-01,61,50.81,51.5,50.63,51.5,18.0095,2961700.0,0.0,1.0
1998-04-02,62,51.75,51.75,50.75,50.81,17.7682,2915800.0,0.0,1.0
1998-04-03,63,51.13,51.69,51.0,51.5,18.0095,2741800.0,0.0,1.0
1998-04-06,64,51.69,51.69,49.5,49.63,17.3555,2638600.0,0.0,1.0
1998-04-07,65,50.25,51.31,49.94,50.75,17.7472,3944700.0,0.0,1.0
1998-04-08,66,50.38,50.5,49.88,50.0,17.4849,3291000.0,0.0,1.0
1998-04-09,67,51.13,51.25,50.44,50.81,17.7682,2956000.0,0.0,1.0
1998-04-13,68,50.69,51.44,50.63,51.19,17.9011,2538500.0,0.0,1.0
1998-04-14,69,51.5,53.69,51.44,53.25,18.6215,4243200.0,0.0,1.0
1998-04-15,70,53.38,53.88,52.69,53.88,18.8418,3120600.0,0.0,1.0
1998-04-16,71,53.94,53.94,52.31,52.56,18.3802,2734000.0,0.0,1.0
1998-04-17,72,52.81,53.25,52.25,53.25,18.6215,2876000.0,0.0,1.0
1998-04-20,73,53.25,53.25,52.19,52.25,18.2718,1898900.0,0.0,1.0
1998-04-21,74,52.25,52.63,51.56,52.31,18.2927,2981600.0,0.0,1.0
1998-04-22,75,52.06,52.5,52.0,52.31,18.2927,1608700.0,0.0,1.0
1998-04-23,76,51.75,52.19,51.06,51.38,17.9675,2223400.0,0.0,1.0
1998-04-24,77,51.31,51.56,49.81,50.25,17.5724,2489100.0,0.0,1.0
1998-04-27,78,49.31,50.25,49.06,49.56,17.3311,2775600.0,0.0,1.0
1998-04-28,79,50.0,50.19,49.0,49.13,17.1807,2608700.0,0.0,1.0
1998-04-29,80,49.25,49.63,48.19,49.31,17.2436,3162600.0,0.0,1.0
1998-04-30,81,49.75,50.88,49.56,50.56,17.6808,3004800.0,0.0,1.0
1998-05-01,82,51.25,51.25,50.19,50.63,17.7052,2258600.0,0.0,1.0
1998-05-04,83,50.75,51.5,50.63,50.88,17.7927,2055900.0,0.0,1.0
1998-05-05,84,51.13,51.13,50.38,50.5,17.6598,1801500.0,0.0,1.0
1998-05-06,85,50.5,50.88,49.75,49.94,17.464000000000002,2501400.0,0.0,1.0
1998-05-07,86,50.19,50.75,49.75,50.63,17.7052,2955700.0,0.0,1.0
1998-05-08,87,50.63,50.75,50.25,50.5,17.6598,1782500.0,0.0,1.0
1998-05-11,88,50.69,51.25,50.56,51.13,17.8801,2215800.0,0.0,1.0
1998-05-12,89,52.0,52.88,51.94,52.75,18.4466,5913300.0,0.0,1.0
1998-05-13,90,52.88,54.19,52.69,54.13,18.9292,4156700.0,0.0,1.0
1998-05-14,91,54.0,54.75,53.88,54.19,18.9502,2279200.0,0.0,1.0
1998-05-15,92,54.25,54.75,53.88,54.06,18.9047,2952000.0,0.0,1.0
1998-05-18,93,54.19,54.69,53.75,54.38,19.0166,2417400.0,0.0,1.0
1998-05-19,94,54.44,54.69,53.88,54.31,18.9921,1592400.0,0.0,1.0
1998-05-20,95,54.63,54.88,54.19,54.88,19.1915,2172800.0,0.0,1.0
1998-05-21,96,55.0,56.25,55.0,55.75,19.4957,2828300.0,0.0,1.0
1998-05-22,97,56.0,56.25,54.94,55.5,19.4083,1441000.0,0.0,1.0
1998-05-26,98,56.38,56.38,53.75,53.75,18.7963,1907900.0,0.0,1.0
1998-05-27,99,53.25,55.0,52.5,54.38,19.0166,3009500.0,0.0,1.0
1998-05-28,100,54.88,55.44,54.25,55.44,19.3873,2029500.0,0.0,1.0
1998-05-29,101,56.13,56.31,55.06,55.13,19.2789,2894400.0,0.0,1.0
1998-06-01,102,55.69,56.5,55.44,56.5,19.758,3237300.0,0.0,1.0
1998-06-02,103,56.94,57.44,56.69,56.94,19.9118,2965600.0,0.0,1.0
1998-06-03,104,57.25,57.44,55.56,56.0,19.5831,2544000.0,0.0,1.0
1998-06-04,105,56.0,57.13,55.38,56.63,19.8034,3125100.0,0.0,1.0
1998-06-05,106,57.25,58.19,56.75,57.81,20.2161,3382200.0,0.0,1.0
1998-06-08,107,57.88,58.19,57.44,58.0,20.2825,2145700.0,0.0,1.0
1998-06-09,108,57.88,59.06,57.5,58.06,20.3035,3079400.0,0.0,1.0
1998-06-10,109,57.81,59.75,57.56,59.25,20.7197,3003500.0,0.0,1.0
1998-06-11,110,59.44,59.63,57.81,59.0,20.6322,2801100.0,0.0,1.0
1998-06-12,111,58.31,59.38,58.31,58.81,20.5658,2585700.0,0.0,1.0
1998-06-15,112,57.63,58.81,56.56,56.56,19.779,3352800.0,0.0,1.0
1998-06-16,113,57.44,57.63,56.25,57.38,20.0657,3191200.0,0.0,1.0
1998-06-17,114,57.0,59.13,57.0,58.44,20.4637,3174500.0,0.078,1.0
1998-06-18,115,58.06,58.63,57.75,58.0,20.3096,2211200.0,0.0,1.0
